address,balance_planck,balance_xcdot
0x0000000000000000000000000000000000000040,52869013172,5.2869013172
0x0000000000000000000000000000000000000800,20000000000,2
0x0000000000057df040739f376ad2b64d9389bf04,122899373996,12.2899373996
0x000000000069181d0c2a2c7ce97171d4d75cd0b4,1,0.0000000001
0x000000104551469868bb70b231d6cfff35e43826,327126299,0.0327126299
0x00000fb74b84e5f9783666cab35e0d4f2d68a9af,3733526860,0.373352686
0x00004ee73874997ad576b0da74dadfb560390000,33640451407,3.3640451407
0x00004f4059c60cc7d70fcffa3f5032e5acab1ae3,102323944266,10.2323944266
0x0007a6db2d91a5db8e0256ee70e204ddd414a358,9986114679,0.9986114679
0x00085d4fee6c953d00f4456fb407b6974435eb07,10062788884,1.0062788884
0x0009595422132356532f396603ab96696065a425,9,0.0000000009
0x000dba47056e72d2a89302f71636a2432a9c9993,986114679,0.0986114679
0x0017984fd7bb5e8188a96f4bca7c173324df159a,5464771059,0.5464771059
0x0020fe4545bb19b6257f7deda80c8eb353131db0,90098317,0.0090098317
0x0027079289dda0197b25aef65d9b49ccfc605ceb,682117,0.0000682117
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,4,0.0000000004
0x003432e6f0cdbfdd1c38adeedaaaeffb17fb76ee,179986114679,17.9986114679
0x00362735c311a989c6613ef4fca1ca31c100fbab,599516,0.0000599516
0x0037df1ed3f3009ff623f281c4af66dc18266c2c,7468447220,0.746844722
0x00432d1ff71472449d7c763417f1ee22248815aa,702738,0.0000702738
0x00446f19566fd3b1291ce83e43fef3be8ae6753b,4,0.0000000004
0x0044e65a6f295d4b86b2d9ff9174ddbd203ac79c,476870000000,47.687
0x00480727027e07abe85ce43db4d27a48ac1e9877,7757272,0.0007757272
0x0052aae19864199e3f116d1115e2ed3d4a00dcb9,2971816,0.0002971816
0x005463668233189e1a954f5bcba37605c54b7dfd,7162538,0.0007162538
0x00554ce003134669bbc6a8b9602cf7af4f158402,38,0.0000000038
0x005a945c426fe1f2eb3c4b04585a2427f7a032a8,1944041724821,194.4041724821
0x005ca0432af731943b3d992d5e009c6d19ea60cd,10623430,0.001062343
0x0062a2778e9ae57e23c58afec4df158b329ab24e,284094649,0.0284094649
0x006970fd32059734e586a323b13fc1ce625f296b,59882552403,5.9882552403
0x006b6255a5b0367cd5f501124f48ab6a93987f52,381288809,0.0381288809
0x007c51371cf3cf4d4e5e80aae339ae2fa0bef2c4,3000000000,0.3
0x007f8dfb45f0445c303420b9149b80c62257e836,20019,0.0000020019
0x0084deba31fff19b5654e0f3fbcb0b7322cf373d,59234329,0.0059234329
0x0085078fad1b3d72b7fff18aef1bd43117439a17,2463136189,0.2463136189
0x00863ca65df937bf6a605667b660e81c6731161d,3,0.0000000003
0x00921c2a88575a39a0dff3b92353ebde057f57e4,94965137,0.0094965137
0x00a37714fc81c1c001aff183386a95a50a15e5b2,1,0.0000000001
0x00a5e18e013d78822fa3754b5dba87bcbc7bc506,43058371,0.0043058371
0x00a7949aa0f80c274ef6048f6aa3eb35ebc65f48,3,0.0000000003
0x00aa53ea23a3abf57d6f81133f510ac6481671af,4,0.0000000004
