Rank,Account,Balance
3401,0x19bb690ad12019d51b96dd5dbceda4844c1d2746,3.790948574
3402,0x6ed46445e94d94ac23469b4e6f19c77a518d4a94,3.7906386549
3403,0x914ddf62f675f8bb8bdfd09b80e9100d905c6e38,3.7905941961
3404,0x477e07bd8ec86d927aeb365b4d04e9193080a06b,3.7897261061
3405,0x5c3a22e5d1fce3a4757a7ccb07ed926849e52995,3.7897162403
3406,0x88233d0fd7a6a9c5337852413ffefad7f2c16e53,3.7896728024
3407,0x072b7b7eecc21113f30e1b50a7fc12e5524894a6,3.7896576609
3408,0xa70e3249932e50765b9d509043440f5b759fbfad,3.7892005519
3409,0xa6f1359af8d5d6969206ce8f2db42d2c59945d03,3.7889168242
3410,0x4627754efcec6e7f90e0f342459b3fa748bf9c03,3.7888011214
3411,0x6fc0cafdeb2526ff0f5acafe00a8ad1884800048,3.7886745164
3412,0x815ea24df708236f5f25265f20a7dbd7bf8e639b,3.7871121031
3413,0xe52bc596a3c9199c3f32ebca860a6be14d47b747,3.7871046147
3414,0x89d4b7236f7e641a97c403ca8e98be27b04a8bca,3.7870891769
3415,0x97568d242ab0233c55d992aa46cd41e7311fcc14,3.7870763279
3416,0x1ba54453349110a670a96c017ef9aa212a38bc39,3.7869511713
3417,0xffabacda6d4d521d584894b3c8b2230fd20df3ee,3.7868547678
3418,0x45b37e3bb255f2409f5a9cbc6c4fac576632c4df,3.7868271414
3419,0x0f8305bd74170a75235c4f09e72e997ef2187054,3.786763771
3420,0x6b84b4029645e90d91daf3c92b761f330a8c8358,3.7867301765
3421,0x80b0cebe0bd1a2d98ca8d4ebd59992a93ad84a19,3.7867012817
3422,0x34e6378d83c885461e9e48d50a9ebac384d4cd60,3.7864815828
3423,0x111ab1dcedef7d817d112bb296af80d1408b2bf9,3.7861595
3424,0xefa4ab05d34abb33eaa9d0e8aa4caa2685bbe530,3.7858884338
3425,0x6d035adbad348d780511cd06d4b6813a2464bd13,3.7858647091
3426,0x5138e8045f98047936ad317ed89a4d09890b01ff,3.7857677934
3427,0x875d3f51d1af74f9ab7ef0df46c8c8e5a50e03a6,3.7857633361
3428,0x0a1717a029a3f7d1a275bfecc11187c4fc00bebf,3.7856708813
