Rank,Account,Balance
3301,0xa62916cad5689a70545b76247bebb7f5fb030080,3.8075919902
3302,0x3f44d8d0f5c39431a1f405d373b1b823628921af,3.8073740439
3303,0xebeec76fc6b04d1135aff2efa470e3e863144379,3.8071541659
3304,0x8dccd1f2e74b67918fdad8c71dac61273bf79468,3.8069418112
3305,0xe496269679208247ab7c2baec4834c3593fb71ca,3.8069357055
3306,0xd6e2bd686947b844ab58ab581a37cceec001912f,3.8068158926
3307,0x2b9cea06210c1b09c58f57cb462a971e29e73be1,3.8063890885
3308,0xb6eb457efcbcbec0cb40338bc567b73846206719,3.8063073424
3309,0xe2b31ca17544ad45119b0859eb2730e5159c1a10,3.8057742097
3310,0xdcf0b34649902f1d22c6a6de42e0e6f167388aca,3.8056057036
3311,0x5c9942cdec72dc714ecbe2a10851b0633093d8f9,3.8053050628
3312,0x90b7cec0c1dc4da5736f9a1fbe9b819a651951f5,3.804464831
3313,0x4053c0d2a5a4881afd9f27c13fdc56c538f3eb45,3.8044400275
3314,0xccf62e6d009db574739e1245facaa0962869d191,3.8043388861
3315,0x9acca730a0e5842a06a772c903acaafc533b31c8,3.8042525954
3316,0xfa124b9bc6cdb2ef3b0f6198117324879c4b02d6,3.8034294221
3317,0xc747f8cc9f33cfc2dfa1bab5ab074b3dc46dcd1a,3.8031909049
3318,0xf9f92623990140ad54217cc32d5e458458c29f48,3.803177588
3319,0xe31d37c1fbda4034fd3aec3cbfde5c958de34143,3.8029174855
3320,0x21a38fcc5e099f26a856cf889bbd90e2af01770f,3.8029061193
3321,0x2ac2dc3ff68f5e77281515d51e029020d4b16aca,3.8027140334
3322,0x4fa937cda7e8fed969504279fd96ceaf3be516ca,3.8026129414
3323,0x94c2f3be14adf803e81f83f6f66f660228b09b05,3.8022167987
3324,0x0888d793b662e2c7b7bcf1b1596c5a701d07d8bd,3.8020778142
3325,0xce9c4f1e489aa67102633cfc4f9efbb0680c4905,3.8020282005
3326,0x2d6660ad8fceb413405a9de4bcc5945b9a8a24e7,3.8020064944
3327,0xf41adc1ea129bc1327b126e0d9f57b8a44ed6027,3.8019351766
3328,0x1f52451dff075d8f51ad00478c891234b4175cbb,3.8019271359
3329,0x7e3a7ecec7b0a6a10479f40c80cd522c2fcd759b,3.8018638608
3330,0xc9f6c59ff82dcb86bc4afb18d789df15e4ced9f7,3.8018260753
3331,0xf953e999fc6ac4fe5830481c93b4e7a83bb1633a,3.8017250187
3332,0xc7630d95d00377d7305d0e133fa5ea58742b55cb,3.8016690225
3333,0x82cae825abd667c3123102f859f1ab059333ace9,3.8016475431
3334,0xd269dc1e07416c63bbbb5ee55b2ba09af7a1a8f2,3.8015003932
3335,0x97a8d89014f5f1b03d8d7714d9279bf3656fd8f1,3.8014902592
3336,0x954769d929a7d3df80cff46bfec12747716e75f6,3.8014657193
3337,0xc461c89bc3155ae03f0636da153e40dbf45d3683,3.8014270179
3338,0x02519498c696ae41170f8bb7a7707bbca877db47,3.8014270078
3339,0xead136de71f30afdc7f885296af4644a4d490460,3.8013774584
3340,0x6e56e03dc3fc324978771d1a1c4e336870ccc67b,3.8013536346
3341,0xbee2433d2de508064385c82715d8a93f5318a1d6,3.8012771474
3342,0x14636490e22ad470d2f4c479f316d5c6ff828191,3.8011376899
3343,0x7a6519fc1921652dfbb1e38e8ea2127d738ba229,3.8009866376
3344,0x48d90b964c46a8674452b6cf197ad84c462cafba,3.8009348813
3345,0x480aafa0429cf56ef2eac287ea8c1a6a6c0dd6a1,3.800621598
3346,0x45ee4e62569f2d36efa8fdcc4508748e88514c37,3.8005946153
3347,0x6a3ef97a414363ae724e22f7c58a4b9c7c02ea13,3.8003653538
3348,0x66e0844bb2efed30ab0537bf8db85449eaaa33a0,3.8002775088
3349,0xd7148c45af7f8603b648213e79b37bc7df9b91bb,3.8002270991
3350,0x88e042ab5f7d9761a2706f073aa4b23e1c4a1dbf,3.8000755412
3351,0x98ff9e60157c7e3dfaf126b9f51447bb9b509e72,3.8
3352,0xabfaefc644a54f8971b16a7e89b3627406deccf0,3.8
3353,0x4852e554022dd0add8c0ddbff92f63881efd4080,3.8
3354,0xc9910885c483203e7e0dc724b64d8054a6edbd33,3.8
3355,0x2805bd8ebba7f2cdc61705c910576d15d950e92e,3.7999263126
3356,0xb58a44d31ca340d564b81863f306dd7e76db345a,3.7999075516
3357,0x57f198778def2f28b73b143293f8250a8d4a5a69,3.7998776845
3358,0x3f8ab5dce6c26039a128fb2383e0216f78dba7b7,3.7998284413
3359,0x8318df9cdbf08ff68388a75aab064a22d36dd5c5,3.7998065907
3360,0x13ebb823b93ba36b553fc28822156a2895cced6d,3.7997135045
3361,0x90c44aeeb431f2ac6e75b5c4f1abfd0a850bdc59,3.7993065514
3362,0xf320958339fcfab45e645a21a179358a21ab42b6,3.7992947975
3363,0x6c4b90e99367f092e9608e34600b70357fa3e5d1,3.7992501355
3364,0xd8c499b0110dc4f1b25b8581e5229cfb0b459792,3.7991616245
3365,0x3ccdb6e8a4622eeae0fb65dcf4eb29bed3023243,3.7991097508
3366,0xbc2f52cbbc62a000e67ee53f67beb71ec12f2d1d,3.7990687877
3367,0x4c6e100adad0a362f8985a929245e83a9356f80e,3.799008822
3368,0x49f0cec17ea3da70e01c79c23724945cc0700c19,3.7989267578
3369,0x9249b9d5705ffebf9b3a411f53a93c62b814da2b,3.7984522012
3370,0xde6556218db4ce7ec3b24f37877c111d62095bd9,3.7979568469
3371,0x74512682d7ec5ca979dd7a77ee8894679cb522c9,3.7978323754
3372,0xf60a62e0ce2b026ecd94d8f2c9e0dc918685d9e4,3.7976687303
3373,0x14a9d0098ba8c44cb30efb54e90c9e1a63d9e606,3.7975692651
3374,0xefe87a1365af3e628302e4fa79b3252545189982,3.7974894532
3375,0x3229407e07ace48723fbe15eec7b498ff7e6ea83,3.7973544974
3376,0x3f52717f96246049740b1c8d64e89cb8db2a1c69,3.7971948451
3377,0x7e5399b7a9b6c29870e4cb919d407ac2d4cfd1bf,3.7970488706
3378,0x3d838db0e423329c32b01115e221669f5cfad70b,3.796866929
3379,0x0a8a72e9989243e454585a63438c7874a0bbcd79,3.7966709034
3380,0xedc5c00d67b62dadc7d347f32b55b6111ea39db8,3.7966129511
3381,0xc631c4ee3f3e3716ccbd20e8ce3d0ad22edd6da9,3.7953775916
3382,0xdedb5b21c5e806b8e9f71a8d00fbc00679221dc3,3.795361516
3383,0xa166a3257b8b7d908973621bebfdd44b25bc2a4b,3.7952615384
3384,0x7818eb7f7fb0de3e01c67784ad868e8987d2e75d,3.7951071751
3385,0xf5ad085aed92162db5f419e63c00de70495b9378,3.7947842364
3386,0x74d76ec1d4158d20ac5424b559dea1c4bdef1a11,3.7946504957
3387,0x91483e214f8b1a6324e9e393bc30d9d0ec0bdad4,3.7945320677
3388,0x3ad8e75571bb869e4bce07ac3daaafaf777bcfc3,3.7943137702
3389,0x8755d884d54b4875bb09d8565a2a037c0fd3db3c,3.7941244963
3390,0xa5ad1eb23f389f6f5dd4c07c55092a93906703e9,3.7938796713
3391,0x49ef38d49cf695b6136f52b84581362cd61c6294,3.7938084528
3392,0x32501e6d57597bed66fa1c4f13b46c168b63e0e6,3.793686715
3393,0x7bb330e1ce3b1e5a78dfabc3498789a5fbea1e1c,3.7936561734
3394,0xc7b1ae45a89b30388e0c433c3fab91c42ef4e8c3,3.7935238931
3395,0xf252c3df4799a854b9e0e8a207bfc113289ec7b7,3.7931801567
3396,0xb6158bd71ce6d736a9c1f9eb3a4e1c06cc33354a,3.7928817331
3397,0xf94f9655e4b5b3b7cdb090cc5f8cb2bf37bb6785,3.7926336039
3398,0x100b63fda6a47a58ad64db560b355d42cd19133a,3.792124449
3399,0x5e757a0390b304a7885c858f4389694f395c68e9,3.7912605803
3400,0x088619746f1b2d5dce6d0d06776aaeac1ddc47be,3.7909575077
