Rank,Account,Balance
701,0x135ea14cc50b934a2804624090619eac1f84431a,7.9199113732
702,0x1fbb44b5aa20cbad3e7eb0fbfafa400f990fe2c1,7.9139670599
703,0xa877371d55d65536ef45ceb55f9a90ee6bc9b1c4,7.8873800214
704,0x1ab89de00f039d9de0e17cd1f1a5e7372c475ac3,7.8780337945
705,0xdf7aa47485eb6f2f1d725b313cb1e97001069ba4,7.8636417448
706,0x0adad8cd40170ab57b17da9dd978cd0fa164fb1f,7.8306905344
707,0x3f4b243b49cd7586e068a01df0d35ff240c98dc9,7.8241273092
708,0xfb2e57e597f718c127774524f73b88ccd1e28749,7.8237814276
709,0x374aec003981539b931ab01a84b72d2ce5564673,7.7960968211
710,0xff8b5345b3195f00e75880e20e77483daae6c8a4,7.760978663
711,0xacf9d6f1d35297848add032db5a32cdcd6528575,7.7457802841
712,0x76c78b2c590e8d463394054800850ccaf9d977dd,7.7190811313
713,0x633eb62c0a2a7c6ff9d03f801b1adfa5f02cc55b,7.7159082406
714,0xa6e8484e380e7e887fd6718900958f3dd187ea3b,7.6689023238
715,0x4d5b7876300a1024f91367434555c72d90fbb5d5,7.6675268431
716,0xf1723256453a037fa22cc623fd8ef77789576e1b,7.5990090198
717,0x6a837e68d121e93b238b2b057c0792c439a0218e,7.5904674515
718,0xc38ec4f6b3a9b02f84db9d682b68265e4c8307d2,7.5868378849
719,0x192135fca382c5bbe2d64f348dcae28d3151b2a3,7.540722878
720,0x622ad8f40350d0d03a25bb45e6b8a62c16d14e00,7.5321623987
721,0xc6c1e852ecce4ce5a0c93f0e68063202da81202b,7.5246968589
722,0xba9d3f1a8c3117db79516921bcd5a4220d8843fa,7.5148791832
723,0xca76df38de8d027d54d5b4795692a460029ac13e,7.4966799743
724,0xa7d26d97859fee19bba9b6513c24d060c6f0ae48,7.4705005495
725,0xc3645c5498e1429f8c60108cff114f016ef18a51,7.4442087728
726,0xbb1151a1c5f60a05b9b109ce17aad70df6c15cb5,7.430740542
727,0xa88178c18834efaad74c25687f0f15cad9b1e5d2,7.4288244776
728,0x42c34dd42b2c407b541b5e33b57ff1fca7f06592,7.4234955112
729,0xf044d8a6756edabf9435be1791f668e481533f36,7.4213884203
730,0x030b78756013ad403d6da6bb6fcd305e2e26830d,7.4162258719
731,0xb373c4b7ad1a30f9dab960f01e3c8257db6fad4f,7.4056127111
732,0x97fc4f8e009ccab953b483082c4179c1cbcc51a8,7.4051968299
733,0xdf0fc564ec5f3d98a23ce2d3623e210107ca8745,7.4006391374
734,0xa25d193925abb92f06faf848f0b47ecee5cea4bc,7.4005962859
735,0x8832f2233da68f505c0a92029675618a02f86aae,7.4005917285
736,0x978c563faf642900f5fe2b0feac843a960e4e4d1,7.400400432
737,0x606eca332f125585a1dd53718c043d47ecaf6b3a,7.4002028906
738,0x2a8af071ab859a7e5efe7c953b81f8cbdfb4b1df,7.3896175591
739,0xfcaa6c9e9277ae776110ef571f5710cdff439218,7.3703558293
740,0x0c386c6374625a0f9603226ec6104ac80d8dce2e,7.3174581333
741,0x06a5662329e509d0dd6f0598e7b8b5ebab5e40b2,7.2389841192
742,0xf5a93410e7e32bbf28a8eaafbd7f241cf0b290fb,7.2280607159
743,0xa9d94efbfcaafd8459e71ed9b2556cea3d34180b,7.2206154763
744,0x2e1a400cfabfa562e1462c45c44ded6d9d83cb44,7.19519046
745,0xd6720d9b7a44a796201ed3aca74c329eb0ad8093,7.1785976254
746,0x418f5fb23931c4d98f1b6e15d21f83e90258b8e0,7.1742026892
747,0x9516fd07e30b33cd3cdc3608756733a139f3ae79,7.1727692558
748,0x7a95b0b39815119524d44253cca381aef9888888,7.1556742796
749,0xf916ac40eb142fa13dd35864b4db923ca6023176,7.1061287754
750,0xd62816356f64706deb8539203374f9b6c6cee75d,7.096011241
751,0x77e1602a75722db1da3fcc373973fd3330a83c19,7.0899514369
752,0x19c9fda23de82e8713d61f4efc2010365e323200,7.071346015
753,0x939bac3bad78752763be4dd1da19e8e70995a408,7.053747974
754,0xa086f516d4591c0d2c67d9abcbfee0d598eb3988,7.0454466981
755,0x460d0feca4557984fd324a14af93d57dabab9181,7.00044343
756,0x042250b15d933dbf475256c4063d60d0566d4149,6.9970689698
757,0x1a13ea2705c5d98518e1a93bd6d3ff30052ba5b1,6.9584063462
758,0x9b6828a53026f0482da41e3641bc69c6115a27b9,6.9271456847
759,0x04e67beb25b2f8cdaf0ca77cb4b94e214efaf3c5,6.8373263849
760,0xeb7411e79fe3063c1136ee10cca20e9943228cc5,6.8345520623
761,0x4a6f872d6862627ae252dfa8e697a594e2e1e059,6.8309076537
762,0x0bfdb0c56fc7d6712d70c4e904e3b76c8c5be425,6.8154963061
763,0xada7673b48d656a87cad01bcbafe6b1ee6d621ed,6.8111629673
764,0xf0081228d753582f4e99d75d4edfcbad44a00471,6.8067469504
765,0x42c4edccc8e935a2ead3767d8b465757da71beb7,6.8057314721
766,0x08b316bbb472f04a8e0af61afc0b77cfc0423342,6.8046747211
767,0x67e7409b1d94856d57b0d4a5f7e73bb9d600704f,6.8028247245
768,0xbefb1d432fe95b6a24e51a52f565199cb92bbe21,6.7911302405
769,0x3e1611409950392e61a668c9c10a9da64a1d76fb,6.7909210715
770,0xb417a6f027657802119578b77dc4da772e61c975,6.7088409065
771,0x5353ce794422c4f6fe3477b990ef5da42559ee26,6.6904393653
772,0x7dbb77f54854b2be3e1af4e6d11f5237cb7f1f90,6.6843448634
773,0x23e3fb1af6a29e41af6c7b058c7a432cafc66663,6.6738652026
774,0x0f9d765448c8bf1ad3a963ac91a0863b42ef6334,6.6619244796
