Rank,Account,Balance
4801,0xcc43cadfe71ec056766a462e89c29652775c6b89,3.6957908351
4802,0x22ba621b8ba80816304b2d3df327bb28f2a363a8,3.6957628545
4803,0xb0db0052e27646ad8ab9123b495f4be507c2f642,3.6957571056
4804,0x9a003c0fd4618414ad0ad955561a9b45c158e11a,3.6957437748
4805,0x167707ab56854ec11147df0f1a916cfb77cc09dc,3.6956233589
4806,0x3af34d142463a6620df95633c48fe7810909b870,3.6955643324
4807,0x31aaa65e62f011560edffdfe63584cfc08f0304c,3.6955641952
4808,0x882610ddaaa1fd8de4bc40058083283da78af743,3.6949671723
4809,0xdfc8984cae03efd282656c842f29f0f1bcd879c6,3.6949033287
4810,0xf4d9e3982478f31dce9e8f151d8faa35d72476e1,3.6948721414
4811,0xb90369226bf83b813174e5530514d202992eff98,3.6948713114
4812,0x8fc7e5029ce8b608982403b2b98ba38dc4d26e3c,3.6948570699
4813,0xcda50eb6bbf546345d6924fc09db4ce68810b0ae,3.694810812
4814,0x643693dc469ecc0fb4a7befcb422198af86947d3,3.694764555
4815,0x343d8f9ff1c20178dae9719dc689285ea20017a6,3.6947182988
4816,0xab48331d66631455c9e5b8e9637816befa50a6bb,3.6946720435
4817,0x6a7d8d33f247eabe74146ccb60dc502d2075c338,3.6946257891
4818,0x1686c827006a9bc185df2fa345d80af96c066717,3.6945795355
4819,0x46cf78167f529e6447ab2c2d321fe2efbbf279b2,3.6945500586
4820,0xdabaf5045c3aedfb825229c5f394b8bd1e9a8b78,3.6945332828
4821,0xe571f19616063bb84f0118937fa63a2a172bf97b,3.694487031
4822,0x53e6a592bc2a5cb3b5acc3c99b8bd3cfeede2e10,3.69444078
4823,0x8661a4d8cd3488c0429a98d4441db36c06d46304,3.69439453
4824,0x558cb2d92035afa638ae97c7ff9cbfde51faa4b3,3.6938594746
4825,0x7f6004380097698078931024a839b4f41d3e64a4,3.6936851095
4826,0xc93519d5bc7559b5dfa0e2d77269e1431dcc9aa6,3.6936846892
4827,0xf66306aa7f634ab12b00ae2b49eaaf3ce976bbb3,3.6935147499
4828,0x8937bb94106234ff946d2c9cccda386932897770,3.6934217513
4829,0xa4bec2a9be39f4768fd74fdde6ec97efce2cd780,3.6929365091
4830,0xcea5b4c5a38739438ec906b518e2184ddf8199c9,3.6917097936
4831,0xbaa048ee0e3eb85c3ff871d2f8bc0f4f28cbb48c,3.6911850265
4832,0x7c01e9769d8aa093e0a98533e7c3f4cdc9266ac1,3.690947964
4833,0x81b668552cdeb1c2f503d6013a2448cb3eae432b,3.6907830345
4834,0x8a957d8f313dac0a05a5a55ddde054154fe39999,3.6906542136
4835,0xb23f63003777bf9061c8a94f59ab1192bb8db237,3.6900651691
4836,0xb7d0cfaf79458ea012a0838b317343e0f93ec787,3.6885524158
4837,0xb14f859f37fffe6ac7b51217e86f93559240e826,3.6884800475
4838,0xd8ebe2a1e9b5f0e7b25810f3637069000d553e70,3.6884189245
4839,0x0f0efd6ed619a24c55d05b9308bfd7eaed57f5d5,3.6878739904
4840,0x5ce58667e37bf7fea574a0f5307dee408e056d70,3.6872723093
4841,0x7666934afdf78713f05e09ae3bda9e8e00cea619,3.6856927071
4842,0x866044222c2012fb0d4567d8d46aa48611ea4599,3.6856700673
4843,0x2b607f540119a9bb4e54ee04bb5567973f2f0d9c,3.6843668351
4844,0x02a9eae4f34a83680c3bcef0506ac2540aa83292,3.6843135528
4845,0xae252ef0947a807d971ea3625721b04ae4850fe5,3.6841705809
4846,0xab85fe749a310de9cb701e9aae81a47a0d68f5b7,3.6830573604
4847,0x19135cbbf7b5405721572343e9d5dd6b1ba9f495,3.6830442251
4848,0xfff732f02b5e029565b775f5cc2955d02e8c42a4,3.6828412648
4849,0x6a71d1856c923e08faed055e290c2ea67f7b9bbb,3.6828044655
4850,0xd0fec64a178821dae63d17f587fa4ecaeda624fb,3.6818303941
4851,0x9ccd4e5bfe09aeffc04d07855ae85a2125c77e94,3.6808898265
4852,0xa32c39a85d68f01287cebe6497cc49d59d3ff646,3.6795651423
4853,0x60c84d2582e105a1fcf037672add680e47fe1be1,3.6792164445
4854,0x093152e67698d20b45bb7966440306033c7b142b,3.6790575724
4855,0x0b79f50b405c385ae1d16f98c4dbcdd431123eb9,3.6790487148
4856,0xd2178ebd07a3f30bf3cffeebcdd3dc5667fdffeb,3.6790243772
4857,0x6a6cb199f14eb655be59f3f30c42f3346eb13c62,3.6789697569
4858,0xa8f16a0c58c1c40e6ee8b2573609deb86a1480d2,3.6789547848
4859,0x4bdd535e0b242ded2414ff223f685c7afad6a9c6,3.6789526798
4860,0x2a34d710d7f02a367e06729a90df5e4cd1fbb517,3.6789513198
4861,0x87a8f8936b14ab6b9d2d924aa85f6d9306ef6695,3.6789498024
4862,0x4df97851a2d697397594befd947074af8c2b663f,3.678917377
4863,0xbecf0e3d88b86726f80770eee5c12d36ac3951f5,3.6788931573
4864,0x7be9d5c42b5b614c1f889e5c9c13e934639d2b9c,3.6786814315
4865,0x5c6757db88dea3418fc301ebdbdeebc50efaa14b,3.6784183405
4866,0x0ae6386ea4ad679f8e38b9dd70b99cd763669c51,3.6776316596
4867,0x95752f215e4891abf3853bed53148b604761ece0,3.6772863213
4868,0xba14e596bf2581228440e0c107f7362f1a961f06,3.6770039439
4869,0x867a310a07e124c5a948d58e8e2f5c9a79057bc5,3.6767891396
4870,0x1708e4788af2b97d278dd4c2cb9726e8f4a643b3,3.6760912769
4871,0x1cda53ac09d59b23c34cfe4b10d13cb900c995c5,3.6759668314
4872,0x6ca95bb1ceb6e7354186f726ca6fd90862b0299b,3.6754782715
4873,0x718547817ff78ce3dc3c80558442002b292f22df,3.6753569266
4874,0xf13d5bb2965e5d082e0a4fc44a52210e97471ca7,3.6753102169
4875,0xc986782911d4028eb7cf1d652cbbdedaffa124d5,3.6752478225
4876,0xb79348c860ea4ce6d9ce43752f09ed7fec49a121,3.6735546238
4877,0x2ebff9a42ed9d21caf7b72dd33384e285b64db99,3.6722926117
4878,0x9084ba696a220b94ea5767fe543b4be2766f9cd4,3.6718414405
4879,0xeb2b32c59d3d8b7ce8a5dbce78c954665ce8c7b3,3.6717856912
4880,0x7250dabb22d3d9ecbf47157b4cce0d5bb6d08bb4,3.6709110161
4881,0x7890793d2b922cb2dacfe90dac3ac446c356d5fd,3.6703043025
4882,0x8b77f883d24aa462cdc7f1206f30c4335805136a,3.6700540486
4883,0x578b5beefecdaad06de5b0e25c61ae1772a4e2dd,3.669932434
4884,0x3421cc232fdf0ee50d8940233a187dfd1a4feeee,3.6698411535
4885,0xda4ef52613bf27da593098972215da7325a4080a,3.6693904071
4886,0x981e048423ba48c9f6be4e8a27b764f975bae78f,3.6679736206
4887,0x4a9d692a7d02242acf31b3e99da883319d275b0c,3.6678780159
4888,0x2001419ca85b5de26ed06bdec60d87508efba4a3,3.667043957
4889,0xbe5097e96821a343e4c853c089713de16d7eaa49,3.6669234413
4890,0xe1fc52902e83d4e0733e881e585e5b1de9d58fe4,3.6666333375
4891,0xf8bd5215a7bedad66e7da8cef5cbc2cdd892ddb9,3.6656250623
4892,0x73c1063070034c58caf5ab57123c56efe9c12ea8,3.6655555243
4893,0xc5dbfe03cf6155d39807f56bdaa7dee78414b89e,3.6654654322
4894,0xd16322aaef6e8ecd580df89c6379df08eec5b46a,3.6642226496
4895,0x66edc5bbd9e8649ffe2d31212367ec4fb19882cb,3.6641537939
4896,0x565a4190bba9dd76689acf943f1ce120ecdf7ab2,3.6637334839
4897,0x0f9c8c0a52b66de542015857e8c1ad29e30a2bca,3.6633733367
4898,0x6c07619adb26f83b81b1dc8e5aa4b71444f50053,3.6623249072
4899,0x344ce8b850e6a6e08b51fb8728af66c87a33b8d5,3.6610393118
4900,0x0e24d281364bbf1ee6d98d93d744ded873117efe,3.6607279276
