Rank,Account,Balance
5401,0x75448de3cad80522a78761c75957e021121cee02,3.5291840078
5402,0x0c10e56276bc59e323ad8936c81580261b2ef682,3.5282459798
5403,0x71084dca47c8b373510e1949d147c6df824fd7b7,3.5277772813
5404,0x7f9262f024c3b411d1ed3ecbcfdfd819961ceede,3.527727714
5405,0xcccdeae88584a4e04d74010cc2d459494ef6cd8f,3.5276391662
5406,0x844eb542c1d178a549a66099c98b18aecb7d31af,3.5273544974
5407,0x698189198d1a46e09ae23e46374597da6405cc47,3.5273026168
5408,0x94b7ce2e3d033fe79e44e289108e576417448cfc,3.5271234441
5409,0xfc212910f811f25375bf21167c78de48753305cd,3.5267977163
5410,0x783239fe8a45a75dc240c3fa01134b072f03d763,3.5267631276
5411,0x2b1ab405c5d8819c47ce9ad11f426af91f9f109f,3.5262598516
5412,0xc687fda28c4585d24a1f9972d1e80926c783eb1a,3.5257837029
5413,0x2f73984d054fcae70a57011d23b09be39f9348b8,3.5257801328
5414,0xf3de5e70a610d3f2249232042e8016568c962c3f,3.5237041026
5415,0xf9cbe1ca93878d0fa28ec51178768a8661224f33,3.5235796786
5416,0x626380d57626807c4dd8b7b430923512c9d54579,3.52345015
5417,0x7d6db921add25ac50b7e6227b91124b4bf2b37bc,3.5231320158
5418,0xb923192745c8eb7b37f2e9f880c026914e70da09,3.5199518014
5419,0xa7c4566d91dbc6605cd8e0e786e97824788bbd01,3.5194967595
5420,0xb19b0ed4420729f82b68ce028f1b07c9471ce03c,3.5186065313
5421,0x72cbae30530dc4af10a0b6ee3bbb85ed482d8967,3.5180429156
5422,0x393bb87623d456c21470377355f3cbd57a075435,3.5180163863
5423,0xc7bce9c167f8609327d3b8b62aaf7a260c1f47cc,3.5159706088
5424,0x8870bf11e6575a7428be9eac7b84ac70b79515ba,3.5131123921
5425,0xeedd74c0c27660cd02972385067bf2374b020bc0,3.5128204069
5426,0x1392175162bd49bc57853a22b6a4dfb2c83b5fd6,3.5125343877
5427,0xd01e11169a90fa033f60ba65363aef0239d1d213,3.5121220909
5428,0x302e5624b0967616c51b6c7183f21c5bd5610b3d,3.5117916015
5429,0xccf3a450ed05fceaf68a799d3726e4ff142b10b6,3.5107885208
5430,0xdd228d01e11041050be93fcfaf3005930782810e,3.5106055017
5431,0x953d721c8a77849baf36810db077d541dac19447,3.5097145306
5432,0x6e41143f8b2c20083e9f7d99c7c719efa7d8c080,3.5096319651
5433,0xe6f43ef8cb973e69ca3331d9e9f79ea600242367,3.5096256583
5434,0x415de629919d7af0a72f88c3e6994a72a525b8ce,3.5093889196
5435,0x622ff42a78c6e6e3a4c881dc699c2be64b0e73fa,3.5089173062
5436,0x3bf7090b502c40cea0e4d1faea5e91f5c0bed8a9,3.5089012894
5437,0x4ff1a372c1db8f24c9e4d5c3c1e8565642bfa62f,3.5083446732
5438,0xd3e960dd2bebe1ad8502dc516bf4c0356468a469,3.5076518334
5439,0x64c1fd0264d3b9c4079395f4d02e7f76d6fba438,3.5058987918
5440,0x11fa7d2bd8e39925b6f2490d64b0be8b55264ced,3.5056644634
5441,0x920156c8fcb7505c94680535292d859e79e58300,3.5041458101
5442,0x1100b63c6405500d681b4705dfc8b80821c028c8,3.5030568688
5443,0xb1ffc7507b327a855848378004ace9a934e0beb9,3.5022097688
5444,0x7a5def9903b000927e39b1d72bd77ed11949e77a,3.5019089166
5445,0x87da7603be4415a9e150a6fec6c485c167b003be,3.5018224456
5446,0xa75426696db35869a8ea8db0a05859536770afa5,3.5009362837
5447,0x278c7f5e8e40d46654d06295d229f9e0421f37e7,3.5
5448,0xd01fbe6d909573f16ffed5ab7a1b9cca286efd82,3.5
5449,0x28fa8296f33ee45882466e212cf38e6214b08c98,3.5
5450,0x34dc8e58adfd5992476e7ce2cedee4e0874bc679,3.5
5451,0xff67ed25226632d065bc68018a977101d50e3f1c,3.5
5452,0x1ba39bd7d838d7d911a2a7ecfe6bd8086548a9dc,3.4997548439
5453,0xe47df810efb462ac9b9b36378fbc9def03d8a46e,3.4979407502
5454,0x0f22df71bcce5fa9b6a686dcae5149385d290355,3.4974427401
5455,0x2b493a8c1b228d53ebbf0c156068a9cf43c0d4b8,3.4965626128
5456,0x17cd8e48f6f0a819baec259c1ab7123494c4838c,3.4955214128
5457,0x74d761107aa1fea957696d65fbad75dbe4728ab9,3.4946864065
5458,0x1122c7a6845fa7c0927d23d676719155d339aadd,3.4943782675
5459,0xa9152f276794ff33c5b1562c2ad1cc20eb73a621,3.4931977654
5460,0xbb94ae28551b9bdbb25ec77d016bc9ebe9a74974,3.4929116073
5461,0xc62366431ac12bdcd38193bc09633fbdb823faed,3.4928917719
5462,0x8eb335ed0b2e9f1f3d3f5153d007bf1d56ea649e,3.4927325284
5463,0xc8b59c517e26d5ac230cb745c20d69f8f8c73e56,3.4923186484
5464,0x7128ee448a097dfa4409f5b70f534d45b05bbce9,3.4922270298
5465,0x6e63aa7ef88f7602d05db9b97c85f40adcdd851c,3.4920884605
5466,0x571b824cb05193e509e9287f45a5fec6afbc18eb,3.4913279235
5467,0x28f3f10295253f12280d27200106432984e92b9c,3.4908465125
5468,0xafc79ef78cef3144d1ccedad5ddc155bee925ada,3.4883522706
5469,0x6acf2dc4d1c43d994e18bbae444dd1629b38aa5e,3.4878904214
5470,0x2d303e8efc0bbb1e8fa3dbb3bf7eb2d8b4815b43,3.4878904214
5471,0x27b737daeba85b46a9faf17718e1db578a02147c,3.4875876074
5472,0x23b720f07e14ea1354686aab2d416542f893003f,3.4871685517
5473,0x94f1d33a5bfc0971f2d83e0cf8241ad3da19a0ee,3.4861967036
5474,0xf745941aab2aed58414f2ab5cf51bd7010fa90db,3.4849899978
5475,0x9a81cf2bc6794fe77bfe309d1ebe5dd0020a8a99,3.4844061943
5476,0xc0994a0123adc2fef4141d5e2e91ff926976d65d,3.4841085052
5477,0x4a0631a03403fc3b81da15a69c90402697e33672,3.483198379
5478,0x68a8f76557455a58eebcd0722a2728e9fc30b7e6,3.4827578542
5479,0xe3746143cb5c66cf647e595bb9d3379f18528655,3.4826198657
5480,0xea2c30db8d87bd7c85b0883a2e6d4cfa6e073097,3.4825523082
5481,0x3710b37a9f5f89f744b94c518fc7f00d8e36e8dc,3.4807357238
5482,0x4534138d831c5832677879e829339c38154ca7a7,3.48
5483,0x92b844cddb0a7441dacf648e388324a0a588e6b2,3.4798362062
5484,0x83dc63aab1c5fc65dc805d305d97f3cb9ac19d06,3.4798151662
5485,0xf017bdf114a95b76fadb19e71dfa02800d37400c,3.4797755186
5486,0x8e5ee0248a3453cd7b7c622ab93ac0332df790b8,3.4780913817
5487,0x90525021b63ac15eeba0859ac9629fe184ff2ba9,3.4779250569
5488,0x730d97cac45b0f29962ab17ef5590a96568f4f46,3.4756925677
5489,0xb278f7f92712681684f4103edd8f6d8a8627c8e5,3.475486644
5490,0xabb9ff7356bb5a6e401202c5d2f05d2a56d43477,3.4750884953
5491,0xc398f1cbe9ac5f6c95f66d34447daf29c30bc4ac,3.4748521812
5492,0x9d5c3ef84ee86605b52196c99a1c6d96464e4c90,3.47410958
5493,0xf45d466cac67ddd346b532ae73665cfd764b7d24,3.4739111239
5494,0xd5e3fe9621d39f2a8dfd761e6828e19e43d183c2,3.4738519557
5495,0x599002c1dd1280a352b7a7d62b3c564759fb8f56,3.4723238796
5496,0x4faac6e764fc268974142e818066912ad7475b2a,3.4714623982
5497,0x1a77d8bbd8a55be173e7cf15c13d75534cb0352a,3.4707384255
5498,0x190ba2e7ce6e595496b3c349c74ee744e6b7278d,3.4705672863
5499,0x10628f2aab60e121ec17d3b4c2473577cd487c41,3.4698224014
5500,0x0f3cbab80c8c1b6fa5c7aa7e0d331bfa27af55d3,3.4696963991
