Rank,Account,Balance
901,0x1a2c55abb834ecd2ecc26f962d89393a0665021f,6.0394239697
902,0x405b15c9ec5c1a26d9dece78f8ae03d14f8db5e7,6.0391845551
903,0xdd7156d8955544eec0d948e78c2f0879ca5257e1,6.0322440352
904,0x39d7f27c287b1d30c5f1a396a3a68daf2c37e664,6.0314868899
905,0x1d168dd1e7361973b5500088309a09bb0f30024a,6.023474122
906,0x0d6b4edd577656debb0f292b2b85748e5c42a9af,6.0151913217
907,0x324ab45d32d30869f5a69abda8c6753480f8d1e6,6.0136439584
908,0x572e5039cea3cc9a89c18970e8cf163d82fef067,6.0129129718
909,0xe59c265a2d56174b0b61936ba23fa00d4fef836b,6.0076516553
910,0x24ab77c2dea460a1e709076c595648f796c9ea97,6.0047808201
911,0x11fa699bf212cf4be3a12a5cb5f39e5f9f080055,6.0038802621
912,0xea47b6d6ee5fb00a2f8ad5f9d043072cfe4b0615,6.0029847042
913,0x2282392c74858217944981c6ca9e66d8efb90960,6.0028738174
914,0xb5ee9377af61d258a476e673e79c7c590ca1a1dc,6.0023156275
915,0x878dbab609beba06bc509f0e586cd70f82e1eb5d,6.0019800383
916,0xd7dcf2602b07383be4925905a3c275615fd1a5d5,6.0013142415
917,0xfab0b3923d9fcae2d1ca0bb32bc8e45200cc53a7,6.0009868415
918,0x7eaf0984a1761758b90ae7105d402fb34d75e3ac,6.000884149
919,0x66350a3e89dde4da8afad48f9cb68eada7a14831,6.0003022099
920,0x97c238bd6411fa0f44cfae7f9cc8a82f7820e5b9,6.0002914229
921,0x274fb237c1ec2ad8cb2847d5dea197ef9e40b02c,6.0001855967
922,0x8bbfe717894d39ab8566a4c9fac6f04e2d04ee4c,6.0000836468
923,0x42fded785814a1db8a4814d89b90048a800fecaa,6
924,0x581db9f8e387fe26163ec64dda1eac7a544e25e4,6
925,0xdf2adf272e40fe277321b21aa58ddccc3bc648ee,5.999738352
926,0x051ae4505aa9b39593b460380891d4935234465d,5.9992546935
927,0x0c573ecace2c3a51db39c8037ef422e7e25499bc,5.9991380843
928,0xc9ea13be0494f81bdf8577d8f62adc8cf13bb84a,5.9990564218
929,0x077f155bb5ff6cd380eff8f2c83f04800313c507,5.9990334866
