Rank,Account,Balance
4201,0x069f56e0cf58eee5231e5654e376750a986d5fae,3.7214334668
4202,0x44ba3b096e83d3336970a87e6005228d25c5b1ca,3.7212899457
4203,0x27ac1609e9f37503b3baa26abd4ce5a0fba8704f,3.721076716
4204,0xf25bf19a74641a09d443b84d4f78cc0ae348d243,3.7206200679
4205,0x3813d4618107fa183cc1d19ae877c7d8988777b5,3.7206052725
4206,0xbb7cffcdb331b963b0a75ea38f14916dfdac3159,3.7203090166
4207,0xb415df90f2bcf5dedde737da8cf22e5f3f5e3094,3.7201855493
4208,0x84d33d561e9a32616556ecc32955d40cc661e1f8,3.7201213292
4209,0xc607f93897151edb95ce88009d5d59ad1c16dd8d,3.7200685841
4210,0xf27f002c9fc8851a856171ea5d01f20cbb1856bb,3.7200337098
4211,0xccdd9a1ab8dd880f069903ba0e9431518591705e,3.719998849
4212,0x7a38d3cf1cb6c5a0763f4b1bc2ec5f9bb432b3d4,3.7199159131
4213,0x732cb2e63221d059a0a349c782bded2b0d09ca2e,3.7198623795
4214,0x2e8a05a95d11c0cccff67ece1986c67e15cf17db,3.7198605679
4215,0xfa085b6c5b9546c32b9ace411124b3336afdc042,3.7198001214
4216,0x9c4016bf22c9dee5f1b48189342ba72c5083829f,3.7197846692
4217,0x4471bb5129a237af4b7cf1a92bf5d782736dede1,3.7197268229
4218,0x00951c1d1241f9be0ef5a55a1755fa49c5629ebd,3.7197168337
4219,0x7267f6c7c3f18867d0743e20a12d112db5376395,3.7196606062
4220,0x88131d54f1642c613764aeb3eb536fe23806fc83,3.7196461409
4221,0x308220a1a0ebfef6c649775d5342169e20af4d2a,3.7196272285
4222,0x58c50cdf9d801fd63648690e5decd4fd2b186ad2,3.7196237185
4223,0xb507dafb578a6039702b1e8e5692a7362ad81419,3.7196144045
4224,0xe89eef18cb6199502fcbf380c35534540a849d37,3.7194828802
4225,0xaddd0690495859fd4fffc2803a23360bdb985e1b,3.719453692
4226,0x312a7b49d1d2f46d8425c2e021f7f121128c2d64,3.7193458772
