Rank,Account,Balance
2101,0xc4b7c9634dbf21330347aa0b9e14787e28b6e69b,4.1348088723
2102,0x6152bc88c41b09bf36c3293ced3f29d9d3e61e89,4.1339162413
2103,0xf915b23769a4d1de0cc4dd152013c1aa4c115ec1,4.1336260587
2104,0x5813235dd5ed2404a611038631d7b7f71ee453c3,4.133438812
2105,0x286978471263b72e250e97050a6dd422ea83199b,4.1328557574
2106,0x5209dad745acc373806df19ab8117e4b0f541ece,4.1322593953
2107,0x98dd6df3084d49692a0c75bc24d4cbdbeadd210a,4.1321054986
2108,0x30be930142783f5e710926e305647c28a881be53,4.1320644066
2109,0x2731dbef17e21277863a9a796d688ed760ef0528,4.1320604823
2110,0x445f1f20225d322e420a6f929d250dfc17e64bf4,4.1320578941
2111,0x710fd6fc470e742cfbb0625737bb58d981a9e7f5,4.1317154271
2112,0xae7344681b12cb0bc352f0296b0cb0cfd3c74455,4.1312645337
2113,0xeac41e40f2af2979706f8ca0167bf43d547d9b01,4.1297316216
2114,0x86da6c8c4885238723b95cbdd7d5975a4b56170a,4.1280181724
2115,0xd49cddeb9bfe1a5740f05c4e7464849ddbf0db2d,4.1273210379
2116,0xd81d2d5674ef9a490f4f87ce090291f4b90ca55a,4.1267476492
2117,0x19e648ad60ec419d31c472c4961213d55d2fdd8d,4.1266851223
2118,0xdf108399ff5d81dbdd25601682aa53a5a6892acc,4.1255835271
2119,0xe5d229893e58af29edc670bd63d64c75d30c5b39,4.1255625218
2120,0x312b29715f6719038391b9dd2f37597e016cf3d0,4.1250552706
2121,0xf972bd11500ea3f1934ddbe6fe3374b0a1591b9e,4.124705668
2122,0x966ca15586fa453657a57d2981a837c0e1af77e4,4.1242842384
2123,0xf55fdc19a40ad32edd92f6f0fc7ac85baa7a3793,4.1241651038
2124,0x8c114b06141b51b022e9095736c293d822bbe6a3,4.1230639752
2125,0xb2a94ba7a95d652272e1d30117e908a22e94a3cc,4.1221164769
2126,0x2d000c325497214b2266d7b3e09acab4b9334b1d,4.1213886093
2127,0xefa3c3a46a7b06fc9bf6736344ea9875a8263a59,4.120009369
2128,0xb3dc0d3e0b959a05ac84ea39eb0bca98759fa8cc,4.1191461211
2129,0x8c08ce99aa16e9ea6820f9d4f17b48d0ef0c61eb,4.1171772642
2130,0x3fa678dcc24fe610d8eb11a312c966a32665395e,4.1166795244
2131,0x51e8574eac718c92fd9d634321563d6d6fd5253b,4.116674141
2132,0x21dfaf4f13b75f50269e154694b891b48f6dca04,4.1164975959
2133,0xe16ba5abd04daf3f28780854e4410c0ae6aec23c,4.1164307304
2134,0x8b456d036efab90734442f19dc2d0ed64a8cd8a3,4.1161016953
2135,0x89fbe6875c932258b5541e2c1d3f64e597fb83c4,4.1158809771
2136,0xa453f6c09efa2d5aa9c831e7092b0fce6d3d6fc0,4.1155766687
2137,0x4b75e1ec0f5fa721160426eaf28a31c1a1beba5d,4.1155428374
2138,0xae8c95c3b6536a233ea08816e4cc53f89e428b28,4.1136615818
2139,0xa33eb545e6bf25fdffb436cfa062e5ec17d7a667,4.1132739771
2140,0xe01b06fccba3e6b81befa5c9b1e671eef26ecb26,4.1131896184
2141,0xfdd010ab63a32792961e4edac072cd3c7e56e7c9,4.1125388614
2142,0xdba64c7364124b2406b83198934e5e719c006b5c,4.1108848844
2143,0x140878e9e0acabf570249e352670778c49cccea9,4.1090052668
2144,0x222b7e48ee42e56cb5b07e787959870488258260,4.1074521523
2145,0x1da075f8808bd26adf36be7e5d6c44236bdf6ec5,4.1053536097
2146,0xa80d07ab706488e21f07189c62506d420058b841,4.1050096462
2147,0x008cae3378192b2c7b89e6d642c75f069e04e061,4.1041042619
2148,0xdb14b03745f63a99b8bda09a9fe8be14b7403c84,4.1038969182
2149,0x6a51b19254eb27b23a3fc115e3267413b284d1f1,4.1027989935
2150,0x9abdf021d31ff979a055a93edb951b2802ec3fa4,4.1021475716
2151,0x2c855cb8520fb52ddb930d143c3767e2dadf98ca,4.1009104823
2152,0x84679b68f58bd23af1c13eb47bf58902c92322b2,4.1003904523
2153,0xe066da6e14ae32292e5c7a130707926b397b9077,4.1
2154,0x67eca2b04cd83dc7449c4d1bfb5c10b9802ed452,4.0997086273
2155,0xc39636148222ef966c0c8511524711f9fd5e94c9,4.099503386
