Rank,Account,Balance
2901,0x22f16d9495e3ea47f680a706e56b64b71af19491,3.8749120747
2902,0x2c1383adf851c83dc667d86574702e21ed5a6f1a,3.8749029563
2903,0xfff9e8387f6ea2073d1c38b9571fe4aa55fd3ad8,3.8748593773
2904,0xc9185abaf0a9bc31575953bbd78ededfd7084c4c,3.8747774725
2905,0x5ec8cd4881eba87279f5f243eb89ea9383e677c6,3.8747119912
2906,0xdcd3ab1f725707d26f8c944948efcc42d21b3bdf,3.8747063919
2907,0x32181bae2fd9daf97788f12585d722ee1c823afc,3.8746801671
2908,0x56bf180cbd8020d6c85513eb84e3a201f3a390b9,3.8746165002
2909,0xc20fe716a29185652fba652fc1455a7e5d58476e,3.8746132374
2910,0x12d2c0e3ba7f6b01e841d65bdf070b5a3b424572,3.8745985513
2911,0x276cc5d70a36583b248e3b8b15cdf4185ecb55d4,3.8745910488
2912,0xae354a3233e36bc91149419e068658c01bacb9a8,3.8745677017
2913,0x6c18af39d8b3151e412cf2f57ae30531e64db7b3,3.8745296191
2914,0x750f84ee767ab13c85d60c770717e4b457b62504,3.8745253841
2915,0x3a5b88291d2524e9bd8a36ce71dab8228abda268,3.8744972215
2916,0x51a53b03309e49b12b3c833e9b69983bbb077f34,3.8744388268
2917,0x2ecc8b081fc7a41bb007050c0e93c56f568f82d7,3.8743638384
2918,0xdcc969a7c3b9944f03a452bb759e84fdf6b904f0,3.8742706707
2919,0x0ca6a7cddd4a6b13b5352dc0c706431d9f8ea8af,3.874239744
2920,0x29b48ae87880a12f0e2728392e81c17a43e57ee7,3.8741888351
2921,0xd9aee33795f242a12bb9e687e1533f44ac5bb11c,3.874131343
2922,0x3a4974c33f81bf1bbb7aa6c6bcf1b0a616c86f30,3.8740477391
2923,0xd91a53803dffef52d4f277e55aa97ad35442a6ff,3.8740427163
2924,0xada61ae141d9584cf9ef3deecc39c13d54c582b5,3.8739112892
2925,0x5dfc833b3e853f3e0d8d7b5bb2d2a66dd2b9d061,3.8738853269
2926,0x1eb8878b5410ed936e4aa3f79617b846c1a19f68,3.87374155
2927,0xf6f81ae3cff8e00638fac01644c7737d843c610d,3.8737088306
2928,0xb9e9735a381b9163ce6ffe4c298073db5ffd2c4a,3.8736678842
2929,0xccd754c8d2dacb2225040251b67b2727a7d6b88c,3.8736364364
2930,0x1d35e6791f8172eb00a2028d14ea1f9b9c762188,3.8736276929
2931,0xf555108dd4e5263a3960e829b3b5f954e9535385,3.8735973117
2932,0xa6825b43249e96ed5e11f7669a6ecf26b737b52a,3.8735141597
2933,0x317ea9dd8fcac5a6fd94eb2959fec690931b61b8,3.8733089967
2934,0x413cef7d2f4cce6a6ebc77b51e8ba77362e50f13,3.8732877521
2935,0x4579f516c074dd82f0d2adbac92542cc4ce6459a,3.873255684
2936,0x3497580d86e56c0b81b87abbe91cc082bb356e53,3.8732213406
