Rank,Account,Balance
3601,0x54f84c7d7da852d56ef342b9b2b109c636e9e96a,3.7667950025
3602,0x77035dac2d14bda900a7d9c0f788d6c5033bd452,3.7667238601
3603,0x92dcedc026a8c45e7ff40b6bc5dd7c8a9ef9e741,3.7667238479
3604,0x73ceba3b21a1a63114bd232330cce4f30b7aa93f,3.7665433296
3605,0x02b2edd583a8e4cf2f8cabdd9eeb477bb1e1a2e1,3.7664438041
3606,0x3cf905f0dd91668442f8ebfed909d81ede4fc608,3.7664384593
3607,0xa6c056b6eddbdb74f8518f4008dde984d29d88dc,3.766383477
3608,0xb3dcd449fa3d0d851c00943ceccd440c16438164,3.766227911
3609,0x53404f87c8c7669e5ff76e51fc2030b24ac45bdf,3.7660668323
3610,0x0a42563b7043c0a613115bf1fb3bc55602831a48,3.7660546658
3611,0x23e1f49745b266e8061170f23a0891fa41c4a8f1,3.7660402816
3612,0x7dafa9bdb7717ebb8209eeda0a15bc425e75b7e3,3.7660052354
3613,0xe87090b9bcc7ec05c04358669b48c1b9e488c4f2,3.7659977574
3614,0xc243313d2205ccc9faf7a675b80d4021da52ebe9,3.765985719
3615,0x9a872dad6794b0af9a020118fb0d275515765399,3.7659286819
3616,0x0addb0dcbafa51f6fd93c6a89ce78981987a0c81,3.7659266277
3617,0x9dc37e3295ee0115b9dcdd90de2d0a7cdb0a2bba,3.765855006
3618,0xa6896fc8bf843bf392aad9222957c1a5247e0b74,3.7657390177
3619,0x39158eb2f2853ed41bd56196c2aee9ab5714fde9,3.7657289214
3620,0x1459707f8b00af17c5a640ecd36865f82777d2a2,3.7657028678
3621,0xd5683694538072285d184e383a4c96c58311be29,3.7656937866
3622,0x42bf1c0ec31315ea8913ede7f587f892054fd91f,3.7656483122
3623,0x41d188b89bd302453d3e7c678c300820c52f4973,3.7656381147
3624,0xf74d9c3350c86071e1d973d27497d7837f504fd2,3.7654945492
3625,0x51fcded0835b6f5e37407f228d926b0bc1719f6f,3.7654762892
3626,0x04333672482d23185ac6b9803c1ef0ae0fb3212d,3.7654548115
3627,0x62df47ac5eaf5c03e59884a36f0e01e17401a1b0,3.7653813737
3628,0xca28f5db420d272326c92aa9bc1ee22445ede8fc,3.7652794348
3629,0x0a9cdb184badd800b1e99c08060cafda8ad4ea1f,3.7652087493
3630,0x6a72492b2813b39b9e326395fcbdd99d893b0859,3.7652087459
3631,0xb958e0abf44255c893ea4aba5ea980dc680de2c8,3.7651772574
3632,0x78e92afdf6b229a965e3e3c6aa53919b839edbdb,3.7651719882
3633,0xc934a7733dcf8055b184ad1e29ccd72b32fe141e,3.765055994
3634,0x1e4d1f1c8f8267aac21a11883ade9ffaab1ba50b,3.7650189916
