Rank,Account,Balance
4601,0xca4caa351703ffc5d172ef39d8dc05d0508420d3,3.7071737205
4602,0xe8a57e5f89715e2a5bbeb1e100eb69ec1f0c87f5,3.7071637439
4603,0xb38ee8ef482d60bd19677a4a310abaf6e2c688b9,3.7071395953
4604,0xc4bee9a9e4e83e4910040219e6a3a819ddcb5542,3.7071218511
4605,0x4da7bea682a8f4a720eb4bf0a8e363411ddefd8d,3.7070341352
4606,0x7972e9d9719b36bcf2d27b5b0efe923ca9f74caa,3.7069699238
4607,0xe0d7653e3459935ae131ef41f8d0b0a727c10ee3,3.7069236788
4608,0x6d59e591fbaa0a579c4931f28699d4f54d1e3b38,3.7068555634
4609,0xf610d4160755dc2a0bef46919dd94985907e0874,3.7068386063
4610,0xa4bd85f3fc1a7fdae84728991b99c3bf9c596816,3.7068341857
4611,0xac2ad4f7410325426f0fee21a9183fb5ffdc2673,3.7068337048
4612,0xf2c48fc5208f0bec4a10b2814165c79a4e655ca1,3.7067422696
4613,0x69fdcd9ce1b2a662a6125265bfe1c9d55d4dc6f5,3.7067330413
4614,0xdc36838b9c59e99ef85616fbb5baf5fe780e9fe8,3.7067307568
4615,0xbf01dde213dad6127a4a8f8b6da5f68c1afc6545,3.7067241574
4616,0x7db13c1b3ad48aaa037b9e88d53779e1efbacf6b,3.7067203317
4617,0x5b3a56ac61f1a01629f6b5e572af9aa2812e6e4d,3.7066960292
4618,0xa9308da0eec9aaa00789d4569b2ff4ae7c359508,3.7066493194
4619,0xba7cf2efd0f95c6c657be5036ae0fa402d602721,3.7065915377
4620,0xb8aabaad072dc212b67713bded7f68a7b6dcb7fc,3.7065732096
4621,0xd733e85d3c4679633fa60506bd7e317cb57523bc,3.7065194664
4622,0x7236de19184535d141e835338b09c5506553b554,3.7065040429
4623,0xe72afecbd2a624bcbdbe23f22c94626d13bd78fb,3.7064777409
4624,0x4c318841029648d8b9c0bc072ec66884d253dee5,3.7064588769
4625,0x1d3f0df4244f5a2431c11de9d1f6889cf6d84336,3.7064473552
4626,0x0229bce7be74a25f897e9d9e15035ff2431b0539,3.706423005
4627,0x162fbff5729638e8c702b6ec97b6a93dac4c2a90,3.7063286827
4628,0x3d3e2f21060655c71dc18ff22d93237a33d72dd4,3.7062206984
4629,0x52ff17f35d43591b3f0edf38f0945720ead1cbbf,3.7061936554
4630,0x5e50b08f10cb1e499c0bb590d94ab29a13d67987,3.7060625337
4631,0x7a839d69543976d0e0ec48cdffbcb061d282a5ac,3.7060302927
4632,0x2793d049972efd1499e98997ca8815be7b821cbe,3.7059390691
4633,0xbd5bac345d78e39ce396034793fc8b33fd82ced2,3.7059165906
4634,0x8804f08f557aeb137c50e4b23b2a23ddc0e9f10a,3.7058919903
4635,0xb25a064c01fc47c6f8d71fc9d518c25891d8ae56,3.705822872
4636,0xdf8f8e6d06fc2eab3687766fedec827c0f40964e,3.7057905465
4637,0x7b84216eacc462a825e0a5f54e495c07d9451c59,3.7057266253
4638,0xadf56ed28c73aa814545938dbb46789611e343a0,3.705651893
4639,0xa9658eefca5d2988eddbb4b62fde175b69e82da3,3.7054673332
4640,0x657d3d66692b94f214b78d784fb887111a9f0da0,3.7054522102
4641,0x3389f80f0a20298d4146f136d3c41a325ee96664,3.7054225175
4642,0xee6294077aeec4ddf99fcdf64df468a8f3412cca,3.7054141347
4643,0xa09c43addf2bfb7dfde74b723861ab49fe137445,3.705379855
4644,0x859a69cc66587e7454d66b744d8147c2a958d83a,3.7053622214
4645,0x36debd4f920cd6522457237520754bdb95e7834c,3.705359688
4646,0xbc9e9eefe03559c55b575784c7233e42711498e6,3.7053552184
4647,0xa5da35dba7ed9697fb45fc836261f8e30d7ebee9,3.7050994572
4648,0x3975530781db64a9f77fefaf5f459f6d59e986f6,3.7050950363
4649,0xac60dd8430e0043e98897922fa04cfea728a4344,3.7050802218
4650,0x11e2ef90b529cb3166a117b02230e0c7640b2a66,3.7050317212
4651,0x8cd1c19761983b45d3cf4fa43b4252dd33b9eeed,3.704982162
4652,0xa511de12f8d946a44d82fd842e1b737ac0fae149,3.7049516756
4653,0x017f5e11f9968e064f481856e7ae0bd6a57a245d,3.7048656374
4654,0xf1a768cfc4951695450be1170ae3eaadcf1c8208,3.7048212326
4655,0x53eb7fdc8b341fb8c45c6f6a9e1fd286c8443be1,3.7046502398
4656,0x0d2397fc82c52b43d6129e7fdcce9871a87aa560,3.7046438638
4657,0xf9ba88c97246f0808acd5bf1da38ca7781144bf4,3.7045835878
4658,0xdbfba8fb018486e8bb7962f78f3c0c551bdef09b,3.7042964517
4659,0x2bc1dd18bb918b4ebc19bcfd36418b3131275b42,3.7042883425
4660,0x241e45a671e1c9bef8f684c021766d82a9559447,3.7042709126
4661,0x84d518f0f5a7ab660735c06237e22a68dac2b3a5,3.7041395114
4662,0x1cf02b9087bfa22f2e44a7e0d308e9de4c8aed28,3.7040870205
4663,0x3050fadf8d93d0145a34f2b81bb9cd147f22255b,3.7040514818
4664,0x9bda1b70271bf2b0a89d2d42b8157ddddbec82a8,3.7038661904
4665,0x975cdd5aafb9bdc90fa84873c3196be312868490,3.7037651522
4666,0x565ad9d90e0982c810e45767827924e857663183,3.7036415509
4667,0xef452afb3b57fbd2890636d6f9daf670e3e31f6a,3.7036031036
4668,0x0ff6a9aa5ccb5df7aae9155b861fd6e16d081ff5,3.70329573
4669,0x53c5838af90c5325f65cc031269fa708039b76ea,3.7032753514
4670,0xefb152332270356c350f1965d1d0a87a7a0bc7df,3.703217013
4671,0x0425af61621e3125f4f47df35cb1c497f76ed05a,3.7029696597
4672,0x8bacb99981ba262643053bdfd9a0b07acc133359,3.7028530993
4673,0xf2ca1b6a5325704cecd1fe89327742ea6d950603,3.7028315485
4674,0x27d95bc4e8769168436efed5122ece165fec0bd1,3.7027783096
4675,0x29b9c15a8952fb709fe7b360cf81f0acc2263113,3.702760421
4676,0x1fed190cfd8f0931b77878554354405b26622678,3.7026665042
4677,0xdcdbb5a6fad81729aa9fd7276d5482f44bf6d19b,3.702529001
4678,0xacd72f9ca923b598f4aaac965b686f97ef1b165d,3.7025251181
4679,0x50e6f0c27bc8cf8b7548e3dccf1dbd1fbaf6ba5e,3.7025040234
4680,0x0784672766d2a3a35003cebf7589b39310073ad3,3.7024817808
4681,0x54986856eb5a0c13e0cabcbdb8ca67e691ddea85,3.7024529056
4682,0x2352ea8c3328244887251f106680c068a63bd0d9,3.702435507
4683,0x9647970c5db014c837fac998ba1bd5151db0ec67,3.7024329053
4684,0xcd24bf2007470417752f9844b4bebcd4f5d8d6ea,3.7023115864
4685,0x8e7c19c3e22506c30630dba69ef47f9c9b8b4e4c,3.7022983891
4686,0xadf40b9abe359b262a3fc216532417b13bf5a386,3.7022653158
4687,0x272bd6611df2d3eda89cf3cd0eeb48c4e0b10714,3.7022035997
4688,0x0f2f9771db55d14e00713a6f967ea2baa8b85ad8,3.7020889406
4689,0x6f4440719569d61571f50c7e2b33b17e191b0654,3.7020162144
4690,0x6097dc82933c7a686c4264e24478e2e85349696a,3.7020130343
4691,0x173cb9d366131fb66a6751c1832d490e1e2bbe47,3.7019735019
4692,0x9da158cad2146e23ddfd2dced490590b0127cd47,3.7018047488
4693,0x2a698e23bffffd4d6b22e8ccd1d59e7469f01830,3.7017584316
4694,0xa6533a003398168ad57cfe4a440cbecf420ba680,3.7016656747
