Rank,Account,Balance
6801,0x46e3420d02d628d3781fa16149e741bcb97da055,0.0012789777
6802,0x7d62efb965b9ac192ad73ee439bb68b16428757d,0.0012367906
6803,0xfbd6803a7a0fe2b8c2a4e3790095b394fdf95b5a,0.0011460141
6804,0x06e4e4334faeac6f27857a8c988ac62224162819,0.0010608758
6805,0xe79117b1f25796d4638e658555b919aff6898128,0.0010188968
6806,0xf24ff3a9cf04c71dbc94d0b566f7a27b94566cac,0.001
6807,0x4163a4a5cee840b5f163469f44e146eb3dc1d24c,0.0009969819
6808,0xda4b19675680ba7c7b9fbe8938e545dfb566bb66,0.0009927661
6809,0xf1c8f203c5ab6a49ca90af45b53c3dcdef4843f4,0.0009892875
6810,0x7541cefecc988059f458df97b68b2e98bbb6480c,0.0009878784
6811,0xb8ac6ef01a6191c8689ad756b4a41dcad7021390,0.0009819992
6812,0x5f84b02e2e6b3d03c8cd8fad3cab0fabd221e550,0.0008943019
6813,0xaa9e7518f11ea1b5ff997c8d9cbc09174746cb32,0.0008163005
6814,0xd36a65ed3bb4b8cbf05b07c3482e6a13ffe8236a,0.0007094314
6815,0xe663963a1a18804315d0a1e135f00f0ca783e28b,0.0007000003
6816,0xd6358467b299f6303627302f7a98eb8573a8017b,0.0005193346
6817,0x8b794214a34edc7ad39964995a2c0368fa762143,0.0005
6818,0x88844185fa124f6f620578afc57037ebedaab840,0.0003811092
6819,0x39a6afc920eab4722cf217ba84644ebd6adecf15,0.0003517834
6820,0x968ba7f31fc3022981373f7c58395aeb9a957d51,0.0003356569
6821,0xadfe74a7afc47ce529e7da40ffcbc7d22412fb80,0.0003216905
6822,0xdabc70ab42bf6f920cca42ce98974fa1b64dd350,0.0002696956
6823,0xb27a4c705a835dd186af31313deeeec2a8dd9d57,0.0002405416
6824,0xd2ceb52118a7b3c09d2f476209644c38b9a8eafc,0.0002227665
6825,0x422d605f40521414aeaa24baa8c8a5feee997c8f,0.000214645
6826,0x02570079b1c0e0713ee8c1f546abf75d74ea5cb7,0.0002053079
6827,0x7d314f738ab0a0fb9cc25e9c40d3ce82652ba7fc,0.0001743318
6828,0x0de7f0d580871dd55cb2ac46a660b71802ca5f43,0.0001695254
6829,0xfc11ca1cc2b2e015b33a8c90f5efdb92043d4042,0.0001549543
6830,0x771d8910c37cbabcc39ad3ad053d48367e15d8ec,0.0001400467
6831,0xdb0132c875ea7a00c4a6283da592ae6500205396,0.0001090991
6832,0x83fbf2718cf447d2d1ce6bd2ba3f18f7ad1a2a79,0.000107497
6833,0xaa86522fd61537c0fbd125f5a4e16cba3e24729f,0.0001071184
6834,0x50bf9475a37858b02af58c3a1bfb6b9910565515,0.0000974949
6835,0x519db92f9db437a75a6cc1733e451ae0bd39b0ac,0.0000971816
6836,0xa2c6b5fb2f02394675c249a9153da4e261734b0c,0.0000953998
6837,0xfea8a8a93ce22d5069b546183a32b88adf032020,0.0000933145
6838,0x8e338376f62edc6ee3895a6a651f5f94cbed367b,0.0000908963
6839,0x5fd2899044548a03cdc368c9a0fbef69a5e9f805,0.0000895155
6840,0x8f58846f4866116074612853fc003ec4b0a7cf40,0.0000709525
6841,0x4913339e315192d7a8de5cb3f6c8f607bbdd2bee,0.0000636007
6842,0x90ac70216786cb290d0987dcd2338b93655c76ee,0.0000631652
6843,0x3c5ed2b91c4ac689de474968d4468f1851942f17,0.0000510718
6844,0x9b0c756e058819c6fec3c8305ee5a9a4dde99122,0.0000497382
6845,0x4b3b579077cb31f1b70da794d381e7bd8c045d3e,0.0000454647
6846,0x95bcb870bdbaa041b948aad1e7cdcc25443de21b,0.0000405522
6847,0xea91b5e687a490380c52d264d5d36558d79f4188,0.0000395949
6848,0xf0637af0cc4ba2c4980d169c945df24d6dfd101c,0.0000291497
6849,0x2422e4dbe4abb60312a97b4d61c89b8d3c8dc0d4,0.0000245185
6850,0xb3d8edaf090070d2691ebbf38c408f33b7c83a26,0.000024277
6851,0x793878659101915d3355e460529e88781b2bc065,0.000024092
6852,0xedf3af29040e069a4cbd6e13fbead2500733f2b1,0.0000195826
6853,0xccd8d7a09491ca294d3f1b8ae099351786b9b8a2,0.0000189818
6854,0x8292e2be365f2e2d6b0786426dc271489a5c8672,0.0000180087
6855,0x924e16deb0eb1164270f0842e57734452b0e03b1,0.000017524
6856,0xfed391d8cae3e0f623423cc4d4b472f2caba3853,0.0000164595
6857,0x539fb7e4af09e36bf9ac5d214fabe1f4c6c5a1ea,0.0000124718
6858,0x816f059b78e58fb2047d55a2d9dca75119b1a8df,0.0000111514
6859,0xce62516a34d77e7a42dd665c87e7991ce211d091,0.000008951
6860,0xd45b37e7a2b9f8e076cd474c10e805dec4ab46ce,0.0000087165
