Rank,Account,Balance
6201,0x4e884c854ab809f68fe1c3552bb8add2801836eb,1.4678055044
6202,0x151e31efe1d0369c567cbc717d2d413ff8387672,1.4570287841
6203,0x9517967f94c4380f71355e5ebb1e24b4f5412f2f,1.4335902444
6204,0x5c703f5131bb3268e0dc32913a3c0994eda215fe,1.4275187359
6205,0x8df297492b1e339366dbcfb42f5133bec816580d,1.4189270822
6206,0x5618fe4391cd3d804496d376613bf64d82cf48fc,1.3947268967
6207,0x85eaa5b75039aa3d04b568acf99aec0c23c69a27,1.3706396684
6208,0x7a52eddb062cef6b8c1171b0e9f2b1e5c3af79d5,1.3597983075
6209,0xa15bff1cf0230f11a1707dffd057c032ba3edfc2,1.3397141017
6210,0xc329c90da8cb31f509304d283022e041f011dda5,1.3357961967
6211,0xa68a97fcafc0d5cb96cedbb048dff2b1e76cca4f,1.3350813295
6212,0x16b6112cf3f71e148a3a3babf282f36caaf0f433,1.3350813295
6213,0xc6ad5cae673a5db779fbfecc26e4a25dede5e6eb,1.3291514519
6214,0xc08a3e9d52dec01255ea7c1edb2e1f50d42cc74f,1.3266690183
6215,0x3e838035717b6cdd3fc160140620d6e93ea5ba28,1.3242058854
6216,0x8774c176405aa3022afa079a568ce484fb8c1a84,1.3147743086
6217,0xfbdbf39053a4a88b00f66e2bd97a0a31809edb03,1.3098624022
6218,0x6a3a3491670f5e227fb8fd1b584d07fbdfb354d8,1.2960423652
6219,0x23bd197c06867ff367e07e74eed31f726e9386b5,1.2934016512
6220,0x36c69b320611b07be91d154c147696b6063ae71f,1.2913484802
6221,0x89a64ab97b6cb5766f9ee60bde22ebb357e5c58e,1.2892314666
6222,0x5f05d9b8aef4d5066abc4bddb2f9937df568aeb5,1.2858854614
6223,0x75578f4b09cfb56f090a4e05bcad365cc231d3ed,1.2841062532
6224,0x8f7442f90ce16fc3fae4f201bf0a6240fb1f60a4,1.281681486
6225,0x83f96a442cd9198453efd2b22681e77b7f2da648,1.2770328021
6226,0x1374ab66f72f4a325d0f628a7559338303e49f44,1.2751838952
6227,0x3b64a889f1f85ff7a1eb77adce2a00441a3295a9,1.264903351
