Rank,Account,Balance
1901,0xae20011df1188b008fd57eb04bfd2655ba4bc6ff,4.2576972003
1902,0x9e984530dd745f312aa269a67a52d79bbab278ca,4.2576507647
1903,0x45f3e05a252f542465dcf54702a0566bae3eaa7b,4.2538868126
1904,0x79d03409c179b127b1dc578647aad8f87b75c2cd,4.25317005
1905,0x79ed332d99a879301dbe92ebeba4f5aab026c694,4.2527069012
1906,0xee23f622edd304e178c7f5f648de6d762b03c1e4,4.2485353804
1907,0x215737d5d2d4f9fe4d018fc1b263612b26f424bd,4.2457787969
1908,0xa94c612141694b2157598c8451aa5e5c1da038eb,4.2450812128
1909,0x1fccf4efc605881197fc5b8e48b9689d62b64920,4.2442829738
1910,0xf6c2a28c7dd00b377fb6e3117786e47208ba5c5b,4.242912912
1911,0x04ac5e78a125364f864ceb7e581d2ce1b53fe226,4.2414680095
1912,0xc852254e090b27df6e5681ac2a0e03a22a3f9b6d,4.241229554
1913,0xc36cb3f08977416da43c2cc1f07605aea4dd8352,4.2390109767
1914,0x7dea4be501fad673d358d753b789665b40b1c887,4.2389448524
1915,0xeb62294635b85983a7aa5b62485b1a7db597b8b4,4.2388787296
1916,0xf42a9e876483624610273fbf88688fec05f9d294,4.2371802455
1917,0xd4023a6d7781900d758b7e2b34aac7412f945221,4.2351648
1918,0xa138d885fb9e4e7c532b1ae9532cb032f855e4ab,4.2344660343
1919,0x2b9fe87a84ad332aa6f444a8863a2aae35e060e8,4.2339052903
1920,0xe88dc0d970cba58749da785593db73cff6a4960e,4.2333666078
1921,0x59dcadb3f9d8d0a5262704fdb9215797a1ec03ce,4.233090177
1922,0x928ce2e0e8f4305013d51ab28896a7ab1e025055,4.2322998798
1923,0x1e41b7d3068773ecbedfe5a866f5bfd47c1d8dfb,4.232298521
1924,0xff3b2e61ae0a199c108aa84235edb8652c578772,4.2321016604
1925,0x3c243bccbc8a786966db82f3b2ef4a11935dec92,4.2307956546
1926,0x759276f0e5629f1af16d47eb02fdb0c958d89348,4.2300381842
1927,0x6d3e6b591144325ea2de90e0a37c8dd94a07ef69,4.2289201099
1928,0x58ba2ac5e5091f383ba7b3b786aad04b8cc0eaf5,4.2283460823
1929,0x8761b915fee55f5f8e7baa471723870357489437,4.2281711453
1930,0x5320f076976e9d8ba451f62ea4091944c4ad8706,4.2276802428
1931,0x61d42a5a85c7194c14082666ac4f88c443977d55,4.2276274093
1932,0x4d6ac513c61ab64e7f1a2b41db3b733a5e85a3ef,4.2243830096
1933,0xb270d5b781ef12d9e31d8fc8e7a7e4a079c92728,4.2227108778
1934,0xa060538cb7f29e69e69305050bab6775338127f7,4.2210934566
1935,0x2e20b3b3ab89cb22547ebceeca11e0046c1aea21,4.219297818
1936,0xf9bab4545a3b27c4d94ee0c6a4b6a6e5acbd733d,4.218939221
1937,0x8cacde53d63fda23a8f802653eeef931c8528cac,4.2187892791
1938,0xcb2fdbfa4ff4a90a49b1e24fa779f087f93fb0d2,4.2157678574
1939,0x898d30be767a959844ac698622a86eb0e99c3bc5,4.2083078043
1940,0x15e22eda5289069d8eaacbc66012ec1cdc5b69e3,4.2082615706
1941,0x39eee82f8fb5ec7f119d71c8c0c59ac7d6a07aaf,4.2079988628
1942,0x84067e6f7137620574924c058035fa044316cb04,4.2079358924
1943,0x3ac704ddfb2577c50104c9c142ca7eed526e3982,4.2076485319
1944,0x5748c2faa1e68bcee093bade725c2a6cd931b5b4,4.2067759205
1945,0x948c412b264dfa5285c5c2c281715144ed7c118d,4.2055180548
1946,0xc54f98cf95094a3211b44ce5c399c75ad485cf6d,4.2043026149
1947,0xd6e656adef8e55f4d0a64adbb0d9d1401b9b8f1d,4.2041333278
1948,0x1211fd213ca598e11cde6b066f6ad1d1c36b6a8a,4.2036069679
1949,0x22e195dc12b09253cc55539d6ce83bcd76ad4074,4.2034395729
1950,0xcfe3dd7b07c517c8ece09094f2df6da480f44cf1,4.2028625327
1951,0x807a36f18093e5f52b3a5e8e1da4e4237b44aec5,4.2021648558
1952,0x680b75813f04eca233ed684ad25dba9b14378165,4.201887664
1953,0x1d8a5786e08f4cee4f4b34d8baa9e07d94e868a1,4.2017020258
1954,0x123cc997cec4a5aafd45276dd7eb6ffacbf2ff01,4.2008551279
1955,0x8037073faefd014436ee0d8a4e14c5c72c69454f,4.2004999227
1956,0xc39875d25a6423ce085644ca715b04e66e2c1e43,4.2003317642
1957,0xfebfa8426e1ccd27b32d53139f508aa752a3f650,4.2002746672
1958,0x8945e8cdc78835690b846e1f8e28394efc114778,4.2002407467
1959,0x3fc61c2148a4186a6ca550c863cc451deb0d8c44,4.2002175713
1960,0xb2fe5c3c7231b1117da36e7b29731693fbbc6f7a,4.1998957935
1961,0x3e09134f80a6334c3b324d83a08bc70c483d0515,4.1994023971
1962,0xf46361bd306a139c664fea289fefe39c9b1baeb2,4.1992129403
1963,0x484df20b6b65e8725b80be356b52a001fa334005,4.1985444281
1964,0x817981e8118fcab7b167816bd5ea268413005c94,4.1975831756
1965,0xa071ec82ba5e539cb38f0d683d78df878830cd4f,4.1973946519
1966,0xbfa84f145b661ede635097d6d67b31db845fdabc,4.1966270978
1967,0xef57a20ff51f6a5eaeda530091c7c11244609071,4.196032995
1968,0x8bd7f9b0122d7365da71cfea27dc4dc966f0860d,4.1953808361
1969,0x0bdee9320eb77cf50da090e0d5bdd5fcb99c9e41,4.1942577247
1970,0x09e0ce5666643af5c91d9abe7d1c1eaf4c06a933,4.1938612709
1971,0x33668ec2507f1b24cf25cee270d910787e23e6f0,4.192902624
1972,0x2979c38bd16e2bc9b31fad3eac870faa074dc966,4.1918824325
1973,0xfbec6d62a1367fffd2fd9a3c9c34a3fa4aed0d9b,4.1915028671
1974,0x7dd8650ad334a1c5b46a550e47eba463fb8a5dbc,4.1910093993
1975,0xed6e6d566fd81a25f47d4afdff767da961713f3b,4.1907225843
1976,0xf1aeff90dd17f710b3474a0364b773b27bc53c37,4.1904148499
1977,0xb89562a8bdf7fe1a7769130bb3597122f985d217,4.1898398792
1978,0x756494c251605d0a536a3f571fe3c838009f95d9,4.1896941778
1979,0x018624f0193b539d517e2a29ea106ec4edf9dc0c,4.1893869699
1980,0x4ffd8b54b4da9ead6675985ef9ce78a470ce7033,4.1893349684
1981,0x2b3ccc41232ec687ba5d3feb29fcc176e47e6bfb,4.1890129606
1982,0x8c9b861b6fc16a2966d54c1e0667438f9fc0d593,4.1890098684
1983,0x4c603bb0785b43336b9ab9b4a00d0f0b8dd301bd,4.1879281984
1984,0x2027e9b03d175e5919ab775e60385f65375fdb8a,4.1877759968
1985,0xbf4ec2be7b986d6a985df72b24c4b7d460747b59,4.1871060168
1986,0x506e211e2597e7697309a532cb6227a0b559032b,4.1870187179
1987,0xaa6ad036d24a085ee7f92e7590493bfcbbf26165,4.1868422977
1988,0x65ec3714f95f97be2f3aa4a56126fa8d6bedf615,4.1863642337
1989,0x99b4bc4d160e017651bd8ddd907f0fc8abfc3832,4.1862981107
1990,0x9213b79bbc87b2786c1e1ef48435fbf5ef24dc2d,4.186219046
1991,0x047972204d78453ce838825fe096d64f29bd57d2,4.1860252816
1992,0x8ab5fe1dc7b430aded1c8387479cfbe1f5a32aa0,4.1857516155
1993,0xd48f1a44e56526e96a983ff750559aa365810d5a,4.1857310851
1994,0xfc738105c1717a6a3464333ef4c28ef36e573a31,4.1856475073
1995,0x622a3990d29f6e6dcba557982c628f2e928db9ca,4.1852411642
1996,0xd86aa15a3c93fd18de22d58d93de5aeb851b9d27,4.1852126962
1997,0xecf1274b27e6072eb66f59992438fe25e9597447,4.1851893362
1998,0x3662e39832960d899453542d99ec41788e270764,4.1850574018
1999,0xb2469a0261e917e6668e6d36168f6e0de89e5e6a,4.1849913984
2000,0x48f34bc0aa610b1b62e2d4862ef8def9aa1bb13f,4.1847172627
