Rank,Account,Balance
5901,0xdec4079d93363fcb5e2be7f8da9a9b817c75fa00,3.204091918
5902,0x9a3710214fc2053cb620d078a04116fd3623fbd6,3.2015665422
5903,0xc70e59c627201e47a6a8495b8fe7ddc889524625,3.2005668908
5904,0xd9d375f528084c8ced1a5ea7926e592f35321a7b,3.2
5905,0x1e300b80081901e4949a31f993b2bf75fcc63320,3.1991325901
5906,0x2a897ce8cd3af90bdfc52fc6da100c2541946a0e,3.1971300312
5907,0xb1ac2ac7c2dafd84885941d1ebad15a5355a661f,3.1913102051
5908,0x5890ed72f58b9f37dece254e66e1e30ca9ecb66d,3.1829518663
5909,0x5da5f50963bd03de32b693a7682507f24df366a8,3.1829518663
5910,0xda0887221625ad0ab8c7d6cae5b5ba59ee0a26ee,3.179092216
5911,0x8e5d8e9508f113966f78ca92300d42c65ad079df,3.177728019
5912,0x3080feedb94968cff5d729fb55b45c247ea0c2d3,3.1772936076
5913,0xa27633cdc0fdeef23746725b851f7b984643699f,3.177232173
5914,0xb6187f474744b24fcfad0e4c2906d6567559b220,3.1763901075
5915,0xe119f9a061e804c622228c5f29a5b80034689bc6,3.1738285866
5916,0x986b4112b8cbc1766406e5e463c39e805b2af93f,3.1731120577
5917,0x87e6a325fd02fb09c1aac40175c16744ad3edd28,3.172122736
5918,0x7cb562aa9a58ff291aa27d78f6e08d70d8cc5783,3.1708018154
5919,0x40b53ff0384848ee72cda84d1154a1ac72c3f858,3.1702051384
5920,0x0070f51f45a0ba576696bfac83f879dfd8278d72,3.1630664867
5921,0xfda5620fc4cdf0f1f1cb69bd6b86ad4ace72d169,3.1628256654
5922,0x13209c262823ddb958a7ddaee3f722a102324b83,3.1610838457
5923,0x7a3258a640bc6ee63202ad8fc66c0ebadaffd1c0,3.1555726444
5924,0x25afd424e90418b9aead979147965b2426b818ef,3.1532716123
5925,0x51eb30547af8d2a833a3c63d41bf61ce1f1694a5,3.1527515674
5926,0x99234ae14ae1bf4bae4462f807d806be564a1a39,3.1427892415
5927,0x2907dd9c1043361ea8fa52620702edd5795c826f,3.1391890983
5928,0x326eab74db65026b4104e0439ae68b10cb06aa73,3.1382758267
5929,0xb99fce864a9f834f40e60145e9dc54aec803c22e,3.1357587417
5930,0x5bbe1ecafd5d22cdd2e2ad6527eba323a5b9cec9,3.1343014886
5931,0xb8d3add8850f95f36e65d83dfd497bcc2e3537f7,3.1237298016
5932,0xd706d30c89458ddebacd41c5864591e7c76fa0f9,3.1117058463
5933,0x963717c3a2c2d81345eb2a3488aa810d0841c3ef,3.1094679196
5934,0x14b6862ed1b997c6d9a119257205921958b22e3d,3.0981346941
5935,0xa5e5ca2036b0b136c1bc0f5bda622a4432d3c991,3.0981027382
5936,0x671c2125ea482cdc3aa762f84e2ef6273bdaba1b,3.0980373876
5937,0x7ec09cfeb1992f747292d38ad0f78c3984f979d6,3.0904787223
5938,0xe6404e1c2c2113aa5b4a816ea6685b7bf875cee7,3.0863358436
5939,0x6bb97e232fc12e0a8ddb66ff5502c59d5a76d357,3.0862334768
5940,0x2f20d26a5a398544f33181ec11f359b37ba4a5d2,3.0862013276
5941,0xa83c1d5fc4b84f2b5700a8b9e268cea2e07ce91f,3.0861691789
5942,0xe7b8ae9a1b328faa78d038d0d5c9cd86b976ff25,3.0798949526
5943,0x10a5a51dbd2411081a4e3ab047fb3f6ec056d8d4,3.0742444379
5944,0x5eadddd59ae604df308826c767ed3821149cde18,3.0733036836
5945,0xb18b835515192ad822f420a5916ce00e5f170796,3.0695572618
5946,0x85d5d1bd2ea078a2df882f0eb6b1a31721b3b1d0,3.0561196487
5947,0xaef5ef9ede94ff989f06167faea00bf4d18ace40,3.0499741794
5948,0x98df2ff33d22d6f55c75d4e5558b926b0b3be9a8,3.0340621675
5949,0x8c166ac8e37a7f269c9723b081e3111b81278204,3.0283330432
5950,0xd67892639348df909f2e2e6c5fc1bf68ce45f17f,3.0249696256
5951,0x665bd7e5cef57cf535268adf3df53f20115a9daa,3.0240941674
5952,0x1b656bdbca8ff3d3e8277d775ef8d3b9db136bcb,3.0096288749
5953,0x5b9d0a9de7570e5330a47bcb2e1cf670730959dc,3.0048687796
5954,0xe519a0f6fe8a8a505eba19c0a2932aeb781676f4,3
5955,0xed4f7e0b21c00cfc4ee2d07f2a6f42811e9c01de,3
5956,0x2d9cc712b74a2e42ce41effddd0d2d4601481242,3
5957,0x4b36bf6f87d212423362eff7619471a5ab28d6a3,3
5958,0xd7b1107ee6241c4de5aadaa8c9df87e932be1e60,2.9973544974
5959,0x5795ceeabc23154abfaaa6044fc82cc910872a31,2.9944473814
5960,0x7ac0f45cb74d916aee96b2b1c5cd642f5b58a665,2.9602233418
5961,0x0bc02e56b6f2947720100281f9f871136198b8d3,2.9598967329
5962,0x0c5c3170b539f0379dc4c9f541b193cb1f103712,2.959073284
5963,0xbccbde031dc614a07e847109e64a3860fe8e812e,2.9565100302
5964,0xf08b97d54549c2c1387ceed913a03f7e7ed0e936,2.9542935972
5965,0x5af73510983ed93c583de108678b569add6ff807,2.9401033971
5966,0xbf1261fc6a63281c2e158034120a84cd60c5588e,2.927273551
5967,0x010a6956c55370fc28f7604749aad2851316c99c,2.9164010719
5968,0x54b35d803f5585d9a3a84184a5fe0ed470d16721,2.9071245787
5969,0x402c296e569b90df069e883b4b35fde7394c13ac,2.9043574235
5970,0x0a882400b9bbaceb6a8559a71e009f341db43c93,2.9032566086
5971,0x6103f2e00377ebc6416c891246daf4bc1b626fa7,2.891364439
5972,0xe8fe5a188183de249098b78980281dd156898f2c,2.8870223872
5973,0x9117900a3794ad6d167dd97853f82a1aa07f9bbc,2.8849373526
5974,0x3445b3d4f888b14e31a17485154f75a7d519895a,2.8752648373
5975,0x61a964a5a0308b2ec87d3e1ab2b1e14ea00f6974,2.863299671
5976,0x948e7a40be8a132ffe68413dbbe8f2d5018ad91b,2.8585287819
5977,0xe6af127259bf7f1b0539fc0a955494f48e31240b,2.8556783845
5978,0x0aae1332e2a590bdc66f5b726feb1d74e39dea5a,2.8439359472
5979,0xa0897a0e97e4cb5e2533df11236166a78a6bf2cb,2.835583037
5980,0x446de31ba31f3fce6d6c3970238a10d02bbf6cf2,2.8292783929
5981,0xc181dc6f6efd45216ac9d7c806e267d6e7910ec1,2.8032555647
5982,0xc7a79767f60f1d01bddbcc3bbe1b3c64b9b4eb06,2.8021361008
5983,0x28046b3cdb72ce8eac1e8953d17727f87dd6ff2f,2.7981943632
