Rank,Account,Balance
6901,0x725cfb416801c5cb73d3b00a47810600158bd05a,0.0000001917
6902,0x5e6ca74763734c71ba49df88a30a85b5dac69a17,0.0000001653
6903,0xfca11b85ac641f1ba215259566d579a45519e506,0.0000001559
6904,0x583924a6dfa73f20d7cee1f067f56afeccdda38c,0.0000001497
6905,0x0e5029fe3c4b12876c2da1a34559cededc232b8f,0.0000001313
6906,0x92d4ee32bc0f81dbb9923073395a2be7febbc3e5,0.0000001241
6907,0x3a7ec056179573632689dee4c2355df0c0a44e50,0.0000001001
6908,0x4ae2fd7128533fe9b8a358e986f8d7e53fe13c14,0.0000000997
6909,0xc39e2dde19e872040c8e6a9a2c46c3dbe38fed00,0.0000000905
6910,0x7d3be110329f177b4255305e450afecbf682b2a3,0.0000000898
6911,0x28b4c718cfee6aeefb3b9442eeebc78086e4eba9,0.0000000845
6912,0x71f832aab8fbf68d6ca99d869df36ac34fd7eed8,0.000000084
6913,0x8d7b29f782681ee57ef2411ca1983983ad8ff00e,0.0000000555
6914,0x058e99e564c3a600bdea7f082aba09a877023e0e,0.0000000413
6915,0x9c241b1aa45833885fe21750c361829ea5ee0b92,0.00000004
6916,0x4e3a0c880907dcd608d2a8bab639e519cadd4929,0.0000000259
6917,0xbd209b6a11bba7cacd22d285f01f68a50c28c255,0.0000000251
6918,0xd1cea70ecbaffed6dc08ff33e796ca84c1084206,0.0000000226
6919,0xc1846da17f847b98c7eb0d7a5d76f77705d069a1,0.0000000209
6920,0x092cda2230d41979999fdd210af1b73a7da46ce4,0.0000000159
6921,0xbec6be928dd7d1435300007d0bf45f468518c933,0.0000000147
6922,0xb5238999c3a721939c17f8491691dfe8f8fbc5bd,0.0000000125
6923,0xc030d72bd73ac27dd34afa0aaba6e982ada76f0f,0.0000000125
6924,0xfe5585bc8aca190198bd61465be844291690cad1,0.0000000082
6925,0x86085f36f88a45e79766e70c0e2df29ad8951b71,0.0000000077
6926,0xcc494989d8b3415dbdf86fa36b48d4732afb4b8e,0.0000000072
6927,0xcd0d967449430caaabda422af22f64254c3f1168,0.0000000065
6928,0x3d95d4656a468eedec0b3d7cd41a0e78b4b3cc68,0.000000006
6929,0xc7a96c283caba81e26860f150932e00481534fc4,0.0000000055
6930,0x91b28e51ac195beb239769510e9399efee1d518c,0.0000000038
6931,0x07f834130b298b8a21c0c0961cc50e37fc3d60b7,0.0000000038
6932,0x1b869dd4f60b670e55ef1e5f120e6600a84a06f3,0.0000000036
6933,0x30eee81654958daa12345b5b1670dfa384f9dbc1,0.0000000033
6934,0xa97365deb322ffe6e415a011485e54197883e6e7,0.0000000021
6935,0xa5adc5484f9997fbf7d405b9aa62a7d88883c345,0.0000000019
6936,0x00bc6f64ec8c99b4aae5a9361239816ea2764ce5,0.0000000018
6937,0x5f9febf1f2a99fe11edad119462db23f28a6ddbb,0.0000000017
6938,0x96267a149f46e4f0afa7545d5e49b0c873656f72,0.0000000012
6939,0xae66f023f3bd067f2c58e25b225eded462f9c99c,0.0000000009
6940,0x0c1633e0ba164a9def56d86d7c46afcbe4d28a77,0.0000000009
6941,0xaf085c75e56e9662a9b7e3b270ce77b03a2044a9,0.0000000009
6942,0x6f8234dbc5476d37d1a3e97e17d014105bbc4a87,0.0000000009
6943,0xe970afbbe5234b0aa788ced0ab7076086fd8a18a,0.0000000009
6944,0x8f8942885db6b4340a0bd5a6bf741cff914d4a8b,0.0000000009
6945,0x0009595422132356532f396603ab96696065a425,0.0000000009
6946,0xe17f2cdb1df69c04094f30716d0d881267c4de06,0.0000000009
6947,0x8802c3a7831759345c872f8ec4e493ca107a14d1,0.0000000009
6948,0x684a28ebe9d978bf847f58f45fcf5ebc7d393376,0.0000000009
6949,0xfc2cba23985294f8018a3cb23163351b41a8683e,0.0000000009
6950,0xaf688171f9a426d8c78a907f78a9cc3da23c7230,0.0000000009
6951,0x87b5062947b63431d90707d39bac4c25a34a6835,0.0000000009
6952,0x25ad266e398f0e1839cbb3edb0b6d0469036a610,0.0000000009
6953,0x201930f7b5a5fa20496fe90411f7babef35e94dc,0.0000000009
6954,0xd61a066b7f74610f44da88caf3d6a634b9f10be7,0.0000000009
6955,0x5455dabafe1d2aab59827b2c580c407539fac633,0.0000000009
6956,0x228ab473a29c713477c073d550c0949d00c2d665,0.0000000009
6957,0x95919a9effec347c4f4d8b4f5895365ebbd92aa4,0.0000000009
6958,0x046e69e30389accf9e2ab33f5153b11737429943,0.0000000009
6959,0x08a9b4221a84bb39faa7d6fe0f7664efec9511ac,0.0000000009
6960,0xf3f9b58159db5ecd92e6301c94a0857fda5a1ac2,0.0000000009
6961,0x2b41540f05a06bfaf1a5bf8db091f08345e59443,0.0000000009
6962,0x2e86c1e969f3c121ed865cf4d7879744c9c353df,0.0000000009
6963,0x0d05d736db2b9923cdf3fe967ea8b4e17da94c5e,0.0000000009
6964,0xc4137cd4fe5b811c77cb3f0f0eba28755e96099e,0.0000000009
6965,0xf61518a5e2466475463a6ae362b12daaade01d47,0.0000000009
6966,0x60bee008558802cdeb5f6b43dbc14d0c1d87dfc9,0.0000000009
6967,0x91761928f48c77a48fb718197c3efbe4a65bf8ac,0.0000000009
6968,0x91191d0ebdbf928829c2e66c7bfe23d6d241a260,0.0000000009
6969,0x34004eea9944fa9a2cec1a3bdce20015135bcde3,0.0000000009
6970,0x82fa08ccdc02f2fba565434061f5e2c07a1c762f,0.0000000009
