Rank,Account,Balance
3901,0xc277b5ee1c06cab51c4e344248ac2c3375c16b4a,3.7402484402
3902,0xb6a9c8c013a127caa3d64c86018870f8ac42ad5b,3.7401424257
3903,0xba7f9cdba401cffbcc8a184d9cba8e61d09b77fc,3.7400459305
3904,0x331bb39397c02338780c967b29da1a40a31b4dc4,3.7399672576
3905,0x9da8f8885afb9747bf116a27df9f348aa688ed3b,3.7399397545
3906,0xfa78debe3c88849e01e793d7d49a04944cdbe3d8,3.7393556434
3907,0xf93f8bb0ac1626aaae5bab70ae16c54b1bf47c11,3.7386507673
3908,0x55fdb0c45b51bb9ada6649dcfd8a8fbc35b97927,3.7386470649
3909,0x746a8c7e15e21d8b409772c0ca5b520fe8579820,3.7380679576
3910,0x8097e04be0023e7f89941aa9ca0c313f55b4ff0e,3.7379627002
3911,0xe32c70d5a90588d39cc45e1aa5b5e276bdd4af89,3.7377632958
3912,0x85bbe23c6e4001710f224ed99d1e8ad1c92a55e2,3.7377338398
3913,0xa47bd11645ed94d68ec15f2036df58319079040b,3.7375953036
3914,0x164609fe5ae90ee2110fb9df0b8e434e4ea313e3,3.7375755022
3915,0xc2b532f030b17a2913ce0cc9528761ae8c9f84f3,3.7375251209
3916,0xa23d56144f11e190e3cd0586b20b3aee52fe606b,3.7375132123
3917,0x4fe1e4e05fd717fda5ee78f3d05a494cbb69cb48,3.737352959
3918,0x97f36a4e526ac148d66c77ec6de8e784331488e2,3.7371687651
3919,0x91374507ef1fc24e15447aa95148d43159d25233,3.7367133828
3920,0xebddca162dbb654d18f4d79fdb7c10fecac2862c,3.7365387028
3921,0x5b2d55d18ae0d464ea0071db372a64c69d7a4a08,3.7364804488
3922,0xd36de6c85e06471614ee2e19ecb1925f9c275147,3.7361711304
3923,0xb535a80f4f2efb01ec9b12b7d404911ac6a7d11c,3.7361435863
3924,0x2a5ebe2f2c13167737cff7d426dbdb80fc52d1f8,3.7360248458
3925,0x9285303894059f481e9b7798167fb1f3d4220529,3.7359897185
3926,0x77c31a93364c4c16b7b3b41f48d1b8324b70f6b9,3.7359672608
3927,0xbac96f84c6a56e3bc2c72f749dbb210c41ab0ec5,3.735967038
3928,0x557bb9c1fcc95194b603c6fd163b84d146564762,3.7359597723
3929,0xf5e4fe05c5d84e393ca9fdfa65ad838f93afc9d8,3.7357885643
3930,0xb11c09ade287e8d437e0336c38969dee94678329,3.7357699916
3931,0x336ae9aa230411ce8a43dc956541eff6c3826bdb,3.735723884
3932,0xba3da85e2b7a55b46896ff1009e89238364b1f7f,3.73572026
3933,0xb2f56bb147146732558a8eed1c267eab9c480e48,3.7356478459
3934,0xe83f3137cfa0f228280e54f08adc88c71b0e65d1,3.7356433257
3935,0x1a7250175d4cb84f49a6c2ea1a843470fd0fb350,3.7356052337
3936,0x05a50f042dc66efece3ffde1821486bb3f28c3ff,3.7355954571
3937,0x930bb3e6e9e0094e6adc587ce63fad5c3856e59f,3.7354921311
3938,0x17c1a215e30c38a212de11cca283ba68c13534f9,3.7354131852
3939,0xd5d9eb32744d0c4d2a3556c01b20f573685cc661,3.7352933723
3940,0x183db0febc203fbbf5d4ed69c5fc2cca0dbf966d,3.7352765626
3941,0x13a0fb7ef703ac55f21d7298ba88709463621eee,3.7352081323
3942,0xe2e1ca0b72e78eadbb7476bdc514377916948e47,3.7351556475
3943,0x9413abeef8e96c507b328454d203ab668175fcfb,3.7350185093
3944,0x37c65585fb90f9f0f2e59dc31d4759b40e500f8e,3.7349027704
3945,0xa78d4e9898d7e070a5a26e4eef448c1cd871013d,3.7347197412
3946,0x98ec0b10cfaf6594e7a09844e0bb9537a3a265e2,3.7347172811
3947,0xfdd62f555ee2b0cab6a3c12f0c531930a8df24c3,3.73466532
3948,0x46e41f433e10cbdf2054be4d125d26fd3df31a1d,3.7345606715
3949,0x30f80bf00455a630b865aee7e72a75b0c749c32d,3.7344415187
3950,0x44be337bdcf4ae0a42a47d3faf158b8aa90ca360,3.7343127868
