Rank,Account,Balance
2501,0x5032989f47b8ca26736bfc79fbbc8f0ca1cf6135,4
2502,0x7dff7eda0a2a5459a39b172dd840640d14289ebc,4
2503,0xcc2cf78064081483371adb4858f788704924bd38,4
2504,0x3aceb77bf88c3a92079baa8db3ddb172e3636bb7,4
2505,0xf0a1a95927d13ed1ad773c17040ba5d5ad4aa212,4
2506,0x88b95f44ea6bc843ab4613e404c2245370e97dad,4
2507,0x5925e47270e1ba5f1f679066048655ddd8805eda,4
2508,0x3e048cc2b112a15a52a7e481ca45e95ffe4d4e3d,4
2509,0x929a75203f54b20b53df63c95c2472d40bf61cc5,4
2510,0x662ec5567fc2557674f8e78efaf1adbbc8818408,4
2511,0x7245686ae7abfb240bc3551289e2176f01567055,4
2512,0xa3f8bb5dded1ca3abe137a16bd4375909a13a1b0,4
2513,0xefcbcd5452f38ec7ad2b69aa24ccdb677e17b140,4
2514,0x15a1c072c4e286da08066a0bd78aa0c00d03f4f4,4
2515,0x0ff2e6c1d14ce8a94e74d0eb9d6f2536363aeb40,4
2516,0xb08f6d8a74954f0c1452829587eae88563d838f1,4
2517,0xf86c92c9cd85b80fb4473b060a4b7d5e768e0fbb,4
2518,0x4fbacef6ef333e111f0432153c2aa3e55052045a,4
2519,0x8ccd753aef9e0dd17206bbb9aa6cd5bd03f8edae,4
2520,0xa4e6f663d0d4fc454a078040db2953a65a60ae4c,4
2521,0x5dffb44b11066c34353932e2bbe4049c700ec133,4
2522,0xeb850f84be96cf60e20cb719de290454a81a7588,4
2523,0x35713c5e65e0c231ed0dea96a695ee6ba3c9396d,4
2524,0x7dec7d0bb9f27988c005b0fe6e9fd88b22250f08,4
2525,0x66a0d81567ea2c78fc4c9bd99fa9ec3427623582,3.999378041
2526,0x519fa98e0803ce1833db92ce1f37d7becab029ce,3.9990459267
2527,0x140d2675a9e1683b8c46912141676e5febcc026b,3.998799425
2528,0x9474533eff9f5336f3949cf30c79395e8e6d632d,3.9987048801
2529,0xd9e1370e4810202e1f38cbd3efc90f9a8dfbeece,3.9986251863
2530,0x430b8cfae954d57215dd9d7d4f685fb0e49bd0e4,3.9985092216
2531,0xfb427464722ad43b6b74a604f467ebecda4ee3e5,3.9984271755
2532,0x5c26e01a2a18ed87822cade5be4ede493706e931,3.9983690579
2533,0xfb1cc80d90e250797addc0aa4dbbb261034596aa,3.9982873216
2534,0xfa292e2f53c66c002c51020e86c8516fb3909136,3.9981653151
2535,0x4d175d2d63e1e4054af903c2ebfc64935015b8d2,3.9981301436
2536,0x8a1af9cb8c2112f6e1658baacb98f72750679740,3.9980656335
2537,0x7c8f1d03153812ea70b6e646c66d80bc177f136f,3.9980026196
2538,0xc7ef370cf09ad18d395c263398207b730ecab024,3.9978253214
2539,0x7b30a59f523f0b9bf77b050f260eb25f07d52e49,3.9976900414
2540,0x46f854d40d0d9c86ded8bb61368b9f8095e0804c,3.9973544974
2541,0x71dc667b882167cccaf46157b17547bf435b96db,3.9971468
2542,0x3cf5e612c1b385adb93c23c7ef09dd773e110782,3.9969216104
2543,0xff648e3cca4aad799e745450f171dc7b60cb5463,3.9968657383
2544,0xb3e63ddea3afa8cfa4e386708358286ca27db703,3.996735155
2545,0xc5a1e50c42ad274a49a368e343b20e3a20935b8b,3.9967055286
2546,0xc48ede627748c5403a957d724d5099cdd370c6e4,3.9965390376
2547,0xb59091f5f971b51b8505bca868c022bc8a0ec4bc,3.9964878914
2548,0x89467f8500ed94ec1fe77269fe163f6947dce81b,3.9964352144
2549,0x7ee89821b5619a7db51b147b8a76aa730ad8c46b,3.9963072239
2550,0x6fc9d5d7cb4bbf5278cf7b1074c7d935822c63d6,3.9958906214
2551,0x92db7797876dd1547e1f5c972fc64a7a673fc930,3.9957570709
2552,0x1c4577426e26aba96758e057c970e95da6b266be,3.9956098795
2553,0x70480f1a83b1362780373b1208320879c6292651,3.9955046197
2554,0xbd08cd33ced0628cfac4add4e4fb4837ed564ee2,3.9954007567
2555,0x34f1c5fe325bfc0b6945d08659fa8b19ee6eedb4,3.9949738883
2556,0xfd7b09291359fefff954e3f3895873cc966566b8,3.9948478385
2557,0x0c8d64803a22272a749e4af923e76ca25b8c2bd5,3.9946320177
2558,0xcd98e7c6e5fe6d68ce7d047edc48b705efd517a4,3.9943928153
2559,0x1b3e622ff8c875cf9f7e7be0c8235ed1b79cddc2,3.9930429978
2560,0x47062c6b83a2bbe783a605979bb93ffae661f9f6,3.9920402151
2561,0x4e4661e62bc0284533f31f8f999153adc022ce57,3.99176866
2562,0x6f4c5c47001bc24a97ea18a6a555213e3b4732a0,3.990359131
2563,0x5e84b55a1cd2a2d1fd3d1be4bc230ff4bbc6ec65,3.9902125125
2564,0x81d1bf4dced311387422058d5073488d0a12805d,3.9901668093
2565,0xfec529db140ae135d55662c951aff8efb5017133,3.9897177958
2566,0xa6af0479e3e3ebeeaba50bc1b8e7c39c3ac6d063,3.9896167809
2567,0xb1ae0f231a6517826a68bd55e4a61dbdf180d1f6,3.9894858816
2568,0xcf069b8352de0bfe1d8c570fe2dedea74d328b5f,3.9892896939
2569,0x26e3989d82dfa0c097f8de67e80eea3de77d4b74,3.9888226757
2570,0x7dd8883c578265bcdf337154dae69849ff667205,3.988634846
2571,0x07334ddc2f7402fc78edb7dc9f037413d108014e,3.98857539
2572,0x065d4c7a9d91a38201d0d4978eebe58b59ed28ec,3.9881260984
2573,0x5189e57430b8e5594ae82f0123fdc1cb3ed1f946,3.9877278179
2574,0x1d13f1efd19595770b7f8d1fdd0213b52ad4242c,3.9869082239
2575,0x2d7a49aff96f52684a5df23b2e2a754da7032689,3.9862328554
2576,0xa2437d99c55744f12d4a71f1b06740eb99b4aa0a,3.986192197
2577,0x96128dabb77480af6752c170e18caea835e1ac72,3.98547145
2578,0x5226fccf7028261abca03147a1e551e082d3f778,3.9849589042
2579,0x557ab32309e96c58eadceac6e685ce176aedbaa0,3.984922112
2580,0xdd11ab9b1634dd4e251742725b42e1dfaf0f4798,3.984509646
2581,0x13d353ee62df42d095fe1cb9281bc93451eff7ab,3.9841341449
2582,0xf546204a15287a51cba0d5214d95467af50cc113,3.9835484994
2583,0x141a5341f97ae368ca95eb63018b3319c0fc2a97,3.9816467896
2584,0x8bc651b6e4b0dcb0d999553f54acb7ebfc66a6b4,3.981089546
2585,0x7346893207c498608f24359854585f1ec8457aa1,3.9787166862
2586,0xf8ff0548bbc9ef7e1a317d3acb849b189f7ef332,3.977826405
2587,0x0cc25f7709ecea3aa093589c7ebc01cc13ffe05a,3.9773438505
2588,0x309d88c97c3e253b076977e20a3688e5a6fbab6c,3.9758464254
2589,0x2af00ca7a3f6d9b0905beacada162d2a9c793dfa,3.9748037098
2590,0x022d598855ffa3925d4e3c23fc8e7ec35a990201,3.9741621661
