Rank,Account,Balance
3001,0xaa27b52c5ad1ca47894f60b7e8eb336ddd50a517,3.8669619205
3002,0x70b28588e1cc776764d594665346ff16fa4af641,3.866958088
3003,0xc7912951cb7c3e0e4d00b78bcc20683822e8a825,3.8669456908
3004,0xbeab81a76d1ba8fdaa87cb29e0fcb9225f73a276,3.8669276624
3005,0x5303c069321d6bdb9a28061b9dedaed31d7de7d2,3.8669019407
3006,0xc48ccbf19c3a4ab5e375905a2f0d26196b63cf72,3.8668754955
3007,0x7bf3101764d1544d8f4041ee493b00a5bf38522b,3.8668361353
3008,0x12494d7901bb0103d1326438f9a46809f777a757,3.8667830832
3009,0x408b69afa07b31db0fdf956b566385953f17a260,3.8667009496
3010,0x4b7b91b9d94b840b0cba019a09b58d1e9d457063,3.8665594087
3011,0x3b8d47f77c537842cfe003ffd751cbb8cf8f9f54,3.8664236983
3012,0xe3c951f02b5ae017dda4accbc0e2e03af2071d28,3.8662729945
3013,0x113e17522426fd75d708a956042fdad488c1c362,3.8661454874
3014,0x228d9328c5acc8986cd3ad7fa8d3105c82540242,3.8657883764
3015,0xd017d6cb1c25c7f5cdeafbd39ff37590b3d8b6a4,3.8656708464
3016,0xa59ca1ab98d665c812d5bf324c1ce16ab0310b79,3.8655727755
3017,0xb1de77b18dd2b30d6674287ba73a547e22c37504,3.8655393879
3018,0x69ec14c5613ea09df522484a9d9a2038258dfbb0,3.8652801288
3019,0xcdaa21f8ea6f002685513a3de52b115037c272cf,3.8652086807
3020,0x9055afe5cf229c8e4987168ad53148bc58a6a44b,3.865026629
3021,0x89a332f8719418637b432d74702f4f2163f711d8,3.8648511589
3022,0xac44fc80e9ccfe35314eee622c21ff19311d92ac,3.864787164
3023,0x29f7b5e13d1837d954be468ed0f4148969e04a4d,3.8647743158
3024,0x53e4f417330a8e296e16eeb6e8065a7a7ee943ff,3.8646821467
3025,0x4d341092172d4bd1a51814bd989ce22f268de054,3.8646362548
3026,0xe8d05ed6fe9d88a6e36adf1a0452faa9ead68eab,3.8645307002
3027,0x1a458e3be6a25a5886876ebf138e22470edd5569,3.8645275973
3028,0x7c21acc3906f8f7848538d0c95c39f0cc2f4f1db,3.8644944291
3029,0xcb9d11dd11fe5285f7861efe83cf7128ac6c644d,3.8644543889
3030,0x703b6e7d10f9ab127bcfcb2dd9985b6b24ba1152,3.8644492908
3031,0xa4b172ba30411eef820f61d7e4ef54099592769b,3.8644462224
3032,0x5c756ce1344979d9d8728a577ac0f86d78616fb1,3.8643725615
3033,0x749aabaad9078af36e5b9d8591e3021873cc7719,3.8642760391
3034,0x652990285f1f9ada79e73dc679db61c72794a5e6,3.8642758351
3035,0x47261f2746af8ab1f92855237e5e7ee725773914,3.8641779988
3036,0xd570f3c3a6f911ba8f78e3394c9b9abda0157829,3.8641480316
3037,0x5f9a9fb903dcf3d38729679f07a244337dd72c6a,3.8640196765
3038,0x31f3ef382f6ab703ff8f2b6bbd264ab3fa89f217,3.8639988941
3039,0x6afdfb70a98b4309a76f96fbd596e3a41561c3ed,3.8639942528
3040,0xa8ecf7c27a0ddd035d9fa6b79cff47c7f075e10a,3.8639410071
3041,0x5d50f5120492c4818c816b65fbd066822657a3ca,3.8639126962
3042,0xaa4a4d0b2d345fc40db0de6f4e4649c77b1a419f,3.8639081145
3043,0x476f88185043ef2fc5f5f3c543748c6a1a6ec3d7,3.8638881555
3044,0x52354221f71c31769729075d0089a7d2eac96ad6,3.8638649825
3045,0xc726352cd0b0288426333614330c25084ceafe5f,3.8638311422
3046,0x36350ff10b0b1302435e5d698e7d36bce84b8ed1,3.8638265608
3047,0x089b8d36d1a75ee518af7dda3fcc494946ca1a4d,3.8637495908
3048,0xea8b66557af07bbf192c9fe20cfcc5634bd4970f,3.8636533242
3049,0x3d120e03cb6d2730a4b11071b4fe454f0f7a475c,3.8636271877
3050,0x132754370f506855a02887a87537a29a59a6cbea,3.8635513625
3051,0x6d112596f1768f80cae99399b4467d8569f6cae0,3.8634568397
3052,0x14dc72066ef5c23675b582b03c96604abdb76c22,3.8634037859
3053,0xd0b6a3389d5847ff6865c7e8625f80f8202d148b,3.8633053966
3054,0x24f299695d44fac5ed2327a2552b1d73e2c452ee,3.8632931715
3055,0x88bfc1d471cfd11afebe3f4a91c87df8d382f1fe,3.8632081056
3056,0x97dd79bd415651cd3236ecdfe99191652c5ddb73,3.8632046843
3057,0xbdae9ed5b952a64c2cb320a17626e5b4319fdb88,3.8631992248
3058,0x4d1e67d30bd40d677fc12cf8f9333805dd656298,3.8631872966
3059,0x9b083a0696b228caebc422d663b37abcb6b3f0bb,3.8630133666
3060,0x4a4ec124c33860025d2aa3d1720735cc355ce3e7,3.8629888582
3061,0xf9b936c0cbf77237cfad0247667910652e5fdfb8,3.8628859702
3062,0x66799499419bad2dd91bffb91236c562740ce416,3.8627440625
3063,0xa3e850985f478875e7a3e72e77f2659e40366a80,3.8626749915
3064,0xb6e96263ce6c290918ff01d144b87327271e2fb4,3.8626412471
3065,0x0371f0ab3395350bb50723dbb59d5e8ffe4f2f36,3.8624956582
3066,0x58054105be61999139b117d0d590dc482e51bd21,3.8624710151
3067,0x975f72f4d9e0f58a97a7b6027c6c55c089c62d2c,3.8621850532
