Rank,Account,Balance
5601,0xa6e177bca530533d0c200327e1515d0fffbc1697,3.4135163508
5602,0x6d4d68e7b2c9db11a96049661e77828f1c3fe84c,3.4134553462
5603,0x8f04a2944e4a16ef3e6288185063bdcc63eb2e92,3.4130333891
5604,0x856baf34f8c17a8fde20b3f8c57328a20f5b6084,3.4118904841
5605,0xa8511027771801bede44be0509768a57cd20caa6,3.4118879567
5606,0xf6b09a530760c67b6f1911ed3008dd6988043a57,3.4116056091
5607,0x8c56edbd7695867b322afb3e50d4905800af648b,3.4093676248
5608,0x6aac18425469fdb69acdbdb824cb8b1b5bc44d87,3.4092305664
5609,0x9be3ae64dbdb3b5727f2447e2260f8e431e3f134,3.408
5610,0x7373734f4c65912a21af8268177c7369c2e69df3,3.4076965273
5611,0x4b677f7a85b17b74b7e4c4c2992c20d19af4ca68,3.4071624021
5612,0x8a805d6973a6fe3973a6187fe0e2cf6830dbb735,3.4064548683
5613,0xe05addd6e16f8a5e545a02f61a504447356a0241,3.4064523265
5614,0xce036b19f9a30585fd5d89c2c2553ad1d23b1c1d,3.406
5615,0xc9085a0edc6fd7bb2ba03ab0dd75e9928675800b,3.4054880389
5616,0xd5cf036bd8326cd17dc4c3c3d0ccc1b4106cc847,3.4053357905
5617,0xdea76edb5aab267b2ca1d1e9c5c4bf5f0ea54cc6,3.4050788802
5618,0xffaa06585e1f47b1c8bd99a7bfd92cd33685489f,3.4044636899
5619,0xa436d3bdd377c31df5c55ca163e722d2cb929b1d,3.4044045948
5620,0x160208f2358b84d77c2fa2101bfddc2c6915aaf7,3.4043141128
5621,0x8d7f71124eb9b5ae7f54108416d35fad0aac7cb6,3.4042639455
5622,0x2fcb504c590713c59514ddd36c998d90201e59fd,3.4041338006
5623,0xe61ff5d816eb49f9cc6331b87820d76d3ac718f4,3.4030920801
5624,0x735aad4b53dab69cfdd69bb3919dac08fb9b8abf,3.4029502362
5625,0x434ca399b6b1b814cab3faac9d597a8abe4b2722,3.4028681049
5626,0xb44898e8d5e50cbb07c3507b6a95ec627eb370b7,3.4027913413
5627,0xf9388575062cc413e63c09eb13ef11daa16cf799,3.4026442221
5628,0x19e7702c9ab1e1281a3ece1ac9e0c8ac944be331,3.4023312219
5629,0xc08b87fbd87f9e2d75898ac4d15e0c7082753a39,3.4018235432
5630,0x551100f4afa539e9fd4470e4b947d30cba5643c1,3.4017384864
5631,0x2e3b56575953510b3cec4732cfb8dda797f02fc5,3.4017201776
5632,0x46febe7574cc6aa5a908efbf5f44dd2ee224f000,3.4016915797
5633,0x11070c7c020f933335f2dc8596cfd549babedd26,3.4016871523
5634,0x524c894c0fe450a28490eb4f035c14f6910afa0d,3.4015986069
5635,0xf090ab9043b3450b04f9dd30f1bb0140b6bda080,3.4003220477
5636,0x029cad06153dd27ab3506191f5143c4c852d4d76,3.4002958493
5637,0x21703886a4aaf92fc2ce0161c842a134da41527a,3.4
5638,0x1276ea5add5fb80b9d773e3e44e6d2ed8101583b,3.4
5639,0xffa7aa7144ce571763c98b0ee7ab7ad8d0efcff1,3.3999898527
5640,0x5dfc73194c08f30c42c8afaa921818bc9281cb8a,3.3997504961
5641,0x8522e3d6888b8426885b72fe7bf5e1a97774480a,3.3995715493
5642,0x35cd09f542f8c5bcf82958b9e58bd7363490f212,3.3991281154
5643,0x91f98312e0e24ec6d1b66091a3d9bb7377c4e241,3.3983802449
5644,0x00ab9a5e60572a4e69be76e8ecb565ab07cc27e4,3.3975095499
5645,0xf067481f96689dd0f9ceae690475bc969fbb9030,3.3974841364
5646,0x31795f8d8c553c373f989e1383a5f5e1f82bce44,3.3969590728
5647,0x298dbf1158752a0d946c8ae8c0ac054b27256ea8,3.3966101315
5648,0xd6533b24ea0cc08cac980fe6b9d2571bebf9e092,3.3963268341
5649,0x7a83c96a5bb8f8dfb2c657f3ed90201ed0434e43,3.39523235
5650,0x33c465cfd6932e70a3664593f87616ba9166b0a7,3.3948193364
5651,0x762c68539d41a34bec31e2f8a5edaa1f24cfb864,3.3947410638
5652,0x49a1f96f3199e8aa9e1440e73ed816267550a3da,3.3947021664
5653,0xed91191b69f0588e3a749a7d88f32e490716a558,3.3946846686
5654,0xe256b97fcdb32ef6b75b784193f3cb09f23addd3,3.3946431286
5655,0x2f1f83edf2e5badae85a2c80e06ef37e80c814d5,3.3945842381
5656,0xcd2246fd32046f2b8db330b3b144dbe5d62726e1,3.3945404829
5657,0x5bd6806a700891484f8bb32ca80509cbdae95f7b,3.3945365175
5658,0x93b40c1e806810c1f20746f26112a2fd2a058b42,3.3945238777
5659,0xef039d682a8deb63b189f275a8943057d3019bbb,3.394501589
5660,0xca144788cbbc3703196422c125e5c73c5d3023b6,3.3937936718
5661,0x1b0647afb27755e27092ca493fadbbd15715b1e7,3.3933096846
5662,0x227cc1c7493046cfea85d870307573ebe5c07f51,3.3868756415
5663,0x9b5439d6935e9a9adea380cef5aef0e8297126d8,3.3868023025
5664,0x53acc78613f06db22340cee697d18ac28a27bc77,3.386579152
5665,0x0b026621aa7b01547d999c740f65ef8d2c3de399,3.3856780992
5666,0x1f5f4fb57b33c48596bede6924bb8e81921ca2bc,3.3855356991
5667,0x11342cd3fa2214d1e9f3a6cc5b850d6d9616c5f3,3.3855324754
5668,0xc9e4f9e645e8ecd28154046f450c9d33685dd365,3.3835449703
5669,0x6118db7201fcc2599da8742cd3c8dd24aa62140b,3.3814775424
5670,0x7beb21e7156f968dd7e4da7fcdde4c0b430336ee,3.3811118635
5671,0xf3b362ecc4c27fc26607586d2430ef82e62c8c2a,3.3809867997
5672,0x30172d5cf6195fd9a5d97d2a0d81880b2724ba33,3.3809574946
5673,0x7e08668a65bb80e3847cfccb1bbf1f9d874f5ac5,3.38090934
5674,0x3cf406ed3c45ce1afeebc154eb54dc3cab788eb8,3.3780806111
5675,0x914e560fc8149c516ac5903da1c3116465afc4e5,3.3713267871
5676,0xb0d27a1368669722e2c0eabdf5b326720d3d2dee,3.3704036716
5677,0xcf7e13b1a8c2e966da29b9bde66894a2b03c1817,3.3695641469
5678,0xb77e4e0a883c21da0494d465f034ae23724bef4f,3.3666197116
5679,0xdfee6525affca9144c51c1b307d1fba75b8277c3,3.3652975506
5680,0x6c7ecac9d6c392980d58b594aa458b7b45e77471,3.3619356406
5681,0xe665029cce6d139fc2a5093a608ce1cd074bf78f,3.3586840059
5682,0x2593ccc0c6c311962202f354d6a2865c50850979,3.3584378367
5683,0xfe6cc683768ed7518e64dfd47930b0784b892c1b,3.3582881213
5684,0xa3b449b0b482c14223091c5c9c67483bda2ec1d0,3.3576019556
5685,0xca4f1536cd29d42bcbc8211f1b621ba9e817433f,3.3560155922
5686,0x1d60c5853f836380b1a88070318fdacd86b18cd7,3.3552185699
5687,0xe9fa80aafa65f3fd9d88b32397ea825e7d48e88a,3.352891793
5688,0x564fdb453d4a07fa61356f6bf4bccefcd6497bda,3.352292717
5689,0x6dd1bfb76be852e5b93ce790e546f57cb74302ad,3.3521955273
5690,0x1a5f38c18203ac91ff010164aec8f42a4e2aba11,3.3499112345
5691,0x85d1affcd55451566a9895e49a646e061e1480b6,3.3483492323
5692,0x373250cce67642b3fda31b172150c8cf10376b88,3.3475101103
5693,0x9587765ff92b90607001cd1c1a3938af55fc0eca,3.3446212552
5694,0x9121c035fe56e5a7a700970dd6f703a737ca19c3,3.3429817053
5695,0xed3874de9ab3ea71745b86363678d2012f674ed8,3.3429299038
5696,0xde073f78c9960e331d1f54bc0b732e8a4e52df4d,3.3426684694
5697,0x9cc7bced49e4fd3b3f074594145f6f0218554cbe,3.342597959
5698,0x731773eb516e29d9fa37710d9e5dcdc25411d5af,3.3422608324
5699,0x81c54645a23049ae2df5616bac52540b5a83ed79,3.3415070068
5700,0x5c2670a95f13a9604a1b3d08ef695af3d5fc3e62,3.340927063
