Rank,Account,Balance
2601,0xcc256a1cae601c6d0c87577cc530d7727ae69273,3.9675459089
2602,0x6db53d89b056cbde412b94414e2fec5947b9c07c,3.9674055449
2603,0x6085314d9a1fccba7797b85c2d25136079c33812,3.9665892096
2604,0x183f400df461bf49f2ad63302de110de1ec33eb5,3.9663631099
2605,0x089fb2a1b35ea2dae5e3b9b6f04287f5f5a8ea43,3.9660433742
2606,0x52463bf26f3f023781660f6d8f212c80818ae52b,3.9655969935
2607,0xab8235cbd2100716843b72bcbcdcfe9bee29bea2,3.9653054486
2608,0xf5b56ef33ef08f6fde57b2f79a857e3dfb4ea1a3,3.965165538
2609,0x3f8daca6e3ecc5977f1aaf94264e626ca92d011a,3.9650654253
2610,0xb6907c9616d7ebea40ec4563a6c192632aba8654,3.9645273251
2611,0xc6e7b0a4c65a9fbc2cc428cf1f60d0e5ef139202,3.9639598043
2612,0xf06be41ca39ea5328afbb1b73a9a9a0fd0ee0ce9,3.9634366511
2613,0x2f1ed690f1f13814e9797051573d4055b9329b06,3.9634263889
2614,0xbf12edb31a584ecef5f0e7681fa6d57bd5b195eb,3.9624561506
2615,0xbc834b5152b355eb64c9e6f8393f4698772848a3,3.9624362501
2616,0x809f5eff8cd81944220f02e12ba4543cb01b54ee,3.9614163038
2617,0x5e385287d19e3e39439bf1627dafc2f06e180907,3.9594725443
2618,0xf924f3b9b5f2cabb9783a68eb4bfa2f76389c72c,3.9591801496
2619,0x1081ca00297a577b94c79dbc8bb679fbc749f239,3.9591131438
2620,0x7ce014c169d7e3d503c9b11130f8a9abdd667b0b,3.9584022929
2621,0x4e13f4149a6e1ac0f46dc5ab189cdafcb8a6e6a7,3.9581353975
2622,0x4bedb4b04a398a33cdcfcf80548911e758e2eb3a,3.9577317818
2623,0x45a86a830ab2bdb491ff22431fddfdb28778c2e3,3.9567521529
2624,0x35394c277190a6c13d4780351d49477910a7d5c5,3.9557743837
2625,0x68e8c724b9e88e6cfeeb44a40d09c36b39d0f089,3.9556304559
2626,0x2301d519590beeffd4341632105314a06e36be8c,3.9554812268
2627,0xfb52e444a1b39574dd11e2b5ef798959e4f511df,3.9548273638
2628,0x4080e54bcce4d2435d60e27a66961c4348e4a030,3.9544853479
2629,0x6c8daa47fe8f63afca1c224b21c2fa96d206cbbd,3.9544713041
2630,0xbd331bed2e4f82c8be29376b221a2ea18893ff76,3.9543825452
2631,0xdcc0c8bdb2c779232545ea3825dcb58fc6f616df,3.9542396118
2632,0x22e444d7775454cb1cfca6646b113b8ce5967862,3.9542334368
2633,0x69a00fafe7e935fde9ecb5c53f23e0e409a33e12,3.9536598578
2634,0x8783914231862f806642f5810c1eb941c55bf494,3.9536074174
2635,0xbd4bfde251b19062849c3e0b2cad103463312967,3.9534365511
2636,0x5824ac9102d2945406af801c4abf191409673485,3.9530659077
2637,0x860768e561cd3b9d49edfa421f1c2783a916b3d3,3.9519202646
2638,0x402633ec0283f58415bcbe5b48e7f44338a349eb,3.9514500049
2639,0xa26da53517edbd6999a91b39024efa7b912a4479,3.9496854225
2640,0x3a16003b946a51ee144cbcfca1a2e4cd21b43e3b,3.9484182396
2641,0x4d55be4551f0d402fe3148aeae5878021c27a4ee,3.9449601632
2642,0x4e92d6a2942d888e2139b0ac0f3bd069b17810b4,3.9447948611
2643,0xbf0d0909917eae694c568b056d3de16fd9a42b0f,3.9442723854
2644,0x29cc59fafa659beeb430402ca4ee5634ce6c67af,3.9433078391
2645,0x5dd588d2b093678d43e06ef9aabb78c5720eaf4f,3.9432242675
2646,0xbbc0f5eb69b0911000490ebd783668bb4f07b397,3.9429458351
2647,0xb46715613e61111ddd7e8ae92958d1202e4bd79c,3.9429086677
2648,0x38f4ed6c5595eb50aaf4afacbee633ef6845d6b8,3.9427820089
2649,0x7ea9da6ac18016459e79ffb4d0979d75ae1eea63,3.9424293192
2650,0xa082c6a1848295139603865df5756a3fdf909997,3.9420981728
2651,0xaf48eed167a2868015f8a6d6f10b37776876bf89,3.9420579594
2652,0xdb753a70361252e04dccf9df0342abc3d75b4a44,3.94196159
2653,0x74c359d37ac665c6b77eda31809871107b79a09d,3.9419062963
2654,0xb63fda17b0d35caaba34b8ab6b8c1d83694d8ebb,3.9418849051
2655,0xa7e97cd8db0b17ebfd8423d3617964804dd57363,3.9418379782
2656,0xcad3464301383b92183f92091222ea5e6187b0a3,3.9418120828
2657,0xbdeb8641d5677474aad87dd962aaa92d368611f4,3.94180156
2658,0xbac75642b5c680b88676c88a4a4b0ac8363406a6,3.9416628974
2659,0x9d2da7840a4cafa6b42227d5203bd8d3461d421e,3.9414076919
2660,0xa7eb7b85a6cff538a0bfef65db9b42b091c70c85,3.9413239426
2661,0xda0822199a6ba5dbcc6a70ce38fed4985c8b2cd0,3.9412406193
2662,0x190b715e8a87e6a0b5d66442fdb4022601c26912,3.9412139572
2663,0xde3993a79771f271e8221062f715cd581bdc6d66,3.9410785197
2664,0xdc261894f20f40b7d19aac846396535bb6d7a8be,3.9410588677
2665,0xaa1f444282926abea8a9c4e3010e2721a88480d0,3.9410272469
2666,0x8a6c801c94157daeedd4777d132d9d83ec96ad4a,3.940960571
2667,0x52323f1d3a74ee9ab6577c8788f30ee87fbc1447,3.9401765067
2668,0xff7b2fb766afd16890c80ab379f84ab240f4803c,3.9389858806
2669,0xfab9f8b30659f9eb2e77665718041dcc8a377195,3.9388183375
2670,0xb8b2fb8995bd51414d1dd43299c5fe53fd625e34,3.9377600764
2671,0xf5ce9fc614885cee6987fdabf72b5c940c3e549b,3.9374550467
2672,0x75883f52f2c91af72acd99260c18816a5c008a94,3.937173898
2673,0x257c36b8cfc3ffe9c11061d6e9b6efa492bff924,3.936569326
2674,0x78e9337e493a52eb4cbac91f63b54001eac042b0,3.9364775563
2675,0xd144545b1982daa73536fb1ac7a0c629266e4dc8,3.9364640161
2676,0x9f679d8ded653f26b43ac3548758e88e9c856ebe,3.9362543649
2677,0x07630e9088bdba58016e629fc89c9699c2d4b08c,3.936002334
2678,0x01ea98bcc2c0f9051cb529e8a5bbb4b4c9bd2ebd,3.9357758855
2679,0x7948f0bc3ee5c34c694b0961d2f05ae4f2eae583,3.9347369042
2680,0x04216ab6b59110a273b590e97a200410df0199eb,3.9347093334
2681,0x7fc4919164e049beb2828b1ca31021195b6f555c,3.934474979
2682,0x8df531bbe86e3ae4bb107690b7e09478661ecff7,3.9339239086
2683,0x4ba313fd765bbf35c5dfd355a230a65ab3c8e7b5,3.9338139673
2684,0xc68634e88374a3256c9ae6166b65b472e36328b9,3.9337163281
2685,0xdcf1abcc61f4b6bdf182fd681f8894277162edb7,3.933633242
2686,0x35b7e8480ac28a7f0b2a1b17e586c262e341b250,3.9333357726
2687,0x1cb540697f6965de25662b83e94d797059dd9512,3.9325045637
2688,0xb15ad9f9e52e5ee5dd132422e0e2b161361314fd,3.9322908761
2689,0xce89b39a2c5d66040093df8013f02d1f0a124200,3.9320991888
2690,0x95d37243942e34c0280210decf22d6b5285c709d,3.9320608872
2691,0x11bad0cabcba9c5206456223867affeaf0661249,3.9300551405
2692,0x336d94511324c75654ba41189f45a72d1ba27558,3.9297866347
2693,0x1bd54031ceb5df75b17c1132b79a4dce3ccaccdf,3.9296946403
2694,0x13c202df0b5212ef5c04595916e0dc74ea554ccc,3.9286690093
