Rank,Account,Balance
801,0x163a9c1501cbbc6f9f3c61a168d2e72c96164a81,6.4384165345
802,0x67e082e6bd1495e81d4b476126b10b21a72ffb43,6.4271997443
803,0x2d2d10c0bc018c9588136f62702fd2adea141151,6.4262559797
804,0xe03db9e6955015f2523da4348e9d346ed9e9d017,6.420624813
805,0xdcced5665eec9f16dcc61fc94ae39f1bb6ed8f38,6.3991798769
806,0x5290d5c23e5e44b2494344fac9963a36388682ed,6.3949962101
807,0x9994203b252779e980c45a496d0106e89d1ba66b,6.3910143077
808,0xd9a07813a44f49cce2c63b068d7c4e0bfa134237,6.3781929485
809,0xbb80882f5b9d9a34cc0bcda79543e944d37662fc,6.3602634963
810,0x56a72c4ab94b5d73515f2c852c6d770497abe00e,6.3562831719
811,0xc24e062757351bfd1624932622192714c73f9c84,6.3550491585
812,0x0e250439b33f59926e093333fb9cfec0d6d8bb29,6.3456041642
813,0xd95a8999190004730df3b19132f865ac1247299c,6.3425322735
814,0xf3769f2c04f8809dd5aad2435ab702d3e5861b23,6.3421693031
815,0xe12fc81bab0044701445ae30b41bf12326785123,6.3372326563
816,0xa0a47f014333a00ae829b539b2e8623a38f9cd86,6.3264276715
817,0x972d02bd5eb581c6b44b4005ea66e89b5ddce3b4,6.3234132068
818,0xfaec525e60b827f868556a31ed98d076c4e2643f,6.321575642
819,0x3b797d0e0e691468e422f83e15963a87025af1cd,6.3213152606
820,0xd972a61d6859a8d596bc39e207ccad494b65ba22,6.3163537752
821,0x3060aa694e7980698062ed3cebd7e6b5067cdd7d,6.3076424821
822,0x3ca6e18a85d86ed4e4eb3d56de46e171994d98d6,6.3020902806
823,0x1dd53a35e5d670f346c6dc8a394be840ddd6f06d,6.2966754632
824,0xb68c1533758aac2adfe077f2ef3c65859e01f13a,6.2959080069
825,0x8a9ababd18681488bb35a2d9ed1676bc907cea9f,6.2922516138
826,0x3d7b772b390ccd934f5ed6ced90bd200b7d78b7b,6.28615152
827,0x4a521f892c702cfa48eaddc300f4287def76a074,6.2853169569
828,0x5cfc2c648ba36144644758f8d39553c0ce355fc6,6.2842168088
829,0x48126c48f9ea786e44e2da83de614f601abdac2f,6.2830419195
830,0xa1473037646bda8943b24447c26355bc8b6b90ab,6.2760229272
831,0x12cd3dca194161fe3535755075499f115982ee63,6.2743586365
832,0x5cfbab16520f3901c5b249e883e5755945f01983,6.2742664196
833,0x125a2c1f7f2de8e47625c83e5eb012ab9ee9d113,6.2741610386
834,0x460936055dc531f034ada7dc2e9d21fe367f5951,6.2687647142
835,0x52fd98ba25d903a8ba3c465a9d6e857205e150a8,6.2634137898
836,0xb459f049f2d58ccca380d2d8f1d21216dae6ee2c,6.2571319018
837,0x51009656b218792161aa130765e2ff87991e9a8f,6.2569582421
838,0x7c3deb993d4b150630540753920659717fd808ea,6.2547751767
839,0xd7cf75f74546b6ae6fdfa5396ae7f4778eea3287,6.2534
840,0xb70636052f2b3f7e4ea2f188d0ff88f8493c6bc7,6.2447647218
841,0xf3e5e4de9c7bfcd4eb51bfed236060cc6b93d1d4,6.2412690843
842,0xa6c59fc831cc42285deab67f052eb8aef3fa307f,6.2384665349
843,0xd3edeb449b2f93210d19e19a9e7f348998f437ec,6.2357983169
844,0x3675b3c91ba3523a0af6b6d87912f9d71be47a88,6.2290014016
845,0x4b24651f4d4552b17cbe3852ad724e790e80d273,6.2262927814
846,0xa6614e006c2a40ce4933a98e9d57cea09ea47c02,6.2241492877
847,0x79aeb10ec39542d2876583a5c5842aeaa9a2ce91,6.2204705681
848,0x9d7fd7a9839dd76ca74002d19eed5a603be7633d,6.2200482701
849,0x9ce107fd11cf59f265ea667ae783ae41ca592042,6.2193571797
850,0xe61c5b4e7fa34766ff858bc6dfd74535f35861ca,6.2179751293
851,0xea9b8c7a4c630be6985b8d34458d68e220fc994a,6.2173497076
852,0xd45b287c36923632130dd8d921664c354669a86b,6.2157972041
853,0x0ffa01fe6326e77f487775ccb72477c4f98db05d,6.2145425929
854,0x706fab2c6fda1954b74d3c266ae1717bde1d70c2,6.2137359949
855,0x369a3d9a2240985871f0d0c26fa08a17f8b9f03a,6.2131579436
856,0xc6c6a0534a2032c9d8e7fa2eb6f78cea07447f5f,6.2076192768
857,0x38e7d198c694195205fa3b225005eb73cfc5da75,6.2065605987
858,0xf1a9b5dc3dd78c68444f9d4d8b6f29c34ca91a4f,6.2064571463
859,0xa857c1c12fa1f9beb8eb23d4ce6f8ddfbc9aa6a2,6.2049728336
860,0xd9a29216e310ffcfbf5cdb66b12849592be0a3e3,6.203452566
861,0x4dbbcd4649e390d4e619a0651d0d9b7676b00c73,6.202681703
862,0x95047848c47f8aa214580de0d25c218fdcf13a65,6.2000098381
863,0x4d557981c26572dc5401bd7124278b16cf068769,6.1964096978
864,0xeb2233cd369c789f6cd53c5c80a913b0d3b6bc58,6.192470113
865,0xdd1aedecf04c5c348536864d9d1c1706f7b13bb9,6.1919720113
866,0xa669a107ce241629dfe07dc285c9807b6cc59ba1,6.1912201782
867,0x4d368334c36b9a5a94807007c094014228bc6984,6.1865674726
868,0x80f52eaf2d1c3f84c282d519e30a4b59e59c4ffb,6.1865347947
869,0xa25763177b45d47fc2d941cf8bcc1a42a8779956,6.1864717361
870,0xa835ad68431d2a9f68c995cee6af6e9147c8fa71,6.186381411
871,0x0b470905e807fbd79c2d8759fd52696138321190,6.1861339568
872,0x94c5e4ab46f13f380454430df974866745320b53,6.185563828
873,0x4e6916e6c430c39eb6bebac1fd5b35f6bd1f265f,6.1844019469
874,0xd69650ae850450c58477577520de854d629180a4,6.1825462065
875,0x19a2cf0b8bdb1ffe786e032a0e4ff2323385b5c7,6.1821051358
876,0xece568e16af675ab14ab040c089629eeb085aab7,6.1819620276
877,0x1c6d1e734b76fe3a4363d784324c61f6577365da,6.1818967541
878,0xa048d760e88085a0173295e721c91e7b6fad3bc9,6.1817484291
879,0xd4834e1602a229f5b2d2bae6fc92c7a727391433,6.1814154398
880,0xdbf735c64bd3e43bc272ed633efe285ad92bd68a,6.1813243055
881,0xbf962bbd6627943b14834a6da067742522c28956,6.1802009045
882,0x22122d80af9dea33f3f611a9ad7a463814b5cc3d,6.1801503411
883,0x22937b188f6592b8fc6c2f4e5577a3faa1f88dea,6.1719986631
884,0x99b79d041c281c38b3a71a14a165b4cb9764354f,6.1716057159
885,0x0de0105c1ecae001a86a1e641e0be513b2ff694f,6.1701035109
886,0xeaf2fa2b295bec2547882c6b65a94dc8778712aa,6.1608705097
887,0x520cc7572527711b8c50bcefe1d881f8ddb5fe8c,6.1428026786
888,0xc7f2acdf14acd04f684a96fc32b52c9732709b9e,6.12352384
889,0xfe849f50e72d6a2a6ec8399940372658c24e2345,6.1187182757
890,0xbc11949f2549906644c6d3d3c3e8237d9a1247b6,6.09598077
891,0x10e542cb52dac247f54b828999024755bfedd67b,6.0571998656
892,0xce6e20575b722e1224704c93330ad843bce5b8e5,6.0516983968
893,0x4d0c734a902523f82c07538fdae4fda10c982cf3,6.0514240095
