Rank,Account,Balance
6701,0x67215777d28cb6acccbbaeab4c4e3d45f7423de2,0.0172050917
6702,0x1b6bd7194cb6978861ca1ba8c0a6f05a5b2033cc,0.0155480506
6703,0xc9571a8c4975e7e41609c4eae7827ea01b36be4e,0.0152816807
6704,0x14317db38f1468bf6c4437ef5001d4168c59092c,0.0146454134
6705,0xe7145be85fdf854e94f24c11f833f47454687a34,0.0145117834
6706,0x329c4050e06e1c8687fa6fc7cbb4adaff05c1425,0.0144869308
6707,0xa49bf5886b9f447d9fc8ea8cb8f9c6cfbca3144d,0.0139208252
6708,0xbcbbe0af190fb5610ddb7f3bb04b35c3549cd452,0.013572563
6709,0x9738f67571c133c4d08adb0f9aaaf0626f97e2b0,0.0131609823
6710,0x683c10793757791a4cfb15491b95a5be3273f461,0.0131334177
6711,0xad16532523f54b9617106506062691136fb0e96c,0.0129916784
6712,0x53bcccd0c77015b5590c86f02f693d9ca5d08365,0.012593725
6713,0x3926e73e7b1eb130ec2dd33e39e3ec2af1d6ae2b,0.0124992142
6714,0xa924ed42d5604d2ad35176007329e5509ba43008,0.012499203
6715,0xb848680cfd370efa076d8f3e8101fef6252ba631,0.0124474655
6716,0x509fed58dd7f691ca944ff48817e8b2c6d1ae90b,0.012064432
6717,0x37cb28bb71d38d7f05883ba08a9d5e10a9339bee,0.0120392841
6718,0x29ef159c6d8ae966b5355e45564c360deaa96663,0.0117629138
6719,0x71182945ea78ae4b0f9db29c5468279443fd24c5,0.011748206
6720,0x7f0f08237a47628786febe8b85cff13aac883732,0.0113556223
6721,0x91d789dd85577342ac9b597c1c7893e75f8c73e4,0.0111359793
6722,0xa7e98232fe17ae5509ef554d919e3a5ea7c77f3c,0.0110872955
6723,0x62d262b76d15580598c9adb7f1aee08df4ffb937,0.0109528334
6724,0xad704507acc687e69ff26260a3f8d3684d8de6d2,0.0108244105
6725,0x625fdd43ea1448f7e559213bb7c7fb29d4fbc0be,0.0105696034
6726,0xfe99d25815be35386666f7665c2038dbcb35fbb1,0.0104135957
6727,0x0a34722da6a6011e0e3511f903bfe08ed0ca7595,0.0102698627
6728,0xb4531d65ce93cbb22bf4627b5ef8bac61b07c669,0.0100000007
6729,0x741ae17d47d479e878adfb3c78b02db583c63d58,0.01
6730,0x4a24c0ff0273ca6addde73b2b27a6236a71f35b0,0.01
6731,0x76ba101c003f3abba902eab0a26a2a402020607b,0.01
6732,0x128be2a0d61f4a6ab7a50f2a22a7818e9527cbb5,0.0099997002
6733,0xdde2e77003715f88e7f184c3472c79794641f22c,0.0097973939
6734,0x29f040ad5fa4915cde5cf6a61c9a5d0f1b9b25b4,0.0096000301
6735,0xd918736286a63e0637a9fa521e60c90a5cc0fda4,0.0091476681
6736,0x985dd9f321a7c3196604e359c93341ed806359f2,0.0090491123
6737,0xa14c28d19007da81bc0de5be416cba0ca5961e0c,0.0087888203
6738,0x043851795bbcbbd0345d3cf930bd943b609fad0f,0.007924542
6739,0xd9dc13f3286c15eba48ff55e9f39020a6b1a8591,0.0079218837
6740,0x9060cee403e119da0f76a791b38d0d2b0e16b9c9,0.0078410541
6741,0xdcdfa74cc8d7f56b33f45dec14ea2c4dddc3cb76,0.0076315758
6742,0x19f84b873247aa39be672f1b252c35cd7ec3e283,0.0075713884
6743,0xd7f52ca21b80cc622edfcaa54478e5a6ac2e77d7,0.0074803253
6744,0x799d5805385cf99b2649be14455ac2948ebca643,0.0073472359
6745,0xe3deb38c892f48e944d3a5623f4d93c09384a642,0.0072744179
6746,0x3277e41a38260564f7be32fe5d79fc21972d5657,0.0072513696
6747,0xb692c229a8622ad1db19b18065e69b2b6116b9ef,0.0070397407
6748,0x9fd85256023f12961ad6360dd5020db304e4a17e,0.0069855717
6749,0xb8ca87b017906b4eac99d830ab42827d4046921f,0.0067675502
6750,0xaf257adca1abba95ebc6d305c7c1ba693970a629,0.0066136442
6751,0x3da844783f2f062fc8c3b7afb4d781d8d652833e,0.0065712954
6752,0xcd54a5d7da4e3a856f606ae213d84cd5fb8a6369,0.006346886
6753,0xf4810d4f5f23d8e3cf9a65d5a588dedefbc71407,0.006054934
6754,0x6f278ce76ba5ed31fd9be646d074863e126836e9,0.005994539
6755,0x83f4e71dd7bc66f2ecb467667196d3dc97c688c9,0.0058467344
6756,0x0a5abc4eef196994abb9cd34fa8fe9229ce53e4f,0.0055043314
6757,0x8df267e9ef380ec9198fe2b381cefa4fa258d70d,0.0054685062
6758,0x136405ec5a0a65080cd58cbb581f2b264e4fbc3c,0.0054558459
6759,0x9ea17898734b5777c115a1ab30730330685b2aca,0.0052808116
6760,0xab6cd657631ca39a232dabecf46be6bda41caea9,0.0052792253
6761,0xd0c9a5daaa6ab34abe90c7c54c19c7fbef8836e5,0.0052499287
6762,0xfea956b046470e87b4fb11a6d7d61a653d36963e,0.0052042265
6763,0x09d7b94795560bb740944f2a15c5d6762d12f85d,0.0050016747
6764,0x7a4b9d9988b83df8d6e9a2d48843527540a8c2bd,0.0049525197
6765,0xf81ba16a9c79cb3bc5993323b975e16954cf0f5e,0.0048051534
6766,0x8639756aebfea66314fdfb9f693c5ba689c20de8,0.0047717854
6767,0xdf53e4b8305b80433095b54f052d98169f02d342,0.0047447366
6768,0x96070153d3581a0f946c0785b58c1f7a969a5b4d,0.0045540516
6769,0xf5c020dc0218c9087367fb817839dff9d893a2c1,0.0044652039
6770,0x9ef92fb24c018640e81cd33af25e075a22d51e86,0.0041193062
6771,0x8c66d150ae74789806b1bd2f57656918eccc4b2e,0.0041069294
6772,0xf9253f6352331f4ceeb1cf884f650809fb0085d8,0.004
6773,0x0eab378db22ab9ab48148cb175ff3d9614b8f85d,0.0037471825
6774,0xe71f2708641fb72fb9926ddc4434bab9c6427570,0.0033620816
6775,0xae3d4cb52e672d4d5442e65a7fb400fe01be7453,0.0033076273
6776,0x245f18b5d23d8a37412438d6c2c81efbe59673f0,0.0032591207
6777,0x8f06e4734145f317bc9e9d022dff4a82a9db9e1c,0.0031712704
6778,0x40bc680b605c6a9824860abb101e482a8131e108,0.003168677
6779,0xb646b40bdf034ec48603ceb5163a7dc062a0dead,0.0031073887
6780,0x63579884e292c14efd418346d24ecac69a4b4e4c,0.0030562884
6781,0x345606e8aa2e79b96344b56fffc94a87b02ec6ea,0.0030313542
6782,0xf046daff8474d9f7e2046ebdb756fd84512b77cc,0.0029338799
6783,0x5e36811b69b12d05eff41a34c185fc8208c5dac4,0.0028319931
6784,0xda03a3756084830f469d2428ca22038ec303473d,0.0026844028
6785,0x01710ab61cb036c069edc680658ec2936cfbc61e,0.0024378341
6786,0x6abcb12f9b636f6edab1b17981cb9ef365b09cf2,0.0024308103
6787,0x41540215f535593a7e99a2e4e5c61db27a7a42e8,0.0023553246
6788,0x9ab26dc14064385638f8592e1013bb5645e169fa,0.0023274944
6789,0xb811b00c1bd0df02f061ea0d3767a3e36f862492,0.0023246484
6790,0x0a15032416a5316c4d3d9e3e9fb0a397800dec1d,0.0021573407
6791,0x525c6b3d27b6b1fc28bca7dc04964247c1a942b1,0.0021379863
6792,0x36a9c05ae60cf1f734f5f260c29d57cf2ba511d7,0.0019932423
6793,0x6af76efc7dca83f24cbeb05e28f9f6224812e856,0.0019848797
6794,0x04b44849e66a266b62171aba25ff4909a7c51594,0.0018661376
6795,0x2d4269568e87ca14ae9d40cf1ed2aecccac3e9d4,0.0018188305
6796,0xf2e9fec0f136c9e8992257855554c221856f769f,0.0016683701
6797,0x6d90c9b8466d9d6f6f2c04adf486f96bfbf19449,0.0015106891
6798,0x8a279b6990a9348229f938110e02d9897eb98bf8,0.0014111367
6799,0xd7da72c87b081a8df7d522c6237d894b6f07bcf0,0.0013424038
6800,0x6b5f9c1bee73a39692e51a02809ea51819066b35,0.0012795279
