Rank,Account,Balance
1501,0xf4ca95fe5f00aa6078b340ddd073b631321f1f43,4.5180944424
1502,0x6a4a0e2038bb40e9c5850855370429d33da833fb,4.5178673917
1503,0xef463ee5caad1b406de4b46b383abf342fd12e82,4.5166537952
1504,0x3dd950ab037a358b739935c6f44c87027d4d6d11,4.5162322256
1505,0x0316232f24568f998855efc3d4ec7dd0101f268d,4.5156091028
1506,0x2d732d7ce6b9636b39d26e7db8e48bb6defe0091,4.5143601529
1507,0x1baf00db973a27fafaf2eb5fc6888bb329f3be6d,4.5139691353
1508,0x5f14aee4597ee955c4014cf5eca9d12a74910b41,4.513406596
1509,0xfd4bb57ca66b7834264e66ea113bd268359928f4,4.5111837485
1510,0x1890857d46b596a003f6f4b924c313942d1050aa,4.5100395914
1511,0xd0426a58b328c0eaf745e2492d0f82cb95e304dc,4.509095187
1512,0x4d245368a44518a7bca69567b5f662fcc1934a64,4.5083468922
1513,0xc2150b4075fb83056bb1d3d7daeef1ea284f8e00,4.5082843235
1514,0x5d0c0ff544577782231952d2d6f46344162eef21,4.5081239821
1515,0x3da4f6f06956807f30b1db4ba7c469428c3c99da,4.5076351235
1516,0x9575db71c36691c04021c1c60fe38e67ef706d1d,4.5056851905
1517,0x962ae3f23fd4944e4caba38059885c2db4b167f6,4.5053217397
1518,0x55fd13ed47611bb3bb50ecb1f6cb8c0a00810abc,4.5049341908
1519,0x8c2c3e61699da075c17a75ac1a23838b17abbf6b,4.5042423771
1520,0xf52ab1a0b450c13943822c47636dff6c44e625c4,4.5033098231
1521,0x77c7a5ba71e5ae050790943345120d565004a79e,4.5032707165
1522,0x937ba2400f663cfc4b008b5c5a7333f0d9bc0f80,4.5026065258
1523,0xa9ec5026a7c5f1e2047b4c1a94568c9d1a124483,4.5023221638
1524,0x12c6eb61af5aa74699309a760f0eabd16175be26,4.5014151806
1525,0x8a01085197dbcea129c92af9336f364e4c899fae,4.501003732
1526,0xe7426c97b20f8ce394e0cfe6aefd39f5aac75912,4.5007721951
