Rank,Account,Balance
6001,0x8506cff145f5666591b075e7b17f37d8cabaa2c4,2.6319189019
6002,0xf5a03dc88a97f6b694909b74ed2159c76cd908ad,2.6297872023
6003,0x0c4dcf3404d8004ba5d480b645bf8ac6e5fc51e3,2.6283243664
6004,0x66e5662411cc6e3a62387354fa3f80dea097fced,2.61577374
6005,0x3705c2f1f1c9b40e6a73c05c5cf0efcbfc753b3c,2.6120516612
6006,0x5a64823d59def49ad00c9da5a0d867b004169319,2.5973544974
6007,0xc35b10eff96e8d89fcc4ba25ccb41ee830803aca,2.5970634575
6008,0x96bb57d4a1b37bf1ff8e8fc43cd6aeb2d5018438,2.5871767539
6009,0xb332fbcd62fb4192ddbd6ecdc9e1baa021aaf17a,2.5830828664
6010,0xad5a10c808dfc8bb5bc08c53f846652dc8f0f8e8,2.5823293142
6011,0xfaf4c0b835e4555e8a3a81dffeac3c2bf7f80029,2.5803876446
6012,0x2b429f9a9e400db4c7da11173a0cfa31791beedc,2.5736163935
6013,0xc33f049ca56f801c48796362764b1ed65beab4ad,2.5735671791
6014,0x799d95f59956747522666c30975821d4cbdb8b63,2.5694996222
6015,0x9b3e84714e7b8501648b50e2fc002f8f3dec5ad5,2.5693949335
6016,0xf169dce4c7fc6e870ab94e303eeea3ad8d1168c6,2.5597188176
6017,0xb1c28d2d70fe8a752f187d3d061043d03b20ea47,2.5538873423
6018,0x9b1699c80725a0af6e3aba31d8d804b7e0cb4379,2.5509017466
6019,0xbf2ccc2958dc94955e9766db1651cc75deea7e94,2.536995557
6020,0x398e950ca302b7368ead8709973890bc4811aee7,2.5340561801
6021,0x6591c5468df6c039601b10f1434115266d4b785b,2.5276994249
6022,0xaa79d1050b9e70ba74e3bdf07bb3b87b2b767f83,2.5165641776
6023,0xc3f178591e941cdcc7839b4cf6d53a7c971d7b7d,2.5152448399
6024,0xe15ae507e1aa7ca096132677cefbc9f020b50300,2.5109497599
6025,0x4e06de27955d668ce70e97e2441a60986611401a,2.5103856821
6026,0x58c8ef8a8ba1e31a142daf1de96119a808414e1f,2.5048772532
6027,0xc0dff2b06a22552da980002854228a7933fd2260,2.5046507587
6028,0xe03fdfa68d5d795f2b198702152e96d9406803a8,2.5036040118
6029,0x6df83c5af8e37a116768d52358f850be8be701a4,2.5034869329
6030,0xb46f143a3f4c7f4c977ee544c562deb54684bad4,2.5
6031,0x18cb770c8b829c3cdec1a913d7d76f85d226e912,2.4883490829
6032,0xc921fc69ee2520edde2f6f0daedf0a0b06667f63,2.4780933501
6033,0x461468dda58a2ae3e2e00a3936096ce0f8bad7a5,2.4758838427
6034,0xe455423d2d9133ba3ef1121d58bd7aab73077491,2.4733377514
6035,0x59f0b3e99aea21c6dea9ddbcc77353bc6a64424e,2.4730378766
6036,0x5c360424ed7d6de2059be7ac40738c823fa7d6d1,2.4728521948
6037,0xe9b59f363928b9fd0e6b238f04145ff17042254c,2.4710081379
6038,0xf42445c8c2f22f45ebc576f0c2ca82fd568548a9,2.4665581371
6039,0x335b43ca5cb2635d515b6331039cd7277d0a3a6e,2.4572439042
6040,0x4f266f295bad85436ecea51e0ae2afe82b11553b,2.4489940524
6041,0x681ed72799e3cb956ae6eca709c70dd6d40b3085,2.4397795251
6042,0x147cf09e7373b8fda6f12021f1b0f98d6da1a566,2.434778187
6043,0x92b46f8f793af3b7503a1dcc19b5edfd01039d4b,2.4195237587
6044,0x58728b29945ea5ea69085235584a6c80f55ebd4d,2.4101318323
6045,0x8245934220e9d95f25c95d6e8ce5fdad137eee78,2.4014299695
6046,0xa6f40cee44276bc06f026cef0c138b6c27dcfa47,2.4009461096
6047,0x24d18dbfbced732eadf98ee520853e13909fe258,2.3897666891
6048,0x9b1cdca2c49c24efd3d54496e873dd9a23d9796c,2.3841493502
6049,0x29d4e2047026b62a63bc74d0554c9535c3a142ff,2.384030133
6050,0xbb7cc747f5279fde28b0878c928d92eb6c90debd,2.3662786081
6051,0x0c48dcd437881597e4d40f797c370e25a9fea286,2.3662480901
6052,0xb3f223ea8688300e3d591354a66722f560b1e3a2,2.3554478146
6053,0x037d105ad14d9120ecae6746e8431e1798ac89c4,2.3478787594
6054,0x956369b2373effa5d5398e2d5ab6184a07f7b3d7,2.3422769575
6055,0xeaccb500330778e9cd697c2a3d207104da478bcb,2.3078245344
6056,0x8d266df174968a72a6d9abe2dca4f2ade20c529e,2.3009569262
6057,0x49a18d52460edee159af6b69406d3f518d4d48d7,2.3005022796
6058,0x4a43c16107591ae5ec904e584ed4bb05386f98f7,2.2984909117
6059,0xd53c5abe634d68f94798d0e167e181006c356cee,2.2973544974
6060,0xe056bea6b39b3616c7a6a418ebbfe627f06c8dad,2.2804316134
6061,0x2e72fe2258d90afbad65adf0b2055ac374c77894,2.2724588763
6062,0x09afd91a8b1f64b257d82caa8f34ba93cb14b13a,2.261964445
6063,0x46d6b8271ee4e254d595315f99920c617e13940d,2.2524705295
6064,0xa6affaa29040c3029dd68633ad3437f18573412c,2.2415217131
6065,0xb50d8930ef485445548f33758783ae29b082c161,2.2265102226
6066,0xf167c89f45064f1f1c2d4410e42934c6f480d842,2.2222479954
6067,0xd9d72453305b2c9143c19bdac5410683c351ef74,2.2098215893
6068,0xbf87d6f6f9a15315182c25cc5de0f3d93153c398,2.2071261032
6069,0x9563269035b4c26e55b4583b9376d4157c05c064,2.2
6070,0xca34839519f120b18567f92fb78fc37455ce41aa,2.1993757826
6071,0xbf7cc4206bf1bd3cfeabaf60266250cd55d8533e,2.190523695
6072,0xcba7ebfc26f9625ee8c19546a17708cdd1204d14,2.1763852449
6073,0x355e03d40211cc6b6d18ce52278e91566ff29839,2.1692992628
6074,0x7e8e312f7496742d2d585cd14af837377c395880,2.1611022063
6075,0x1dad8c153ba476a7da10e7246a1f6d45f2564fb4,2.1561766877
6076,0x00fb97277cd35122ce3e355ffeb386e013eb142a,2.1558186625
6077,0xbe41a94133118a97a9baa00e01ee335786fc4a13,2.1430874679
6078,0x91b23e9f248bebe451bc9a9cfb30ca86de674150,2.1422950401
6079,0x7f3ad305d730f82e78c8d4256c1776408b5ee840,2.1404782838
