Rank,Account,Balance
4401,0x6c107b40484d04d8e31884b019dd7df64dd2a670,3.7123164881
4402,0x4ff2368a32b311b3fa1a5f40b7b6aec996d0ae89,3.7122681201
4403,0x11eb38b5f299833b364981b362ca3e68e3e1616c,3.7122564905
4404,0x1d84c144febffbe692192ae2180203fc450f100a,3.7122561061
4405,0x64e83d9d1e87f3a952cca300dcd458271dbf1f9a,3.7122370619
4406,0xa9fc7c00ef9c09b661f10e818dd0e3d76c96d981,3.712234372
4407,0x9d0fa72be2479882b58282b17dce0e035f96eff1,3.7122341472
4408,0x9b315bcbc894f4f589944973559bc997b2d86dc0,3.7122302981
4409,0xc427d0acfe5779eef1e6a2bf03efa83197a331e1,3.7122073957
4410,0xc4275c63c772068cdb8a24fc9eb9ef00c0be4c16,3.7121798605
4411,0x0be73f8c1246496b0c5c17ec74d4b19a474e995b,3.7121785031
4412,0x64c5857b2f684523dfd09b6ef293b1daa630d229,3.7121521053
4413,0xae1c88a7634d62616553ca7158e30f76bddd83f8,3.7121440707
4414,0x33c4a0b20c8188aa82561fd3faf47b4931fd2e96,3.7121036028
4415,0x918602b520530ee49e8b24565fc7a51170cf3d48,3.7120454294
4416,0x44a565f6be6f7f7feb2cee6f731cc0cc1224e935,3.712041592
4417,0xe75e04b64e0d0310d2487032f05b676d7dee8d9f,3.712028748
4418,0xd3c7d92dfbb758737fcc994f42417c0a57a6a5c5,3.7120287083
4419,0x2469c5c5492323cd4056ac3d0992588acc64439f,3.7120019609
4420,0x250229b1628ca2d00f5853fdfbc8c97dd8b8ae94,3.7119716654
4421,0x0759332f13120a89dccb9c6ba3e06626279004f2,3.7119573211
4422,0x2b696e1b64f148b8169a745fe078a875ac4589cb,3.7118942527
4423,0x179b847833532783f84667ece5d40e8e2b078cf0,3.7118933881
4424,0x57641d7546577219839559463337249804fb9d34,3.7118799545
4425,0xed2416f1a6c93123f0e67ca32b8122f4354d7d8b,3.7117992721
4426,0x714600ccd179a8d3e80fcdd8bc483fd5327b92ce,3.7117964056
4427,0xce5d887617cf67b5c79a1eabd841d62aa7779792,3.7117830341
4428,0x5afcff64933dbcce5450f46979f54cf0423f6559,3.7117632168
4429,0xbe5137fa2ad8e628032098fc899c006cff87f67e,3.7117559938
4430,0xa7e4d37c6ba402d825bf2e4e951f003e7edc8bf2,3.7117349363
4431,0xa0c416cebd7b33287bee553e37a38110f21d5152,3.7117130447
4432,0x0be60d9109d48bf5c351ed81101e9318f30fe5d3,3.7116885904
4433,0x282d394da496a0637d06346e5b185a64e61fbe44,3.7116767749
4434,0xb084f4818db4d39484fc816e37f558e576631f54,3.7116733144
4435,0x3d5855427bf8493b35cc08b03e548257a5abf54d,3.7116647055
4436,0x7cf8eea960a396bd0a26eead91bc3ee39dc2cd37,3.7116624739
4437,0x55795bca099a03a3619447c351bbd1f4e20ee15f,3.7115681298
4438,0x0c2cfc08c46c40796f3c3e597866f7a76a7e6253,3.7115628233
4439,0x3d208b280cbb21cd72c2896d9afba8a1eaa08cc5,3.7115366618
4440,0x7590d9658fd1741387ebd54b7dce40e405c9cc9e,3.7114937947
4441,0xa0abe43fdaab91428583455bb99b44c2a7492f3b,3.7114532959
4442,0x264ccfbb5c222ea324cf573d87bb0b6742cb485d,3.711438045
4443,0x7591881b92a103464304c86be593d5b85e3f356d,3.711398575
4444,0x20f795352413e8e6c7053a56895b050f716e3109,3.7113977618
4445,0x531d7b26ac212d79cfa6aeb15a5e4c5f1a82775f,3.7113855088
4446,0xc67f559e8a65248da661ec1f5be43bedf966427b,3.7113822965
4447,0x327ea371232d2c28d9cbaac30f2a1ee72d45b630,3.711362446
4448,0xdac187e59662de3a89ab56cf38a55d2a9b1e424a,3.7113476978
4449,0x1e0fc57754a93ec31172a2528c2551d35588bf14,3.7113430421
4450,0xa6d56c1a85446aee64edf30ef5caddeb2d7a6ec6,3.7113422289
4451,0xe503047421932e5cdd7fcc5d2bf24e3bd1adf48f,3.711330637
4452,0x7ef4b8c89616199e12514ea5d92628d3e58c13c9,3.7113265493
4453,0x2d73e448c0dff5771d43440aec10d7677816db21,3.7113195318
4454,0x13bb46754227c588f03ef48b5adb6cbe424422bc,3.7112875105
4455,0xcd92e84fceff4c1e956e23ef04a1aa153fb40b6e,3.7112642513
4456,0x08dc0e7d559945ce21c34c82cbf3dfe09153839a,3.7112559374
4457,0x634096d541512a4bbf29cc7697e5eb1920247400,3.7112487286
4458,0x829e710d156377a5cc5502b2b6f4ac4a82c06bbb,3.7112368297
4459,0xc76490ae444f39016dff02d3afe62c5dcf3300d4,3.7112061581
4460,0xdf26d5525d07c662e011cb68682acc7f9481a504,3.7112014837
4461,0xa712b389e769de860f322ccc067890d9131caec5,3.7111931993
4462,0x52169b4efefc3a146eeb17582f684daebda27a04,3.7111927665
4463,0x9ba45525c92bfe174c502febd163e4be85555ee8,3.7111332708
4464,0x3ba8c4f4f661b9926582f220cfad8a6620bc3ad6,3.7111325761
4465,0x12c48c3e190d58f5f9ab7165712cb324e15b647b,3.7111220357
4466,0x3dae5147f22403e4a5d3bcd63b96feb5dd1727af,3.711112234
4467,0xa94505a9256c935a91fcca29a2799afd6b0e9439,3.7111010825
4468,0xd57dcb52b93dfd5133084779a4cbc57cbb9b6c32,3.7110311858
4469,0xe14dc4cacf776284f71b2971e2f2ddbbc0343875,3.7109912779
4470,0x3c5fc35794a5a415e94f23ca4d90f09756d349c8,3.7109877048
4471,0xac365debb4e925df5803871852e1fd82586e0996,3.710984647
4472,0xd68939b2ecb9c6bddf39dbf5b64739952f24a7a2,3.7109737679
4473,0x0156ce86a738652769636ae43012c81c07de50be,3.7109737608
4474,0x4355c7e738d80a0f8627faf2631a652210bb7647,3.7109435364
4475,0x765b9cdb4ef9cca380b781f67c3b6cd176cc33ba,3.7109245892
4476,0xfde9fb64def61d6ee19fd21102ced1ccd07b4e88,3.7109206619
4477,0xa54465d38bf134dfdee685d9a1c828aff947fada,3.710881542
4478,0x10a603a137325e3f0e879ce0d79534914227351d,3.7108815416
4479,0x2188ffb3e555905ab315e9230b614247bd796038,3.7108651386
4480,0x8a04d8bbe42240f2512703f2d55a5edeb25d4948,3.7108422117
4481,0x5b098117047aba81a2836bb1b1f34092c97ece49,3.7108343733
4482,0x50293408f826df0a97a699e0ba5c95081c5c885f,3.7108194872
4483,0x3cfcb477766f25cbce7d479b17b71f07fbd47fcd,3.7108117903
4484,0x6ababd14c9971af7a6a08bd1d1653c3013a56cec,3.7107973568
4485,0xa57a0f70e226a9cfc07bb89bc3900a399503932f,3.7107785524
4486,0x6de8afbbe3889169211e004699669c13a3381767,3.710762756
4487,0x0c52bebb06e574430c731c7a4e4d287eb5d40a76,3.7107336954
4488,0xb1e4a3ad29518ede90de8b340d0a5ceab06cc261,3.7107091058
4489,0x82f2ac84abf6c49bf30c4aea56d5fdfadd33acb0,3.7106810949
4490,0x63ff3295f4ac0e11624387074a90496787092f27,3.7106751497
4491,0x89cbd6b53cbcd7a68e9ebd6c430c8685b81760d4,3.7106660023
4492,0x6e5583c0b6b21b968f3dd991fefd2da452a67056,3.7106492655
4493,0x2dcae063958c36c63f2466b32ad6baffb79e3b30,3.7106084535
4494,0x6e12816bc22b82951b3f0123733c6c2ca2a9e641,3.710597021
4495,0xb6e0834a3082b4293a3446afad1ffc2b990b2f89,3.710582564
4496,0x00a5aca9666e655d1b0140508afda50941800774,3.7105816367
4497,0x880874b5be26c61d6d623c488b2e8fc209352d8f,3.7105799284
4498,0xc8cdae071e1e8db2eeee44b64d61b17c03c53b60,3.7105678892
4499,0x78afbcdb364947bd514088eef49140979f36d670,3.7105490379
4500,0x78b1b26b405468053e03f872ad60c4a3bf5d5dd4,3.7105417235
