Rank,Account,Balance
1201,0x30f0d1094f4b5605f30d1343f961a8ab24a07ad4,5.0018838798
1202,0x79a2e0cd3ada7662ac3378d7fdd5de19ff90ed0f,5
1203,0xed03dcfb233db6729165f4727dea96353b472a79,5
1204,0x191d385f923b8df139736f27860c4fede7b05e7b,5
1205,0xb17f5d194cdaaa99d6d0724fd2255eaf1681d4d0,5
1206,0x89984383eceec07602c35ac04c5dd6e520f24dd3,5
1207,0x2f5d1e26668ec3485bdb4e4276bc9c519b46204b,5
1208,0x1f2066a710882430559d1978390ceb0c1d925e6f,5
1209,0x9c40b2c514ba8cd25ec5dc4fb037aada92155e2e,5
1210,0x5ac9f51507492c879d1f3883d210b01930da3fa0,5
1211,0x1c41b3887007ec84f12ac9c99b24f203a9190b37,5
1212,0xf5851ba1abb14b26e3a693ed374b3f39bd6776c9,5
1213,0xe18208988e0495da9994a6c53ea310d2394761e3,5
1214,0x9acbe8fa0b13338c2cfd45a4cf630c40711c5246,5
1215,0x432cca97bcf31cc12180db9bdc635bae49ff4d9b,5
1216,0xef0c3b671f2fcb690a7948fbfa59640ab713eb7d,5
1217,0xfb9ff4001c63b639f99458c39e94315fc5c84b75,5
1218,0x48914c5fa86aa9c4c7a87f50f03290c8beb74d7b,5
1219,0x6698ee3c35cdf12e824fade4890993c126dbbb91,4.9999302276
1220,0xb0b6c1c26c6f290a9244c228cf64a446465b4254,4.9998114771
1221,0x0a767806be662daba41e306a19e788ef577acdb0,4.9990971816
1222,0x1bbf488583e0b926e6df09889ea8d6e61d937d27,4.9988390023
1223,0x75678da3d42603c3438ed7e784502a006331379c,4.9973544974
1224,0xcfe2ea16a43cff87d2f5a1821fdc448b6ceaff12,4.9944057155
1225,0x61646a78cefd29caad561f191a1bbd658714f255,4.9928091932
1226,0x9f4724631701553efbe784b18f743bd37c22000c,4.9917476802
1227,0x902a96cb03659f50fbce9a256dabe95063ed47d0,4.988416284
1228,0xedb77f0ffd272a2480d0bf2dbf8c6ea7af0d17d3,4.9873177003
1229,0x68898a7ce797d92a390209fcf961924da329a3db,4.9864975073
1230,0xebd79eded54c349105a962463def31c2fc262794,4.983343725
1231,0xedf7564cf2c9e65764a1b1c9512640f450d00f51,4.98166676
1232,0x3c01a00784cdf55ef8e5e2d0e32939e204f67248,4.9786522072
1233,0xd5f4e08a17b51fed16cd4f2b0c855ed403406650,4.9786041498
1234,0x01d465e288c1e1ff189814c62782a31e363556cf,4.9785454336
1235,0x63883f6c30d271c33299b43d6b143a3389d56a81,4.9784386635
1236,0x42bc054925c9b0a9f308eeca9a694c0c5461c08f,4.9783318967
1237,0x0dcc92883f8fb8153b7cc849153435e7c58b522b,4.9782251335
1238,0x0b3591b48371bcb8f3b787ff25f1c0725075d0fe,4.9781183736
1239,0x8faf7a1d1aeb8564fe74fc4afe78823bbd81f249,4.9778809004
1240,0xe2b4b24691f98b6dddf1db7e430216b8325d933d,4.9777741513
1241,0x7d441d3a04116deae2cdb47adfa9e0414e0807eb,4.9777672414
1242,0x853c3d8cb73d5797f7f6840cfec937f2b80ac3e9,4.9776674057
1243,0x378dc4c673d57666844ac5d61efebacede61b68c,4.9775606634
1244,0x460166c65682ea7b171e6431d813762ac5333106,4.9756252243
1245,0x33fc0514328ea6bbf06997283320e5fcd504faa2,4.9746810901
1246,0x311e49cff57111a7fe2e6d7bdd03874dafa2efac,4.9737435398
1247,0x652ae13b0424e02627d57f2c6067e75e60ab227e,4.9733866397
1248,0xdce4deb261f6a810be73a208f90838a661f38964,4.9732522709
1249,0x609382c2d03613671da7db5ba5472106cb0cdecd,4.9730160789
1250,0xecb30cee005afd5b6c6190e17e78c5d471863464,4.970357406
1251,0x7ea8fa86a39fab7547559f6ffbd0860f46e83734,4.9686010941
1252,0xa8e57c0730ac8227efa13b9acbeedc374ccb0115,4.9680355632
1253,0xad27bef90c7d9288f4ef9ba07b8ae9d789a70acd,4.9669915579
1254,0x5be5ae3eae669c5a49850c396c64673acc419981,4.9667579812
1255,0x471a751b430418affe2f971d5c7a223b2a945fee,4.9665244209
1256,0x305c7486cabfced5fbf6d0302603cf08a4b73b5d,4.9664031087
1257,0x39dd03241c7bbb3363759576b1f0862a172ea05a,4.9663606303
1258,0xca06ea618df57593d9e5f8422bb85e1ddefff5de,4.9662908772
1259,0x14139417d3050203d0cdb0c756a05722808fc10f,4.9660795556
1260,0x2bc78231d2dff00fddcce3694ab8f1e8176fe9b8,4.9659721415
1261,0x370489af29a98c8c59c7f58cf77a513f61fa0913,4.9656887304
1262,0x6c757801aa6426c08e0c18e92ed076ad66686f8e,4.9654554746
1263,0x885f5bbfdbd31bb66c20a7c81ad0644515eb491f,4.9654552462
1264,0x1bd9fd0f1347f96e585659173c0795651d7cb995,4.9647771291
1265,0x8ef1de5ebf159405c85108c49706efdb0ae185e8,4.9640258031
1266,0x50ac61eaf30fcefade2e71fe512e4cf8b847593b,4.963850488
1267,0x9eb09fe8d7870ca353117d0acafa7ccd1a799044,4.9636171335
1268,0xffa1b706c6aefab8d51a96d575569951e5a0d7bb,4.962936201
1269,0x6ae022886fdb0c83b5cf767e3839101f043d56e2,4.962211177
1270,0x5baf36a08b00888ead59b5589892d2946aaa8515,4.9619678482
1271,0xb8f809477d4ed6fc9899d905a221d290beccea81,4.9614374489
1272,0x86fd98640701b062b765735c3689d93dba3f550e,4.9580174833
1273,0x6ebf1f5756461012bc6be3f2e1f41274f6201de7,4.9579589193
1274,0x3b1fd3bf31fc656bd0b6ded25ca09bc327a60d13,4.9573611307
1275,0x93dfdcd67812e0c36efebe992ae2971c2d16c02c,4.9567841443
1276,0xf23272822238afbedb052f6278ae19f97f8d7328,4.9563022556
1277,0xdf3bc3e662d9f177e7444c81d400c64ab6036379,4.9560440123
1278,0x7b7205b3e7b3544ae44b392f0e005b7d725bb521,4.9544352142
1279,0xc69fb132a0ebf0efc5acbfc5b53bda5bc94a412c,4.9530628394
1280,0x379f7f5162036b13e1626683761c2528f2d4b413,4.9528416472
1281,0xaec679741509a65762b797a47dc89689bf18a0a0,4.952473234
1282,0xcfeb8ee5635d7ef3e5eb12014ca479aecb8b7ea1,4.9503698825
1283,0xf10d676fb149d16cb25201c2b3d0393c19c5b45e,4.9500555904
1284,0x9a73a46331c2a6094982fe911f3718bf6efdbc62,4.949931652
1285,0x90c9af11f2fdba2a6bc7ca02ad5fade20d182100,4.9498325005
1286,0x844940516c65218501bd0dd5ed93148dcd9b1465,4.9496845378
1287,0x42805f020e1b7a32f23e859caa60bad0b74e01ff,4.9495595215
1288,0xcd4f4aa4c8df546495058017f0c4813def8c07a8,4.9486050434
1289,0xf03d6f84d271bb2f579ed487ca8d8ddc2f8b0200,4.9484382651
1290,0x08c740ac6bc01ac8355e5d7a83e0444b0cbc9f6c,4.9482622896
1291,0x3f94a98b43dde2ec90932bd2e5acfda76a51e49d,4.9480615296
1292,0x54e4e2b1785585c58267f8c982ea7f5002f11195,4.9479344541
1293,0xf62e20048f89ca11137b2236d0b7f2534cc2b7fb,4.947924874
1294,0x59d090028667624a307073c67a8bd541139c372a,4.9479159891
1295,0x939ab45a35130fdf9c4c3b2619ca407b3fe109d5,4.9478435741
1296,0x320a1dfaa53489f300c7cd205c317242bc19b41d,4.9476437805
1297,0xac8e40482c020af04c6df97e91cb77e3016d53ee,4.9475854231
1298,0x59a8b66e0acea38fdd8d7bee9de132fca91706cb,4.9474620123
