Rank,Account,Balance
4001,0x55aaf6665fa2caa49d64fd255aa6d00e12bc1399,3.7316187771
4002,0xffb750abc77fc68d3138f7a1c2a8f27d14b3d2c2,3.7316164672
4003,0xb46ed4e68c97cb3f69c286191007f0f64cfb2021,3.7315613601
4004,0x3d492812e28bf53288c3f5af6b986f23bcf5677e,3.7315224919
4005,0x221308964f907fb4ae06ed224d7ed94987a21ff3,3.7314938465
4006,0x7953b7a2fa2e65811b43eebabd28984f1a1289a5,3.7314860015
4007,0x724ee2fff475cf20b94d629ec41c2bf3587df6f6,3.7314606121
4008,0x76258fdc32982adf27a64f501d9aa0240af323ef,3.7314507497
4009,0x6a4669686b0fba6e5463383beba95a4b397d8984,3.7314122831
4010,0xe1839fe942906c5024d5ef418e3e3e1c492b4aeb,3.7314120142
4011,0x50d96d65daf6daa8b340bae417d649cdaeace71e,3.7314064216
4012,0xfe88d7a90eba00f72e8300916b01e6e1cb63f986,3.7314055084
4013,0xb0e999080fcf49b815e077a259ad9ba7ba929771,3.7313329832
4014,0x37df87ecbaa3aa189d9ab39ec58509f2679230f7,3.7312852644
4015,0x039e6fd0a523b24596bab3f3c189c866b6ecb9f7,3.731279085
4016,0x13ba858c6b9776b1cddd39790fbfccef4efa997d,3.7312626868
4017,0xc85da1442ac1e67db943f6112fa46b0a333cb3d9,3.7312075875
4018,0xf2a4033c7c6ba89f227b68a1dd7b04a33835a5e1,3.7311702522
4019,0x26ced98a06590c36fec9f9099612f3c0eed01864,3.7310613873
4020,0x0a2742003500dbc754c9845334c2f016b951bfd6,3.7310522248
4021,0x47550c31afe6a10c407531f6123d84dd1f24a6f9,3.7310477192
4022,0x00a2e07b1f4682c066188dabe97d9f1d29e48111,3.7309743851
4023,0x2424fb4684b04f2af17bc1de7dc0b9ff977a0edb,3.7308255877
4024,0xd0aa144f63d197f59889cb9a9341296a65f82f3d,3.7308060074
4025,0xeaa204b4e6f58306ee5f69a5d1385cdd1aa24a49,3.730787168
4026,0xba2f4a4d842afb0040ccd5f418f43e58f14804b4,3.7307758112
4027,0xcde32b3e5b7ba0a0fc884d98c3befa399ab83b9d,3.7307405685
