Rank,Account,Balance
1701,0x8ac36bece416076b8c787f5c19980e286a7580f2,4.3539061426
1702,0xc6740d04f6b14f0c88abea440e267338cf2b9e22,4.3538827673
1703,0x3e92fa528c2485429343d0e26a5065b014149ec1,4.353873579
1704,0x5e6bc0635eb3484a3ef4ccc8074b3b9af0c9e4af,4.3536046301
1705,0xd13f1b338663bb8739cf986c8cf2aca61355e076,4.3534296076
1706,0xe2b36014d8e6d585773c7b14e89b6f9d533a0691,4.3534103606
1707,0x221eea2d9c03e876e5bf264230b80b9a336376bb,4.3533313628
1708,0xe1a00dffa91ae2d3b959ae2767ce6a776bddaa76,4.3532788491
1709,0x7e0dc53396307677b9db87d4da8c8d4c9c25f682,4.3530656747
1710,0x598932357e600b621d5034faadb1f2d1d990c5ef,4.352239446
1711,0xf92bc39f4a9a468a9099c562d67bdc4dfe69f867,4.3521632255
1712,0xda40c79f921f7d253bac582a355390a3c9a6a0a2,4.3520782145
1713,0x0ed0f43dc1a3822e3a053394f883d4df47a8f477,4.3519991308
1714,0x97d696499238eceaa27475b8b8f8a14dc48ee4f9,4.3519524497
1715,0xde019f870277db3cae9c4e7e31a7b1fcf500b294,4.3519466628
1716,0x86fb7bc8990876733bf197edae1e0d2d4c831522,4.3519303032
1717,0xefb2a5bd52684f6a6386afb48040a05807d4f8d6,4.351912067
1718,0x1874e860997931181aac6f16a022d06909d59429,4.3518716973
1719,0x74dc65b51c30db18d9529ccda6c908904d6459ec,4.3518384929
1720,0x56ec7ccfa2417870ccc396b170667174697c91b7,4.3515243817
1721,0x063a202abca70364bbcf8b990d706103b4959cf5,4.3510712326
1722,0xb38e3169adb818fef82d5db88e9bd0d6ab4c3d1b,4.3505046192
1723,0xbff9cfa0ab56d2fb0405df5d5e6df4e0f049af75,4.3500286466
1724,0x8bfcc6520a26dc34f9e5b42560c0baa04544d97a,4.349835867
1725,0xb95cae16ebc696e6c5c4498145a175270ac68840,4.3492141564
1726,0xf1977fe36e32b5025c899d0217b89915b3f1e217,4.3491166739
1727,0xc05fbc7305574d1c24047bb1496688b3bfb00744,4.3488146735
1728,0xa6a8cf3824ddab7f7c7c7cf520851b8c43e7d218,4.3485523229
1729,0x665a1476615a3848b51dda23901e1c8fe646065b,4.3483098167
1730,0x52f3d697ab22a5053dd61db61d7bad06fe763171,4.3476280239
1731,0x6c41f41ff9dd2d426130b58bfc3a956e2ea6832c,4.3464664815
1732,0xe705cbbb2b16f9b00ddbdc311f9ee6a12b64d015,4.3463617267
1733,0xda3d0f5bb8c418d5bfd21556055823c3991153cf,4.3462633793
1734,0x10a020b039f0fa22ba4a4f9770ad447dcf507fac,4.3458245366
1735,0x07cfb0b82924fa94bdb807ab7bd80b8dc38ef4c1,4.3456063119
1736,0xe6c6881a3f3076917cf45a9293c75fea9882a276,4.344826686
1737,0xd129c43e038a329ca0b89c48861e6a1f59e4b27e,4.3445480488
1738,0xedcbd4a5d5c5849d1ad3e9cf4122addb64469b5d,4.3444711435
1739,0x6a20ddda8fa6cec2996f0291bbea6026325cd12f,4.3441074591
1740,0x2dea40e9d108eb71fff5069623bf8690343fa509,4.3439935325
1741,0xffb2d7a657b7993154c712929e2b0b9789e7d91b,4.3431481908
1742,0xab0f209c808713f2d21484343d19637b45c165f5,4.3431232879
1743,0xffebaf265d6653c40e635f5c7891089dc4c8e9be,4.3427085496
1744,0xbb271889d8a5900d5f999b6ff7ca20187a077a45,4.3409534227
