Rank,Account,Balance
5101,0x43efa121aa668ea7070d9f0e5e30012ccec44522,3.5989175976
5102,0xaf079d97caaa612382678f036d9d83fca10b5624,3.5985975713
5103,0x0dbaebe4765e837a538c57563e85b5b259a94bb1,3.5980764939
5104,0x014764a1125251fe17f0ee3b5e1c1dedd667ce46,3.5976501973
5105,0x67d621e9516737ad4b92350f9b39bf8bf00c2d5d,3.597258051
5106,0x2765ff8367d5639b4612c6bc7143f52470667fbf,3.5967690934
5107,0x3598143d676dc58eb7a2a159326d26f3c09363fb,3.5965969023
5108,0x268ab0c9890369f71a81b06357922de9e8ef9a66,3.5965091159
5109,0x0a268ffb1ff561e79ad0915ede2e5ab303bbb37d,3.5960141301
5110,0xfb0900c2d1936da89b62cfb842596aad224897b5,3.5955365513
5111,0x2efae224b795420e450a09de3ef6a13cb420baa2,3.5951010273
5112,0x770e74164b96a5cbbdf217b6652cdf50df0269a2,3.5947548037
5113,0xfe09348f1b2cabcf784c66670fc2f861561bdb13,3.5946751893
5114,0x50fba4c771bde076a8a85550aeaed3657ea44f33,3.5943677304
5115,0x97e977b59689b69ecff65201125080c0d4cbe6a4,3.5943583026
5116,0xb5c6c543faa067145b80ab115ec8f418c23f4dda,3.5941957328
5117,0xe680bd6fbdbef2517aa37e948267bdeb8a4bd1f5,3.5938766212
5118,0x67cf52cd5af2302bc64cbe785fe9d7d34ac27e96,3.5937810451
5119,0xb304315b3770353fd80fe2d1e45233d1847ff4c2,3.5934541194
5120,0x99b279cd45c45550968c0d35d0945a7e1329dad4,3.5934275026
5121,0x7a0d68b2525e35106f942eb864393c60a836b63f,3.5929287094
5122,0xc18003edf64941931ca4514fcafee32ec7676e00,3.592558197
5123,0xf24f03910d3df3b69c1bb9bc63646633a822c539,3.5923161021
5124,0x5e2f4f81308e35c5b9a8063e3d60a44edee2b57d,3.5922055932
5125,0xe2d0449eff117a73fa041b0f499ac2061caa8c1b,3.5921524277
5126,0xf987e061e7db90837f800f9255a8d0b3873a1d30,3.5918218466
5127,0x31a488fa7f220e5f67a23f5226d2a45a544aaf8c,3.5917104093
5128,0xe145daf4ca71ec5a4c71ffc2d313f9079bbd9117,3.5916583227
5129,0x718acc91142591fd77a63dc4ef00d2794f7e761c,3.591618583
5130,0x4623a0c667b5df0ba092e4be3305976e16c961ea,3.59161682
5131,0xd3684c0805be0f683c891c5442eceeb48f83907b,3.591577081
5132,0x623650cb9fcc554c8f4ef74e7d9efc8bab1e4d20,3.5915711874
5133,0x6293fe4245718d0643014bbc52383ed04634ffc1,3.5915271679
5134,0xd6eb2869835a1d0d154f978e059ba50b67535394,3.5914937116
5135,0x39a53b5f1a63bc363483e4a321be14cec1b9e285,3.5914856675
5136,0x715b10e13039b19e540b0e1cfde1a8fe762fadcd,3.5913009995
5137,0x0d5e0650424c45abb1bd537593c25047fe824813,3.5909264061
5138,0xd581aed21651fba5817bbb895aa227ee96d4260d,3.5908796292
5139,0x5a6398c1122e12d23d5520b1d85598fc568af0de,3.5908370556
5140,0x5d402ef73b9e32eaaed495c9de79fe861f52efcc,3.5907944828
5141,0x55d8e2c6357567cad38130eee9553bd3af3970cc,3.5905621197
5142,0x64ae5f492459cd51a13e23e0159c859e94be8302,3.5905206362
5143,0x55e69129917784d8d10b76546316a5a35ce293ca,3.5900877454
5144,0x5d0eaae0636d1be399bcbfb13bf7f62d1bfdebae,3.589669326
5145,0x6f93e4a35e5bd9491a414a3fb10dc50005ca1a6b,3.5896205749
5146,0x1f2927ff34cf7377abf0bc98c074427062286218,3.5895553293
5147,0x52e533bbf37f58bd1497e84c8d57ad51b16d1eee,3.589445837
5148,0x9dc9328fd2094400d61af6a522d4ee3245e6a7b4,3.5884368009
5149,0x76b595f06c810d95587f2ebda2f93a380034c933,3.5880957512
5150,0xa2d3456edae3666931328c24cebe0fb949a2eb54,3.587645921
5151,0xd7b375be3c2d3b31ff512d69c2a653aa2ca3937e,3.5874750668
5152,0xeaf64ad31d572426fb00de866aede99d6ecf87aa,3.5873530273
5153,0x0f4954abd347816a5efbf8d69d1770a1a55bbd03,3.5873514857
5154,0xa332037a4138100f487da66b1325e4d2824e62a3,3.5873487568
5155,0x3c1b872387c12828e0c248440c885043a61ba9fb,3.5873136631
5156,0x84d94c259bf00365b2a903eac4f9785eda8eeff0,3.5872722533
5157,0xe2e04f9fb145cf708116a4c8891e8d3381d7190f,3.5872308442
5158,0x47127d64a43c133ea415488a0053f58778b65a9e,3.5872229434
5159,0x827d8421265491a30290f541f5350aa5cb8988cb,3.5864370852
5160,0xfea74e330c52fa9a079fb391928018f0c78d8bed,3.5862595591
5161,0x1e62c39c013b325128445f3b95f1610d6703ebde,3.5857823197
5162,0x1e12bbfd54397f37a7abfbf0208a0d4f50b438ef,3.585546983
5163,0xd25cedad638136473f9640acb4b05d864c6dffc1,3.584477968
5164,0x438cbbeb94db4f65e8809e757c54f0aecbf2f386,3.5844292933
5165,0x9e0051cd539a1236052a6ca3dcca8292ad95c4be,3.5834143759
5166,0xeb3e618b6439a6c0fa7860cca6bdb5a32d89d94f,3.5831776861
5167,0x0c7c99776e2ca74c6589d962cfa0c84eccf8d437,3.5821879219
5168,0x61d0a8db88e326ff57dff88bc942770dbe7d7d3e,3.5811485728
5169,0xc1ea1a74eb88549f1fbe11accb1c683964f77f56,3.5795928848
5170,0x126356f0bba8dd72323670821ea1c4339115caa1,3.5791164281
5171,0xddafcddcc361dd1185ecbf321a2454ee1c9b161c,3.5787747508
5172,0x867a4a4ac572d9947407fbe6aac8919747369d7f,3.5786299874
5173,0xbfcd6687e86bb9b610ea121c9ab558341076430b,3.5784990736
5174,0x8be43801a76438ee1ee812d35e767bb8b3d72c6d,3.5782218248
5175,0x95f971181e6f8807932f6a834f435f7825ce09a2,3.5781996219
5176,0x1db9e5b827d4503bb59ad7a3b74ac2f499d53be5,3.5781186348
5177,0xde5365c4e2191b02fc64e5504a0fc654b209f536,3.578088962
5178,0x8edc9a69d8ec8168ca97b1805b68207afec43e24,3.578043554
5179,0xfdb68a7aebdf5271e5d75d102de4272ec3e9b45c,3.5780297815
5180,0x34f9c79cd8949bcbb18653f7367b9cf821be0cd3,3.5779935112
5181,0x8c7d36b7e38d086d997c87d7bbed0a3566decbbc,3.577991416
5182,0x12370e65dbf0531356809e195a7937124dd412ea,3.5779564609
5183,0xf4bf9f0083ddffcfc544f26fd7028aecb80bec76,3.5776309103
5184,0xd3263bf702e25eb93f03433410f2730a8e25971f,3.5774803949
5185,0x7ea88598e684ea029aab2ac8186feb2fac01f844,3.5774392348
5186,0xf23f38cf80bb60c7e2aa49efa8f0a386f64bbe06,3.5772697983
5187,0x8d044593e86d884473d38319bfa4930a9358bdcd,3.5772199671
5188,0xc656d495d06ccc4d85647afcbd7cf81fd491c4d5,3.5768136704
5189,0x3f25506f8294c81070c90c43e698b19c55a2a198,3.5765357357
5190,0xbb00c1de21f4dd52dbf37ea76c69b67f2f209383,3.5755038744
5191,0xb5097cfab1ebbb0d127a53c6c701d18adba1762c,3.5754712412
5192,0xed2c2d2ed49ba81de84010220d4405186640f5d1,3.5753053268
5193,0x97208fe6c2324a9ce836d459b5dc170e3e212272,3.5743021038
5194,0xad38ee19d8aa58c26efe1015b7baa38a0e75c039,3.5743013356
5195,0xfec06b63841f868290b0cd55c9cec718e282a820,3.5741131031
5196,0x915bcd118e096b349c1f664e44d77133fc6d9078,3.5739213206
5197,0x8b3abef28c2c289be90fa7d2074f34e58065e668,3.5737700642
5198,0xaa8a4070255ebe82d793a6e64a61a18832ddc3f3,3.5737409614
5199,0xe6f90a2f1d71361d372d57f6320d20716ccb011d,3.5737125001
5200,0x826488877726ee592997b05fa8de53bb4898a62e,3.5735697182
