Rank,Account,Balance
6501,0x1048edbd1a1a9228c3e233ddaff923bb59750288,0.2027164655
6502,0x926a24a80785e7a57f38b0b8aed9f73500659f4a,0.1975648708
6503,0xf1a3e3a1ae5754124363637aecbe5ce6b2d888bb,0.1973618505
6504,0x6c234a8e7007eae42776fae9ca284fbb974137ce,0.194184307
6505,0x043a0d9c60e1f48914c6cb05843931e54701d26c,0.1933637515
6506,0x5f3d6141b371e1d3fda66171640374211024b6a0,0.1932885924
6507,0xf8d7e10116412b68a4a952f3f5ddc288e9cf6105,0.19134848
6508,0x96f8a2fb095c12598759b9fe2ed596d656bb29e1,0.1911812095
6509,0x83cf13873226507e23ffcffefa38c08a59a6b697,0.1902486667
6510,0x25f5204b6768773665f084e7d06eca3ccd47af5d,0.1897728826
6511,0xa300b9cf9199d7a087d426c4cb96c5c3692f219f,0.1888072504
6512,0xe6a35cf268e3b00d27e538a1a77970572cfff27c,0.1852510487
6513,0x8a15dce7ac08ebb735387459665d8e40a20df174,0.1851700933
6514,0x3fbefe843f6bd38d4f07fddf5be053014cb3d120,0.1834738914
6515,0xc63ad663eeb869771fc5c1cf8d4c818b1c78fd92,0.1826592993
6516,0x3f22091c4c99be07df5d7a466cecfc02ccd92d5e,0.1826529448
6517,0xd20e1ad727f546e89ba07fb781d559f2e420be24,0.182487955
6518,0xa6f03bb00788303f342ad7191bc4c7570d91b54d,0.1820594049
6519,0x2d2e9a2b971d7c03bcab2ff439337fc00d0f50cc,0.1815890207
6520,0x25a0dc5852b972e2e11752733db3a53e0928623b,0.1781943632
6521,0xc53fe73aad87029c1cebaeae149b574b9ecd7f0b,0.1774199702
6522,0x9a45122d496983bdfde3ae464c92b4610ad690fe,0.1740614032
6523,0x79d56b980baf8483a9899142f9f870a23afb56b3,0.1698662356
6524,0x0cfb7ce7d66c7cdae5827074c5f5a62223a0c230,0.165725578
6525,0x27e45de8046940fd8140b5fe6da7aa2407fdada8,0.1639909364
6526,0x08513c0c605388e596a480e1c00358c48e098668,0.1638018052
6527,0x8df3b409c23ca8f8a55016557e03d5d296345611,0.1573544974
6528,0x76a497415fc75a15a2014b49e2d53bf748c30a8f,0.148341985
6529,0x9e3e46ed10825bf0bb9c21dfb2094ca89309c733,0.1482900803
6530,0xbb804795ce5365e106f62af725fc182ed265be77,0.1432268158
6531,0xd65cda066988682d14922f060f60c200581bfa79,0.1417596574
6532,0xd0718b361824be8c16b2678322c5c991568df402,0.1404415197
6533,0x38acb79b75064550a32811b66d670b5822793d3b,0.1391671165
6534,0xca46c6350061732c4bdc0f808dde36b46e8cf122,0.1390655804
6535,0xaf2218e35e1164d6095e05f7c5559d8cc3789f00,0.1376033527
6536,0x2a235a9321723a6dcb6bc3a4e4995cc39a762cd1,0.136086582
6537,0x2d964123356a2654e170d0809f223b7e3d4abc87,0.13291
6538,0x8f7f208f38a4362e6fe6112b720630f93bb608aa,0.1285539603
6539,0x4700d9f1e57038f59c0f2bb0fa142babe8168e10,0.1282059801
6540,0xaab2885b4a57e83dba3ef63d7bd9e5508712a17e,0.1235882106
6541,0x6d6f646c70792f74727372790000000000000000,0.1215554243
6542,0x96b244391d98b62d19ae89b1a4dccf0fc56970c7,0.1203496367
6543,0xab9cb967e3af8935d44e6830737fa70700b2a6ec,0.1190808556
6544,0x03c172fc9a2fa3c6e418fba9d955ce6bcef5a94b,0.1187901069
6545,0xb45e8dbf387784bee08dc832114f8c7075ff3edf,0.1147065445
6546,0x7b9f591e1dcfd5a10fb78230f42afaa362cbcb7d,0.1144195441
6547,0x3102d768e3939ad969c15e8a325d94d11bd17747,0.1135408035
6548,0xadbc3cbb5e284f387e309ba127eb7e1e9b8f695c,0.1134031341
6549,0xcbe8a7773595fecd0160447e61eb1924c9d6ddc8,0.1100521044
6550,0x443009092f95f171144a0d43b8cd8f596c1a3247,0.1087570237
6551,0x32e3df7bc12770fd56cf984ecfa50e4892ee00a3,0.107311202
6552,0x2f3f4e8334f4fac5d83ad3db5bf2613a19b2988f,0.1036508864
6553,0x6d29e934c2744430fff993308e31f853878ef7ee,0.1034256504
6554,0xc1af060ab8213ad5ee2dab1a5891245ebe756400,0.103355395
6555,0x6ab9f25f45a7f10774d42ad87794f3e29977922e,0.103315394
6556,0xf967b7ae4eeca96db3495e3186444ddb00874b91,0.1025742329
6557,0x9fa475adfdff80a17d6f8b6cd48565696755c20e,0.1022326041
6558,0x737256e3b6cbb8ddf07d073c22b10bae09c08082,0.1022038775
6559,0x3e361d0b9dc56265cee6aaab0f15335a9061dfbe,0.1009429984
6560,0xd6564a611160d7d2b16040e469971b576baf540e,0.1000000001
6561,0x9b9d574a17772c3f66236cf15b8ebc53b61aa80f,0.1
6562,0x8756606778aba204750019abe1e23f492d207a82,0.1
6563,0x6827c36ff9e2207124d8264966d914df7f48d8aa,0.1
6564,0xf352131a436a6801c5e6c7e8c6d9d52c9575b79a,0.0999999999
6565,0xf5469855889e7ed214a7d2b0ac7585c530a1a7df,0.0999998107
6566,0xe296e3ba4207cae14fcf0fa8cb43592c24a8c54c,0.0996199465
6567,0x1e2913676f28c269645da0e22dc03467afd774ed,0.0992516275
6568,0x0f14f7307e057fad235b4d8ca879acd9692f5f87,0.0992490206
6569,0xac5899add5df7514a3e64721096822a4329d0e23,0.0992490206
6570,0xe775bd49217b497b0cedb200558932b58f5e974e,0.0992490206
6571,0x5a19c6b67c45adadc6a521b8cb775a279009b723,0.0990971816
6572,0x0c610dc0321d77fb25a155ec3bfb0ba5b028ef78,0.0990971816
6573,0xc1550345956bfd866051982b3e42d72cf2c6aea6,0.0990971816
6574,0x4475e2a824a1e38d17a5dce389b9ab5df3de186f,0.0990971816
6575,0x92906df4dab0334730436829e0ee3ed7b44a190e,0.0976350274
