Rank,Account,Balance
1401,0x9e0499d7efbee3dc3ac363b3ab23d823278342b1,4.7217564464
1402,0xaaf363abd9b769fa9dbfaaefb3c565c3288423bb,4.7108429453
1403,0x0eb46a2dcd8e49ca8081d796094484ce68992ba9,4.7102992418
1404,0xaf1a8f830c73314682bbcf69f0ebc079fbba4e0e,4.7084951413
1405,0x8c9c281a420648492c6f6dcb3c08bcea7bad436f,4.708400485
1406,0xdccc9cf6305035ea79c93957b72e2f24de1207bf,4.707749056
1407,0xcc75a98c588075304d71d27a94285e1e33aaab19,4.7056821436
1408,0xf8c4cc61b90a0e3228337dc6f9be07a6e535bfbf,4.7005879792
1409,0x281d77a95efd6c9c720ccc52f78a6e886614492e,4.6981240483
1410,0xc59695796fe8377820771ee9a86d9249c08bae72,4.6962317376
1411,0xe9b804c54a0d06789380afa180325bf59ee2191a,4.6959805847
1412,0x13e04eb580aaef416f3f741e2b4149fb0410ad09,4.6855508141
1413,0x33fd1acc271574f6e5c2eb4a0ea1264251ba2119,4.6845510573
1414,0xce968df5424e2864feead96197aeb7a93c2bd353,4.684402334
1415,0xb4cc1a17de40ce691b32b52b2fbfb7d26744ac28,4.6829699022
1416,0x73b6cbec576610df8d752fb0bd4efae0cc0e8dfd,4.6816161099
1417,0x10cd02a475efb290b965ba73040bf4186be3b4eb,4.6814787185
1418,0x7ea891aad396a0cb8231044871a466cdf824bb2c,4.6758005251
1419,0x430a2f47e4b65c1853d60d91e08bf5ce68295417,4.6755579575
1420,0xb0ee008cc29e28c9cf933a0aa7e2ce89f9ea9650,4.6744097129
1421,0xdc66423ff228006ff78613c214a9edfb9a294731,4.6728697528
1422,0x3b9d56d39cb981d2e842729110ed50fc376cebef,4.6699828936
1423,0xe4ebcff8ae18b41975d6abbdb3af1ad4567fb176,4.6696315179
1424,0x201d9eed4bd25a5f53b2728d7a13b3aaab3db08d,4.6686266469
1425,0x2e17fbd1350aeb33279d64c306ec589fd72495b1,4.6663918655
1426,0x7b2fac0379089b689b01c9836904a3d385c2a874,4.6653083351
1427,0x7c401f17879f7c7fe0a83b915f6e9be6192226d6,4.6653040156
1428,0x553ef84376c68008f665473268d4a6fb9abf11fe,4.6647910793
1429,0x6cf91577d51cd2168a0b77dc4cd603f3121d5205,4.6624564584
1430,0x61846f13ede5fcdd434687fd1170edf20b657a9c,4.6520758235
1431,0x0755e1090b273760d29832491ba0289f96d37ce8,4.6503288957
1432,0x52a9c95c8d1571dd615d6e226c0d050c117a6b5f,4.6470789533
1433,0x556a63af03ddaef056820c98cc8b08bc1285c18a,4.646279748
1434,0x51d73f5f839524d7a4942f802690b3f6dde14dfa,4.644244995
1435,0xd5dba8cf48528d5f6738c9bc6eb53fa25a0f48a0,4.6440383424
1436,0x437d1d2f4405d1e9f76e4c3e89d2a3c75fec0b82,4.6399759304
1437,0x78ca5ec0b72e8be75050b7326c7689a60101fcef,4.6393250333
1438,0x138af4622e4be21e9739f867d910ddae2a85b4f3,4.6356593322
1439,0x6ba3d20bf68a33ffc58bbc3e234d6a6266913f6c,4.6356306837
1440,0xb820d3c93dcae467139a8126aab526fa213436f1,4.6334047373
1441,0xf77c395fd3a6d6497ae73231f84fbbe9605d5692,4.6327366891
1442,0x0a8580b1d97a893f71b017c736ae056f4a2c14cd,4.6321124836
1443,0x582344077b0d7b74dd2436646d5f35b506d3ec35,4.6314626886
1444,0x4e5e550e21557a242d82667d7c201934656bf4e1,4.6311469303
1445,0xcf1aebcda12450022607ba6c17e4a6d9a4ac1d00,4.6310972774
1446,0xffbb2a555de27462d4ceea01d99d441c6e8053e2,4.6295346409
1447,0x4134f75f48015c28919e77b06d15c6fe372e26d0,4.6287271891
1448,0xba3996538a2216c6cb3d1c5171f0161ecb03a0dd,4.6279072027
1449,0x695702851d56a837b3c95706f9d8d40c59614b44,4.62779683
1450,0x6503a9fdb12a5645e03fd4ca053b94bb20c47c15,4.6276267319
1451,0xfa5246f69cbfca644dc4e443cbdb461e84b485fd,4.6272353011
1452,0x7203a1183bc5d68fb90245d032965df8b6755621,4.6268688757
1453,0x8ffc65e7bfbbb63e144a13e4eb50d3df9276d4f1,4.6255090546
1454,0x334f89967ac04f6036b83c0280363745350efb40,4.6254401527
1455,0xd7938a2735f2b6ba6687b9356f9681e7e3de6dcb,4.6199934486
1456,0xa117e9dd96834c001b7744db16d67c346ab90918,4.6155871682
1457,0xb6efb6e4cd39955abe8869d1cbe2146f35219a3d,4.6127576026
1458,0x188ef6778f0a285777e006561ed227fe082cbb25,4.6051821568
1459,0x26ebd72c4420bc2b836fb070b1cafa1dd590b3fc,4.6041006628
1460,0x00695f5331d36e0197bd66f3b2d518a98eb93092,4.6039836937
1461,0x1b08fdecfe845a618f3d21e69d7b65f4a7fef84a,4.599082492
1462,0xca844d9f5393eb1889fb105f078d894c4be84c36,4.5896024842
1463,0xf7e7a0baec48c6888894773c74f628415cf37d29,4.5859014628
1464,0xab61508d24c1bd51e434175a5f231cda17655a82,4.5845190228
1465,0x47c49e15d961886b6084700893c587f3d254f237,4.5828224291
