Rank,Account,Balance
301,0x583291f97e84df6f75d5e971961aa9ba16f7a8d2,59.328423805
302,0xf01a5ff24bdadd7ce6959901675fcb08e8d49d67,58.9333618131
303,0x7bc0ceafffc2f2322f07c3058ffbcc2fa7c2af7d,58.8789017117
304,0x084c60cd0197fa55e546ef39f91be1d7e7ef4ebe,58.7959581311
305,0xcaed5c1ac1e1a3c86d1b1f8f61b522f44ee54179,58.6090744815
306,0x2aa5e1dce59f69f9884aae4b1e20da8df7d27f49,58.5848
307,0x8933e8798b5a8f3299171a0a81c7817309f4ebc5,58.5396890644
308,0xbad771cba1a2a42dc895a03971aae122273408f6,58.1030254979
309,0xa34b82742d9f9783b8af49180b761093bb9cf8ee,58.0313151835
310,0x56f757b0202935b98a9c649d478170be6f7d62c0,57.9335489388
311,0x198b89d894528b05d39015bb44ceedeecf40e8c4,57.921868297
312,0xfdf56266034c90fb4de9ec36eeebc2a1564594c7,57.7685079247
313,0x7028320c9cdbfe47f9145855fce15de26d43b79e,57.1820637624
314,0x033c18e4bfd79d5849abc7cedeafd79e115b953e,56.4017987646
315,0x32535ffe5bc0b1b62ba23e09b46aeb06e3ed2964,55.9587084135
316,0x97c54a1f8ed3467fb0db4f0b71b3515f8ee503b5,55.8314570412
317,0x1065348ef4e3e5a13aadcf71b94699bbe8a9f269,55.3013332882
318,0x6c80299aad7c450f5a4c1d1447f367bfd820de04,54.9973544974
319,0x9f378bcf7746cefeaf39b28554892e07e0531d68,54.283730617
320,0x49832ebdfff64277c80fbd14b204aa48af87045c,53.72
321,0xfd8c384268ba06851f8f155352ff9ebf30c83454,52.5048069808
322,0xbd65e2550bf13bc4de2898a56a57288c41be3382,52
323,0xaefe2731fb5da365435b6ca67bf5c7583a3361c9,51.9899437762
324,0x9fc6dac4aceb0b673dc61194c889582acb642a7a,51.3544926124
325,0x67b60acc6a38a33399305b69d2b4161bff340397,50.9599168128
326,0x94f9eb420174b8d7396a87c27073f74137b40fe2,50.8089089744
327,0x5dc6ed2e0304a4ff44030ed19455475931bfb85f,50.678111354
328,0xbed8e98e16d8b0055d564803df5c1423a46bab27,50.4354930764
329,0xe70fbb07482032cd95a440011ea4b6716ddbfb2b,50.3820673355
330,0x4dc1d41bb1e923e056dea51160df1f4dfc807e65,50.2648566936
331,0xd3f1bbe2a3031b16b59b1a203f3279da9ece0f9e,50
332,0x23656ce1c29996246dc47009f5bc7c750c6af190,50
333,0xecbed9d5e1083d7cc4d9a434700fec620cc94339,50
334,0x75f67657790a99e12f2f4410f2b6756417d6446e,49.7509648279
335,0x275494f473c2932bc4d692acd42d105b8ff38095,49.4421815283
336,0xfd74df82b4c5e71c9e06806ee0f3396eaa0cfad7,49
337,0x6810eec9faf16f598548c82bcd8b9aad2ce63993,48.8832169575
338,0xcecac469ac47fa231f3bb5a1d8f57173dd559c5f,48.4779526149
339,0xbc6e98a055dd9cc4c61723d679f8dd646e3ee961,48.3636046483
340,0x5db56129f1edc12375215d92e3581a063b48fa95,48.3244537399
341,0x3323d306bb12a82b4b3cea7262f74b9579a41fc1,48.3061654058
342,0xf0505bef65b6dbf02f95e9d48905767f6df346a7,48.2680298568
343,0x004f8d7819a28bb11b1cc78bcefe2b3233cc7a9d,47.8401
344,0xbb489f4e9971891145da9cd724acf6f887535822,47.6123411223
345,0x630d4ad20dbd549db2598aca3e0c23dee323f6d4,47.5094817971
346,0x3511b14e307aa450e14fd84ccab8afc63e4d8e0f,47.4989702721
347,0x90ef16ab451b1b98a0bffa3728acac069b80531d,47.4735762069
348,0x711cf4aeac3be8b013e36ca753f1b02c2873f1f4,47.048245584
349,0xf55077d6538d38c244e5ff97e302a90ddf3f89a6,46.8997539885
350,0xc1c0258cb87fdabff653241c766272f8e0f983c1,46.008067969
351,0x7cc252739fa6971898cf34d785e6720456a323ad,45.9947089948
352,0x6cb725d6db9d85ce6f02200695561a7f8d9eddc7,45.8374997109
353,0xca2ff88b86c6945905dacc5edde9547f60eb6fbe,45.8
354,0x61197ff2d9e4a54851015154857149d8e08247ed,45.5638452777
355,0x275ac687ea551b5d7489ebec79b9cebeac70da43,45.0133774724
356,0xfab23321bd4d8a1ef97e2a0354a41f00a22b43a2,44.5819713765
357,0x942a644bbfe420273a16aa4fe206dcbe6a1583a8,43.912
358,0xc1727f92de7500ac04aae4cab68fe85a726d0965,43.912
359,0xcf7b505869e3d38d9486ab60b5d5837f5e5dae0d,43.2286384619
360,0xd7257f94b4eaf9db9582749e3085815dc1114203,43.1190804339
361,0xcce9ef351d7a78fafc1cf6e306655493665b7b41,43.0787840453
362,0x037926b3a54d634e38db883c8a714bc2f4096547,42.9
363,0xc1f7ff691419c853659dd0cd4bf53ca7c9e04083,42.5801587692
364,0xa492744aa895e41661cefde1dec150ebea152f0f,42.2635473557
365,0x2740e981432521e6e38e9d219e8cf334e27a65d9,41.9264145214
366,0x3b1390c6dc52bab80bed8da13d7b968616181d81,41.7292661705
367,0xafb9af9ed31b6b86b9101210db466f832d360fef,41.2798898614
368,0x59230a86ebb69d21e57176db6289ad18c688c3e4,40.6601908058
369,0x8b47baf36d177703557533afb62d319c4a513c88,40.5261744313
370,0x11e9a3746ca579d50860ea5ef9c26d7ffe80502e,40
371,0x9d051d2fdd3b6e086e941d6a502d0f4b3ac95c34,40
372,0x9c0fe1dcebd9b427d1178871c12663f19624d075,39.9558317273
373,0x9269e60bf931f2e0d3a1f7da57d4f39a809e7716,39.7978311408
374,0xf50516e73dae580e798f29594b7921d442c78bc9,39.4661549327
375,0x65151a6343b16c38286f31fcc93e20246629cf8c,39.1929681395
376,0x946583b3801c703dfa042f82f3b9b3a2a9a79393,38.9643143451
377,0x77c790fa15a8bff7948cfd5e7638fe252a720f04,38.9465241396
378,0x62c095d3758c9834fafd95a22fb60803a0fa99b3,38.9040330659
379,0x12048f3a0014572b917d4a8cd4e6d672d250155a,38.9004591219
380,0x2a38a28cea8508c0fd109dcc07ff316585d1e4fc,38.6227779032
381,0xc48308910daaef1da77ea92ccf7f904bfdf54164,38.5039908114
382,0xbb127566a4ed246ee35387e82ffff63249e53a87,38.2495217835
383,0xeb00af6fe0eed4425bb48cf516d85e5edb08d6be,38.0766840969
384,0x175fb20b9b5bcf80a0167d403405e6f3a074cfa0,37.9292296166
385,0x9db443126bc67841f47bb95e2fbaa81745500e69,37.8503705183
386,0x948480dcba07dd92c9de027eddec40a7d3933b81,37.8387005639
387,0x1df2ec275e6d6911d2c9e590902096563cbdffd6,37.760593201
388,0xf7bab7974049ce6af40db28f52936fe35ffbfadd,37.7559
389,0x78aa0182eec743c613128f47fc4b8dd8c1461ad3,37.5797677382
390,0xbf09358e054d2c88f47fea5afc2299506118d822,37.4799315558
391,0x7540ca8906357dcaf518d0e78b6f354268a0c736,37.0818992491
392,0x07eee3bfdfa311f6f06d419c8ccca08a6efdd162,36.7541843338
393,0x10f882bce86d8d3b65dd7ddde9d31bca3eb3f4b8,35.629463923
394,0x2839bc411a415b79845543e9bbf61f22984e3ccc,35.5924018
395,0x639fa1f482457cbacc10d8f68a095a2082695d12,35.311
396,0x6006194271b5559b9560775c0432a90944456cb0,34.3248947266
397,0xfbbd9564cd0a47b35fdab22db16c1b98004ddb7d,34.2019347523
398,0x587a529561a9aed01f08430519d34ad64a3f1c2a,33.9814015332
399,0x4e7fe2afece7a2ce3f545fd1b32ebae3024fd619,33.9034406841
400,0x8a147a71947f8659dfcb80d6b198e5dd9acc812b,33.8308727364
