Rank,Account,Balance
1101,0x26bfaaf2070d1f2cf67991aeb20cc244f3e45345,5.1598040099
1102,0xfe8daa711bf58a4befae1e85a28e72a3941c1b86,5.1522423218
1103,0x7c68b86783e6ee109714144c49a9553058ab6085,5.1509574338
1104,0xbc2c83c4c46da039795ecb174f674e53e03ec70b,5.1476614642
1105,0xc3f9e477947046fc10ce037763c1195315f1f24d,5.1452760356
1106,0xa8a4a0a74937c4b90f5bf59c9caab7bf9d7e1747,5.142107049
1107,0x762ed6c6276ea193782d6cf1e1a0ac899251e7fb,5.1393957851
1108,0x1ca7280ebb0a1791a7f63fad0f081d2c53fc59a1,5.1379421277
1109,0x16701e65317ac3af98d57f6cb1689032ab9aa026,5.1374258314
1110,0xdb461fd77617bfe0f37f1a79d2dcc277130e1989,5.1347916563
1111,0x9289a27a577013ce60937b3581b397d4d6d9262e,5.1260776692
1112,0xb9961c3d025775491aa0187cd230713756988b0c,5.1239762443
1113,0x974ba41f3eb407f0c94613fb5e584de636641cd6,5.123065318
1114,0xa971a854246fef20d852e19e56ac5a7d370bc539,5.1186918631
1115,0xe3a0db13131c93824a89f96d16f79d8f876f7ee5,5.1162213922
1116,0xe5a1a43372816c9f7f026a2cf63a4505ad279d10,5.1092921425
1117,0x16d4fdec4cd713748884f54e3edcfdaf2d6814a4,5.108905995
1118,0xb4f439f2c1dc73c5133189d31d1b38084321f5a8,5.1071704542
1119,0x101af6114a4177f42ecf8b423b04c929cae77205,5.1044596489
1120,0x0c82fae72c99f691f7ee7a3a3905681d5f64b4b8,5.101063329
1121,0xdd63fd598998248f4410c1a2896eb7e2294b8268,5.0970877509
1122,0xead9b93ebd88aa488dda43f72dc6a452961ea59e,5.09000711
1123,0x262d1aa05b18a9454f79cce07cadc7b8dd3952ea,5.089906637
1124,0x4ace86222ac1607f875ac4ff696c21d235dd9db8,5.0876439196
1125,0x7131c9c688bcb642c4e4eaf682ae934a0744becd,5.0875644854
1126,0xbadfc6799288c79e8a2ca843a2d4efd906e15514,5.0830407135
1127,0x6ea00b25b2e74a62e45a9ea2fb9443c84f39842a,5.0817469713
1128,0x880aca530509c9ae84f126e3fc6d84bcab6a7138,5.0817232726
1129,0x9e0c5b799f9e215a68b32a88376e45f5c4d3247e,5.0816132444
1130,0xd0fec564e7220e8124814ad499d42508b437af2c,5.0800539837
1131,0x1216c003ea2685ed81b6e0e9f313d80f54108953,5.0795905052
1132,0xbf65bfa10c958de424f5c2005be14a7e89218754,5.0774406238
1133,0xa1cfbf316e3e74a7ae1473f22e2ce325bd1c2148,5.0769179342
1134,0x154e20b3b9eb01343d9248fa14a6ba9e5b3a6c76,5.076638113
1135,0x96c9a7c05712241174d683473d0636efebe01098,5.0761550216
1136,0xfb8b407108297191a9833cbb891f1bbdf04c025b,5.0754674201
1137,0xa0ac8a2211e48bfedf6e68d4fce7c1bcad56c2c1,5.068263553
1138,0x290c463f94c1badb0bb33654ce81c0e4c9b6c8a3,5.067647709
1139,0x94797a245cb3058c619b5f14f710b8836d138d5c,5.0671053925
1140,0x623302b90575186c55d874cfa510cab5da563a2a,5.0669682857
1141,0x905bf150cf2c0e041d231f8135b553bd93431275,5.0658824211
1142,0x6b82a8209778d0c4852cec8ccd8c3245fc7ff3cc,5.0626633906
1143,0xabcbca5dce1219355794b71ad54026309092cb7c,5.0609646435
1144,0x962edbb675e71abaf6165ee35234679c2fe66dbb,5.0588406775
1145,0x64386fcd26d13194e998e61f01bb84ccca28cf69,5.0533524809
1146,0x50e7f9644141c3ff77d4e3a09345544f9ff16c9f,5.0491450876
1147,0x9f6d9c3b541b9c88dd00afc90dc3af3b7ffad60d,5.0487448145
1148,0x8f3c62e33c948c08e3b1679901e60929dfe49c6b,5.0472119649
1149,0x6b8a7146e477dc9de27412812d17382663112924,5.0464485386
1150,0xdc60995b4e8a010df102a716ecfe9e23090aed6c,5.0412867773
1151,0x1a47d114593370b97e9dd0d23e19e91d3d996eba,5.0395090503
1152,0x61f4562ccf62c3143649e224f65e561ab514ddfa,5.0362841222
1153,0xc4a3e699af2922e96c7eb6d74775c449442f6c98,5.0326922797
1154,0xdf488d6d009ab0f60789e24b8d9f4449a176ec5f,5.0325016075
1155,0xce29f9d0cdf9004a4270607c31129d8da04f1f8b,5.0323229501
1156,0x27fc425f71ea36875f242c006ebeaf66a73c3295,5.0299302281
1157,0xe1049bf3ada8bd29b3c4a042f47c632c6332b27a,5.0296381197
1158,0xe8ad44c7e3edb306eb8b0369002f04a66607b8bf,5.0250079281
1159,0xd3362e86aabcaf3f3508a6b878ab41fcb82f2bd5,5.0237369969
1160,0x26893d7495d50eb9753776310625eadf66af0d03,5.0229642844
1161,0x4c2473c5dbec51f540d68238b37716bd68122844,5.021101273
1162,0x5a052ce052b5d3b3b28e868176d3db8620192724,5.0206498417
1163,0x87a6e0a47be4f58d2bb3dfd3fc9968a509052b48,5.0205528632
1164,0x165b3f450c5fe8734e178ae05cef0230e57b29ab,5.0201895504
1165,0x6bcb37072fd8ccd23efd98d6ec31125a3847cc3c,5.0200925852
1166,0x0471cbeccaac186e9231aae3fa34fdb0d1358257,5.0199229029
1167,0x8eb895046d42e75de83821069357da6ee3436c96,5.0198355678
1168,0x96c539aed4d835af181877a7c25990b4a169df20,5.0198259455
1169,0x49116b8c130c0c8079d2bca1e5fa90023fbb2240,5.0194947859
1170,0x1f265f75303a3c8216f14e76e0c610a6620da2dc,5.0193978409
1171,0x849d70b8c025f062b9c64f1216ea7a666a40d200,5.0192564689
1172,0x6072ce8a1f1634fbc97f92caa37c12aea0b56b63,5.0192460059
1173,0x6179ae874bb245ca0e0f9d6fa3c66289b7119c24,5.0190763665
1174,0x7923e64d66037819aef457e039d98c8621c267b3,5.0189806572
1175,0x440c7086a65124815450042f42b15132c89b71c0,5.0189380368
1176,0x26f5bec6e8d381b45b5b33e0dd080aeb17730b66,5.0188837271
