Rank,Account,Balance
401,0x6d8a1cedb2583d89f18fa2755ec74fb56b9c8269,33.3216190834
402,0x2f7daf9b66a7bee6f9e046973e2e3d01d810207c,33.2374268787
403,0xc33df195b1608f5c729c8e68688ce3a8b556649c,32.9695823488
404,0xf85aef9a491d327662c5dee54d14a04232c78d8c,32.7897634369
405,0xf9417c608281b500a5adaebebac0dc427c1a7af5,32.5912742303
406,0x3a7f7c851efada621ccee358a2e9f45cfdb705e7,32.5733064665
407,0x439a995fd3261b8b8a627a9e00ada5f02f31404e,32.5528538651
408,0x6f93655644d58baee8d6678b52623a4552e4a827,32.4841283388
409,0x4c282592df025089b4aaef3152b85da0399e7d08,32.4427929387
410,0x9f92dd5ee09a798e49d558b98fdb1f22a2062c2b,32.40259019
411,0xe79ee6e104f387b82439c1c6388fe35418cc78a4,32.1894428848
412,0x70da01a1f8e9698d8e8bd3ba0ee9107c8d7019df,32.0224906624
413,0xaaf4c23c1d960066cc79188d2f1cf1d77fb1cdbd,31.972421596
414,0xb68376bf520a91268ef73b9d544fe97acfd1d4e9,31.5262590935
415,0x4ff48b9613a34c6e8eb508731a0bcc50a15ee944,31.1704854163
416,0xc12ef035528bb4e95032335ea0ee516aea6a549d,31
417,0x6e4211efa2c0f07b58e4f3bde264994e4fe03cdc,30.8977822585
418,0x1c7411ce07ee24cca0fab2401d66ef72b81f83d0,30.8680530706
419,0x9715a0be5cc9ae91631bfeb87c3db30e5cf6ca10,30.3137418617
420,0x4f1e912eaf4bedc934bc888f82399dbe3de0a04d,30.2639233896
421,0xada4424c2b4d9e8b57deddc6fd1a269ad5e3178b,30
422,0xe1c950697084880a4aef2bb23f3e1f7af42c8e67,30
423,0x62a4416b427ff722240154280c37a83697499d6a,29.1999896693
424,0x35d251398a7e267f7b4d5a017c4e5a230421bb8d,29.0870213778
425,0x6db4f5e5323045e72f989d53a7e36f83beb6ae40,28.9401451245
426,0x4d9f606a86590b5e74a023529f55a35392fea996,28.8836467736
427,0x97c95974d3752acc454f367015699bd9b37425a6,28.5713723823
428,0x5c09e3653a387c31de720131b21906edc3c58193,28.0172896708
429,0x3ecb97dae88c33717ce92596a593b41556a2ebc0,28.002217507
430,0xca0a0527e2c7a786644936efcd8f3b6790663502,27.9973544974
431,0x428129b121f59ca6187fd123eacc1c82c6b84378,27.9947004669
432,0x9d9fd43a3365a0499284d37051ea2ae3bcc1da60,27.8798089727
433,0x25c494571d4763bf6723505f42598f57833f686c,27.6528537539
434,0x19f15abb13d61345fb4e3dd650f15c0a51e91138,27.5490954568
435,0x0a170a8e5d08c52805e4e1f4b6d3c0a70008804a,27.0905074287
436,0xef56cef6a4c917c0bd65263da478c851bd4bec80,26.9586770701
437,0xb3120aafe67f1a5be07e967cf53e7ea07ff0ced4,26.9586770701
438,0x5b517d1ab5affe8a0ca89d8cc4b1478d04b7342e,26.8262668758
439,0x1d096397a09f620b350bdffc11d518fde6fd7e62,26.8077996581
440,0x40e02eb85d46fc82f7489666ca0faadfcd2df0fa,26.7889452862
441,0x957913b5aafc0fef76d089073de2f87f71bacc75,26.4995928865
442,0x480aec0a119db6f262532268cc5f45b73a602296,26.3320378776
443,0x6b0ab64ba82dab64130fcd7dc1e2f803f7aef730,26.3006092859
444,0xc15ab7d37312cd9ef816b8914d8dac64da2029ee,26.1055959016
445,0x33ed55a66fe19de5987a8f166fb1eb070170adac,25.891775283
446,0x2236e44c159f577909a1b189fcaf711d10c6a562,25.8033738809
447,0x8e190a767aef17fa36a64d548f2cd342d3e45aab,25.7688183958
448,0xfd6e724d8e8ec1c31e4d805108ace64ea71eb31b,25.6585262969
449,0x926cd28a8be432ea41a1f95b8b5a52862d352c75,25.439070454
450,0x75aaffafdc99e1f4fd76785bb7e8bccbd75becda,25.2958234455
451,0xd3c75d88a0bb7dfd033867daeb0e1c617a790b04,25.0398297766
452,0xb840846385a2aff15c907a5ee9a124937a1bccb3,25.024355401
453,0x347b097dc1ece43576947581618b67f520db307f,25
454,0x86bc886a7463ab6911d6ce1b9fc56dfdc231ab0f,25
455,0x4c8efb9842bd450705bbbbf0d3f01ef84207c09c,25
456,0x519b71f595a9342bd2c9f0d11d466419907e9226,24.9422697663
457,0xce5cecb1aff72895508a153a7db8e2dd89abf5c7,24.865302707
458,0x838dbd844cd8b2e51de576edf6daa2eabf5892d1,24.8540590863
459,0xfb9623855f4fb10152b0e173007b51c98399768e,24.831353673
460,0xbd862a41a8bb0dc8b552b7f806cdb4241d726782,24.5603908046
461,0x39914135f5f2e2143d026b84e11f8e4d35d2cbb2,24.2918314427
462,0x2edce125c04adcc52327fb0e17b8a00e627517e0,24.1460322307
463,0x902ff8f24dd6f65f88d54d28d6d82ad9b9862d01,24.1216255964
464,0xe71f66f0268e5be8cde176c7de724f22c992341c,23.5985181246
465,0xb955bccc2d0db2785e1bb9668723024a123fe0d1,23.501998817
466,0x2bf7145b9da25567569c15c57758e6a13bbc00f2,23.4870799707
467,0xe6fd44c50b0570d4566ef8629145cd6cf582b61e,23.4419626815
468,0x8e14f987963431f4d48df40dc13a0f84e50da983,23.3633923402
469,0x3fae7e385ac5f9ef903152a96f16a7c5a582a5e4,23.3340860169
470,0x31c798ac8159568d44c7f0c8678bf6fdc4caf57c,22.5659542656
471,0x71d8db169c578e0bec3ce83fd40fa368c2e134ca,22.4432694115
472,0xd8fbdef502770832e90a6352b275f20f38269b74,22.2462231081
473,0x005721256372d77a4abd4db030a90cb01be70331,22.0876055877
474,0xea00ef141fa76f354ca114d5ace3016e080c5fc4,22.0033658666
475,0xe8149ad6217f74e605c02c9e35571683d6bfb9f4,21.9979230898
476,0xbdf182a94da7518ca35d75fe7ec024afe3102284,21.8
477,0x9d2ba291176394b54d4edbdc36a402b3808c9ffb,21.7761157183
478,0x727c3ab99f1fb8bd424ca647d249c1c4824994c7,21.6981
479,0x908ab40c54c15c4be6a2a78a590335040156657c,21.6013369373
480,0x2de90767f49af48c80c932d40ce39c6435115ff2,21.537221584
481,0x29b96fe37f06b4c7fd7a4b5961d4172a80f216dc,21.3657336473
482,0xdadaa9fabf3943e6665dd746b00f8bdab3d0f691,21.2817089948
483,0xc73b8869b220d13009cfa39c7bc4322dc4633c7e,21.2608062738
484,0xdef5c77905b6f47ba9371db98308ed95afb5f863,21.2399606768
485,0x69d01c4500906e4912fd810b98ad264f9c7f6921,21.2153171625
486,0x2b30a6865af8b3b4841913efa551d86e04caf4b6,20.97
487,0xfc5bd760f063c5015b207c68540f05c5698cb70b,20.9294797146
488,0xbb571d60e7c025c20ba0b19306a7500d44044dcf,20.630869318
489,0x188dea802c8ad3a607dc4997cec6934f03c95536,20.4601840761
490,0x34b41ac30ddd31a3b17d432fc970d527272a9571,20.289093359
491,0x157b4898779eae956f881529e5a75aa9518d4c1d,20.1484651338
492,0x6c7e7fbfa69f4b5a5ade1c27bc74fa4290a3b8a3,20.0939676988
493,0xd76680d10172574774bb3cd46e0b95246240ed6c,20
494,0x3cea73ac3f18ce16d2e807d7181d6ecdac925d68,20
495,0xc33d10328bc8352c577b17e965efc801440d339a,20
496,0x682eaa8a6f11ebc2babeadc72405cb4fefddd95c,19.9999999999
497,0xc56e69c5412b9629b4418eab6b9b94820eb8be13,19.9945253399
498,0x856a3532ea20fc4f7a090560b3d6f77057564301,19.948613959
499,0x896c20da40c2a4df9b7c98b16a8d5a95129161a5,19.6328771031
500,0x92974bb13baeb56ab1d8d26fd83f982cb83b9e9c,19.5357367684
