Rank,Account,Balance
4501,0xbf732f38a781e83e6a8479cf66986adb14c0ad4e,3.7103453298
4502,0x5b2f1fdda7ff01af6b5be7d0487493dd6c169c5f,3.7102754117
4503,0x0ab20f001b2396a02c8264ed7919f21e4d04efaa,3.7102553209
4504,0x298174e31a75a1b1266451751ea3839855e7a33c,3.710169557
4505,0x3e2538161c135f3ad039746450db92c9dd16cc99,3.7101610773
4506,0x8bb57366f8117d1f9a266950319c5246f6638e5f,3.7101596398
4507,0x83c401803fff08e491964e9457ffe43ff8f5c602,3.7101312618
4508,0x44b3757a257b65ae399c322ba75c193b55c56637,3.7100386363
4509,0x9d7e7085612843b992d421f4f47925b6aa6b61c3,3.7098228038
4510,0x65fce33d40be09f42ce09a4270862d55ef986ac7,3.7097940783
4511,0xb5e5b32c425097fc37de2da66e286907d1b66675,3.709777799
4512,0x8a036fecb72f02980a44deb66eaf18611d83c267,3.7097091522
4513,0xbb998fbbc4188f8885599439b834294d40871a9c,3.7096582363
4514,0xfdf614d5b51df0d1892504c8ad7cf45c85be2c62,3.7096535285
4515,0xfa21d6089e66c3401397fc1d3d13612af90982cb,3.7096254243
4516,0xd780ab16776c907cec921e799c52fd46640dda1f,3.7096029093
4517,0xc3fd78a0e8859048cdedcbfcc972b3ba17b0b9d3,3.709596351
4518,0x3770bbab2ad4d79090330be8f3bb8315a5fd8e79,3.7095936797
4519,0x00b1f2289ed59454e6907f2b07d749e539c0afb7,3.7095727306
4520,0x151e4edc5ac229f8276c1487431af8a0d5e0a340,3.7093559577
4521,0x387bfaed5adb54267f6f941748fffa5d2cb2664f,3.7093296013
4522,0x0422b556de2a444862e6aab7e001eecfce046b0f,3.7092955526
4523,0x418628720bd06984ca8eb39ef91b64ea561b4c43,3.7092897657
4524,0x7a736b5e02a0554800f0a04bbef3d846ef1bb82a,3.7092786405
4525,0xb7a9bfe73411b3ee8770bbcf41f98005a6ac6fdb,3.7092681617
4526,0xf3d7619f44357349cc67b3293c967789f0c11ca3,3.7092636143
4527,0x7c5ba9e4a994e0b51723561d8fb16d011514efe3,3.7092514831
4528,0xec2b00dba59952b619bcc79cb97b7291f113fba6,3.7092044243
4529,0x5579d958a6795e7873783ba95f4399ca120d1951,3.7092018949
4530,0x74814a633df3ac67b387d403fb148628647fc1c2,3.709135703
4531,0x601e912450d6a5243bf026d3df1fa8b49dfda1d4,3.7091334114
4532,0x9e9ae0268f1de8499e717a3de53c7e8ddb99e282,3.7091250016
4533,0x7119ea1d8e8bcf50190b7fde644ff21142f2ba7c,3.7091103834
4534,0x95a6a5f82cc39810125b1a687e66706289e5c5ea,3.7091098615
4535,0xecaaa1d66ef600b9bc7fd99eb7c2bca2d92b6a74,3.7091098121
4536,0x96cc3f89b10e2a89b9075a662a1f79e89e6c776a,3.7090948221
4537,0x446a889ab9fe16c325ef090e65a9214a80c9a442,3.7090921315
4538,0x0b0a39a1c2a97e16ca16affacddefabdeb67c188,3.7090144982
4539,0xc3a00ac32b7cbdba339b8688772dd8b9e7b9d093,3.709010643
4540,0x460a79fc81960ced027f3afbeeae7681ed7f031c,3.7089872055
4541,0x23c3dae7392d942188ab7b2159704f3ea3e44e99,3.7089729128
4542,0x505ce26d9cdfa43efc5b58bce8573427674d4b6b,3.7089716247
4543,0x430c00e4306ea0bab9222f43854565404d906159,3.7089682607
4544,0x9eb16fa5aaf616f20f74f96b6dfaf4ffbcb0f4e1,3.7089412103
4545,0x085c097c023935ea2589ae3816e3b33edc529326,3.7089262544
4546,0xe2be185efd08940c9efe7c770712ae95536e6137,3.7089257401
4547,0x7a70e12254d07617482bdc0dc94e321cb06bd30c,3.7089110141
4548,0x991e010fa594c49893f857fbc3783300cfa8eca1,3.708898246
4549,0x4c8cbf23cc4da8930be9ad14d31752ee5bf6bdb5,3.7088798563
4550,0xc9762257501f5d73a00f253e316ae67cfd3848eb,3.708868047
4551,0x5bea5d25a3d80e1f8bb6c844b1db1dad1f64a499,3.7088677987
4552,0xfe658bc92cca595a536aec4268f29fb154a28f9e,3.7088603136
