Rank,Account,Balance
1,0x25442adf37379be90ed1f7fccd9c9417b10aa4dc,"47,991.4883085097"
2,0x2464f91e67a27637a118608a3a90cfdf82b25cef,"30,000"
3,0xb301ce0e702fdaf278870bd33c44ff6d0b3fb438,"26,160.3219124092"
4,0x921b35e54b45b60ee8142fa234baeb2ff5e307e0,"15,883.7626291596"
5,0x4f4495243837681061c4743b74b3eedf548d56a5,"12,104.1275129718"
6,0x6bb200b706ffa1665127877a11588221c49d9eed,"10,544.4982620422"
7,0xe611d6e3205689bdc538646437c16badb900b62d,"4,880.9971653764"
8,0x959e170dadd53ad4403492a489416963d2575582,"4,785.9795955536"
9,0xe41e89da5b54cdbe04ee15905fd00dc44fa1b1d6,"4,650.6116726716"
10,0x8872f5a6c88845743fa738dac3795e309f646e96,"4,223.9998450157"
11,0xf09e1662a08b9c3527f7ad8e4ba2b40bc248398d,"3,991.3809581114"
12,0xe38a91cb0c3443b5f74140ad8c9a198adc150075,"3,713.511054714"
13,0xce641a4a18a4be7b703848290251a3ee9288fee9,"3,223.2247153626"
14,0xca8fc2f9d873e8d67aa60f36934a3dc7b4cea30b,"3,055.1481947512"
15,0xa927e1e1e044ca1d9fe1854585003477331fe2af,"3,021.0117256028"
16,0x242b6938d4c02a2312e9b1f11f5d27942a5b4eca,"2,696.2591200494"
17,0x61bf1b38930e37850d459f3cb926cd197f5f88c0,"2,357.2706648836"
18,0x181657d6f597b96c596771b87fe6445a7d78885e,"1,999.9973544974"
19,0x4f00c61a16ea50b4a3f6fa6179f814a0c0e61488,"1,914.7041532195"
20,0xfbc5e4b6995978becc08cc6ced9f9c86c35d069b,"1,870.3965722313"
21,0xa13b49f998feec79d5631e17790c1ac5a9ea4a34,"1,713.1531150115"
22,0x5daf7f80cc550ee6249a4635c3bb0678e94d3867,"1,531.7521217165"
23,0xc6e37086d09ec2048f151d11cdb9f9bbbdb7d685,"1,404.0475856449"
24,0xbcfe0bc066e7d60ee002b3bb2f24e89b6009cd7a,"1,267.5600821829"
25,0xb57cf095a859a485b6462ba256cba21a72cbe807,"1,248.87"
26,0x2ad3285442fcc4e3eb7ed39a08cf2804d0b547cb,"1,187.497"
27,0x2f925542d1689258be55f87e17fcd8b7480d76f0,"1,149.6336861991"
28,0x08ca46a9c063c038afc571b3a4b74165414f0395,"1,108.376353981"
29,0x7a91cfd79cb127fd4b71632fee7c7292da030391,"1,091.6053664444"
30,0x7ff58622e361018cda2b13d9a6ae26550da04148,"1,083.6720574219"
31,0x28b70a43e069e35e31f3f01fe0f9664858488336,"1,049.6330222432"
32,0xd40eb71c145668dec4331cdd926e34e07fcf1c73,"1,045.7486551353"
33,0xf109024870c671d4ab393633c4da73e2a5fa7d2b,"1,018.9703255656"
34,0xe7aeb97a47bbfd2a847eef30958fb11350967d4c,"1,018.9703255656"
35,0xdf471319616f49eb4db70a49879a82709b0e9502,"1,003.4786222922"
36,0xa711fd27342eb2bfafe175d8a126cc031f4a0f69,"1,000.5905878635"
37,0xc295aa4287127c5776ad7031648692659ef2cebb,976.7360219003
38,0xf431cb9040134cab892481d9ed5e3823d6e59455,974.0657702187
39,0x2e9375f8b8033eb47bdd32aebb159dffe46330b2,951.3249323875
40,0x40e388b0e3aa56577c0820f33d4cf62223898bbc,927.7716602048
41,0x62b764030bf1f015bfb842b70a5b175054416bb0,913.957945046
42,0x7fe162a4e642422e7cdf8c1916159c625bf561d4,891.73
43,0x114c4042b11a2b16f58fe1bfe847589a122f678a,836.9573759245
44,0x1bd658c933d592519d57fd728a1afb659f474d3b,805.6426346824
45,0xd9d1064e32704bdd540f90d3a9ecaf037748b966,768.5265269897
46,0x438552cbffe4fc2f74b03884cc81478e5d09ff95,748.9973544974
47,0xc62c5b39d36cdbf689cb4d0b7b737b21098e07d2,745.8999042333
48,0x0ffc46cd9716a96d8d89e1965774a70dcb851e50,745.3579653072
49,0x2a84babda58ddf063a6de10ae341483e53b557cf,715.9697756784
50,0xc8641a98e39dc68e16aa414d8789808c33922de4,710.6717515447
51,0x3d9594d2c7d1d77dffacbddf4e76d70784143b26,700.5042155074
52,0xc89182ad089effb4812551cfaa1544ccb3dd38c4,699
53,0xf6920642da78cff6e8798ccd8fa5036a004f3f88,698.9798955536
54,0x45fbaf7de8f1d5b82189ba13ad47d103672c524d,695.749603429
55,0x7bb2808289d2479d641e03c21a04078e5aa610bd,692.9973638605
56,0x3c34b2d6d3347433342b2b8b38fa521fc4662f26,690.5923723101
57,0x567f31c53375d61bcb16ace6c19d6b4b1a75f731,677.5490022834
58,0x514712fcba677e26bb5dad71434e1c98f2f5f205,651.8148192115
59,0x14a0af6dbf1a7f891f98207c0b50661e2c2aa6eb,646.4339754168
60,0x32d18915f3b653a4f4744f665abd26fabf598f32,614.499203246
61,0x9de1dd45336d4caefb8305916af9744158fc3abf,600.6537539421
62,0xf9ebb7175a7b4a0d99538157ded79d9e590fa05c,599.9973544974
63,0x9ad0e6907310f83b0a9e3fd94b689d8bf6566cf9,573.1141144357
64,0xa69c66863084a885cf5b53efae9f624d66b048e6,563.8239439596
65,0xd0a85276e7283bb168bfb67d6469ad807d66517c,561.7389585753
66,0x91c21f8475e312999a9ff7cc3331b4da70b8b85c,552.59461259
67,0xa429f7b60814cfedb73407964211d1257f960b1a,543.2011331103
68,0xa972eae7e19d7ddff7bbd45db252036d5c960333,531.3535622547
69,0x485ff4a8dfd33d03c8284b618e5d1d85f55c63c6,527.6877504524
70,0x91b689c57b4faa77d4cc14029fdca104a4579980,527.1843188799
71,0x8071152a05a2fcd5ade6f7fd98283f3b1edc1a20,500.7806930916
72,0xb13b281503f6ec8a837ae1a21e86a9cae368fcc5,482.6798640234
73,0x6c2c04ca98ae9be5cea5d491195b9f0cdfce613a,479.0968582322
74,0x2185613769c5311919c7c60d101abbda9e401fc7,476.3171581764
75,0x888989edc6b1d3cda7f7ad0051f3c5cce8ff01e0,465.2470088394
76,0xa511fe8801a6f9e13e02fa9de3263d3cbaafa05f,440.846373293
77,0x2083fd20d6cec6413110b15fd934f21ca33c80b4,427.5904495545
78,0xc805afc358852017ec0487b27d743091d632a4f3,423.2833638807
79,0xd8c7733751a908c22cd40c765f72045a8d3e2a7d,415
80,0xe5e588c68bdda842d6d3ea3ad9591c8923170a77,411.6854955706
81,0xddc60d163015cf5ca1369d557a2ca1cc2de1f1e3,409.8543168651
82,0x28a162f9012a166fc84f421ebb48cd8493ac6612,406.2521584557
83,0x3b5a4eae70b458ad114a18b01edb8ce6364e5f24,406.2521584557
84,0xbd47386c378316992b920b3e3905ae3e440cb334,401
85,0x4d35aaf0646275d2fd31659b5b42f21c0ddfcdc1,400.424
86,0x414d25901e714e4966d72aa571c26ee0704ba25d,399.9999999997
87,0xc7b927b42070f2116910ec35cbf77271b36e3cf1,399.9
88,0x2439711fcb62b09a375eade27b12ac24ebd47532,397.984902069
89,0x487fd785dd32b60b56bef26f8d17123bda3b8613,395.3468708991
90,0x5f9540ad49828da7441650c66c77109c4f09897d,380.9973544974
91,0x27ab111c7348081f404fd66729fa10a29f6d7ba7,370.5447951888
92,0x8ef8bcef3151155eab488cbb041695a65a942dba,367.1345453661
93,0xb76543ab05b208ee4d0eccc435dfb6ef00d96142,365.9408115674
94,0x8d2b82eee45c0082177c8badb839758c1590874c,361.4818674882
95,0xa71293fe422bf42d4b1c7332062dafe8d8445e5c,360.9973544974
96,0x9dad553423633df1285f1cb1661b53e4e85150bd,360.1567425951
97,0x7da7961107f652b765fd7532db41caa6ea696eb2,339.6820769577
98,0x0871a9066ebb92844b93f266fdc888fb97a69abd,339.6820769577
99,0xe9f8a3f3a1d413aaa9bc53c98ed48cc05fd09e7f,338.460663657
100,0xa4c2832ec1fdd45ce3df68ab3d84b2cf681129b4,335.0694
