Rank,Account,Balance
2201,0xba737be964c855edb7d2a3ff4c7d1d9d7becf32b,4.0784879134
2202,0x94b8b56e6fb16852b8430b7d6154a1725ea9208a,4.0779416589
2203,0x9857549870232dcaa7f876cc33d80d9b76a79e1b,4.0778614691
2204,0x7281f920c026e3f0b36f80a33c7666cfc2510afd,4.0778155686
2205,0x4c0a642f8239f4ef8745148eb6abc5015878ff47,4.0777075019
2206,0xd2ac2d5bfc1e23018a05851f281bf4d1e03029f1,4.077113568
2207,0x8833b282554e79770bc41436b457808e23b4c99b,4.0767902849
2208,0x50067a0a82027d743fba8767602ce424e6c5c7de,4.0762649957
2209,0x81c69775908cb1817256204324317078d9e2f119,4.0748644389
2210,0x6bae4c693d94f110ceb9236a673de0f2c8d55471,4.0742180975
2211,0xe496848c0397fb2d946991be28f2f2c5e7e23cd5,4.0730455427
2212,0xbb5442067ce45865772d2e588ae580e7058b672c,4.0721908139
2213,0x2114772802c5046eef7d622daafcaea85b8bbb30,4.0721060624
2214,0x3761e811ddc058a11b1f167a9cc28e9c13f3bb49,4.0717289908
2215,0x39861e62520a49bb6bba19e7e5dfe5de926a3ac1,4.0710928122
2216,0x55a7b83e82cde60591a527bbf9b0e1312ea47022,4.0709730325
2217,0x922794b261822e32bfe16f1cdfe3a8950f7d37a2,4.0704528611
2218,0x847f5d1e45e7c4993b308161a746d2a2a3748ad1,4.0701515041
2219,0xd0a4f1be6ea0aedde2d7bea62925cba7ea10648e,4.069896025
2220,0x2f379e6957eea874302eab8f7a8cb31d6b0a2608,4.0695492284
2221,0x5ee62a9adb531bf11e259e2eb7bcc67dbca0d6ec,4.0686978106
2222,0x0c3bdab3623db1ef914533b2581d94fe875b6076,4.0685863501
2223,0xa718f81389cfc97330c005513bdbe31b236cfb5f,4.0685203029
2224,0x2733db92773b49e539d8d905f01a8c2da0e85b19,4.0672771329
2225,0x18aa8a4b14258d912fce6b5000b40683dc41075c,4.0672771329
2226,0xac2c17a5018680c2368e747532b47a55d7debe1a,4.066922655
2227,0x52d841ccf652493aa113b0a21eccc91b86a2ba20,4.0669085791
2228,0xf87ed6ef346c6b116d2d6320dd27f8264765c38b,4.0660724984
2229,0x851eff9a19c93414f6d8f5fb6924b6c665d38f92,4.0643764167
2230,0x9d9d32b5515b04e77a63de159da07ce218e0a12e,4.0640582379
2231,0x2f3186b7e5d681493259fdc1683d2ac2a4ea9b02,4.0632790225
2232,0x74a82293f4ae7c3f1824002efce8e84be0569dca,4.0610115175
2233,0x5a4c1dc344f13df29aeb94fe0f6835b0e301bb29,4.0594164534
2234,0x940b559a00ab792aa98529157baca96eb6ed7b2b,4.058425071
2235,0x1da8bf20dfcd69d630502939acd93ffbc6c30ef4,4.0584122287
2236,0x55e913b79188d603b099843f819078975b61102b,4.0581194415
2237,0x9ef64f3b9181074fba4d921f5f201fc8ecc13c50,4.0580024777
2238,0x34aae5273064bb5c720ba6f6067dd4f3e6b7ebc2,4.0574974123
2239,0xeb98d0e16824059285a4f98267ade1d5c8dcf39d,4.0573737835
2240,0xbe612288a8cbcd71c6eee81d9388c411c9d0aafa,4.0572655769
2241,0x1a15fca785a598f7b31955bcf553f69cc667a84e,4.0570871068
2242,0x1f79a54bde936686cc8a7d85148cf2bcd509eea0,4.0566491225
2243,0x11afb2e6289ccece8ad9c72184f30c926b79293f,4.0565789822
2244,0x9a1207ba38d17984d1df976fe95f0b2730351a26,4.0565575545
2245,0x577aacb1a39c892743028d388f1f29ab34fd7622,4.0563920615
2246,0x28441289823f017d92ea41c9bfb3c60129ed810b,4.0562647549
2247,0x73c6eeef383bd02404652f05ee1c11afbd6099e5,4.0555577271
2248,0xed617c69dd96fff06a4a0b637a10a5326a627cd6,4.0553678382
2249,0xdf93f567235b0739267f5331ad6a9162bd7d2be5,4.0529666599
2250,0x39f44d693a35b76460763b72d0d27a794792736e,4.0526246086
2251,0xc36df826287bd4ad23c3c599ef5144d5b1f2f015,4.0518666568
2252,0x51842b1845324a78d4f45e21d093ae66285f06bc,4.0516732336
2253,0xdfb16033e5ef88d603e50cdd605f216965a208b1,4.0515726027
2254,0x53325b7fb51fe68e92c2fb45111dc27a817d2bf4,4.0507515331
2255,0x0d65ee11194597b92d6de56085800f172b3735b7,4.0503769887
2256,0x7dd06cb8b3a259671563304249d89bf39be98765,4.0501936771
2257,0xc8353212734d26c402edd335239b3a2cea2a53f5,4.0494899645
2258,0x3bee8f505d32acba3bb9ea82fc0989781fbc1cba,4.0493967932
2259,0x459e978d5af10211181c5d8e75193170ea1ab89d,4.0492822815
2260,0x782dda0228dc0983743a8fe699c5551a9f8f45df,4.0489822419
2261,0xfa4ebf0a332412ee0f1a78c263a953d239d19749,4.0479501337
2262,0x337d35b1cae67b905d9352dbae8816d9617b873d,4.0471662328
2263,0xa29a60a0521da0fa30ff3e489ecd32c679b0452a,4.0471199342
2264,0x852625849cc14ea8be317319d43ba1f6ca734ade,4.0469671058
2265,0x5119f837e1eb6291f5c0abae84017bd5359a8463,4.0469571227
2266,0x82eea1f2cc2b2c94a7090367a5c585e4c2afa618,4.0468086386
2267,0x2b9c7f97f4c19dc7372c13829da82c547352dd68,4.0467590485
2268,0x61828e2a2382b147baeb01dc14d0efd39133b489,4.0467245534
2269,0x8ec6c1688f1014e76ce01232240c97c20427d721,4.0466340324
2270,0x2b35cf5ff42d1eea61be3f267874beb6aeb1dd05,4.0462735625
2271,0xcc2f806d409cef6f24637911f907d9dd7dab14b2,4.0459350153
