Rank,Account,Balance
5001,0x9a35f8efa9b919f696f48952ca8a59557a998d38,3.6178901596
5002,0xd7c2324ac8964175fc266061f9584e5d572d5643,3.6175163297
5003,0xbf9ed5a97f1f6563879f964f830fa750d3ecbed4,3.6169850226
5004,0x52cf2cfbe045e11ca203d4225fcf2352fa7ef6aa,3.6168520765
5005,0x40b5235818675f131723e847984d4a2aa2136644,3.6166661852
5006,0x91c2f4d9fb1c109fded675f35ea928d9071aeb7f,3.6143814549
5007,0x7f0f0d7f4e99a7722f8a4076727a66ed4c6609bb,3.6142419313
5008,0x19e362f8344c8542aa3feafe3a12a97ca4c0f268,3.6138789544
5009,0xe00bf13be44c7b91a9ecd247b3c3cae66bd734f8,3.6119868001
5010,0x1c66d164da9ab5a885d605a45f95f771951258a9,3.6119251605
5011,0xae13152cded509ced4e6452b464f0fc49dae0b8f,3.611402281
5012,0xfd4467619be137d150543a3cc0f7c657f6a475a0,3.61088753
5013,0x00356f8b54cb0e0f660e7c7f83472f55f124f003,3.6108695098
5014,0x5c6b62029fa831fce63e234ddfdf8b22dedac08c,3.6107465479
5015,0x3253427e289d941a9bb11444d130557ccb7ecf3d,3.6106230748
5016,0x0d11c4b1478810ef7e03d779cf66c9f59a8bb6a2,3.6100050367
5017,0xde51ed96aff11ad6894f8057b9a6d6aa7d173a9c,3.6098495842
5018,0xda67b2f7d6946921cf30e26bb17305caf330a7fd,3.6082469028
5019,0xe30709accce3804ae5dbdf5ebed67099968c0c50,3.6082012874
5020,0x3d5b1ab440eb401e0437a1ad8f5e414368d9380e,3.6075708039
5021,0x44dee0f49cf64d8ccbd27a8003372aca9b0cfab5,3.6072629562
5022,0x67d67ea0c8355fe181f1e5799a5ad9601f5ec3d5,3.6072084794
5023,0xa7f926fff9855b33360862ef17c2cc1b437aec5d,3.607103674
5024,0xe6ff21cd7f54cef1316c7e95679e87625b295636,3.6070633146
5025,0x1a59617a995f4fd8b1f4203ab10869d03de1f5ef,3.6068525298
5026,0x6b88a34655d86d5a649d27a568f80474563c6e47,3.6067886301
5027,0x90e6053fbb369bd0a7604892343e2ad962468997,3.6066565124
5028,0xfadd90d8428fc6bd4b49211a9b5f5d2eb06d8522,3.6065592769
5029,0x0cfc969f65b3ca5774c1b40bac0d9e175221b932,3.6058776286
5030,0xf6150488b872762405e73ef5770abe7b678fe898,3.605767794
5031,0x6ed14c7f658816a0d78b56ccf047e62d8a9c472a,3.6053033761
5032,0x210355ef26a6ded867d66e451198aafcd535ff2a,3.6052539292
5033,0xf54b4d0c149dba51cfc135d999ba799faf8523e0,3.6051316808
5034,0x92044ebb945128b6a103e9eb419d84970f11ab80,3.6051224171
5035,0x77097667e88422503b517ac1dd83b0fd6050d022,3.6050488045
5036,0xb66d4dd6425e61dfedf2448a61085d850bb069c7,3.6050073727
5037,0x7aa532158c39f435a6cfeb53e168300fffb72bd1,3.6049659417
5038,0x285328003c4207fea6ce17d1ed68ca7c8f494b5b,3.6049245113
5039,0x777e744c3257965311931f8d434b16d067bd08d8,3.6049197496
5040,0x20f23675d1ca7a8916b9de84216591563f17e4cb,3.6048823911
5041,0x5bdef097803c722426cdf03d5b208d39148427f5,3.6047558877
5042,0x0fa40cce304bd04f35e52091b23cbb0745a86c9e,3.6046524723
5043,0x138980937e199ebe36f0e28c3c8ff9b9164002d1,3.6041916921
5044,0xe77a66e7d531afca01e6aa5b0e5f7f59aaec6339,3.6038184563
5045,0x6d1c34c44436ab1ae1bdd638bb3af034ebbaad7c,3.6037253654
5046,0x40f06d8deb832cdd017b37de1aea8fca68c44a78,3.6036180599
5047,0xc988077fd256840e8a77ea7c5d382f92dd520e13,3.6034976444
5048,0x940fd84b9fc595c376ac2e6fdb625710177942cc,3.6034886901
5049,0x4aa16c8b0c32dc29530dd1abd20aff12fe2c4779,3.6034334821
5050,0xd8155f2ad0f389fbbfaabce51a8f4b3ea41880f7,3.6034169717
5051,0x70520b4d0451dd750ddc24e3a3df467d8cb555e7,3.6034022828
5052,0xf782ad1194bbb489d36ec7ae94b5c5dbe15a6915,3.6032158759
5053,0xc19479fc7d1e667ece98cf637c4c90f596e1d2df,3.6032046412
5054,0xa716e995ec9c0f354a86cd8c16e3cf09dcf3d073,3.6031891357
5055,0xd5cad58ef645a9a7d57c919be0a501124c53115c,3.6031590384
5056,0xf375541e6005b014f5d4bc09026bf6695a23cc34,3.6031372364
5057,0xa3c39ceca4590d091ca977516feceffc1d75b378,3.603137227
5058,0xe24d247857d16c3b785e72714d85289431027ea4,3.6030995917
5059,0x729b9080ffb7da554641b9fa7cf27a7e56f8a0a5,3.6030147969
5060,0xfc0cd7723194d768290980f73fd538f74b07295d,3.6028137348
5061,0x98df26ba003d312830c58539f4be08d80d931b94,3.602698913
5062,0x6d64777133a796f88388a6c90a364ab36810a0a3,3.602658221
5063,0xf3dfc375a73c1269fa8ac1fb38a9df4175fe0ff4,3.6026136933
5064,0xa1456684d29a118748defb09405bf7b9a5b10285,3.6025967844
5065,0xdef7304586638e1aec8844c2152bd9ece7dbd45a,3.602325379
5066,0x266300dece513953de5c4f0d1a6acac354701052,3.6022824527
5067,0x330d3d50c25aed7c38c5d7ceba18ce8ad70b6294,3.60221837
5068,0xf2e028b5c49f9b6082be866df7a7c72aed77609b,3.6020593895
5069,0x8a16b8862c6a9fcc57ad5a52d830cb53298f8924,3.6013648923
5070,0x07fa5763989e92fd8606bce813f90e06901ff18b,3.6013038815
5071,0x38c4703bc7a59455fcc6109e2c864ed3cf0cdf11,3.6011504901
5072,0x893ef502800b97cd64d9c8b86681b9b42393af74,3.6011229002
5073,0x4d4894657b99f54e04c6a500797402d13018bf19,3.6011213939
5074,0x4a568672efd1e89abe8d89d94381aeec66fd3701,3.6010846233
5075,0x2cca0daf57bdfeebe8ca2ea3e7b07b37b4020cde,3.6010310694
5076,0xd52dbca445501782e7751079d680f7f2381807f4,3.6009204905
5077,0x96549bea5118743f79f7bea982b0d7f3124732b2,3.6008837715
5078,0xc912f66e782cdfbf95dcbd8645653208181d36a3,3.6008322402
5079,0xe785ec09f730c48222109ac6e02fbea02e2b0491,3.6008111327
5080,0x887a84eeb35f4b99146c03039be64026c61e0bf1,3.6007196038
5081,0x51319b1bfa8878c48362cdf7c97af1e70cbc68f6,3.6006829365
5082,0x66c56bb6201e732774c6bf6dd6e03b49d4a5b52f,3.6006481027
5083,0x91f52670756cef5c30965034a636ed6304c5bb0f,3.6006027007
5084,0xb5ff76fb67b513cda0e34c1ef153d31bff477f4b,3.6005728043
5085,0xde126d014c1180975eb6136fbaf3465ae1635099,3.600518734
5086,0x9958afa7c8afef0840df54ec220557a9dfe6009c,3.6003399925
5087,0xd1b9fc4c23ac5f6a11949dc104781d69a6b9c776,3.6003178809
5088,0x4b13f06c92576d4f6352f324c4da26e15cb88c13,3.6002308292
5089,0x7da10ce8d5bd7abf0ee57433366bf1c2abbef02e,3.6002267657
5090,0x7ce522bc90480453d8723a80800883f632442775,3.6001679878
5091,0xe723c40788e8b547d103be0d202437f8922b5594,3.6001180058
5092,0x4dfcaa4353f9f5d4e8522360eb502f4b5e6355f2,3.6
5093,0x5de850db5fa95c3b656b08bb28315ddceb9e27d4,3.6
5094,0xb6a5bacf7f8b3c63d5fcb04a9daadf42cb16e83f,3.6
5095,0x92d9f710c11ae53d9ded0965d81f12d419ab5d88,3.5999954219
5096,0xc87c11550882a7791ac68e85758af249ea58b2f5,3.5998957828
5097,0xe032a665f3d40ce62cfeecb558b9d77b94621a01,3.5998167252
5098,0x285b37e246bed412c38c4f3635ae5f3475bca8f5,3.5997941032
5099,0x5abf1c576c41d90c6652b532acf0759f756d8464,3.5991000237
5100,0xac7e1fb507d69aca43733f0b413a7919f4bfc9b8,3.5989491844
