Rank,Account,Balance
4901,0x09746bb964001af90520f4f369666cb409b1707d,3.6602160019
4902,0xe3d00683a0d493f6143aab7579a9f60c6a24a4ff,3.6560983024
4903,0x548952aa665cdb649a715fdf47b82e89726cf66a,3.6538886529
4904,0x7963e3ff2bf08f2de13adb2b8281ad0314a15d87,3.6528951811
4905,0xe270058c519320dd49cbcdbedb3747ff4e6b7aa7,3.6521445362
4906,0xef7a849fbad495c3e0c0eb0f957b85022b217361,3.6519605439
4907,0xb14549012a0f320030e760e719ab21406810039b,3.6509817274
4908,0x5875c55a0854ab563538648bc25cfa8ee277e50d,3.6505542801
4909,0x9244a8c43cfd5fbeff8efeede942a798ef1fb974,3.6500826628
4910,0x182b87ae75d00e6805d170e9cbcd9b3d83b0cfb6,3.6500422211
4911,0x56bfcb3368be55b892c27b5837fbcf3869e2bd22,3.6499346343
4912,0x8dde3eba000b52a72e107b00f2b16f4f69de6703,3.6496536375
4913,0xbdb95d68cccb867c673b8b907c12165c90d207a3,3.6496231712
4914,0x5066d01d78efaa5096809921fb68cacb5a0a27c7,3.6496008906
4915,0xc2eb07a9558b13a80927ca54fc36d39c0f5e5127,3.6495805137
4916,0x3d2879602b3dcbba32a2b49869a4fd836515a234,3.6495509213
4917,0xae785fdd17a24aaa16d2952de15f5f5690b9d572,3.649504609
4918,0x9d6f14262e1763e6a10d68466fc8a0f8fb74c746,3.6493704772
4919,0xb0596b306b5105b7aa681101e5b13aafaf621fb1,3.6491954886
4920,0xd8f880753ed8fd5c84653a194d07525b55d3723c,3.649149183
4921,0xa214501e301c19f60d315362b0816cd363346554,3.6491065341
4922,0x98790e4c78c12c5464f5936af4d8a8e5808930e3,3.6488736365
4923,0xd512e0aeea0228a35253ece18e40192e434c61fd,3.6482559682
4924,0x40f632bb28aa4c8d26cc408c9a998ae32eb55dd8,3.6476520472
4925,0xac405c693b514968cc638ef41f267cb5b4daecdd,3.6471490602
4926,0xd9045497e14cd2c32deb2cb444ca172c36854c85,3.6471120387
4927,0xe7aa389780a08cb4d82e1c52605b40a5fc73d855,3.6467487575
4928,0xd8410332d88d0da543c8b6b69db68401b73ebdc5,3.6466815248
4929,0x6ad30817a9dbbec085451632ae1c5aff15cf9287,3.6461087958
4930,0x42eb6cde858ac86c43a4d7276dfa3241039db565,3.6459085088
4931,0x9ff950e96f2be34ed4ca652c8771ca86535f6667,3.6458290315
4932,0x3585fc6a5444d682ab94e48c4e62a220ea42f69d,3.6454420291
4933,0xa2c5bb8e87d5dd0fedc00cea524108290a05eaff,3.6453994451
4934,0x217f7a888a8371029b1251aeb1a903bfc779b778,3.6453979954
4935,0x5b6d7aa7a68e48497db7693cd50363acdcb65fea,3.6452657189
4936,0x62bba60c1856bbd5f1f19f699f5ce408fdcdb84b,3.6452616998
4937,0x5b7cef44af74200e17eaaf79fe81b9404c7b6ea9,3.6452147388
4938,0x0cc91cbcaf13bc068825179a90c94183138519e8,3.6452107711
4939,0xae39541e48ed672ae1e5e31c6b7973987fb68322,3.6439267244
4940,0x789db0d0ebb355cbef815593d1a60202c7a54154,3.6434746107
4941,0xf70202e3bbb8e42208a4fb5efc0780acb4fc8260,3.642688682
4942,0x70a9ba0e6d69d77b45bff510bd4155615a6b76c5,3.6416139275
4943,0xd906c5f35bd9cf4457830329ce9ad57cfd99d150,3.6403125948
4944,0xcffd57d9ff8d909af318f7c864af33be858163c7,3.6399552057
4945,0x0c69ceb0fc07675031a96ecccf46f73f0e494ae8,3.6381928905
4946,0xcb89494eb834a919f1772d2a000659d469a2e203,3.6379227674
4947,0xa01b0551f00767c22a1dfe6328de08a40cf271bc,3.6376463202
4948,0xf92acab81eef81424729fd350a8fe3dabd2f86fd,3.6371238309
4949,0x7b691713dc6cd2b49bf08f543bcbebbbf540e343,3.6370018938
4950,0x96f38940a03fd3ff7ee7f0578d10762db8ef77cd,3.6351838153
4951,0x5ea765472de3512c1ff00b11bb9cc38e84b05517,3.6318205146
4952,0xf0d0cec655ab555633d48aea5f9acc87f757a9e3,3.6311617431
4953,0x0ea9f207cc1e92f72a6c7df5ea3d7ef46c47cda2,3.6309352222
4954,0xe75daed8e7f443e10bf241b6301d670e6cd623d0,3.6309024006
4955,0x886f37cc6dc85ea2126df5540b3311987ad578da,3.6308645577
4956,0x405cf5f7db081c37d5aa505d28bc83b8f32cd8b5,3.6305134471
4957,0x669505ffca68beff13f6f2585d06deba35e56b94,3.6295923338
4958,0x2f9d469e01ec2f8e6c7146cc42463a6b25d285ac,3.6295294477
4959,0x6eeff6d1a33c6bb7d7729500dcb2fb6761ba2e27,3.6294885862
4960,0x3591207508fd890ec78bf194e4ab7022523f085f,3.6293059979
4961,0x72b6ab701cdf16fe01fd1b4cf87409dfec80d3a7,3.6292693455
4962,0x5ca80d24ee059da5ac6bc9c1b0587456ab446931,3.6290975103
4963,0xe41bd56bfb7e13b60af9b1a811adce97ff63e163,3.6290114381
4964,0xdc081ff5cb4aed8741a279b8368f9d3f4ff208cb,3.6289646787
4965,0x50a120029683ac4dc0e0dd36e4634a806fef8ef3,3.6287164775
4966,0xd743e5177b3f235f808cd7f44a5aeb437cb625a9,3.6285005333
4967,0xb63748c015fd6949b124f4ea291e6799df196012,3.6284830887
4968,0x76bc0f1eafc820dd4c56b72d7adfb60dc2867ea3,3.6284416442
4969,0xf15ba1167278f47101cc6469d5f94a1330c9a45f,3.6284138381
4970,0xd7eb64974ff1c78e83bf85f0c7a0f73f564f1efe,3.6283719513
4971,0x7856696b06eb6e18ef981e62d9c39c5f69d48328,3.6283718091
4972,0xbc2327a5b552a606f5663aba3c0d955467407d4f,3.6283551996
4973,0x65b5c1d4c6c288bdf39e5adb1d0fb0f5d91cfa17,3.628329924
4974,0xaeb7ac2b294a6c1841ccf0374a264f0a6c32c7c9,3.6282678338
4975,0x27dbf7ea0661f9b5a765918fccddc9109e95a2f0,3.6282641397
4976,0x92d0b9b413dd7273201e55ad95f8a13b94773c86,3.6282635115
4977,0xfa4173ea7bc8831e4ebb4abc9ab8f4fb1c3c1d27,3.6282475309
4978,0xb819e75169c7d0a3471ae340223287fbd012a28f,3.6282055046
4979,0x5ed28248d8b4132f2faece526130d2678a7bf083,3.6281888961
4980,0x2393777e3a5b447ba9d24ccc3314b5a0480a2737,3.6281055868
4981,0x24e1e20ae8716be14d15f286985a45bcff37b096,3.6268334113
4982,0x6f5d9e2f541be5620950f3cb37a6804a7fe8a019,3.6268082253
4983,0xf45b00138c1e1cdea0e0a20bb778467ff9d9c66f,3.6266534048
4984,0xf345e82260e9c846543b9967616b6eaae10a8b82,3.6248897841
4985,0x6eb13e7621e9f12988cbc3e1700889d853ea8fc1,3.6248201593
4986,0x724f20dad4ac8a906521d2ed16658568ca742532,3.624340659
4987,0x66fd5e350a11289e0c2f27c159b7abc9ff31ac63,3.6242547367
4988,0x0db6844b13170ebfdebcd1d16f3669f3618f9b3d,3.624051397
4989,0x8631a2ea6da6a97a886563b9414ba2098bdb66e5,3.6240157868
4990,0x7893c0796a00cd7a9ab4612666066995a87bd4b1,3.624005231
4991,0x82e206cba10ad5a050f39c30ce5ad34d040dc6db,3.6237713053
4992,0xef7c62dbd17f26a0d0f395976e299389d944e742,3.6236476348
4993,0x6356909180a0dd8a541405fc7fbf3c2555812ee2,3.6235892502
4994,0x3b522e4358de5b85b32cb59e84f12e6e84c94b1f,3.6235518506
4995,0x334e4a7a8032b7b8a555d67d10a82587a6482169,3.6235089826
4996,0xd68f4ab619f60f1e1e839cfd6a3c2f49ab97d822,3.622153668
4997,0x47934edc22bd43a6b478918129d2eb684ac43ee8,3.6217153087
4998,0x5d8177b2dfc6e34814bfa332de6fffce0dd732e5,3.6214875262
4999,0x4ea887e70441fe1e7e30f06d381ee6186c305bce,3.6213738466
5000,0xaffb2062fe312075ee2d40f5341cb3e68e60cbe9,3.6210019031
