Rank,Account,Balance
1301,0xd9d271561c4f5256b14a8da419d8b596045f9c75,4.9446457733
1302,0xa9aa331d74d48a82c9c49dd9c2dd505c2c6954d0,4.9439900258
1303,0x8657b9107a4fae4ec722a485b05fe68c6764a631,4.9435835181
1304,0x876442f8abfbb3b4c1d0129bad166df369cf9915,4.9433990898
1305,0xb9939a0b91834283969fbaebbcb30575981f49a0,4.9419527621
1306,0x308e592f182acff0b22a3dfb7647f3e17af71447,4.9415488545
1307,0x63c5c01b4d227adf9b3da07d29a501324e3eeae6,4.9413791797
1308,0x02f1c43bed9968e73deb5e7017dde7705bf2a514,4.9411623411
1309,0xd591a559302e1334bcfed5aaa8f394ae83ab4643,4.9410579371
1310,0x4b794f6ecc9e5c8d5c4d6e2b41f0261c50afca33,4.9410308361
1311,0xb648a569ba78dfb91f35c0b00485fc1ec792014a,4.9403643909
1312,0x034028bbbda15cb69146882f8c1b9ee1bdb0c034,4.9401033777
1313,0x4b88623cb467570242ee2d08f9eae1ef758c0ade,4.9376791703
1314,0x0496f8f2276c3003581e6fe685348c59de8e52bd,4.9375932976
1315,0x1f2eb5a9ef2f0a747672d676e27cf5080cee378c,4.9317019907
1316,0x386a238739efb93eec115823fa67b327bd904ffc,4.9314238812
1317,0xe90524b2cdb9da50975e2bfcf48d090bef99379e,4.9283800457
1318,0x7091e2ff77a663d1c5d8359d21ba11b7966d8d27,4.9260750239
1319,0x0ef98c6fa6e88fa554c3428b6df9459d0604fc8c,4.9095419285
1320,0xc06ebbefd94032b85424d51906e2a335efae264b,4.9090436961
1321,0xbd7d78d22a3a2a7f679f40c126b297d8b6ed63dd,4.9073109317
1322,0x678d173ec1f195838361147fbb7dac8d3d8a4264,4.9050125735
1323,0x8f43b4e661d42b9bb32b18645f05b976f79dac18,4.9049123229
1324,0x1b2d36dc9eed00d66149d38f6b025f8a86fc5c42,4.9042753163
1325,0x2845cca55f2ec8fda056a7b6f7a363c7d3bb80b2,4.9041750895
1326,0xfb557aeef0380c01ad11fdedca5d161588803cd1,4.9040325742
1327,0x85759f6ecacd99da768f56913718935e83189011,4.9039323551
1328,0x4e41274e4e9bc38bd6596f75f193871397ad3149,4.9029669765
1329,0xff33cded95bfb9659442476030c5b8a7d9dfc0f2,4.9026979426
1330,0x5809dad42826e7c00d619bfeef4ef6af87c3236d,4.9002106936
1331,0x0bb42fc06f26e9874e73435c3bb74c1ea39eccf1,4.9000811731
1332,0xb045e0864a78aac6055754784fe417bf6ef9c792,4.8988208468
1333,0xa1f90f050690c4371b8cfb3e4a2b883c07917b08,4.8964632205
1334,0x825fec93e6ede8ac6507d73b3bf0014658672117,4.8956246158
1335,0x6786a96384016c4cf22aa37c255b08b5d860edca,4.8883325095
1336,0xf7fcbe8040e2e1cb2ed9df54aa7bba05ca224108,4.8878123851
1337,0x29bce4c57989b7e34671d157a3ea2c77426c7381,4.8876972369
1338,0x042747c4e9854dc99b247623551658997d44e029,4.8861550101
