Rank,Account,Balance
6101,0xf9798dd8fd009196c4da4705fe591c0ff9a81ecc,2
6102,0x619f002755ed68d2e8896ef40ae745c3de4a0224,2
6103,0x0cd613b9f05950bf96fb207c895aeeeb5119174a,2
6104,0xfd2921acb6f452cf387c788a987113ba61e78a1a,2
6105,0x465fa73c5bdbf651268f68b90469685e520fab61,2
6106,0xff0ce94c87f48578a3636324222a3c9119cd7a85,2
6107,0xf1d4797e51a4640a76769a50b57abe7479add3d8,2
6108,0x2214ed0d4d798b815d20e7404a012b89c90fbb9b,2
6109,0x063207dd922f4ab25617547f7933dddb81e4bd7c,2
6110,0x3aeedcd329e91e352d6c3d42c2b90d4e33a9e7d5,1.9990971816
6111,0x374a29b0478aaa7c1b89d5b931333f6d96604de2,1.9973544974
6112,0x486d54b89aee4ae9c5201f5747e2d051935d1a23,1.9970896028
6113,0xec26a697c7560eeeadc7bd2f6b8b8008e78429ac,1.9967377844
6114,0x068370684f37ea99cbd2a21a07d8e0b9add54ca1,1.9948290454
6115,0x841687c2e7a735bef2f9f4dc6281f5003823de9d,1.9889740224
6116,0x081404d78bebf3c41d6393d4dd6d3509e2fd6818,1.9887950974
6117,0xacc87388e55ff12bea590c5608069a90d3f1606a,1.9835126614
6118,0x23611750cba01261744a962deafe87469c22ccb5,1.980849365
6119,0x084bad79444a43af08c5d8f2bb3b428b689ab746,1.9769326112
6120,0xb24f58c1c839d711811f3b4dccf69af3ef585dd0,1.973600834
6121,0x6b39a9bbc08e7805aa216d51dd3cdae974116fed,1.9612066723
6122,0xfd3ec9513bd223b24abd5381387d93c33e9a02b8,1.9553
6123,0xf250cff8fdd6e004449fff202351bfe522deb36a,1.9542556605
6124,0xfc1c00811f78043effc4d84400e2aebcffc000e3,1.9488744743
6125,0xb610a0bbb0948da94e09f730175e65b02c0a49b7,1.9433521567
6126,0x3f62cbc9e20f033a3e49cad6b8a84949ff0e0875,1.9373704938
6127,0xf337d763446c46b14a70d77fc402323376fe97b3,1.937023049
6128,0xadaf6b98d6055968bc0775d2c50219f789d4aa9f,1.9325342276
6129,0x9c303de078c7252964059cb252d0dce2bdaa568f,1.9279286731
6130,0x38282798c9d3ac504f96056e4b11eb511cd1160e,1.9103475142
6131,0x6596d793e1a598a28fcac035f71a3cc20b1618df,1.9067170585
6132,0xd799fc32aa7cbf3783abdee102aca5f586e5b4fc,1.9038187542
6133,0xd6d77af625ae9e0ccdcd7bc9274094e518db9f80,1.901252053
6134,0x94b10ab07a7287958cfeeb7da95e743430981288,1.9
6135,0x3c2c2247df27690eba43eed4ec49eadedec97129,1.8997521478
6136,0x7e95da20083bcb74fecec9c77966c7d376b5a0d0,1.8845241043
6137,0x85dc1f89de4f3513cb6ea94b4731768ecff10847,1.8763207952
6138,0xe033b2b4aa638f470f0560dd517cfa2ce68dcd3b,1.8656963368
6139,0xedb79c41d536e02e06947069d20bf7e34c23b6e4,1.863939735
6140,0x9ffc128004e4df077566c56e45efd0031f1938f4,1.8603771313
6141,0xf6f5dbeba307c269e3454004dae7943e95c4b89c,1.8577595785
6142,0x7f0a67ee674ce59d1cbd39aa03c6469d89621241,1.8457806836
6143,0x1af840e4a99d599efa5acf2ebde8981f2fc3ad2d,1.8404499444
6144,0x4ac9d3c8a8caa61327041292e6e2be788f71d5e8,1.8119212328
6145,0x9a299e6f9c966e77587928840ad53ef0fd9f5f17,1.8002074133
6146,0xbc376300c4b95c0b57db7784ff7a3a919aa6077f,1.7973824181
6147,0xae1509f44a54029322a02b052bbeae4d51ca8c21,1.7800633054
6148,0xd04ae14ce2a5e4a6d8c3f2b3212d7c58e6332d38,1.7641818513
6149,0x62c9251ab64053cd626be9150a4f36989b7bb11b,1.7506284692
6150,0xec55f0d01be14e5118e64177f35141da12b64daf,1.7398693427
6151,0x45d64b861cdae4587cdf18a873577267ff4dd4e2,1.7347116126
6152,0xca794bfccfd50253b19d03b608f2d0e1d2f9c0a3,1.7282862058
6153,0x6174d53b85d320c21d2fc4b6a41feefc62456fec,1.7232034302
6154,0x128095e46592dc46f7c69c56e59fddbe7f0c56ef,1.7200011276
6155,0x1fff099eb2da8aa24068647d6fabaf3351b95607,1.7032589619
6156,0xb120172b46a3dad06d0f815c4ff9d1bb414fee07,1.6971866785
6157,0x1761b3b8939c8d6654bde2bb64ab8906e215fd81,1.6968333312
6158,0xba80ab0013ad74ec54b93e4ad4d2672152595404,1.6942970496
6159,0x37ea0c1b8dcc675f62b594b60cd77ab83fb3c1ee,1.693900878
6160,0xb1da8cde0f746e52bae15c8575ab09d1804ddfbe,1.6823275727
6161,0x5151273ef838c8109c799bc3fa7693e2e8dd153a,1.6822626013
6162,0xd3f0d5c902bc8b6dd5451291b9742810240971cd,1.6809977853
6163,0x164a65ef5eaa2a9f8373b56217cfa4df8570294a,1.6746331693
6164,0x99020692bd7c0a1a1f271b57541f07ccc4c16d2e,1.6731113623
6165,0xb85b1c24fceb46dd7dcb50affe8a095c16a65de5,1.6727708461
6166,0xcaf6f13a5a7ad10c57e6c4e234f03924da477263,1.6626516881
6167,0xe10d621c95699fdb95615c20e7e14222df76de9f,1.6329049421
6168,0x4796ba17daf93f451af2a30935d3523631a89e19,1.6259313024
6169,0x9c6e0c477cb61e925db87ae12e00c9495c63c979,1.6170671403
6170,0xbdbaa23ddd194e373692dcec4a40de493d3a83ef,1.6117748869
6171,0x89a8487860965d053bbddeceff17f43db2bb696a,1.6109413102
6172,0xbf01481bd256de0f03fbe6f62c1ae543591fac71,1.6047320604
6173,0xfaf40fbda981397b0d063d8fcdcb9101ee155154,1.6024446691
6174,0x33c545aa6b45bae2e0cf6ac09897928f3bc1b70e,1.5947762607
6175,0xea2aca5227ddf6364121cac3322656b86e6b5310,1.5945593195
6176,0xdbebebd88a162c207acfbf87128f991d45e4696e,1.5911430228
6177,0x58b26a58131d90f5d94a678bc00982d0071b2821,1.5827655392
6178,0xe75358526ef4441db03ccaeb9a87f180fae80eb9,1.5789730665
6179,0x52e3cafde9adaca17acb35173b20593971732318,1.5731243565
6180,0x165db028740c0d21afada4384ae6db653e51854f,1.5568773312
6181,0x76e01ccdf28d9ecf9b461dc4845af1ba6ccf0f97,1.5526400517
6182,0x5f2143ed9a4f788a4a0793e663f75f96f5609a39,1.5506844586
6183,0x39174d8d2d828ff9c73020cdca50dce277ba3084,1.5501843938
6184,0x42765fb11b88f7cb5038e8596eb721f035ae923e,1.5496569074
6185,0x43f4427bdbf9bfccaf22929dcdd8749c1b347e3b,1.5425411621
6186,0x4ac4ff89b9d4b3daf54942e3df63751a4a54c735,1.5408444067
6187,0x99877f4429978df7552fde876e0eec3454974446,1.5393453317
6188,0x87820075c28969639309ea8843c91ae467de433c,1.53
6189,0xb112e84bac2a0f581dd988ce198866b032341ca7,1.5219745619
6190,0x3b6a66017b75f04e55c73664dd6a9cf2c8027e0e,1.5184789585
6191,0xdfb7e426fbbbc83ccac49012f49e2a355d9353e8,1.5156471168
6192,0xea2ce7401bb729ba69a10c1953400d138ef4c986,1.5149000897
6193,0x5d53fc74c5c79f34b24898cbb1cd7603458d6e6f,1.5083704604
6194,0x5c0e9d36e0d887ba412e6a9e92b2ade632b2a791,1.5057422252
6195,0xac1cfe9e81c94fe1b9e2ecbd3c92723d18f6bd9f,1.5001657707
6196,0x6bb8680e8184ec66c1052bc209b33a1643bc12ef,1.4996955536
6197,0x604de63fda305fd791d33247df623877c2811420,1.4891817456
6198,0xd4ca4f166d3717fc2131a98c245985fc61b331eb,1.4820405979
6199,0x351aa2392aa68115334a01102d5edabbdcdb39e1,1.4755380062
6200,0xb31ba06f0e78d9d7da5a0ac376c8707cd6300fe4,1.4737206847
