Rank,Account,Balance
3501,0x8301ec3b8b02e2844e6d9c6ef41670a684cea8a5,3.7744834138
3502,0x1236c269cece6ff3c3a05ff282402d916d35b4d3,3.7744566166
3503,0xa134a1cfd292ba51f3bd1b39a245fdf9f74fa427,3.7744297632
3504,0x71a50d6f50b26f762009aea5672554ea543d75c6,3.7743922718
3505,0x5cce305f57b69cc1b1f9a1daf2daa9a8184219f9,3.774366072
3506,0x276a18acbfcd311f74a06582fdf8e16e317e2bce,3.7742325434
3507,0xbce1c0ee64d25ca55d0aa5caf56a765e68dc0220,3.7741954557
3508,0x7b1b395aca1c97659e0469d288edde2ba95f0194,3.7741913356
3509,0x60c0d76fadd94c5b2c52ae260138917acc9ea184,3.7741789683
3510,0x17d5c8abc884c6c73b50af8e833197af7e80c7ed,3.77414906
3511,0x2e16a096fbceb72699f7ea3bea8a49aa8af126f6,3.7741253943
3512,0x562422fb61a4eb1abe4286e9d3b495891bb1427a,3.7741013681
3513,0x4012417f3f3b95dfa86eff7af940335c1b9ce618,3.7740954614
3514,0x1711e0f017b10a6f8e5b34cc0ae1e0338622b1e7,3.7740718214
3515,0xcebfa93fa2a1d91c899a4bc77940083fc14c3329,3.7740477481
3516,0xdf8242d1e2862ec6754e8cdb9c40862197e91ff4,3.7740182497
3517,0x4d4eb8f4eda7974993f4c882ec0a25c7aa0481a2,3.7739646792
3518,0xf1daae497320bc7e18686f4facef026cc2445dce,3.7739528389
3519,0xa9a6069797736e886df56ffb437bede2e58728a0,3.7739111097
3520,0x36fe3a161c075b7459d21ffafbbf3fa00177b4f3,3.7738575414
3521,0x075e64db1297b2dc22766c28cc84f18954a67d3e,3.7737504083
3522,0x741710dedbf14f031edeca62774ef95931735ab6,3.7736879684
3523,0xca0103427720b9fac89f9b423cdebfc26ac48f95,3.7736437721
3524,0x8fbbb256bb8bac4ed70a95d054f4007786a69e2b,3.773634244
3525,0x3399a3fedb73354c26883ae11c2c8d1941926289,3.7735431371
3526,0xcd6c3be800775af1985763f684f1722d71517504,3.7735181763
3527,0xe0c3f482fa365a4ddb3cdfbb23d6f183b5154bc5,3.7733378695
3528,0x2000af1d181f31e5ae478d21d0f6168e916142d2,3.7730700856
3529,0x4a6991da428fbc2884a0baabc9ecd5e4e3b28af0,3.7729788863
3530,0x901675bee5324b32db1ed19b8cd7d376f179510d,3.7728265708
3531,0x4d1c2c536394e475a13860dcc5921fa970ea0dbc,3.7727791041
3532,0x3d3f6b206a47340d7273531aeed664f89ee7bc9f,3.7727771011
3533,0xacefe9ab557636a3c31c1096ca0e32ebb918a505,3.772757619
3534,0xf543e2b5d2022e835e386f5059531c4dc917f689,3.7727192457
3535,0x5ceb41011a1b943b223628bf1678cda0b23470c3,3.7723411716
3536,0x5abf36eeb7deea9cfa5c5c28742daa4aef8d8296,3.7718731327
3537,0x6ffd3db59ea58affc36a76ed363f11d89a0b14e6,3.7715812343
3538,0x5d44c3f24e711c9135a1a9d3f33047c19ffc1d35,3.7714696461
3539,0xaa3ec33e604980490dd91bc257ceb3ef282e380c,3.7712791892
3540,0x4bdb2d4ac6609f798d66a1301f47f4a9ddfacde3,3.7711242421
3541,0x713bdf226de438cb392d1e806d77515357a47024,3.7709216014
3542,0xf282f1a2e4371c895556878055ceb671d581b759,3.7708790503
3543,0x0dc26a18c89443ffb23b5f09d0583bb51f039559,3.7708790503
3544,0xe2023f1a8620e7990d49af2dd8845b3afc6e9dc7,3.7708405076
3545,0x624df7565024895eb2514514b527d1c40db4333c,3.7707021334
3546,0xa8d71d102fbc2c669fcd9a1f8c978e82acc704a9,3.7706726207
3547,0x80b8dfc185e93fc4587e1efd0a8835d2a31b6965,3.7703050337
3548,0xb7c21061168e7d6c834679dcaecd75a3e9fe2bb2,3.7702194807
3549,0x4aa607914da45d5828405959ba3cce57891f51e9,3.7700685383
3550,0x63c98c683d706356463e5c91701f67396b3475c4,3.7700150267
3551,0xdbc84f810fca36a1920a339b030ca6ab9008ab98,3.7699879395
3552,0xf5c75bcef53ab24f53c71622dde45a4834098bd0,3.7699748431
3553,0x70c8c8c450e6af20686c87b8fa6efa975d40e211,3.7699499801
3554,0x180284c0203fa19e670cc13b5c34e6b23fe06e9c,3.7699302433
3555,0x56a781703787b2d92c74b1ee3a31dafeb800acb5,3.7698987015
3556,0x8c0c0966ae7cf05777338c16961f4232fff73db4,3.7698869373
3557,0xae73ef21befb26580ec3ee0f6e1f8933926b3c25,3.7698738558
3558,0x8a04f3a2e59e1aef77a9244ead5fb3d7abec4a1a,3.7698418907
3559,0x0544c74d90d96b7c506d7684d9d07d9740e72602,3.7698279478
3560,0x1956998ea1be741a8378f174eb302daecf4bfd89,3.7698175132
3561,0x4a978a0915497db70ddead8db8edafd612a41df6,3.7697605481
3562,0x16300babeaa0719e4af2fd16dcf8f17bf1c452ce,3.7697237761
3563,0x0136b7bffe5192e3382fc1f7fd587c1504c9d418,3.7696918479
3564,0x0d14c3e95bb35b7332a7ad7d92ba36207a58be4d,3.7696122905
3565,0x2331a34e4385444fd04320a235a0b1682eec3996,3.7696114395
3566,0x4c17f9577b484c5c6ecdc92a3b5ea5f0b82450ff,3.7695761672
3567,0xbb75a3534651049e2669e8a0ebdd989f9765e8ac,3.7695591164
3568,0x59b3ea3f04ed75798442d8b1d74aa228ee3ff205,3.7695587887
3569,0xdd66f9ba10c475a77801894a602b8ab5afde9411,3.7695579376
3570,0x59c88ff0d4bd4bcb019848b64a6efb752f4e30f1,3.7695056156
3571,0xbe5c87e706bfe8ef2991b751a8aecb7a3257598e,3.7695044369
3572,0x8b61b58d07e8fc926f38753e8927236a20ed7c72,3.769491844
3573,0x0c6f323ae20b2aadf52ee4d39d1329d7a6a69daa,3.769452116
3574,0x7de8fe5a140e87464151cb9cf5c5504d1654b447,3.7693986176
3575,0x747a2f6cc6cdf163934d539c39dc6c8e72ab0d5c,3.7693496638
3576,0xe1e37006de21c45c3044d8571ce260ad862ea171,3.7693089596
3577,0x0cde30d084ed409a347c81a1ae07bb7a5b9e2888,3.7692904853
3578,0xac6b9fa030f4b42d6903a4b28c69029a79f961a4,3.7692495153
3579,0xd38f5ea5a8561adb0c79d1bcf3ee5377b3c2804b,3.7692198012
3580,0xe1c5c825a57528dfd4f645849824c1d6f9043c1a,3.7692049011
3581,0x7b64ee3c6ed8262e0cc2b10e73109d0d13293d50,3.7692009051
3582,0x3647b91143bc66675d1631a36125472861f99ecb,3.7691663077
3583,0x2b1dac1b42fb48daaef647cbe572af50fa0593c8,3.7691280544
3584,0xa7dceb2ad05f4fe8d5c8d54d5ac819ac96557ce3,3.7690688842
3585,0x4a142fa1267d36508d6c9a46941f32b8b5254d82,3.7690656101
3586,0x95be94754763630e1b47ffd31ea4b00f6961ef04,3.768821505
3587,0x485c9a079744bd3f2b4ee1db92b42fa65cd7ca62,3.7687821574
3588,0x386d71a96ad61b001d7b1750adaac554f1c5669e,3.7686817981
3589,0x6bb190159b8cbab5d0eb451b0ebeb1c74330ced6,3.7682813254
3590,0x3a07c2577078b7c9ea51846dabaa19c5b194a553,3.7682759838
3591,0x9601d0893853c38e03ff5548daf4a03309ce37f7,3.7676635237
3592,0x032fbd031c3ffd017f20f594f3d3c339e7e0fabe,3.7676581641
3593,0xe77ba8fd1fb36c13ee677e981b8836a5a33d00a4,3.7676426491
3594,0x5f33a1112038d8fd2d272a262ef0b9e3f610b81d,3.767425215
3595,0x9e72e752f739902ce6521a44c79c31b91bae74b2,3.7671293609
3596,0xc6ffbeca7c5ec8ea8e57caa8b7e00a58f621c8da,3.76712364
3597,0xa347579d810c1b69ef72a830b51424a24ac58184,3.7669501873
3598,0x6dcbf5d96abc29e098426f9bc73a8baec8edeed0,3.7668914526
3599,0xd0147134de10a2ac7c5ab2339615907c3d2c4311,3.7668395799
3600,0xb472c23da2babd3dd87425c8027845c9d3da2c86,3.7668352856
