Rank,Account,Balance
6601,0x3ebf053ed8da31c0f12af92a32c53e4e3cd3f0b4,0.0861102154
6602,0x9de242e18e49b9ad905a2b72c242d61bdcf115fc,0.0841673737
6603,0x37b8e443bb4336f90bb2bae5f5ec909bcb9c8580,0.0840505088
6604,0xf159f9008ec6518c05866e81fb52beee21417e1c,0.0814735241
6605,0xfa31e9144e1a2095dbde8210d3b78169e3d20142,0.0806537761
6606,0x491598388b228fe77bd69f4896fe6549ccb909f5,0.0801694825
6607,0x12571d206f2757b319bc1edba91d390376f61044,0.0800148191
6608,0x11cc69ac73a83f4b3cb1420f2faf7b09491f1d8e,0.0790725724
6609,0x43ab8128ed061996cd3ed816aae284607d22e684,0.0786168342
6610,0x5b9253041c53c494c888cc6bfd5f77ffb96c9140,0.077831422
6611,0x0b00c417c720b00aa1bef17f498183f5dadfe804,0.0760857341
6612,0xf48267f534ce6df682e32ccab36f3c18b396ce0e,0.0749069993
6613,0x123409736537e2d3c401c17470a55790315085f4,0.0740362981
6614,0xac25c73589b3c67e83c72279e122e71f49a329d6,0.0718275719
6615,0x25b12fe4d6d7acca1b4035b26b18b4602ca8b10f,0.07
6616,0xecdcfae3e879bf566735b6dc174e4e352220d466,0.06940817
6617,0x3fffff6e6b09952696a1fc5fc67e4833941082da,0.0690205874
6618,0xb7ec9f18293d5c1d1eb1421a9100d149febb781c,0.0676478972
6619,0xdd38b0e3bfc6e699321d4e05bd44811305f8c235,0.0673743301
6620,0xb7044b1b2741d7eec9935e3455d18361f82f7e4e,0.0667471101
6621,0x1cdc248174ec9e9c505fabdbb0e037b5acab5c13,0.06539392
6622,0xd22da948c0ab3a27f5570b604f3adef5f68211c3,0.0644589147
6623,0x1b6ca7e3770efa65f5a8d6f6aec8d6c066339bf9,0.0621775633
6624,0x71318ad8cdb857becd089c43e98482b944485ffa,0.0621310869
6625,0x02502ac67ebfeb9744cb7a409d749a1f73037f88,0.0619275281
6626,0xf3a9384a5dfa6c8d8dd191654d723231e4326758,0.0618848406
6627,0xec5b3e47e4c928a1d9ddb60f2bbdf87e9441032f,0.0616913274
6628,0x8a5de75eabf88fef629d4c3f19995494a25c55d4,0.0610100914
6629,0x630f3fe305b561af336f58c91339133e0a1ba38f,0.0605219402
6630,0x0ce553e9175595ded6e837890059016eadd7fa77,0.0598122993
6631,0x9e7d1d6806eec4e53d777ee5f88462aa4870d46d,0.0587759698
6632,0xe4d57ea9c7b0ec0c474064b34254233d4b501860,0.057902554
6633,0x47bff18e462912ab61a465b2bc229e3857491aa6,0.0578428878
6634,0xd349434b426a2e189dd6582cf77909d1368b8c36,0.056976086
6635,0x17ab2f3f5732377f5b0a3ec566c9d24674cd4339,0.0569758762
6636,0x762c18b89720e1f2cba2f6ea318f63068bdd1698,0.0569756177
6637,0x377bea6e8cb4a1ed418cbcb99b5608abb9970f7c,0.0569754202
6638,0x0154a0aff0effe68eb412802c8b356cff70291e0,0.0569753272
6639,0x5d89aa09be7069482bfeb90b7a36b7a33cdf044a,0.0565691986
6640,0x99446179542246be7f960d336f3115d75b2419e0,0.0564209275
6641,0xcf1575f787cde0d48a9c2823904e72b486259313,0.0560034766
6642,0x3aedc8b90b96e4287eccb6e0f5639eacdada19c9,0.0550296911
6643,0x5703da854cf6a8dbbca1dc0d044adbbb53e4f644,0.0549082679
6644,0x913a6974be87aaa8f2f6421f7f74bf54e01d55ac,0.0516183408
6645,0xd7079a565758d35898751d56292733c2a26d09d5,0.05
6646,0xfd346be6cd55247d4b928656e0dcdc10c1660434,0.05
6647,0xf970bff155994508aa4d000b5bbc6b9efdd599f9,0.0499455603
6648,0x668fab5429f363f87c17b1d9f7eada702cadae1f,0.0484262217
6649,0x99e2a6b3aa40bd79f18e7e7e525292649e39b033,0.0480212454
6650,0x15167354517623f28956ad8ac144122a7c63a4ec,0.0473710958
6651,0x7c50234f3e6c34df8f7509ba4e819ab73baf2aae,0.0461262146
6652,0x442401a0213e503aeb1003a5ddb4f282f3a5908a,0.0460216616
6653,0x0be1c525a6af22f54bd0e0833efd720d7f4a8a16,0.0443376491
6654,0xfc9c6b6e0d02eade37ac8b6c59e7181726075696,0.042845373
6655,0xc66d38f9880b844d54b99a33cc022874fdf19f7d,0.0424451902
6656,0x6dd15fc6962a8655217327b422d42c67e5e5dfd5,0.0421729521
6657,0x380f200e11766fe86a24f4b9bd57d730813a746e,0.0417460065
6658,0x5b5c65c2ce0b96b63a694290075180edb4a652be,0.0409578148
6659,0x0d5531011ac9bbe7fa9288bb297a733628a805d5,0.0395245631
6660,0x16062e73aaabd4db92f4795108a344ca5fb410b8,0.0391473673
6661,0x76c13baff9bbf9ca618943f6d90debeacc19e6bc,0.0374958223
6662,0x928091cd887444f1f95274abc3e4e0bbb5b7c4ac,0.0374539938
6663,0xc8b19839ae371bd541f20b15c3a3cb82bfb6a6c6,0.0351475843
6664,0x464fc339add314932920d3e060745bd7ea3e92ad,0.034306655
6665,0x063f1d5df79af78ed5fc2c7ca0660af3e95c00ba,0.0329622453
6666,0x000000104551469868bb70b231d6cfff35e43826,0.0327126299
6667,0x6a5ad60cc0e54b794282f18a43a5485360b020ef,0.0326750145
6668,0xdd718f9ecaf8f144a3140b79361b5d713d3a6b19,0.0322148552
6669,0x922b0f73d7cc630f6c48e598b45a8e1eff9e6fb6,0.0315785253
6670,0x82d9a407f99a95db4671e7021d625cbd0787a407,0.03136367
6671,0x842e62507022f9fbacbe35daf571c7b8e22a7d85,0.0308711238
6672,0x6ab079df6d9f2e6cad08736bba0fb8f35cc0ca40,0.0308585314
6673,0x2a4b09cce22a0c638d89e295604aa2ac391a00cf,0.03
6674,0xe8073b86c1e5e4d1dc6c2245c99be406e6e1d79e,0.0299524019
6675,0x9899eee178726a304009fd48fcc099f9a167953c,0.0299349366
6676,0x65f08de62bbe8488671c45fe32250953d68ce569,0.0295995392
6677,0xdddb9a95e443a204eb8650d5ea578ed707fe2123,0.0286812732
6678,0x5eac16c511e697f963a16109ca78f912c91b54ff,0.0283837233
6679,0xf9adaa55014242c1005db307c4e41c541f26baaa,0.0279652418
6680,0xd7ad7f880ecb9645ebd6abb16cb948fbe9208d55,0.0271012163
6681,0xd4f7889a3f2f15237a03e2dad1cb8b5ea034173d,0.0264487498
6682,0x89f1ee120dae486f13900085b81778df382c66e8,0.0262373301
6683,0xd2e676d420132b9942dd95f9e4881c7cd9b19e3b,0.0257926011
6684,0xc254f5c01053ed2adf35bb776917a633df81e0c2,0.0256628222
6685,0x8c61e751ea89ec0b044967a7e520c3a971709ae1,0.0252287268
6686,0x1c4244857c711d918ff47f24d33ad95bfa7d76ad,0.0251974814
6687,0x65b938c83990b254228d4a44435d44d488466083,0.0251610612
6688,0x5e635297e280e91c36c4c19dbe3612feaab252f3,0.0237269642
6689,0x7d0f16d06bd4dcf918dc21c5b776e7a9d10c8fab,0.0234441156
6690,0x4c76ca040d3dceba6532bbd2e895f8c0aeb3400a,0.0226739056
6691,0x90104dcb1c42f83c5d79b41490f1ad9aab6a71b7,0.0211789772
6692,0xab519670252fec36ec930fa852d53e36458e443b,0.020463683
6693,0x7ce6c2d19225555708478fb3521cabd4e22d2fe4,0.0201742344
6694,0xb541c1cc35b712acc4008584ffe65087237b9df7,0.0200838198
6695,0x358d0ec0ceb0699ddf10b072c9d48c64a74a87ee,0.0195890282
6696,0x8f156b17c9002cc0aa229b9ca285345fbdb0ba7b,0.0194508855
6697,0x892dfa37253a3b1b750911f662276f526261c75f,0.0194323964
6698,0xe3b524c8dccc7f9c1a82da8f8d88eb9c9e0ade37,0.0188336194
6699,0xe6d0ed3759709b743707dcfecae39bc180c981fe,0.0178348442
6700,0xb8a9649eab319c95ab01c2db59654729946d349f,0.0173085019
