Rank,Account,Balance
3201,0x1af40dda3773447522aba4317094d96944766ef1,3.8430955997
3202,0xbf7e2149c5699233dd3d045a19264f13ea5c128d,3.8427940371
3203,0xfcd582e5115733ca6d53eb5233a7a50d45644285,3.8420704068
3204,0x9f2b799d08a03ee4feba334aa59dbb0df4f050e2,3.8416149522
3205,0x09fc94e3128ba0c173260bd907feae6193ad1639,3.8416006325
3206,0xec8f7a3073d66c25771ea611ac69db541c61aafc,3.8411759389
3207,0xd94eadd97b5e7e6b6c98cfd928faf97a2b5746e3,3.8398243927
3208,0xdf9185777454cf8ecbbd5b8c2e9e32119a7bbdf7,3.8397696374
3209,0x1506906c533d9b8a7dca374a51dd7f879c50f7a5,3.839721835
3210,0x6f6e88af467375381cc0867b08e853ab0dd784db,3.8395327563
3211,0x7c9e4e791b75783d0a72e056f751ad6520852291,3.8394773058
3212,0x0708fc9cf7073c8fbe2a22a2f492e5a7c3534eed,3.8383276337
3213,0xe699210a051d7200fb70f34d6191c4791d651215,3.8365274779
3214,0xc142ec40c7e376c3f3356e0aed2268a170e9e157,3.8362007892
3215,0x19f5d8a0fdc56fc98bd8e151710781001da429b2,3.8361660162
3216,0x262186892eb50b2ad655f0d5e553c0d6b0f92362,3.8361656237
3217,0x5b90ca1ce36930e74d0c4d88606b20accb502ac5,3.8361412695
3218,0x6a7fe982f4a3fccceacb31785dad61ad7baf8c86,3.8355813025
3219,0xdcbe7a1b57ef13d4eaf2ea0bca46e94922539f92,3.8340153272
3220,0xbbefc5bbac81c5e2b863d13dbcb374ea2ad5818a,3.8331414938
3221,0xf8c95a59f6572644b5f3b89fbff2626f7f69dd9b,3.8329462877
3222,0xdbcd3ef36eff1c35569b6d2625b4b47a7c46f5a8,3.8327065374
3223,0xa6dcebcaaf49115ebc0149f4d8970a169f2bc7fb,3.8326425339
3224,0xd2abd4069ef5c2529d4764c06a77a9a4db0f4f93,3.8325935413
3225,0xfa1a2e7ccdba3aaeaa65952dd67a641a69386447,3.8314964099
3226,0x735a2844765d1b977b5b9b9acece2e3f8282d6f9,3.8304526489
3227,0x38b75dcfc98886409c1817527065c7976ffa4952,3.8301860291
3228,0x615a9d105fc1721a56ffecb71eb690caeca76ffd,3.8301694627
3229,0x1f4d3c6a2317ba3bddfe24c58c0a92cdd0e5d4fe,3.83
3230,0xc1fb3567e967b65db98ebe77acdbf8f553ba45f2,3.8297497911
3231,0xc8c0408a4fedd4f47ded58cc1b3daf8687c97abd,3.8297054781
3232,0x33a683a4cbe84d44acbe36c7977fca0aa72b86ee,3.8287252022
3233,0x1ba5444e0980da308ee7987d509aa5edafab7a63,3.8284293419
3234,0x37bdc2cad30d051e553837a4fc5b19d363737ac1,3.8274711863
3235,0xaadfefe64f5aff4d27a5191eccb74009ae0d4b83,3.8274466493
3236,0x0937dbd4c42db2c02c99349ced8c96ac7236f9d3,3.8274010363
3237,0xcb952376cf33677c7b01e8e370466df52bfe9965,3.8273276254
3238,0xc11eeaa90dc873a5bea606f42c9c36941bf94cde,3.8273180984
3239,0xa87b89d2e1f6061de1350ad4c074505bb66d2ac6,3.8273077772
3240,0x24926c3ec00cd99264c1f55c75cb017afc19702d,3.8271551822
3241,0xdd056d1130f748f3184374c463cb0883cba35405,3.8270169392
3242,0x4a4507adc1173f7e7625a4e84dbd95c20bf68048,3.8268459945
3243,0x2dbecbb04901b72f44f6485139673359493ac6fb,3.8268073744
3244,0xc4652fbef3df915f8f696093da7aabdddb6ad121,3.8259703722
3245,0x0f656c72057e1d1d434ef7ac03c480737f1ede5b,3.8251809746
3246,0x7cb9a45c77f9055d622bb919621dc82505ddba26,3.8251653613
3247,0x9c09d6d6feb4dc1f53f3611c5da1f37a4cf03332,3.8250837732
3248,0x16d2a3b064a7aeb3387218de836260d850ef6c1f,3.825067603
3249,0xd7421cdf8f180f57d9fd28899eb5bf79162a267d,3.8247566259
3250,0xe386d7f4cdb5300ff185ffe836d32db914c9c634,3.8242965368
3251,0xe08497757a45044a25b9c81d224170b4b2b327da,3.8226322541
3252,0x482355b53b8e5793cd7d9d2d147c77c5a5ccc73c,3.8223845286
3253,0x6f6361e6c7d5e923091c24b52c3db2293ed5102b,3.8221533422
3254,0x913a1c40014018ad165dbfe152845519af1ecd86,3.8219551955
3255,0xe5bf793facace70603c2d28713036392a82ac37f,3.8213955421
3256,0x0f303da0b8a7e92f408170093b1d4b55b9346882,3.8213208568
3257,0x25c1da0eb311862eac1f3abf0613674e10782275,3.8211924935
3258,0xe43ab79cea197beb0a354dacf322cf0ccd8d6bbc,3.8199056476
3259,0xa68521184a96f8faf91f85ec22207faad43567ed,3.8197301685
3260,0x0797c4afca3b2655758b74127accc0e96a5ac906,3.8193666887
3261,0x9b8e2c2562d75e71ef7947379eb5db4a61bea2c0,3.8191489371
3262,0x5fa826513b260182c19a9bd37a1f2424309d847e,3.8187643489
3263,0x66cf49c09275f438a2abf066f2193bd255d2a640,3.8186571975
3264,0xdd7d73bf06317f12711290fb4775a32ad14d3349,3.8182060674
3265,0x8648b88f9fb44f9823f1b02ec07ea686027da279,3.8175615242
3266,0xf185e8875f3e4a1f5f59a240ca693c74c22934db,3.8173809989
3267,0x57986bba1b8357d0c8536d51d7e23b161e90ba8f,3.8172133048
3268,0x327fecad9e4bf584995af64907d0121985a2309d,3.8170320672
3269,0xe376f8b0af0627289402fda1c8ee9c1e1dbe165f,3.8167118079
3270,0x5e9be4e817f51e82f5e16ab7730646008625ac3e,3.8165164886
3271,0x0961f05d29056077ef9ed4eeedc76a97ed007bed,3.8164189154
3272,0x949e4217925f12716f92746c694531dcaa0bcc23,3.8163258628
3273,0xc50d48b03d70e169819ab00c5a95e904ee5d89f1,3.8160288862
3274,0x383fcd9dbc6b9ebe5940e13846e16a85bc37b5ac,3.8156950128
3275,0xd5ac1f0f09908f1124e57624df6a2461acd988c3,3.8156233095
3276,0x87519cc682a1f0777aff376f54873da82b7f1d89,3.8153752783
3277,0x9150e6754fe77fba3ec6c1c953e0eaef499ca0d6,3.8151515521
3278,0x6592ab22fad2d91c01ccb4429f11022e2595c401,3.8145152814
3279,0xa810f961263d7d2fd25ec84bd2991c65a33bfb43,3.8143385192
3280,0xa122921b50327df657a64dc2cb55b7affd87471f,3.8138999264
3281,0x3005d52daa6271906e216726fc31b2a758d2e497,3.8134088137
3282,0x7c81bfc2170fa534e68e3f0c43a265787b181aa5,3.8133509909
3283,0x5cb84ed824f543e3c232b221daf2e1e5a3f0793d,3.8133437543
3284,0xd0494c2ae64b07c4d853707cd4940025a68a3bc3,3.8131364785
3285,0x8aeb8594d49f071856b83a0d2e0fe6ff4ccf00cf,3.812870938
3286,0xeedd0d50e49ad12e7b31ffee5105139690f65c13,3.8127859329
3287,0x27a03f8f67b9cbec1b6bf90d609cc63a90c48c55,3.8127085709
3288,0x9d3a3f1bd7fe955bfac57343dbb6bb6ed6a7bb71,3.8105799428
3289,0xf4d2d64d1f9190a9dab0960c80e5c73c04710184,3.8103670417
3290,0x846d6b86336cbaf8173392f31772e8897126b303,3.8101689878
