Rank,Account,Balance
2401,0x1fa54d3b9bda245978e0362e108811fd5d474f82,4.0153588536
2402,0xc39cf10985b9f6aed16aa5ab5e8812fa1e4ff87d,4.0153437636
2403,0xb1ca6313fe540b8d34538e8fedf5e5be392d8c76,4.0152894307
2404,0x98788b26e589a05dc4d8b3d39411a11bd46f65f3,4.0151749248
2405,0xa32a3409a0c4bd13bffddadf7a279f62736deda8,4.0151438797
2406,0x4dc8aaf8c3db9c124b03e6c0d4e6f6e2779705d3,4.0151059894
2407,0x3d1df03134860cd81326afdc35d83f3cc524c086,4.0148250325
2408,0x174903f861c5fd28ef645aaf8cc1b29d487e7d77,4.0141578252
2409,0x609fe9592effdf73231e595808f25a6e9b172465,4.0140851401
2410,0xe58564b8ce8344afdfe3a111bc0b541ee7f5f7fa,4.0133841096
2411,0x36848563e7055750bc64a75ce238a8add3b12bbe,4.0132970872
2412,0x2792294b92afd603602a03f831f2775d5cf04d8c,4.0125337829
2413,0xbae53422b8596e94b9bc40afa0df52e6ab0e9f65,4.0122975492
2414,0xc89cd9273be95c747855c266de9c3a8ca142d1ef,4.0122895746
2415,0xc9e53ab81b610e5dfd0807c6b242df84a3601932,4.0121730697
2416,0x2ec7531143416208bd9acb47668abca5c1307748,4.0113590283
2417,0xee63befa4dd9d22534f39bbc396b6646a3cef198,4.0104909071
2418,0x6f82a016c94488911ebfee81e26d6e937a0daeff,4.0098284877
2419,0x17ea898ebdc0e6fe15e7077461d3b4d58983e720,4.0098091993
2420,0xc34c5829bd1f89a938837e8fce4ca86765265bc0,4.0097848777
2421,0x3cd017711a9b4a42cd1e83d27b49896442016146,4.0095240148
2422,0x811a8799ec964c08d5b3da3c4f4d179dd26950bf,4.0091660867
2423,0x52ec93b7dabd683f9007b99280052fc20827b513,4.0091618568
2424,0xb7b18706ace41d49ac8d0710285e33ae8ec52c5c,4.0089213339
2425,0x1b5b648409a6ad2da8ba6615912c3daf0118e755,4.0089170893
2426,0x6ba983daa177435e360b7dee1e41042eece011ae,4.0088827666
2427,0x8278fe8449ee8f2155e548103c8d14d276d7fe97,4.0088054003
2428,0x2266eaf5e6bc844823b45244c94966e1a3f1e674,4.0087251607
2429,0x9ba1c2c7fcef9a028b543fed56f60c0c638d2dd0,4.0087230418
2430,0xed334ec7b60c15ddbb3b1200864768eb449a1a6e,4.0084871448
2431,0xd82d864604e6cfe680d4562d24499dce4d6ee99e,4.0083523685
2432,0x228d63a1ac1ba50da61bf6e3236be6ee4b4693d6,4.0082550011
2433,0x8c2830f75dbe5898bc257e7ab298119954a580b3,4.008192865
2434,0xe4fa81e75983454b59f24b795bb7ee2261080a41,4.008088917
2435,0xc6cdc8c086f8ee6a3b97563ec49cb0e258ccc15b,4.0080797664
2436,0x0e7bc0a9e7552152ac001f7623d71113508ca7fd,4.0079878791
2437,0x0027a72cf62ea225ce7757e1f2e45b9417024ff2,4.0079448978
2438,0x682626f7d3e0cd958f234b50994f72bba7ad1398,4.0079234273
2439,0xc1ed2c33dcb2be7adbe84305706b262d32f82c14,4.0077364762
2440,0x2a7a5b2aa35ea6af0350fa0308778c0f6cebe871,4.0077077137
2441,0x77f6eb46fd5d7abe01bd7f27e901a7cc44125371,4.0072140996
2442,0x8b15c92d89b4f01fd79b5ba6eafa1a6cd0ad0fe7,4.0071887433
2443,0x2e3eeaec459fc03bf0470fba89f38313058e89eb,4.0071585409
2444,0x3ac81593c11f7fba944848bc064823e57909cad7,4.0070968906
2445,0xc6132738cb2e175ad64d293f01cf23e02e2826ee,4.0069737171
2446,0x50c9c62bf2998fc1cdfe2d2326b5412bd38450be,4.0069574317
2447,0xc1841dbcb41c98bc4a8e36e8ed48e6cdeaf0a291,4.0068825232
2448,0xd6a6f11e281ec7c09f8cac302666980c3a52c719,4.0068735111
2449,0x81e4604059a9150098ae46c4b933223bd58930b5,4.0066678281
2450,0x29981cef4fce8f6e6fa21c654d8733ec8d35dc12,4.0066377571
2451,0x36482f6978e8529a259a1e561571ea89cee2f372,4.0064582119
2452,0x296d6f31d493e5e1cd0640d82ab5108cad109d3f,4.0064020239
2453,0x8ae0e9bb68c7b8813686d12285c4cf2237487a56,4.0062372567
2454,0x9913209d67adc220bc73126632e470fc8fdfd959,4.0062102155
2455,0x372890eef101b608c2eae746b74366a84296484b,4.0060555649
2456,0x0aa0b983d18910cd3cf5a1153eda110e741599da,4.0059596271
2457,0xf176208d028656b6383a042e6cf1a6699d731a26,4.0057130562
2458,0xd74579ee46b94257febe5801a9ca685ce1ab45b9,4.0056876465
2459,0xc01df96787918343a4a8a9f01e7c6d01b68a0531,4.0055087854
2460,0xdbb205d2816540c1daaaae7d094669bb5a53d375,4.0051531171
2461,0x7ab50eaaab79e206a9b4f4f1bf655cfb3a0c3553,4.0050008158
2462,0x73be6b7a0907acdf9fb36fd816ec838b7d2dc8ca,4.0048282211
2463,0x7be5bdc9e2acc5f2ab8007dc45ff6c85664447ab,4.0044964551
2464,0x10c265b127a3ed3134b82c480c673714abae472d,4.0043371754
2465,0xcf32a2a61e3be0dd86aa8cc730751fa55667b0e0,4.0037038956
2466,0xd3538013646094f14a265fe09dced1d85c9e072b,4.0033243281
2467,0x56c5937135a9de40d8b97fa7a50e526492de0c0b,4.0031838471
2468,0x61c1cb0c7c0ac2efa18ac5f3906b0864b8118824,4.0027253653
2469,0x4727f0fe819630c006cf652f16acb5f86cfe98fd,4.0024492662
2470,0x89e7a2088263a49fa09f48966d68b1857b502562,4.0024378886
2471,0x0ddee199a727359fdaa249c4841c8d6fa5440cd6,4.002110145
