Rank,Account,Balance
4101,0xbe90858c5a524e1de02ca3943f54fc4be7187751,3.7254774281
4102,0xaa7e75f89906f4739d5cbacef81bd0c323d55ab7,3.7252570889
4103,0x864e1d6b3ca5abfc5577ee49a77c9e26329a22f1,3.725226402
4104,0x4362eac101c0f51cbe90e95cf2cc5feb3fef48fd,3.7251800432
4105,0xf21eb9fb00f7f4aa89c7516ece4f0059c4f7e518,3.7251661595
4106,0x29a60a0807d2bb3ec1ae46913c79b4c3de634761,3.7250378515
4107,0xff0597e1a4ff735e5eaf6b61780a95af9110e830,3.7250128138
4108,0xc9e77deabb02e79d356d8d9f600ebeeecc31f03d,3.7249988044
4109,0x907289cf9cc8cf5ae98c329e2d99d50dfd0ea678,3.7249772567
4110,0x71bb31eeca1af28191456b096a08c40247588913,3.7248817793
4111,0x418e1159c2ed82627bc3cd339334d9834aa5cd7f,3.7248302753
4112,0x862193ca8f8732329695ea7d562ac63712219e3a,3.7247902311
4113,0x4c4e72b2ae25bdd91763b2194df5fa7718356b9f,3.7247850261
4114,0xbd47bce9fdb80fd5d7dd35681c203dae47693f7d,3.7247135602
4115,0xfc2d54b79387b76185a7b7ee2efbcd1fd57c8cdb,3.7246304452
4116,0x4dbd929edca0f0cfae2f8854944103fcac2f4e92,3.7245852497
4117,0xcff9dff64317b822d36a7e649983b15c8900db30,3.7245486954
4118,0xf31d8431c04b3c0a35024262eac37c0d13b65d31,3.7245443695
4119,0xd59883e2556b7ea2874c3934c408322c44e3bd99,3.7245248285
4120,0x9cc3231ec8ce250fac64ea5553e0482e992e5bcb,3.7245167386
4121,0x792cdbe42c3ccb4634a9464da84c9180c5f2d9f8,3.7245083736
4122,0xada02de3f0dc7a8a8fdae94ccb8211996a822a44,3.7245063077
4123,0xca37c5625914d88cbb5b9b7260cb4f0690a26fab,3.7244676807
4124,0xdca28f630f01bf025587b67eea40563e281c9505,3.7244644089
4125,0x92f8f06a69e54187b764b8151282966eba924772,3.7244458884
4126,0xceedf232f67d711c3cabdd693beebf1b44b7a802,3.7244072623
4127,0x124c8d10664247b6ed0486517a3c68a1b332f585,3.7244039907
4128,0xc7dbb36dbd9f10cd43002f05a880a9673e184c40,3.7243854429
4129,0xa512d40d47040a547477aa840e24fd227472b75e,3.724364997
4130,0x45a07903d8a6ded429e7ab9182e4dee54f583525,3.724343574
4131,0xa28fcc9cc37fc343642deec22c0dd2fa4aa63fbb,3.7243202907
4132,0x54b31a6d1149e862091ad517cd6101eede990ccd,3.7242704721
4133,0xaf4d3489bc06762e2a683f00ef1758a1f08ba86e,3.7242616902
4134,0xe60dcd76f4c1da2346dd66ee2dba24f855a954d2,3.724252584
4135,0x4b13a2981a288b867b12ebe2759895649850563b,3.7242163323
4136,0x09b731056705e65225072f4ca7baa1cfabf3c7c0,3.7242132197
4137,0xa70082f690e1922bca6df17885bc49a6f270f689,3.7241922538
4138,0x861e6ed6529c32d21d4e8536f00c8b49395f7c5e,3.7241757423
4139,0x2d9c6da0be061ec0517979d700a4e3d82d1e222a,3.7241318422
4140,0xdc74e4e18a4a8b57ba5e65952c57a2bc26b1ed74,3.7241159063
4141,0x36b20bdef8278e5f183fc845f23706d49a43845d,3.7240759811
4142,0xfbea1765932d0c289abdbc1e164d198146591f2c,3.7240755877
4143,0x565647c2772dbc29766b80c8e858116dbd1c3be6,3.7240228577
4144,0x9065c9cda653be3c7251fee87d39800d0ee39b0f,3.7239982358
4145,0x4b0909848e57e1eb9a21dd3be9c1621f90cd4a59,3.7239896539
4146,0xcbd13be599e055ddb020e0b7e24263ed7be334a9,3.7239491641
4147,0x126c7c319367d317754e2a7a2f40571a9ccfb79d,3.7239381932
4148,0x79ff7b20ad414a4f7312957ac82fb84089d9a1ee,3.7238334957
4149,0x930afc95f79eec9f9285384b5c383fe106193d72,3.7238302094
4150,0xdfc5600ba5823aaa4a7debcd5760fddf63781fd8,3.7236926333
4151,0x05e5b24afe85e0a370349f4fcf2e2ccb6b8c1da0,3.7236904277
4152,0x1a000d84ae76a62c03a337daae4a1ddf464919f8,3.7235658331
4153,0xf2cf7c5f11dc2fdd3857abd03ddc727aac6a310e,3.7234835044
4154,0x10b11e95d36be775f84af611edc3d9797672a38c,3.7233976883
4155,0xaa36e8f4add73fdb3a68bbd53bdf57d28d008897,3.7233527829
4156,0x477245705d8823b63be99850676552f5100148cc,3.7233095713
4157,0x13734d452f37407e585ebe13cd96ecdc96bef1a2,3.7232947269
4158,0x844fd1464200f94a4fc6f44abeccf89d9e14ebd1,3.7232633225
4159,0xd1ad9edc29a0af08b4f0995ef89dba2ef8fa4c20,3.7232486557
4160,0x6ee16d7633bfb96295fc7c94dbdedc449210bd5e,3.7232370236
4161,0xc50d1cb4f2e3816ab24caab55a88a4f02ee00e5b,3.7232246232
4162,0x6af87be0982fdc0575d02f8eaaa46463eeaf5d4c,3.7231909053
4163,0x1ff4fff2a1ca245f8589b98982ea625acb78bd40,3.7231749726
4164,0x6465995c0d686eac80ead0011f89378e42f6aa7b,3.7231447878
4165,0xdc8b1c4f1840300fb052c5ee6c54cb68a2dd103d,3.723119469
4166,0x563e38d258753179c9e0814dea6768d00c50c2aa,3.7230986711
4167,0xfe51a674277e1ab53f2b8a4fbede6bce52d7a445,3.7230268007
4168,0xf4aec79e8d580179ae9d0479ccb881127b224306,3.7229114985
4169,0x009085b22079ae14ca3b459b103ad19683a73b4e,3.7228653864
4170,0x1482c0d1e3a1407b34fcc2ab09c4e0de4ba77051,3.722819275
4171,0xe41ef9bfd2cc14b205b00efb9664be4fdf1ba9f7,3.72280813
4172,0xfbd17664cba896d448e0a2ef0ae47dd5087f37f8,3.7227731646
4173,0x35148eda43420b4d56eaa8dab64ee5c912ccaf5c,3.7226730304
4174,0x679e23f2cdaee4caa2d978a056c187f80b56747b,3.722619107
4175,0xcd9e833c4d052e0be91169049a687154b566337e,3.722611722
4176,0x3cdfd51dfdfbec3daa3c1b09965a254b5fde1f91,3.7225869932
4177,0x589feb5c1bec1ce9d82421e8f59e48563b890443,3.722393163
4178,0x5158d743d5098e6ba8e3583b192cc260fec641c3,3.7223293033
4179,0x3337c47677dd2b7b8ccc26d8f73ce3a5f767c606,3.7222677793
4180,0x656c4f15f14fa6642d6286918e9e2656e95be416,3.7222265175
4181,0x49b6a7478a6ee201d284a498ed042e7eb527cf93,3.722203785
4182,0x97a6c958023bc082541fc7e66c48dd9894c07e94,3.7221196394
4183,0x05c453ea54bac3241c81240041b204650b2c14ec,3.7221115715
4184,0x4d62c5661d8358ba2cf4f120f80488cfdb967156,3.7220713275
4185,0x18ee392f027e9a3a7718d4574f0370e6f2a5b3e8,3.7220607343
4186,0x0a5184ebf9e5fdbfb5e6d0d73f6870c17b6feb29,3.7220511079
4187,0xed09cb5d3028367c9049265f7e8fce6c589b90b2,3.7220253589
4188,0x535a6d92f14f6c040f68a3cf83ad72e11b0a74ff,3.7220252311
4189,0x93f97a3ff93484a9c25628eb0c09d1875632a85a,3.7220100778
4190,0xf2d3d1f8f7a7cad557458c5a4667e46f3b225858,3.7220022979
4191,0xebf3b48d8664ad80df8c01c84d897fe95710888d,3.7219827869
4192,0x5ecfa1580d2c080d7ed1ccb602f567390bacc53d,3.7219620954
4193,0x3739ab3fc2417bd5ba96b05b160cebedc979b470,3.7218971974
4194,0x687645a091eabed3513741a8e4f5df63603fcee7,3.7218561562
4195,0x9ddcdb0dd9171ab9265432cb91ad5a60a3756659,3.7218398438
4196,0x3d820df7871a3f06a2c9f8bf37f4f1007ece0692,3.7216195268
4197,0x334124a73f154b990755fde6f2de37fa93980017,3.7215651639
4198,0x749ba9fc83da041016ecb69c190d5706d1836e23,3.721497913
4199,0xbc14660fd27cd87b850bdd373f5fae0ca74ec534,3.721489495
4200,0xc55d9828b29f7b1c047cdf45cafee268ac6601c6,3.7214425545
