Rank,Account,Balance
5701,0x97619d7dc429edb8d824a900d37c53d4ccc9caea,3.3408434073
5702,0x44468ac1737f3c519c57a8a4e583dac6f989a958,3.3407159087
5703,0x23d86bdd65e15d7e3dc9d00a10289300542ec6ba,3.3389045955
5704,0xd79b70c1d4ab78cd97d53508b5cbf0d573728980,3.3384631972
5705,0x1fb4a0184abfb30043c0511f76ed9fa24649a75c,3.3373100014
5706,0x07b49a36b33621edfba7ccdce6b96997ea1ef2e3,3.3354308735
5707,0xdb492d830d83cc8af1c8b7ec560efc091e0905dd,3.3352929262
5708,0x28bdf6bf2f32c9afaa79ada3e0968df45f99834a,3.3349932379
5709,0x3cdd590ccf3695bcb44e691d1c2869ba4318e971,3.3349815187
5710,0x50a7f5de05924ffa5e0f36b0ac42ab4b07556567,3.3335685589
5711,0x9d76fa4bb0f48859b4191aba546ecec5232a7f0d,3.3325235367
5712,0xb900cdfef615d9299a4eacb6b5c52870c93fd711,3.3312430632
5713,0x1a61c0be71bcdb4e9789a2546328f09b94d59e1a,3.3308458745
5714,0x6c50f96479c702ba4e90388f020ba4fa0e2383ba,3.33
5715,0x6be13cb3ebfaf8d21d40bc5ae2f2f04ad33fdb10,3.3293220191
5716,0xa96bd0a942889c6b9ed9687955ba08c51fe4908c,3.3268246305
5717,0x197ad7ba2741677dec9196f6f3b8e5473c53f35e,3.3245377156
5718,0x61e03aed49225a18964bdf169e262d86465b7127,3.3245227643
5719,0xfe968f385ca7a4eeeb395e5c4cfa5140d62572ff,3.3242499223
5720,0x4a1839dd849219a0d4ee56f550ecd2a466f08376,3.324083699
5721,0xa22b71e8e0e1e87ebf94dcb4799039ece3ea3b04,3.3204374562
5722,0xc9dbdd54056d27be00aee1a46a23f5ee63fc688b,3.3192689274
5723,0x1ff26ee4583d1bdd1ad253f4b284aefca761e946,3.3191262902
5724,0xdc5a4f0d94c16cb7978cd24db974c0013d0b69a8,3.3190194991
5725,0xcff73362b88b18cd2d17db3c7ec2ebf7578c28fe,3.3159527333
5726,0xd758d27ab0c558f1906c6268d4a42b2ebfabee47,3.3138278522
5727,0xe0833a6466732b3c0f6a2cb646f184906f9d9170,3.3078960495
5728,0xbe72baf33deb7512dfdc1ad790d3924dd47b45a4,3.3076923959
5729,0x5750999c6f26e20a7db2e3c96fa516c945b74e69,3.3040443101
5730,0x2e9922a1b2b8d9c38210504b7bb8d2409ad18960,3.3
5731,0xf4d96ab01623950e76c4593d5b823ae470752518,3.2980670772
5732,0xc4f58aaccab3a59b7d2f152777b797f8da609dac,3.2972294438
