Rank,Account,Balance
1801,0x7b3a6c93519e30a0076cff368d9355e105387a3e,4.3281040378
1802,0x8fe930ef20f72da4fa8a3c5464e77096228e0753,4.327771038
1803,0xaee36c386cefb563f06ea5701d721f8f214c988b,4.3275504889
1804,0x0f4b6ff7305ba933338a9d6187afe804230f5d68,4.3274800126
1805,0x7478a214f7ac737a1f087ef66bd5f03a346b75c1,4.3273124736
1806,0x3a164f2a938f1c2be6d5741882841b13073427dd,4.3270769355
1807,0x567b0685b240571c75f2342fe1d0d43eb92f325b,4.3268975198
1808,0xc338e04fb78316bb4b6c1e26a5bab2984f170d7e,4.3268867819
1809,0xe996e03126fabc5461bf565c1ef2d31eaadfe76f,4.3268815573
1810,0x2631d0518286d5ba09135eebef730952199ebcbc,4.3266723102
1811,0x60baab990aa689c73540549b64f0a8b713e7256f,4.3266450112
1812,0xe46e6ab17713a0f48f973fd537e37e94a01b98d9,4.3266288701
1813,0x9ea9fba5885e423b742bd559b4a899d21e1fb154,4.3264210918
1814,0xf514f4b4df5393e62876f03b943ab7e687584e58,4.3263640658
1815,0x2859a2aead97d6f91b281fd7312bf5a45513602c,4.3263603412
1816,0x2c100614390758f3e1a892770c07225fddd8fbc4,4.326297684
1817,0xfc40a7f49ca5c460299a4399580d469c3db39e4c,4.3261926906
1818,0x2ac672d959c617646982a44002581cd0cb61277b,4.3259765455
1819,0x9c150bb3d82719562883ef7614f41b04356f147a,4.3258398916
1820,0xfca4a722b9d3dad2239aed2b3f3e87813bbb1b20,4.3255700999
1821,0xa9b3dc2808e25e49c627bc11bd5d4e883df118d1,4.3255533085
1822,0x098b4856d256003cd6f0129625ed6cfde87193a4,4.3253918842
1823,0xd2ffe6c805a68641f5476082ce52ab0afc5357c6,4.3252538362
1824,0x8d113e30812c96864cf499a2e518724ba108904a,4.3252360155
1825,0x37ba789ac042d6e9f539a773f567c9f63f12495c,4.3251661635
1826,0x0583f48f2ccaf5629092a563ca2ebfa6597e59db,4.324989852
1827,0xf52ceb7b8fab919d85137ea91f3440741241703e,4.3246236834
1828,0xd1dd9897cec557e83e3a51769abedd3390dc46b1,4.3241312111
1829,0xcfe203079746ba59a9df82c1bc8d2ae5769807d4,4.3240171759
1830,0x0e073678d8d3ab0ad98ccdb1d91c9535910f8fab,4.3239250911
1831,0xaf715fbbc17121f95b2930314f5f3cc037f719c2,4.3235577271
1832,0xe51c8dcfd044b219db74aa02cda8a354a36e998b,4.3234288634
1833,0xbbd5469190214e6bc31f40991f56109362e19e9a,4.3233143236
1834,0x36686886ef546067a0096093c67d71130318b127,4.323247241
1835,0x733cbc057c458fe1234365aa94eda6b18413b801,4.3227530162
1836,0xc5c18c697aa7df888f4b786d31dab6ed5ae6a9af,4.3224205635
1837,0xfd430397eed2f8add31f1f4e55db926340ecb8e8,4.3219614611
1838,0x3d33f1ec90de626ed0b44615a1566c3825f99aa4,4.3204516037
1839,0x17d4a257f1ad328f2ae879a774bb2bb96964bd7a,4.3204100839
1840,0xf3ce6146d84bf8972235229b6f93b14bacd17546,4.3199910726
1841,0x55ea40f770ad9fd194b8f1457c8bbfb35b349e57,4.3198983829
1842,0xd7c3c2f3bce3ce6f801e5ff9abc0588491532e90,4.3189448065
1843,0x9c82ab420491c4fab9e106adff46b455c5c63874,4.3189340499
1844,0x1a9ffcb548d7dae57f594b6b16b9f7bd2a56c6ec,4.3168625363
1845,0x978d5a5e2f908a7475b230c3266ba61ccbd9aed8,4.3164479465
1846,0xccf4a9638fd03249be38960a1a60250baa0fe770,4.3159526489
1847,0xb8a996dfec3684a63430983f2e628235633d349d,4.3158106262
1848,0x4161f1f66e3f76af6218709713d678e0714ce644,4.3153598643
1849,0x195b6d500e29add64d6204e3d0e4b0dc57375276,4.3150190589
1850,0x4fda6af0ffb0a65848f5b602649f2f4bb1d81379,4.3136204105
1851,0x9dfee3a619cc923bca5fdf7d0af1378552a79cb2,4.3135181983
1852,0x997b01eed4cd79a18157da0a250578e8a648ff37,4.3129687323
1853,0xb41f105cee63415bd5191086d35f63aa40482be9,4.312514489
1854,0xde2e3152b9737ffaf185c377a026ccc2f4e50bf2,4.312351659
1855,0x5df5e323f297d47337c0f7ce4f9b433fa21c8f42,4.3120013904
1856,0xbbb733fcaa4ebde867907cb6f45ab73f1ccf118b,4.3118910902
1857,0x95665be8ab509177be6f36281d0fc11ecc0289aa,4.3116487146
1858,0x0f0a325530e80a4387baf2c7b3d87361c60ee932,4.311119853
1859,0xb6f8d650b2f70ddb64966d0665da6ed7831dc2e1,4.3098254854
1860,0xe750fe941f06c0992d8f7cb1818bc36f35f8f711,4.309713626
1861,0xfff988a3216bf8120dff4f6d8e3358a5590e759e,4.3094628904
1862,0x8f80c37f7e0ca69f7fe306dd52b5cc070a342360,4.3076015876
1863,0x3cedeb32af4fc5cfb37975d8180c277cde4d049c,4.3063569459
1864,0x9a8bb885f132967aa96871d1d4d26ae202082ff4,4.3052024827
1865,0x4ecba659ee8818c6fc87b143e214e4051b485259,4.3035486022
1866,0x71c3cb6d0f305c460ec16ed5f69f7ccb114b6ba9,4.3034316866
1867,0xc518d3440569b0759a646ada347eb65fcdb9570a,4.3026662363
1868,0x1c1bff7b670c553a2ec78203c70aa25acd3a1a46,4.2989288631
1869,0x00131b63381f2510390c6ddc99b603d1eb46049c,4.2966826676
1870,0x2de550827c21245c9027468f29e929aa75ec92f3,4.2951718211
1871,0xa2c26f48bafaf35613ab7223d749e8e074d6e0e3,4.2950746133
1872,0x725f10c62afb1dd04072e0873f6ad4de707898a4,4.2922184707
1873,0x903b2157c7187b2b1017311c9414f57d80be6ae4,4.2911830472
1874,0x54e96004b2b3745aceaa6e36ce70963d1b7d507f,4.2903999941
1875,0x215391fa21be90e2a36828718f4fb01184e4f6e9,4.2902980341
1876,0x15c711eea103f0714886717360185df6548e6bbd,4.2887518257
1877,0xc75927d94af160cc20ef13a5445aa5de4310595a,4.2869415834
1878,0x017f07e2d1557939ae3383b01e85b4562d5c98d4,4.2866510084
1879,0xa39f7efd99a7400a3f3c556ca3b83c9feece4123,4.283392841
1880,0xdd1562517952c6bba8872326315caea8f55ba459,4.2828246185
1881,0x1f54d9e471b17029cf5e1e15048a9b7a2ba22d2d,4.2824020182
1882,0x544edffec0ca3e0646a2f38f4b87b21be8b33eef,4.2818631833
1883,0x3798088d38f7c25916792a57b8db3615daa5e14a,4.2793679467
1884,0x0017e05e156cc5c5a1e433822c56dc9d2dc3c507,4.2766586559
1885,0x13f558501fad9af2b5148ced81b8c00bd30c7d8a,4.2757959764
1886,0x92e903b94eac10dde22a46679cbc8dca0eb56701,4.2720511545
1887,0x518b73b297427a4cf697daaa5cf83358114f4a41,4.2706920181
1888,0x33eb3291344ad3d2d2ebad4d1ef773198180b85e,4.2688121069
1889,0x250020918ff05cc437043e04f5d1f9e9d124339d,4.2684222826
1890,0xa28b764af56827e63e02a8386afc2204c1a7e5fe,4.268238934
1891,0xe65176fadec1c7083277a436c36c88c317bfcee2,4.2671398353
1892,0x1165461cd40939ad7331c32afde142284bffc54f,4.2666892154
1893,0xa68ff970b3a32e0978ed78a4f7b0e0ac8ddd1954,4.2664812002
1894,0x47d3407aa81bfa1e22fb0cdb4c46f7a5d79c170c,4.2647110651
1895,0xefae1f14eb751e4cb561ff320e0b17996e563981,4.2635911497
1896,0xb6d331b1de11b0c4c0b0f00ed5083161c9a04729,4.2628254813
1897,0xde7dc951d1db3c930f6353effe6083f4dce48af5,4.262802147
1898,0xf1e45794672f7d4ac9ea333aa7148107a1d5eb68,4.262616875
1899,0x654679f809d7cbfe7019a29d4446f779e5fb5000,4.2613164147
1900,0xd36464fd0a77468527b88f6e694b5d2b4a386681,4.2596708277
