Rank,Account,Balance
5301,0xc0602c934051852ecfb3ef56162b1c9af9467a19,3.5530093993
5302,0x1a261638d262ccf2def2519460fef71c717de875,3.5529989112
5303,0x8a1b73a88e1854dd3eebee4354bd4dba23861e3a,3.5529938951
5304,0x3ae7c9e4d3e793500a9d10d2e0219ac56a896383,3.552968118
5305,0x2545096fce6d8ddcaacd90b1801306c039afb665,3.5529619727
5306,0x124d189257955ad4d814ac73d83efe0fefbf5cba,3.5529516467
5307,0x13e85808ceaa8308bc41750c494c20d42f328577,3.5529491037
5308,0x01707560ff8cfdcdec738ccf65422d9fe529f74c,3.5529309804
5309,0x3ddf2ebecbd1d3f0a418535af03e6f48ff150280,3.5529307097
5310,0xadc834589c389662d1d251f8f05178ebfa811896,3.5529145469
5311,0x81958828e27645f5c6abe86e65cbeecd57fc1922,3.5528671222
5312,0xf9f810270cc7ff41254c20aff56b6d737567cac1,3.5527959868
5313,0x17618c7dbe799b82786e741efb662a82be25b4b7,3.5527485644
5314,0xbe12e927a1d64606cf9252147684b327912d4880,3.552701143
5315,0x60cb7fe1eb6eeadb2b474f8456c3227e058b69c8,3.5526537225
5316,0x157b9c29a99422069af986f79af0d8bba07bfbf6,3.5526063029
5317,0x80e7e42351bbb989dd54798a6f26c894ea5f038f,3.5525588843
5318,0x584682cb7cfe7010b75378fd2d686cd644d865a6,3.5525114667
5319,0x4465a3c2cf5fd16e1c0926e4ef299ddb8561df6a,3.55246405
5320,0x4ea9921cf36e0d99cd97287d2affbe51372469fa,3.5523704301
5321,0x97ea39d2ee68dcf328f178e3b786dbfe28441019,3.5522756033
5322,0xbf6c630455b0e7333a47078317fe15e2f755d819,3.5522336918
5323,0xb6c306ba1ae58e2939bce90912bff29d59eabaed,3.5520599017
5324,0xc6cfbd8173b88b39d060545594c16adcfc41c961,3.5519341592
5325,0xe58ea8760f31f868c026cfb174b0bada5608bc86,3.5518583623
5326,0x41e0fb8cb00bc7bd231565e486ed3b0f9a3f5650,3.5517797241
5327,0xf2f21752a5396211fc256970e11453c92d4c643f,3.5517133601
5328,0x122272dcf73dcdde8316cf86ba9e697ef6b06d5f,3.5516771629
5329,0x09f2a4ad8c35389ceeeda17e529667197f52dfaf,3.5516086927
5330,0xdb12d122b287e57799dc4943173113c02e89c3b1,3.5512662722
5331,0x34af62ffe2a63283ed97743505bc0f6d29e685c4,3.5511323032
5332,0x69b3bc94674bddd6293ad1a15d0584d44828b94e,3.5509906152
5333,0x8264646176202138dfa59b05f33474a1f2893ad0,3.5507251239
5334,0xad987861f38c384272dafb6d952fbf97cdac5e18,3.5507082621
5335,0xa2b4a945e3738fb96597ef933fc0de638fc2ced4,3.5506603854
5336,0x5c9058eb13afe612f6b7c8272d056186415d38fc,3.5506494397
5337,0x43c0bc10015c39e8067d37ac646b0b3d19a99670,3.5506049418
5338,0x372c9b93365c69c3ecb88978d74d1d7c2a3508c2,3.5505922511
5339,0xbbbff9fa9e1ff62070bf4265971b8ead8708a2d5,3.5505241188
5340,0x1c7ece78989231009432df4e65f7f7901ce8e197,3.550226674
5341,0x965c006fc82d83886b8d4771ad2a311395ada3d1,3.5499232723
5342,0x1aee35f4dd35543eba89a5fd6385aab2fe431cb2,3.549674852
5343,0x160b421161e3dec55d7526301bc4922425d02e95,3.5495758352
5344,0x58288b6eb7662f9a31884eba7a0b3b4d547dd677,3.5495545129
5345,0xb9aa7fe6055837360139274e387f7ac108415516,3.5492597872
5346,0xb72866c8c22d542c3d87165bc97fd116f658df2b,3.5488883491
5347,0x655324aede1cab4c65d2240e9d5302847262f0e0,3.5482223469
5348,0x23a21a4a392f3099ecc317b6a641906c0b80a256,3.5478938684
5349,0x8bf90e8663cb580a4987dead7b8b9c901ca5b889,3.547359832
5350,0xd411a8a118c0e5e3848ce0e0528a9028a562ead4,3.5467239984
5351,0x952d91f8e9d1649371685bbb77716bad0a48cc1a,3.546291479
5352,0xbf2cb3236ad11697205959dece4fa906cf93065a,3.5462671708
5353,0x3170cc4610674970f03caf4401b6a046480b4944,3.5455657928
5354,0xc4d38e068f65adb774128ca16aabf12a4624d53f,3.54524658
5355,0xdee3a0fb3e27a33f418cd9e20ca36db2dbc6c795,3.545117836
5356,0x16dcde65b1f225914a9cfb79f4e5443fe1de05b6,3.5450889255
5357,0x3dc892712992588787c818df64d4bbdab728dcf8,3.5450198908
5358,0x71608c64afbcde1665d4d07a556790d792fb3f83,3.5449468295
5359,0x4d90c2334063dbf6b5e912f05dc45e3916630c57,3.5443270405
5360,0x182e7e230280e958c2b7c5aaf8817ba0f0632e08,3.5442670856
5361,0xaa9ba6e020f00642233c82161ce86f04c6156496,3.5440985297
5362,0x689badb4c7a74d2edb3aa00855e35b19645ade65,3.5440319512
5363,0xdb0300c73b44460362eb4042c5bb699d0e976eb9,3.5437260976
5364,0x2c2b055549a45af666f591eba28cc74e6bd4e705,3.5435024229
5365,0x917cc5b7a6bf1b9c98b9cae7af9330e8d9e8c950,3.5434982535
5366,0xbbd566fae17eec82b79c1be9e56f3f54f539596e,3.5433630592
5367,0x8741897a6d258a3551cf11839e7b9951edcb5b0e,3.5432089067
5368,0x17fbbb11cf41312e26319c2ac5fa80146bd0a826,3.542181192
5369,0x0d88ab85de9ad6416c13d2f6ae564b4944c510fb,3.5420688025
5370,0x8cdd68a6987445de5eeb34d637d9fd026184c110,3.5417072219
5371,0x1400a846f7fd895d52839bad7248a9948f2e2505,3.5415177849
5372,0x699dfca7f70bde31578939fad1248e7c54d58cea,3.5413543817
5373,0xf1fda36317d70f429bab1909026144b8b43b13d7,3.5413356935
5374,0xe836ea65179559e35d5957e679f1ad26fb075c47,3.5412313465
5375,0x0aefe0530f826ba5e8d850463e70040ae914c749,3.5407078337
5376,0x2cc2b44791f2659f5248fbc620173e4f906684a3,3.5404825377
5377,0xadcf4a5fc6edb03e809c42c6348620d83351fa93,3.5404698029
5378,0x58537c960fdbf9dd1e2a06432f254bd4c4dfd26c,3.5397947329
5379,0xe1551f02647cd5c165cadc9fcf519f5416407c04,3.5396686717
5380,0x9a1c6e462961422168b4d958cff3344ea7430507,3.5394276101
5381,0x5ebf7da806d690085874dddecb514d6baf511492,3.5393820882
5382,0x285b196dfab5c9134cf9a7e8b74cfe9abe34c3f7,3.539275293
5383,0x7bad1cb920621b4e03535e148f65d46a263c5aa6,3.5390812034
5384,0x3c4e3fdb4a8820561a450430f590ea30e1a04954,3.5389400275
5385,0x0612cfc8f23105153a49fdb2d9044c7d227a100a,3.5386247697
5386,0x403756c0669783cc7eb9e929aeb881170b67dfb8,3.5374977145
5387,0x0c056aba1cbe5fbfbc05971e8c631a0afd64a494,3.5364732349
5388,0xd35c1694dfd2ba73d05563e48a8dd1f3d55ad0f7,3.5360249748
5389,0x530474887e57be53211fd7080050997056553ed0,3.5356361374
5390,0x106d2b3f70188325ab128dda072e41e6096506a8,3.5352216164
5391,0x42d3c125b97e90d3189501db69925d3af379eb56,3.535156537
5392,0xcb4dde3dab72488ea14f44508e2d0543552ed603,3.5351285221
5393,0x88ff5a8a5f1fe61dc7aceb1a4fa260f2facfadd5,3.5340979104
5394,0xd80c98a10c3590c112f8a0dbf54d2d62c9617318,3.5328087628
5395,0x4255edac85064acc4d08617701c6f25548d47c97,3.5321332911
5396,0x3a27fa18786f83176299de79942ad6fc93eabec0,3.532000223
5397,0xa4fa019f121008d5e0ea8e30101df3c4064edad2,3.5314854243
5398,0x2305295216e65806326a2a25e1f2ea3a76f9a700,3.5310740742
5399,0xf4ee276def0bce93a53dda2a5450a77118df2071,3.5304939696
5400,0xde70c04f00a9401003398aeecad2c0b30816a130,3.5297594932
