Rank,Account,Balance
4701,0xdbaba9fb91928d03a2edfe2322208c1c2ccd1bbf,3.7013608524
4702,0xab898469cffec67535f65609302defaa8cac2cc3,3.701264111
4703,0x7650832b0a0701159c439a5a42ac46a50e05cb87,3.7012634125
4704,0xbe5260337ed2465a39f8123713cfdb5ae13cfa39,3.7012046113
4705,0xc36ab617b66828602fc6bea5f2344ba1f8147698,3.7012031472
4706,0x0df21633efe955627e606d79b06cf6181db238c4,3.7011584771
4707,0xa87b69eb6b2cf52f3c926822a4bd64aa3cff789c,3.7011365441
4708,0xbafa41b580327e3be03a4f73427b6aaecfd01ac0,3.7011123439
4709,0xdb3d545c943ccabf528d4dfcd17a4b4d2281b6d7,3.70109645
4710,0x9bfbe38bd7241a99e2909c0a2cba05d1ab24250b,3.7010662114
4711,0x7cc15345818c56ef00be91b42357f71f06fb7034,3.700989326
4712,0x5ecb0f67da2dcc0d235c6af530c5aa8b5126847e,3.7009431959
4713,0x9b667b09a3a75dad69391ebe7242411c0da0ed56,3.7008477805
4714,0x2329d58d25e00b4a93041a6f58b9e572e3c76f02,3.7008167435
4715,0x1008abe492ed81e40281b0d65c89e66b0653b24b,3.7007807891
4716,0x2e8f2aa2f22de59fa6c15e7707b0a0c8d3b4b1da,3.7007272925
4717,0xbca7d66497a4d3c5aa7d1f4367a1b82a20b4eadb,3.7006909183
4718,0x3228ff4efd0a4722621e433844ade296f6af6c75,3.7006519823
4719,0x8c9defc0c19697a10148c951d5158cf70cc337d4,3.700643434
4720,0x87a17f805be3112ea95ab34614966497d8b9c988,3.700622753
4721,0xaca41bab49873797afd5513baefde0e44bee7580,3.7006056399
4722,0x8dbbd3631eda8e25f3f25b3e926957961284ebba,3.7005695979
4723,0x5cca9784052c011f414124856f503372c834cde0,3.7005081536
4724,0xea8e59267b3796238ba840764048cff1dedf6b21,3.700445217
4725,0x21c905d0c40004519666a99e0f1af3616c74f9fa,3.700393525
4726,0x9feca7cfa7b2cdd27d81783f37a61a69411deeb8,3.7003925198
4727,0x033932982fb12dde454f645fda2b619a96376a47,3.7003623297
4728,0xacfcc310c6e53f148df10d4d21936e66f052d5cb,3.7002885562
4729,0x08e375b9fca435ce1173d96c969a1ba12a7f07f0,3.7002847945
4730,0xd4d8b3815989001cf82d77a79f15ee4092d240f3,3.7001760608
4731,0x58952e54a47db04f808f4fa558e8a879ee2c5c9f,3.7001522816
4732,0xea3bec86aeeb189cba9278de5be1ba021846eb4c,3.7000804354
4733,0x3ff40c18b492d0394a6c4192cdb169d414c5108c,3.7000645295
4734,0x9672cf841d81ca00a488e9fe95a5e88fcc671203,3.7000419618
4735,0xfec451c3b88a5a7740db260d934dcaf31df4c75d,3.7000184179
4736,0x57b1f7c8b43f872c568f7793b463daabfbe7370f,3.6999723072
4737,0xe92fe66dba66c04548e1ce18e141f8eb31aa1ff8,3.6999261973
4738,0x989c39e13a56014ac00f9d6beb974b9542b0d762,3.6999182122
