Rank,Account,Balance
2701,0x869b1ed60f4a43c72fd874f10000b38943f4eadc,3.9260064012
2702,0x2cd4766a465506fa8f10ea25aec5a98d5080b491,3.9259008252
2703,0x54c005542fb2cbc47edc957f7f8dc077dbbbb130,3.9259006234
2704,0xde6fc665658a784ad072c09dfcb74147958d50c4,3.9258179882
2705,0x1c6d36f631b39f39bb2565e2335b819c8ae03e78,3.9256452324
2706,0xf9fd317b3dc80cef1b7880ff4e33357a52659d5e,3.9254042724
2707,0xf4852d7edd1ff02eb7fed83cc470a739052a940b,3.9252936904
2708,0x7687f6ae962a107082a890e5afc585dc9d3b179e,3.9247809605
2709,0xea9a2d3f51db9b0e90f0476efb648d40b30e3392,3.9247647403
2710,0xfb92aded47477b4a1350226937955baa705a9868,3.9246590775
2711,0x6ddf08b06dd73dd6d6816fe2bfc09b22ed04e107,3.9245931674
2712,0xb9c2baf319a6507cb85a48596a5f26e8b7e62d70,3.9243237963
2713,0xad3589e3e80247460ae3093e1bff19dfa41cba0e,3.9243032237
2714,0xa89ad753761444d29b8f7bdc90d42d99b0bd8e49,3.9241232317
2715,0xa0c9fb53ec899533ab0723faae14b14178868421,3.924101935
2716,0x6d01480c4d01fe3e9b8b2ae42b58630c72781125,3.9239224731
2717,0xdccd07e65091058faad5b041e68047e6837c0e9b,3.9229287542
2718,0xba0cb66561fb425e8481140bac49e81fc3120f86,3.9229275012
2719,0x14f4709483ae2fb65f7fe5e9bf8436f2857229bd,3.9228395344
2720,0x17ddda717155785cd2972ca21386e068739dbc6f,3.9222459825
2721,0x108a0db138e355b1e69ed1f6e1c50626087dad75,3.921907688
2722,0x26a514f0e5d917ca7330fe0a3f7a5734f7e4d40c,3.9216945324
2723,0xbea7725bdab61ccab40c69d6de44186e17ec4bdf,3.921583517
2724,0xb9cad56e7214199805f57a620652f2e4f610880c,3.9212126528
2725,0xb8f09551498340ce843a69b20050849f8993dff3,3.9211286959
2726,0x53ebf0b2da40b7fef628ca03575a4eaf5d76b8c5,3.9210506859
2727,0xcd3bfe724d1803b6a6c8bdcb2927e1a778848bc9,3.9210114994
2728,0xf2768bdf08b0735a8baa3d3040aa820869421cbe,3.9208608277
2729,0xbc70505a26ce82248578bb3c939c4071ad68003c,3.9207660164
2730,0x04eac42301b66d56e4c3aad301fefbf82fac466f,3.9207475528
2731,0x0728da57c2b497e83a780e1ba9214390437524a7,3.9207417715
2732,0x27aaaecdbb0b4edfbf1437a17107ef0426be0975,3.9206237488
2733,0xd8787129533af29e8081a997d7a3370929130844,3.9205380069
2734,0xcfdc031d5ba9f3485e859d2efd91c2309344f5bc,3.920528463
2735,0xb37306a4f6638ec8759db7dd1716294ed6b51fa9,3.9204850249
2736,0x410e65e67838ebd48743a61520eceead17a1abad,3.9201885022
2737,0xb5fbfe6546e736d6aa1138fd3b4c837e4f90ef09,3.9199505629
2738,0xd2c8aa8ea2f0f9bf5050e9a7f8e7a145de3d5f59,3.9197673719
2739,0xaaaad55ca1c0bf8c0085dcdf4ef5424441619626,3.9196159782
2740,0xd1c26360b5a89d4c52281bb42fd4a4735cb2c4f2,3.9193607115
2741,0x7ca0eb7c7957449f3ba3082e8c4f6b1938bdae99,3.9188679638
2742,0xd4f0d677b6eaeba66b9dface494194f796a80593,3.9187777537
2743,0xe94660178fddc79f0d69e7bf29728cc1de81c64f,3.918687048
2744,0x60c2780b7412b9b28b724fbcd76a7e723468b664,3.918663164
2745,0xe518c322834ebf82a0c86a074bcfd38668c0a51f,3.9186454968
2746,0x46d7f0c426203515cb5426af3d7164f0f45416ae,3.9185967286
2747,0x373d9227e90126ca831a6551b2775ddda9a5ea2e,3.9185062966
2748,0xe7218ab9717c5c77a6476a81fada3f81abcea333,3.9175065055
2749,0x288847e03d4de01ff4706fa4b3ce73c227641129,3.9168419001
2750,0x90bbd94d437d70374c01ed257a85e5993e785e37,3.9165888871
2751,0xaf76bf4a7af532a9a47b3f9ba8482f02be43c75a,3.9165583992
2752,0x6a47cf82e4149fe6986d5b0bfd69daf8d3590982,3.91610973
2753,0xaacc32418738a199e5ea98b91fe0274239822d4a,3.9158612885
2754,0x2f9d0e57ed4ab1b48ce1b989c7a1ececa7fc4e70,3.9157189602
2755,0x079ad710b4ae73cde3ba9f19518b703a995e7f3c,3.9155645566
2756,0xb5273081a226f17f2cff0bd5c7484213dc070e41,3.9148073766
2757,0xaa2a149358ec69f0f3a71675be522ca0a3536f29,3.9147102578
2758,0xb48b2df9f2fe6d2eee65331c8f4acd3c3bd65006,3.914570102
2759,0x1c847fade083bdc25d50b718eb9922984a149b10,3.9143328491
2760,0xd2bc47f5123fef8144f79784da50a92bef5ead98,3.9140956177
2761,0xe4a49265d5b7e1433d5aa26d241586d8e21837b9,3.9140237318
2762,0xea629bc392240e80776926e622a0e8b6f0ae23d0,3.9138817366
2763,0x2b8c3d6e28992fcb38d49042953dfc9016f76b8a,3.9138584079
2764,0xdaac82dfff0fb248274cec79678bf0f4a6edead7,3.9136212197
2765,0x0782f638292883c7ee2d33f847431c483a7a63e8,3.913384053
2766,0xb3aeb2471a262540c948c2a6732c8cbd62070726,3.9131335491
2767,0x06b6c5cc5e81666bace523ee1877d5843dba7099,3.9131314722
2768,0xdbf0705fdfda1361bd09c0339b6ae3b041a794f8,3.9122810007
2769,0xff22f9283721551199e03f94f76aaa2686d76d8e,3.9115662802
2770,0x966e2eda3ac699cac78ab9b9b175adbe02c315ce,3.9109441959
2771,0x200b84e79f7d78e2ba8187af7a798c26c2053449,3.9107920085
2772,0x5009ba3abcda68ea38cf4f9bf16c8f349a2ae996,3.9099473823
2773,0x07a5cfa95ed7cd384b3c95c1b0d7312cdac9ae22,3.9083701628
2774,0x324005ed8409ba65e36661541bdfb8e905adaee5,3.9081256267
2775,0xc869462f1165fda12940a3c5557c1bd88ef314ed,3.9077902107
2776,0x0c4d04b61f108171361ffa30f351f364c6cda1b5,3.907432258
2777,0x2d560f88d68d43be2f50ca0563eb37d461eda620,3.9073718512
2778,0x5386c155c78d2562581bcbce99653d21efca5f55,3.9055293578
2779,0x60a340ed26c6afdbe1fc7093e592b1fb2a79d968,3.9051219638
2780,0x3422ef44367d94953a84ecb1d01fbcbe44c498fd,3.9049279986
2781,0x8fd234fa08404e8b59c2e635d0b65bbdce386ece,3.904574252
2782,0x56101dd635f4c55337e0efce49e59294e3b2c37c,3.9038277787
2783,0x168a96ecc593ba577f5cf18d9f2dec1c976f1fe6,3.9035949047
2784,0x0966d650558ef5a5984f12acf819b852469502db,3.9035916308
2785,0x0e1e6068e7317ddd31235f559fcd71bda68cc59a,3.9034580708
2786,0xe411ccd9c5bf2fc3ecfd6af981a50e6150ba7b7c,3.903095014
2787,0x1d279300dec692d16959360bb7ead1bef4111d34,3.9028150519
2788,0x09e9c53fc1414c575cc409b2fe79330d6bfdf6cd,3.9027329671
2789,0x87135f2b9fd970693e3fce68e7f70a883315b3bf,3.9023106185
2790,0x38d57bb89ad825f638eed4a925018175f22c4749,3.9018663668
2791,0x64e864c349c41fe31c571fda22ee6ddeab61f99d,3.9010826413
2792,0x73e390a36eac3d46841225db1b47c441a011bc3e,3.9006158095
2793,0x3258e2f82db477cacd75ed0270876572ef8883f3,3.9006017069
2794,0x26c3a3e0d5bf970c072d78c7fa0ef2eaab05d5bf,3.9000115891
2795,0x041c54ef60a67f56403b34dfbcbd1a123d8fd7d6,3.8998425937
2796,0x998d63411a5f7a46f346b3e5932f5994b83116bf,3.8997980584
2797,0x67fb683b2709e9158ed48435746370f775b7799b,3.8997540852
2798,0x1b58083baabd7756733244baf18e90b78833db0b,3.8994659294
2799,0x27393e16142c6a3afb6d9df200e38fd44854f4fb,3.8991556858
