Rank,Account,Balance
5801,0x9f6a7bcd7d90225c524bb9d36c56c1a881e7fe8f,3.2676670528
5802,0x100d36be710c8c5c3340ea2d15a6c69fc5c163d2,3.2675988399
5803,0x0383f13a5d161076e6cc1782a69fdc4e73317e3c,3.2673095506
5804,0x92cdb53f59fcd76426c543db664f4d72bbc198b1,3.2672413489
5805,0x6656d6c5119d1a05b94a753eb570f2933aba4971,3.2655743428
5806,0x3ac026b7a9f0502b2d9d6093aa23cf25ee3e60ee,3.2645617084
5807,0x223bce88da17f5a33d6c2e553d4c2b6c4c46774e,3.2609804772
5808,0xdc57717b1f5337b8785ce35354ba7c1ff52d6a0a,3.2578569631
5809,0x498bbf3974ca51ad6cf0105ad8aeb03dcdd5edc0,3.2577468792
5810,0xf1de1a68968c929265e91b4210431445741e7d90,3.2561453655
5811,0xd5409b5d6202c2da0b44228a599feef6552a3411,3.256
5812,0xbb92a4ab65fc035af3140fda75dabe0fd3ae5131,3.2533893377
5813,0xa42a859aba5b86bd1a390dacf377c9d4c4be42ae,3.252408575
5814,0x9109c57d6c39d26f6b4e1442eee2973ed0da8b04,3.2520890704
5815,0xc79d3a23e4b596a7e869e7727ac8545beccafaf1,3.25
5816,0xf1ebda651e566dfcf353a67508ef7ead041d054b,3.2471108849
5817,0x9d9055d3e5ace086c11a28aaf6505cc7f80ccc41,3.2470540261
5818,0xbf62e92cba5e99cf9a51ec79342f3e76c4469993,3.2446932601
5819,0x4f8649f53d7ad1de72129b15a8bee09aea40c234,3.2429738348
5820,0x4d341ede72bcab6fc6380345ce2dec06b2d4d947,3.2428317923
5821,0xaaabc925dfc69889ceef21ab4662df437b5870f1,3.2427964431
5822,0x0ef9b0b5811b30bbaaf892d82c177bd9a316027a,3.2426374207
5823,0x60d230ab1dfa2c2aa2716782b967747d22cffc1c,3.2424243134
5824,0x5669a6aeece8898955c32a9f8f6c9a6bf781179e,3.2423493295
5825,0x0b2abd6251a6ee0b1e2fcb134f760c1e498e3fe3,3.2415294295
5826,0x2840de34c0d91fa23fc2d9779560d81ca1e2407b,3.2411582519
5827,0x88d5932824113857a121394fd2fc433865de4d77,3.2409092397
5828,0x8af2776b6b587d72e76e13d5d65f8a3c22390ed3,3.2397116166
5829,0x1a20982f81940c08c1d9fc04235f0cf14db30c77,3.2393761321
5830,0x15e43b241e9f801050f40f20adc2f3684fcbbea6,3.2387093967
5831,0x0205ad0fa11a938dae00268d8bbc09968e3aafd0,3.2377186148
5832,0xf0fa01501bb9ec23abdafd69dca839dd5bb545df,3.2374780554
5833,0xc2fb4535b98b20bba382930fafe1bc06d22ac77d,3.2374416247
5834,0x322eb323bf6c79f0bc2f74f1ea1d1c7cda009b34,3.2371893697
5835,0x6d2eb3917ae917212002732d0faeff915be40303,3.2349027833
5836,0xb53fbf76c04e4b5b9115da04bfe7665469cd3df5,3.2342256609
5837,0x832fe1ca938154bee7cb8a5ad61b48f6cc5019bd,3.2342242741
5838,0xb394794258cdd9c9fe561552ab3202f566e26158,3.2312487097
5839,0xf860d7076795b4a4a1027455414d099f2a7f37f3,3.2306053992
5840,0xe568d5df4a10d274d2a21a6b93b0257dd4ac197f,3.229720457
5841,0x650ab5bfe3e0150000daacd7ee82a6c12426db45,3.2289399846
5842,0x4105a1075ce6ff9b06f35b1058bf2c45e2bab6a9,3.2284281774
5843,0x02b7f0488d7d7aad98d8e2edd0d6fc49f89fe201,3.2284080122
5844,0x61c5beb40016589f027d574380e91b48a9ee40b1,3.2283475532
5845,0xff994acc57744b8f35fa7ead0af0495426308416,3.2283115089
5846,0x60090ace0b4fa838d906096ad9c7ac09799c7b9c,3.2282041562
5847,0x68a6139688d905c3d24950cb8ba5adbd9c61eff3,3.2280723983
5848,0x504fd71b599db92bf7f987ba5be049095a194f83,3.2279109983
5849,0xe001120c71d69debcbc51ee3ceb89b675dd3a978,3.2275379066
5850,0x03006ea07e9155d53599c664e80b3a35758bd7d3,3.2271532235
5851,0x7e114a1fd8fb43fc05f3cbfa61cc125f3e429789,3.2269701015
5852,0x114c5a7b49673fd09f35858f8dd3c345ffda6cdd,3.2266743625
5853,0x6ba51e840eede057cd7c52aee3226f12c93d1068,3.2260596496
5854,0x87b104b03d92db1ffe2ae85ea4c63a8575297eb3,3.2257983857
5855,0x5a2ef2c62cbe63a9bbbe80a5b1cfd34004297aae,3.2257955068
5856,0x1a1e92830ec299f7970e21c49fd70839b2d62f9b,3.2248134796
5857,0x0f7fc71e67285878a79b9d7b54c57dcab159aa04,3.2241466907
5858,0x5595e010b4e840d9b2317e47c3eb77ab105324c7,3.2239300256
5859,0x24d3ea816a6e761687b63db652a401d74ca53a43,3.2233131518
5860,0x03d4320a292dc0d1f91e8c2fd06fdb05ad157ed3,3.2228000663
5861,0x34095603d9f572a8b2adfcbb117dbdd55e6a7c32,3.2227935919
