Rank,Account,Balance
3101,0x409db6edb47150f28da0b4b6d84e61e0a6238127,3.8587554958
3102,0x95297465b4ae87460c26100bab3614cae7af5f0f,3.8587553022
3103,0x9e5d3e0648b543dd909bfc838ea88590c21172e1,3.8584166565
3104,0x6cffce8a38d25d2fc0040ea5068a0b3a5fc08d2a,3.8583473171
3105,0xf3def1261a7756bdeb35acec923cdf93fd5041e1,3.8583467099
3106,0xd7d5ad2475be2ab4dca78393eea8e6619a2dfa1f,3.8583464343
3107,0x0fd1fe13aa02b3f4eb01ec68ad1ab69d49c013da,3.8583371711
3108,0xc55ae4780895d945542143568b4b27c2ace087ee,3.8582426539
3109,0x528090ef7a3e489ce273e5e9a25c2682c8abcc52,3.8581315497
3110,0xc765d92692013840135ed5fb6ae56590d2a564c8,3.8580825859
3111,0x42f0958469a5375eed3f5504a63fda736f8b26b2,3.8580761217
3112,0x166c45fde8dd671b16008e14b505a263c50ce736,3.8580730915
3113,0x9f28d300c3897719dec4c000365d833bc3974466,3.8580481137
3114,0x40deb02b9ecf4e84f270b4da44ebd5b03763c19e,3.8579009864
3115,0x803a5e1a3fedb5cea83a987de9820f5fa92b79f7,3.857727842
3116,0x280097183b6c4d98336c3be398c107ca58666391,3.8575935384
3117,0x84541303c2aa3d35c297ac19c26481ee4e4bc68a,3.8574206919
3118,0x23745e90a24348cd0c6dd78fed73cb0a049c90b0,3.8572309105
3119,0x4a585370c43231b1aff579395a36b4269df2bbb0,3.8571868045
3120,0xb12b37c624079872022ba791048f8efbf51b560a,3.8571831183
3121,0xbb6f618ceb1efbc9351113bf42b11c85a374ac3a,3.8571045308
3122,0x2bc2d445fe62335f2d095ff00a0288d05b384381,3.8570883936
3123,0x872081a0dfdff3a7c1f1cc1f14d5b4f4880ab0ff,3.8570070554
3124,0xefc8ad47dd3e7e586ea16c05b9eadf6a8fac7acd,3.8569657194
3125,0xfcf903acad57f8fb449f96dbd87bdf2383488dc1,3.8569257197
3126,0x065159cf2b0c3d502f19e48c2a8deffc41a00e3a,3.8568762815
3127,0xc43d3ca6bd21a4956f4f4e971107ec018c95408d,3.8568171023
3128,0xff2809d9c8b61862415332842346b22c5b1320d1,3.8567764113
3129,0x2b1aef40a181cd7c33c58d6238cd90949794c54b,3.8567028037
3130,0xf1c3604196ce8d756999599997767486bf756bf5,3.8566845982
3131,0xacc93874b0a18bbe1c2e6fb610727a5f7b116229,3.8565478176
3132,0x605e4eb3bc7067291b89dd7cfbb0a4e7bae66835,3.8564672463
3133,0x54b501292823223be9d54bc277da819ad754b608,3.8564408589
3134,0xd5682235faf0aa8adca8646e27359a0ad5bf71af,3.8564170102
3135,0xd112e11a9a48e72d409a35779270e19c0339b0d0,3.8563866774
3136,0x782a49d4e50363f1beecfdc3901577adb8abd241,3.856371717
3137,0x3676d68cd9d6c0032c4e2e24b46aeca9d4fd88e5,3.8563682504
3138,0x829ab29dcbff8077748fbb30071d20b7aab27ef2,3.8561820119
3139,0xcfef0099447e90b0d732fb2889223735a2251c77,3.8558636401
3140,0x46533a2f404985ff3db8092a71dd7e51620780fe,3.855854957
3141,0xe414ca065354b67db2cb4f6ac523e571887e66f0,3.8558036796
3142,0x897434238a4c076fb10e56f8fccce23bb75f5565,3.8557830976
3143,0xb92aca0ba3348536d96e649c373d4e53e7159e10,3.8550549035
3144,0xaec95283bbc4ce724dd3223acf0b3c80fadba280,3.8548656999
3145,0x61c37063e319632935600c29505afc7ea2318124,3.854848291
3146,0x9b605aaa822ac1ff7b48430a71cb39cd8f4d6435,3.8547317024
3147,0x0e57f6a37cf26648d98e6614ec02f4d91e68820b,3.8544229207
3148,0xc781d9533f6df4776d612479cf060f6e0387c18c,3.8543890903
3149,0xd2898c8347651a5649728b3d9b8903ab076de8a1,3.8543119765
3150,0x4394bf44089eb429aed04914d5bb3da72e26b780,3.8537336111
3151,0x77ca60dc603ba4a4b84d6520b21e5b72ef508396,3.8533372443
3152,0xaf32a8648a659c035023561694ec23550b40bab8,3.8533235102
3153,0xbab26ad7a80db7c14ac884a93d893db9c32daa9a,3.8532560257
3154,0xc863f8524611bd2ae5c56d09c4602ced05935bbb,3.8531475645
3155,0xee400629e165261bd9e75c973c5cf0582b89ca82,3.8529860699
3156,0x11aba96abf8592b251cb83d6f776f594a9500b5e,3.8526573676
