Rank,Account,Balance
1601,0x93cec1b97ccfebf0d088801cc020421e9c4d5793,4.4103076735
1602,0x1eda2cd11a605eff21faad39f624b9be99f56455,4.4031894865
1603,0x01e0d8294e0ddca800c245b56f6052ebf3d85b67,4.4021410819
1604,0x0ef7c2f9af48edaf57daf63937b0188fc4035b5e,4.4010115272
1605,0xf27f58df4786b941ea5d213a3eec2ceffe5d4afe,4.4
1606,0x9779c940e6fd74e9369f826a7e0000b0b382deae,4.4
1607,0x22abc4ab9bdf39978bac215dc43b06df72c842ff,4.3990628592
1608,0x325866538b097e5149079b78d3ffd532e9e09745,4.3984320513
1609,0x8cf5c513adcda515816bdd7af0b1fc9dd43b18b8,4.3981895267
1610,0xa555de8b4440bce09bf80af8c4a4ae6c7350c37c,4.3981337992
1611,0x5efa0e39c657a47a7e7635b5aa340c935cf907a2,4.3981135975
1612,0x19d163aa2729b8ffc5effd1b74ca3be0f7d08a65,4.3980533948
1613,0xefe8685d3005c56c6cf7be23fd1428c55c456b3f,4.3969328876
1614,0xf77b3b3ffdbd9b66e0a3183bf6536103a61639bf,4.3967922229
1615,0xe38f0b1b662df5c7c49feea51c9dd452d2c6bec1,4.396036368
1616,0x50efb686b255cc3d053effa9686ef91f7465f611,4.3945808702
1617,0x48303449822b04f0637897cc761dd3c467f7a074,4.3943337536
1618,0x7ed7ecca8480458953b5660fe56680f7065f2cba,4.3943320967
1619,0x006df7476c980861faef65cbb383e5e02f9c2a6e,4.3942457393
1620,0x9cec01e191775757345d42e2c8b6b62c5a577817,4.3938725261
1621,0x2f6cce6ed57b8fb23476d1dadda5e6c2698be958,4.3937938814
1622,0x4829598e758469943d6e554c98659e8c0ab8088f,4.3936824027
1623,0x98d4d18fb2189e8eb24b0c5efe58d5f955f5fbeb,4.3936769483
1624,0x7d25ed58574cc720d28bd594dfb50ad5cc219c7e,4.3930190574
1625,0x053c5acf41c6d306da4a572af52f5c2e7d8e57fc,4.3926540768
1626,0x5be4090cec267795dd91493bf42bf68bd0a0dd0c,4.3918400416
1627,0xb479fd34414747cad526062c309eaefdafe1c616,4.3917550623
1628,0x3065fd8887583f37c3d15b72a946ada7d6880ab2,4.3914318262
1629,0x46a73114356d3f194bae80c36cf2607a6ea631a5,4.39138524
1630,0x2b78772b7e54a05015bf0faaac98f0449a44511e,4.3913057535
1631,0x8fb9ea99561109b44f961868cb78125cff882c9a,4.3909884094
1632,0x1b2c802133fbabbc4978fc24b66c2e92122d72c3,4.3904882902
1633,0x5fd34d176ed687609dd6e20479f994d9016c0c74,4.3882459997
1634,0x6b508869a95a6fb119f9c1464639c4f6850f55a4,4.3880358606
1635,0x980e663289cba659cb1d65652a1c09191ecb457c,4.3879480264
1636,0x750a2e45bfbda01ed187d02b59fe57f52446982b,4.3876554819
1637,0x9afc5bc9f4b26e0d7f89c4b172befec55975a5ad,4.3874490177
1638,0xdd126918039f1360c3ed15847cb3e01a84467658,4.3872124193
1639,0xb17a939d8376b8fa26085a0cfdd61baf5ae6e115,4.3860691251
1640,0x78d7211cb9e3f8b7fd89b7457815dcafa0fae4dd,4.3857360757
1641,0xbeee71efd132dc12526bf6a2e50903dc19008b39,4.3855204809
1642,0x6a435bcd8ec93346d558b84cbb213a31da52222b,4.3840633664
1643,0x7a7c7cda51cdcd27c929c363ad7f57efd4295d5a,4.3840224822
1644,0x04df47ec6644650a0a3e83380a2242333b791ec8,4.3834051966
1645,0xf525bb14309c061f99a38a780881a62eb8346670,4.3830416695
1646,0x4d6af09f05b17b9c760ed4ef7977e400ed9d501a,4.3827260197
1647,0xf31bc6cead24fc4249bd97250d33384e2f29d085,4.3819020577
1648,0xd49e79a2f10cba5e801d79d29081c87cffd8608a,4.3811055749
1649,0xfe7723873d4560d272bac34672316abd2d92ef98,4.3803258798
1650,0xd044905c3ada935fdde40215ea0044ab4a68b3f0,4.3793390654
1651,0x224b4d546261340a0146bbf5acd83f25999edcd8,4.3792122933
1652,0xebda9ddc208c24cbfa4f1467355fc2019e5bebb4,4.3787651133
1653,0x429894509db8ef08c80b4ffad7d044b0d09272ad,4.3779687094
1654,0x0482a4d2ed4845559b63a9f50dce3baec29e8cfb,4.3774821065
1655,0x8f913498c212b032b4f27e060474dd2cad322880,4.3765065788
1656,0x157ecbfe613f965279726af03aa1a87ca4434e48,4.3763287049
1657,0x2f2a5d0c927515fc5189dd7afab301dc401e4b26,4.3761508418
1658,0x6277fd594e3f841f162c3b9a214bd6a4a5b624f8,4.3754400695
1659,0xb536041a2d086613c893c7a0e0f16c0c66a4c429,4.3745875885
1660,0x5b5d9e2872d54f83379676662907757af3dd0d42,4.3742934731
1661,0x28ed09fa7aba43a9dd1f84063dec53feddda79db,4.3742689126
1662,0xacbc61f35348e16afd4ef0b8513b3545d64c5d8b,4.3737607425
1663,0x4cb1fefdfa35f7b6d7ecb9d3633532600c9bcfee,4.3734353164
1664,0xbbfeb4b8bcd142b21a1dd7581c7bd6141911a10d,4.3709851675
1665,0x839c66eb6a6700cb76b447f51a5ef4ca85fbdf06,4.3708155628
1666,0xb4e23201ea378b1d26d15e66c3f8c0407dab799e,4.3699742426
1667,0xa5759d043c3f0d0457ef7ccae67bd205b44b411e,4.3694027306
1668,0xb445e9b1947cb7d9d746bd7d29d84888fc950789,4.3686689681
1669,0x516827d2a1b10e490e56a6845d1200fbeda41b1d,4.3685815051
1670,0x010020483dd189d624bdbcb3567b77e5602a4338,4.3685276981
1671,0x63f028a3e8eeb21cd1a37d11dc42c78484ee38e4,4.3680661495
1672,0xd7a70a9658c3bda677b18a84488cc5224d8d6be0,4.3673853313
1673,0x5828db26f1ea9d55c4f277c06434c2edcd297fa3,4.3666937892
1674,0x0ffb6aa948bd7723e0daa220f31e7273ef11089a,4.3651690286
1675,0xe4775ec96b072f77d613b6a9442dbba98237bc5b,4.3635400205
1676,0xe8064979179ca2689db024a31972805e95ac5281,4.3629529011
1677,0x2ab1e68b1d9b79c3fb390804ad715413096e973d,4.3627235068
1678,0x802747b4e01af9139343eccf2a9f7738bea4741f,4.3626219834
1679,0xcc231e2c7e7f21cb12477543aa9fcd882f6fe159,4.3625775366
1680,0x387060a15695d3541bc7cbe7c47f14ba6c50744f,4.3625248337
1681,0x66494a36c21b1316cc8b841468915832785b154d,4.3624189471
1682,0xac5d145e99cc5a92500d9acb753a9ac28d7537cb,4.3618620608
1683,0xc8abc51468798b9507a2480136697cdf9097fcc7,4.3616223802
1684,0x41966005890d645bd7a6a6eb33c05ace76a35b05,4.3601302471
1685,0xe4aedf20391004a2cb3f8acac9faefd36220589f,4.3598973786
1686,0x501f72d87ea841bfdda7d52b17fbda118433039e,4.3597601222
1687,0xa00990bc5c66bbef6c5f7a63c08e473837202513,4.3596120547
1688,0xe1a035280818371cf1d3b3e65bc3e5a4d653c6d4,4.3586161212
1689,0xcf9d99130e458e85c3454a6b96b7bbfdb7b0a21a,4.358551593
1690,0xa61f91b5d53dfb74232a2c2a90a2d78919be32d8,4.3584146913
1691,0x0d5a1de82a15a40d0276e02163e0d7f142f8dce1,4.357913248
1692,0x9565ca7d0a9a8caeb281e43bd45c76fafc58c9a7,4.3576928006
1693,0x92a7532fba2e4bf897f7f1a3009c8189421e6f05,4.3558632796
1694,0xe65575f7e177f2cbb9c25d8eef425da71b9eb091,4.355650093
1695,0x076f045bc62ac8084f4cf13c62a78da4c76d31a0,4.3556345288
1696,0x6b9ea46f3e39327f2286eb6d14309dfd91d92bbf,4.3556339085
1697,0xe2db1f338c75053baf5be538923d17963e028686,4.3549231309
1698,0x2b706f4c103b92585902964dcdf9f127b0b4feae,4.3547977604
1699,0x4921c8daf0e67802f51b24f4f9f304b7fdae64ca,4.3547620514
1700,0xf2e240a76c41208f1b6d0ce5b8ec3150ef3ce410,4.354721325
