Rank,Account,Balance
501,0x7edc57db68ca6a536bde4fbed78af2bf2cd0bde5,19.3914011309
502,0x2d4ba962f08688f5b92dcc52a76664b470d28be6,19.2745549809
503,0x3e9eac68897af4d09e7e7b1337bea48aea6238e0,19.080865979
504,0x65eef9b184082c94bc09ff8c3429df52dce5acb6,19.027029707
505,0x09542beba0eeffda8bf763962741d82f1a14a6b0,18.9839324311
506,0x9a7f8d5309ea45d45a8b7f4b130e18b595daa6c8,18.751945137
507,0xe66d7992879eea01873429c5865c1886bf18a6a0,18.6831782106
508,0xe8d0d8dffc5967afeb6af9a4ebcc6cb2a2798863,18.3964267268
509,0xd6a6f4ffaae24440c1978273b5e9360166ca5f45,18.2447710993
510,0x555f9daad28487cee43cd226b9a2f33d57c98964,18.218049349
511,0x11f9a007c8f1f86b4868656205e314640690b70b,18.0615231392
512,0x4ba52b54b270da98e3b5cf39add34f7224697add,18
513,0xb8a9eed59737b42f1220b57392d6bed2640ef178,17.9459460761
514,0x0b64648b58211aa19e8deb71784f559646dfe7b2,17.9030767027
515,0x006fbaf6fcbb50089fe8d63620e2aeaca287515c,17.7801224336
516,0x126669fd939b18608350bc83f268757b3c06fd3a,17.6825059054
517,0x2d9a3b1178dcf9799953a03af92c2cd2c382dc1d,17.500630529
518,0x6a3291293ef05e04c841fc8e829405c4a39f488c,17.4184626232
519,0x55c6fdf4fe57b150b3f68d1f1b5a2f88f4821a6d,17.2969902758
520,0x5f6fd288c35080de16c812e0d4850fb823c3056e,17.2653511104
521,0x0591d8be1bb01b27f28a99215ccf5a8a1da6fbae,17.196420813
522,0x8571f486365d57073e5889e2448dfc57368b5623,16.9602765602
523,0xcb6d13df4113cd26aadd8cdee772c5ce76257836,16.9513820891
524,0xae147d9c584a84b2a9524ec3beb0cf69a80390f2,16.9125159654
525,0xcf0214540cee0bb4b10e7df66ce94074032a2ac4,16.6779284181
526,0xf8f181d466d44974257f9ccf0ce8398b7e059054,16.6491468818
527,0xbf20b990e45cbfe9edc3d27d4426a89105da7f45,16.5743487828
528,0xabbd318215efbf3aa38dd53113fa063d233782bc,16.4529902405
529,0x496e5a345f8bb950a5c3459de375daf14c821132,16.4430337549
530,0xeabefe2f03837fec9416bdf380529973b98043b4,16.4430337549
531,0x80b229ae626cd5c74aa9f045c4167bf5b5190774,16.3187968052
532,0xcc5bca6a9fe7ed6a81c5bc3684eec892f4a7b2fc,16.2813926774
533,0xb730fc3417027601dc25462b6ba62d4fa68fafe6,16.2229661195
534,0x86184e34c1338339fcc2d1ca0e8783112bb87041,16.1644182172
535,0xaab2b7c70eb48c17f0f3b2c2b9fc22fa450ac87e,16.1644182172
536,0x6b0d1133b7188e84b54987b64076d1359776e231,16.0890885911
537,0xbe4b56d159dc307e6c50cd5d7a241bf968fa2161,16
538,0x04cab9397fef226330825bea6d5f3abed30c443c,15.9375538279
