Rank,Account,Balance
1001,0x0462a26e646352dea6df8edb16d8001f119ec89d,5.6350625335
1002,0x1ccb21147c7d45a41bff17d25af8f587fafe7106,5.6318042539
1003,0x3fa94c84131fd630bad8991a0d9678efbe717097,5.6314645199
1004,0x3763c5124c326241530b4c55547aff0df92ccfba,5.6235521991
1005,0x145182a981391fe1e048f4ccae3cde0460a4cdc8,5.6182425203
1006,0xd39ffb16ebe7d00b6c98f48cb611a0f01c04e005,5.6176766472
1007,0x92a19c8fe09210d34c5cfade6c64a146852df564,5.6156161338
1008,0xea1e32c8ecfb00bd6846ff1a79c7782575024211,5.6067492806
1009,0x78433b046d37329f56b359014b3ca8184c6efe09,5.6062533337
1010,0x3068297a3f37ed6eb3076db83ae2f42c5a46a0b7,5.6028887844
1011,0x03d5015216faf7748a29f9548e8d66c5c3ed50b2,5.6009180616
1012,0x1657ba491ad391ff3f5929e1e1215f35745a10f4,5.5862639287
1013,0xd9ba90da9b1bad2e0645ee4c059c114851bb7756,5.5800429937
1014,0x4e89e39214a26a1e1e6b950a5eedac28cc438048,5.5777373406
1015,0x545b5ccd078a2070f4ca7cde040c878dae3ccf2c,5.5761491507
1016,0xce446acded4ca50b0118ad91032792b8755297fc,5.5728127081
1017,0x4da95aafb42f053ae6a26c3d3dc7d65c38b4fe4d,5.5663128435
1018,0x60d565350eaf14c754debb368c733435758ce3d7,5.5627423196
1019,0xde0ada5bb11c07456bb8bedc70c64129e94e4a74,5.5618318083
1020,0x4ac7b3ed1fc7c2e8063a90d58a2fe7f940211e3f,5.5545550706
1021,0x1adf38f8fe2a60d0dc7d67d621914520c85bf36b,5.5503610137
1022,0x8e13849817cd65c0d26df5ac5de93fe753c8555d,5.5487960118
1023,0xff4ff5323708b6cc0b7496befd5c16db30856ac8,5.5470872968
1024,0x4e3d332c191813fde9da95cd304a1a4d7dd00080,5.5434348125
1025,0x7b6d4cc987af7e12e81d94049aca34629ce1cf52,5.5402450354
1026,0x7157c347961f02b4ac8aa5e8707313c0097ae7db,5.5372823777
1027,0x2c7c9ce3ca94032d18da7fff50dab1852271aeda,5.5270708163
1028,0xeda38af05a711de161a4c09c686e16f0b6e31580,5.5209950038
1029,0x4d2f34f3c06ef3f5e7a0893fa48e360c12fadb96,5.5208782211
1030,0xfc6a76c208ac5ddfe1d7ea7d23c535e47dcc3bee,5.509088138
1031,0x77d0d96a7449df0c9480f21da687fc6a456b1817,5.5089303615
1032,0xaca4d296f33c72a4e023a6d0c7d856682a793b2e,5.5012043691
1033,0x297eb4e347edd7f2db8275ad0f78bb2a2cab17da,5.4980837943
1034,0x0da079bf0b7e2b112e227acfb965a38aa1c1b364,5.4952904944
1035,0xc23c8ba024f45787a84ebc350e9f1aa9e007ec87,5.4914073206
1036,0x2e20f295aca1dcde134665ee395d617eec3a0985,5.4848962665
1037,0x7d032e6f60d862ae43ebdc434cb9f48b6817402a,5.484609423
1038,0xc893857638ccc95de5ae91a13842e4ce0c1ab802,5.4811661282
1039,0x8cadd7308f7a4809576e63e53ce624f6c4e5608d,5.4803511613
1040,0xc91fe044f353686cf84a616fcecdbaef4dc6fc38,5.4791787672
1041,0x07454c4d1d0a71f49926d68804cb6f65f2607723,5.4765121963
1042,0x673d54705760a42bc52ca82964409bb227e9403f,5.466984872
1043,0x4540855f3f6e0971bbc707e01842fe304234e4c3,5.466984872
1044,0x5561bf03b936a9ef6616d3a7bf489d659f6a508f,5.4491653266
1045,0x41226eda3f09474e5eb832c0e5568be91730d55f,5.4453521513
1046,0x26bc042e5b75727e175139cd5da47660cb9dcbfd,5.4392347437
1047,0xfc69e99f777c50e379477cf7ff66feb21fe9629c,5.4381174934
1048,0x77bc96476db6b1366c93d54ab7218c6d2ce241d4,5.4334920565
1049,0xbebf759fc15bc07e5b8abad6ed931e2f945931a8,5.4297711047
1050,0x725ebdbc1f2b2c51c9196312cfca695ba07091e1,5.4251142007
1051,0xa89b085c4ac4acf6248527629c963b8610d6b781,5.4206696534
1052,0xc53ab4004109ca7d06648946f69d31ddaf4ed236,5.4193645056
1053,0x89f73d80b4173416a589ceab9c0cc65c5dd0d191,5.4142710175
1054,0x545a5269493a74a1ffd01991fef642b8c8a68ac2,5.3851128898
1055,0xae72fcfba0e76be3264d863789da60909d28b96c,5.3763556254
1056,0xfd8b52f26a2cdd0fb4146d79e11b632fa977056a,5.37456
1057,0x5186484578452cbd0d31325d8fa3ffa2eae1a9a5,5.3685741882
1058,0x95d53166a02a1ff897f66d35d6de557c606208d7,5.3679595275
1059,0x05aa144248b8ea41c073fc0eea1e408249ed78c4,5.3426583782
1060,0xc4a49cf099f7d4f0e64134a36a5dcc255863035e,5.3374308148
1061,0x3ee7150e9467eb86e701b13e5909cd5b5f4b5068,5.3373509948
1062,0x1945cdf714fc2b0d2f53ceb2a9fbdcfc31dbade7,5.33015271
1063,0x7b2e2e299205ca5d256ee1c71d9d745c31acfb4d,5.3230522236
1064,0xd956c890c74918f2525c0fc4b4b848df4a305ebb,5.3126322085
1065,0xe24a5d6cf37c304ef2cf00cc6fd3d40949c0f24d,5.309425042
1066,0xb14f8b07b055188037ddb084624e68101a650ad4,5.3054818813
1067,0x18b187bc5a08350c49c750ceae39c695ce8bb75e,5.3043647903
1068,0x87c18b54972cb0370982a9ce2ca98d9bd04d15a2,5.2787859821
1069,0xac3dd1ae124b51c8a61d7215f5cd72791154ac0f,5.2755088383
1070,0x597cb8d70f15c06349950792e39202503cff035d,5.2738203545
1071,0x4929bddddc54ec2651ccbf516500ff878b337929,5.2721400479
1072,0x1a141dc3702a003f0be564428d1392dc6461b64a,5.2635568744
1073,0x03cd21fa33bb205fb232770f4ccfff2c2584a192,5.2608449305
1074,0x2a03f71a5245b7542585dfca127ee6a7ce8c2c45,5.2571210918
1075,0xfac7b94b2e2472786e01807f191a480db3ba1765,5.2569121571
1076,0x76fe314bdd4a545791b2508ccfeaababa1e4dd0a,5.2549517505
1077,0xd773e6f1e8ebfe87f3c44d22db98cbc398831bb5,5.25
1078,0x2344fabd7656ea92f6c4cced695782cb15e9f6d7,5.2479801552
1079,0xdabca69aa6fb9d5f5755872364c45665a19e14b5,5.2454534922
1080,0xe30963187830f76073990d7b1ca00161b31eed8d,5.2441653858
1081,0x88814cdae37b27b73eedf3099af8b076f335c203,5.242557486
1082,0x4569b66552aa49440806f83af65a9b71da7eb0de,5.2325814828
1083,0xa301f2d1f527b3b9d45b51c60483bcdd554fc1cd,5.2317027886
1084,0x7465f3f47481928779e754b71247b9bc5435ba90,5.2293316374
1085,0x2db960bf56ade75bc627597ea769d0ae38b0edd0,5.228778553
1086,0x0a97042aca0aef0b0ab010b3e0cee80f77120e53,5.2248697952
1087,0x69c562d9956d7f94a905a1278d5002bb19df8a73,5.2230334509
1088,0xf5c6f2d5157e0790b4fb31f94d5d0c49098052d6,5.2103387126
1089,0x406bb38d1872568f280b7b34982bb1f123287794,5.2076101617
1090,0x7119d8ff2eaa006c678ddeb9f8f9b1fc155b6606,5.1965812727
1091,0x32e179278dc87eee1687b8f95a01150c25ed7daf,5.1963216288
1092,0x7e0ddde0c58e8c7f238207f497dc5f25e9c2c779,5.1898997013
