Rank,Account,Balance
5501,0x2c265355448e01fa2f0ffe5ba3b1c4621c4e285a,3.4688457242
5502,0x12f959554908e42beda3eeedf20e6a92e24719cb,3.4685625227
5503,0x69c9cf8ffb0b06dc52cba183cbe6595e46f749c3,3.4683864691
5504,0x13991a9c594e88d6c06365c5412f00bc8fde702e,3.4682973421
5505,0x221eea773a7e2b9d6ada725b305b07322ad7401c,3.4682142578
5506,0x5486ca798a1a0f677551996ec43da814b873bf59,3.4672771965
5507,0xcded722cf57761c5d8e02459853b9af1ce282a4f,3.4669958996
5508,0x485c4f3728895a12faec127be31d865d33e1446b,3.4662063842
5509,0x52916218e901320bd8b7380b7710ba06ac4ba6cd,3.4661376162
5510,0x95c4270cf78b919c2b53b5d4ca4d050a78656644,3.4659351592
5511,0x909d1c5764c3badfc5805bcae08ba69de2a7dff1,3.4658299668
5512,0xd26c5463de508a81f52afaf5f82ebd5641b04fc0,3.4657858434
5513,0x349d2fd284a3788c8ed4252c26b1b1d9bd555a8c,3.4657584163
5514,0x89dbe2b8cf4cc7264c4bd4d3ca761c533002585d,3.4646018329
5515,0x90aa065856ea7193e1b4e273fa380b670c53bfef,3.4638682398
5516,0xa586f495076f9de36fac4920f1bd73e6ad8ee166,3.4632315579
5517,0x24883c430a18a3789fb7a6cc061aed3b0225582a,3.4630106234
5518,0x45e58400f1b44311336361eb1e56d1367820c9fc,3.4614542731
5519,0x7e4a6daf22f249dccbd7fe494c3a46d4d8b6e268,3.4609457495
5520,0x3d4f1d4da77a46607bfeba113eeda7d9a3ff4ba3,3.4601514593
5521,0x5f40237c391e0aa4a0fc5ab55e794dc5c5b07a7a,3.4600298203
5522,0xe2b3d63f354c0da0b75b1b228a2e87cc16f989ac,3.4597262323
5523,0xa60054de11fd41fe13db6483ffa5074bed634794,3.4593637936
5524,0x014ab0b94ba71a95bf88f3910f6accf247651c41,3.458341665
5525,0x9076238797531a230011cf6a26db070320a6ef5b,3.4562562231
5526,0x489a3aa83c1f204f0647c67c9fbf3e7ee1463bc5,3.456152019
5527,0x899104acbc77b26d0089589a309e9f29f73a2c8e,3.455953816
5528,0x8d2b062ec69634edde542a53542581af2b0b5b75,3.455110151
5529,0x0a842e5eb2294c354b39cf5dcda00158260cad5f,3.4550652017
5530,0x3e31444d0d9f8edc274fcbc669eaa624398629c1,3.4550448903
5531,0xcc9b2a9c7dd66e0cd420d836cf00e01dc827c514,3.4549999423
5532,0xfd84fc4a2551306980455ce9d3ce3bc3cad1a39c,3.4549728541
5533,0xa6eb68033706e49b7e9f5b83248aeb2d0cb0fc17,3.4549279075
5534,0x89245939874d8373cb60190cb8e91e9fd257e884,3.4548342141
5535,0xb9ee088709be553d9831e4963f97c4b939452096,3.4538287663
5536,0x9b9b231580c1805ece7d2d52f070e301f0691bdb,3.4537151427
5537,0xe143b34943061d489994ac5837badecf5dff4ec1,3.4528260775
5538,0x06413d7cb5742373665c04e89b8a160da9c0983c,3.452637903
5539,0x8005c01e9b45759c6b3aa3a1360ee4e256c4a06c,3.4521705685
5540,0xffabe32529130c435edd347245d5f2f7af0ac573,3.4521483015
5541,0x53b246b31be1ba0f44475ac9111764f07bf10ade,3.4511191689
5542,0x1f2876f13d0930929db2d2c8be667b85f9062c97,3.4510707078
5543,0x97ef405aa956fa181e105f9929fac886e1454a82,3.4508183576
5544,0x002aba345d626a74eb220298074abf0f07c3a921,3.4508078281
5545,0x5cfc8c525286415e01e3a175343d99d8fa37b12f,3.4504321862
5546,0x854f1c23eaa20fab5950d3461700f69e0736bd25,3.4497160682
5547,0x19c448727b7d3e07650409d70d46e43b6b3f2bf5,3.4496768647
5548,0x91f3aae0336f2a5d9bfb471dd69b6ff0131bec4b,3.4487706837
5549,0x24e5369a68c1cc202a6b472d67f9dfbcdd66cac6,3.4482994656
5550,0xa2b5640564134ca088dc85599aefdc8bf580e754,3.4471560969
5551,0xd09a5568644a998900d9abfcd053b9fb95b4b456,3.4463125814
5552,0x74203ff48bbe9ecc8ebec6cd983763cf2b185f1b,3.4462204764
