Rank,Account,Balance
601,0xc050e607cdf2616e8760fdcd7c7a9ecea4b96e58,11.6953371893
602,0x782cf7c3f427a4551a68f436e34615db2cf24426,11.6912311539
603,0x4ffd0a59a26cb2aa76d403215e4cc2845c053994,11.6872506894
604,0xd0249422144be89be51392217ac494dcb63c12ba,11.6659801672
605,0x651ff512435736b878705d9477be42abf737e004,11.6183641689
606,0x1a36a9ab4dd328cc6373551bed18f867b2ff063f,11.5894374163
607,0x493b90553584636293dc110644883e43413f0deb,11.568543925
608,0xde3431021bb79c0e6f7c33ba3453dffadcaa8fe5,11.486720448
609,0x6a8d1e61c04acd7ebc6fe818f4bb7c7feaec3ec2,11.47739376
610,0xd5665893e2c3ce22bf0291412ac61d8caddf764d,11.4312414072
611,0x39858bf4b981c4b0c1e5acc79c00d190b20a4411,11.4268676879
612,0x2b68aac396f16e4891498fc095f33438513f17cf,11.3660086012
613,0x6d522eb3e532d1ed9b18e310e706205daad4f54c,11.3144205823
614,0x9b7b68877628889f10a7d0d74014ff0eea44a55a,11.3045328494
615,0x95ef69f5e285042cdfe82d32d058a0fe5ca96288,11.2435376287
616,0x5c171fd91c10f27e5da347822e2c2586a96f9f8e,11.1590131089
617,0x1172a1c546308bb7fa6a28ae97c2c28f544cecf6,11
618,0x2c98a6f43ac8ef829ad93aca82f641d4906a2264,10.9594029153
619,0x8054f3f86f67254567ffcd3b7eb814d3dc4a086b,10.9093235232
620,0x6cb5f31326857a667a055a6a0846759acf0350ca,10.847224142
621,0xc28daceca79fb865a9912d97f25c13c1570edae4,10.8469284609
622,0x3e4914e8113c7f0f689825c335830706c3d2930c,10.7287894867
623,0xf44e756c78d721c455e0661c350bfef4deac43cc,10.694493791
624,0x6803a8be278de1ff351f02994739afe092841d54,10.6230036581
625,0x5f957a727c741d216a574e1f5e59b1b43afff11e,10.5776886004
626,0x412489b1876e710e616c4300a78897408abcbbfc,10.5393271221
627,0xf4e54fab5e1d437a483ae78e75cf33f2fc4bf961,10.5214865686
628,0x2eefb6d886669b6a5f4ff5ec3053329c91df0e36,10.5143685321
629,0x8c1f42580657f1cbf9ca055f94a6f22c0ee8643d,10.5134436653
630,0xfa8e3df8b12d122ad3448d01497cca6a412a4427,10.4694978337
631,0x8415f9ab3f181638ccd3d426fc091d96b650a4ab,10.4206859834
632,0x822d3a3c761bb9156c0c29d6f4c3ae7892a3dbf5,10.3186281712
633,0x66841d81c8fcfaac32ac30894a06596b0e120b42,10.2818684323
634,0x272b6a46b932728d8bd9f67ebf1bd76f68283a0a,10.2403056157
635,0x0a68f81fe8c23cf19fd0f90be3734f68ff2ef451,10.2243936769
636,0xbe13fcba17c2e1be89e4f5c7bce6de80e8667f86,10.1839520789
637,0x71e07267e1ea8676f8a8c922ebf6850cb2249e2a,10.1839520789
638,0x1d9aad24a5c3784d551de57f3713b471f5a21f40,10
639,0xeb71194a9253ff9cf4dbeae381e6ac2fafca3421,10
640,0xf0d009f74fd7447d463be4131d77f1b5ba5c0b3c,10
641,0x6acc47b20b5a7e91dfe21397244dc169721596c1,10
642,0x12d9bdedb79cb521d49484a8bd462ee83a0b270e,9.9731587419
643,0x37e2d26a0e21eb331ff0e2e6a0c34d0103429d6a,9.9108130785
644,0x1a5f8a931ef06d1f26b50ad4a769a7ef7bb3932f,9.8739871014
645,0x7c16f5513c458cfa2c6d2d55d269d32edc370a40,9.8645132828
646,0xdcd643becb6e1bc16321a229d871234f64cdcd1c,9.7989732481
647,0x2f3c349f8945fd0797ad6600aaf45cf1b96b6858,9.7568869704
648,0xd8ddbee1c52a411a470511c694ae5375ab3d6751,9.7568869704
649,0xfcce58d10a415e8f80d99fab52b47f15b63d7e25,9.7568869704
650,0x4cd49ce53e841d439a92681339cce7392cab8235,9.7318398936
651,0x33597f544acf67c6c450fbce1edd9457640df58c,9.7132168332
652,0x90a5fc45cb0dfe4ce5c9f8d8be6304ec2eb73369,9.6836704342
653,0x026a9736c8c440ba4996f8470594192b4e1ee4a2,9.6690169915
654,0x0c1bb5588e5a7d3a1e0761957c63738228f0e6bc,9.6644273171
655,0x49eff9010c492b58e1cef782a93057c53442c9b0,9.5786494023
656,0x0b55a832dba2011c8e836ff0a783b43822ceeec7,9.5538823844
657,0xb59d77385b0f390b688a0eb1d804cec76369edc9,9.5066433583
658,0x8652767d52054d2cd29343369b19ba357f46869d,9.4319537793
659,0xf819b28463532322fcbdfb3da089ef3d81b5e92e,9.3896277189
660,0x2c17f7a126496467e1408acfbc88255ec0d8028a,9.3710956987
661,0xaf81a6ee7b20e61b417641e718a46a0d619a47c9,9.3544091546
